25112, 1800 SILVER, MEMPHIS, TN, 
25113, 1800 ST HENRY PLACE, MEMPHIS, TN, 
25114, 1800 STEVE ANN CIRCLE, MEMPHIS, TN, 
25115, 1800 WEST HOLMES, MEMPHIS, TN, 
25116, 1800 WILLOWWOOD, MEMPHIS, TN, 
25117, 1800 WINSTON DR, MEMPHIS, TN, 
25118, 1800 WOODBURN DR, MEMPHIS, TN, 
25119, 1900 BOYLE AVE, MEMPHIS, TN, 
25120, 1900 FREEMONT ST, MEMPHIS, TN, 
25121, 1900 GLENN, MEMPHIS, TN, 
25122, 1900 GREGORY, MEMPHIS, TN, 
25123, 1900 GROVEHAVEN DR, MEMPHIS, TN, 
25124, 1900 HARBERT, MEMPHIS, TN, 
25125, 1900 HAYS, MEMPHIS, TN, 
25126, 1900 LANIER, MEMPHIS, TN, 
25127, 1900 LYNDALE AVE, MEMPHIS, TN, 
25128, 1900 MACAULAY, MEMPHIS, TN, 
25129, 1900 MITCHELL LN, MEMPHIS, TN, 
25130, 1900 NONCONNAH, MEMPHIS, TN, 
25131, 1900 ROZELLE, MEMPHIS, TN, 
25132, 1900 S DEXTER CHASE CIRCLE, MEMPHIS, TN, 
25133, 1900 S ORLEANS ST, MEMPHIS, TN, 
25134, 1900 S PARKWAY E, MEMPHIS, TN, 
25135, 1900 SO THIRD, MEMPHIS, TN, 
25136, 1900 THIRD ST, MEMPHIS, TN, 
25137, 1900 TOWNSEND, MEMPHIS, TN, 
25138, 1900 WILLCREST, MEMPHIS, TN, 
25139, 1900 WOODBURN DR, MEMPHIS, TN, 
25140, 200 APPLEVILLE CV, MEMPHIS, TN, 
25141, 200 CEDAR AVE, MEMPHIS, TN, 
25142, 200 COUNTRY PLACE, MEMPHIS, TN, 
25143, 200 COURT AVE, MEMPHIS, TN, 
25144, 200 CUMBERLAND ST, MEMPHIS, TN, 
25145, 200 CYPRESSWOOD, MEMPHIS, TN, 
25146, 200 DANNY THOMAS BLVD, MEMPHIS, TN, 
25147, 200 DEVON WAY, MEMPHIS, TN, 
25148, 200 DILLE PLACE, MEMPHIS, TN, 
25149, 200 DREGER, MEMPHIS, TN, 
25150, 200 E CAROLINA AVE, MEMPHIS, TN, 
25151, 200 E DAVANT AVE, MEMPHIS, TN, 
25152, 200 E DEMPSTER AVE, MEMPHIS, TN, 
25153, 200 E HOLMES, MEMPHIS, TN, 
25154, 200 E MITCHELL RD, MEMPHIS, TN, 
25155, 200 EAST FERNWOOD, MEMPHIS, TN, 
25156, 200 EAST RED OAK DR, MEMPHIS, TN, 
25157, 200 EAST SHELBY DR, MEMPHIS, TN, 
25158, 200 EASTVIEW ST, MEMPHIS, TN, 
25159, 200 FEBRUARY, MEMPHIS, TN, 
25160, 200 GEORGE W LEE AVE, MEMPHIS, TN, 
25161, 200 LINDEN AVE, MEMPHIS, TN, 
25162, 200 LORAINE RD, MEMPHIS, TN, 
25163, 200 MARY ANN, MEMPHIS, TN, 
25164, 200 MCKELLAR, MEMPHIS, TN, 
25165, 200 MCLEAN, MEMPHIS, TN, 
25166, 200 N DANNY THOMAS ST, MEMPHIS, TN, 
25167, 200 N REMBERT ST, MEMPHIS, TN, 
25168, 200 NORTH AUBURNDALE ST, MEMPHIS, TN, 
25169, 200 NORTH CLAYBROOK, MEMPHIS, TN, 
25170, 200 NORTH EVERGREEN, MEMPHIS, TN, 
25171, 200 NORTH HIGHLAND, MEMPHIS, TN, 
25172, 200 NORTH MERTON ST, MEMPHIS, TN, 
25173, 200 NORTH WILLET, MEMPHIS, TN, 
25174, 200 S EDGEWOOD, MEMPHIS, TN, 
25175, 200 S YATES, MEMPHIS, TN, 
