1114, 7000 STONE RIDGE DR, MEMPHIS, TN, 
1115, 1100 FAXON, MEMPHIS, TN, 
1116, 1500 MAPLEWOOD, MEMPHIS, TN, 
1117, 1600 VICTOR, MEMPHIS, TN, 
1118, 2000 N PKWY, MEMPHIS, TN, 
1119, 2100 HUBERT, MEMPHIS, TN, 
1120, 2300 UNION AVE, MEMPHIS, TN, 
1121, 2400 DOUGLASS, MEMPHIS, TN, 
1122, 3400 SPOTTSWOOD, MEMPHIS, TN, 
1123, 3500 MILLBRANCH RD, MEMPHIS, TN, 
1124, 3500 WINGOOD CIRCLE, MEMPHIS, TN, 
1125, 3600 CLEARBROOK, MEMPHIS, TN, 
1126, 3600 MYNDERS, MEMPHIS, TN, 
1127, 4700 S THIRD, MEMPHIS, TN, 
1128, 6200 POPLAR, MEMPHIS, TN, 
1129, 6800 E SHELBY DR, MEMPHIS, TN, 
1130, PARK AND GRAND, MEMPHIS, TN, 
1131, WINCHESTER AND MENDENHALL, MEMPHIS, TN, 
1132, 1100 OAKMONT, MEMPHIS, TN, 
1133, 1300 CLEMENTINE, MEMPHIS, TN, 
1134, 1400 N GERMANTOWN PKWY, MEMPHIS, TN, 
1135, 1500 DELLWOOD, MEMPHIS, TN, 
1136, 1900 PROSPECT, MEMPHIS, TN, 
1137, 2300 CANDLEWYCK, MEMPHIS, TN, 
1138, 3600 RABBIT RUN, MEMPHIS, TN, 
1139, 4000 CAMELOT, MEMPHIS, TN, 
1140, 5000 YALE, MEMPHIS, TN, 
1141, 1100 PARKLAND, MEMPHIS, TN, 
1142, 1400 E SHELBY DR, MEMPHIS, TN, 
1143, 1900 POPLAR AVE, MEMPHIS, TN, 
1144, 200 N DANNY THOMAS, MEMPHIS, TN, 
1145, 2100 CHELSEA, MEMPHIS, TN, 
1146, 2300 HOWELL, MEMPHIS, TN, 
1147, 2600 E HILLVIEW, MEMPHIS, TN, 
1148, 3000 MIMOSA AVE, MEMPHIS, TN, 
1149, 3200 MADEWELL DR, MEMPHIS, TN, 
1150, 3500 AUSTIN PEAY HWY, MEMPHIS, TN, 
1151, 3500 RIDGEWAY, MEMPHIS, TN, 
1152, 6100 KNIGHT ARNOLD, MEMPHIS, TN, 
1153, 7000 SHELBY DR, MEMPHIS, TN, 
1154, 1100 OAKMONT PLACE, MEMPHIS, TN, 
1155, 1100 PATTON, MEMPHIS, TN, 
1156, 1600 N HOLLYWOOD, MEMPHIS, TN, 
1157, 1800 WILCHESTER, MEMPHIS, TN, 
1158, 1900 FARRINGTON, MEMPHIS, TN, 
1159, 2300 CHELSEA, MEMPHIS, TN, 
1160, 3200 MORIAH TRAILS, MEMPHIS, TN, 
1161, 3200 SOUTH THIRD, MEMPHIS, TN, 
1162, 3300 RIDGEWAY RD, MEMPHIS, TN, 
1163, 3400 HARMONY CT, MEMPHIS, TN, 
1164, 3500 ROCKWOOD, MEMPHIS, TN, 
1165, 3800 N WATKINS, MEMPHIS, TN, 
1166, 400 CARPENTER, MEMPHIS, TN, 
1167, 4200 PINE HOLLOW, MEMPHIS, TN, 
1168, 4700 WINCHESTER, MEMPHIS, TN, 
