40109, 1100 SOUTH BELLEVUE BOULEVARD, MEMPHIS, TN, 
40110, 1100 SOUTH COOPER ST, MEMPHIS, TN, 
40111, 1100 SOUTH WILLET, MEMPHIS, TN, 
40112, 1100 SOUTH WILLETT ST, MEMPHIS, TN, 
40113, 1100 TREADWELL AVE, MEMPHIS, TN, 
40114, 1100 VOLLENTINE, MEMPHIS, TN, 
40115, 1100 W GLORIA, MEMPHIS, TN, 
40116, 1100 W PERKINS RD, MEMPHIS, TN, 
40117, 1100 W WATHAL, MEMPHIS, TN, 
40118, 1100 WELLINGTON ST, MEMPHIS, TN, 
40119, 1100 WHITAKER #13, MEMPHIS, TN, 
40120, 1100 WHITAKER CV, MEMPHIS, TN, 
40121, 1100 WHITFIELD, MEMPHIS, TN, 
40122, 1100 WHITIKER, MEMPHIS, TN, 
40123, 1100 WHITNEY AVE, MEMPHIS, TN, 
40124, 1100 WILLETT ST, MEMPHIS, TN, 
40125, 1100 WILMORE RD, MEMPHIS, TN, 
40126, 1100 WITAKER, MEMPHIS, TN, 
40127, 1100 WOODLAWN ST, MEMPHIS, TN, 
40128, 11700 HWY 64, MEMPHIS, TN, 
40129, 1200 APRIL WOOD, MEMPHIS, TN, 
40130, 1200 APRIL WOODS CV, MEMPHIS, TN, 
40131, 1200 APRILWOOD CIR, MEMPHIS, TN, 
40132, 1200 APRILWOOD CIRCLE, MEMPHIS, TN, 
40133, 1200 APRILWOOD, MEMPHIS, TN, 
40134, 1200 BERCLAIR, MEMPHIS, TN, 
40135, 1200 BLUFF, MEMPHIS, TN, 
40136, 1200 BRISTOL, MEMPHIS, TN, 
40137, 1200 CANFIELD, MEMPHIS, TN, 
40138, 1200 CHATWOOD ST, MEMPHIS, TN, 
40139, 1200 CHERRY RD, MEMPHIS, TN, 
40140, 1200 CLYDE, MEMPHIS, TN, 
40141, 1200 DANITA CV, MEMPHIS, TN, 
40142, 1200 DOLAN, MEMPHIS, TN, 
40143, 1200 DORA, MEMPHIS, TN, 
40144, 1200 DOROTHY, MEMPHIS, TN, 
40145, 1200 DOVE HOLLOW, MEMPHIS, TN, 
40146, 1200 E DEMPSTER ST, MEMPHIS, TN, 
40147, 1200 E MC LEMORE AVE, MEMPHIS, TN, 
40148, 1200 E MCKELLAR, MEMPHIS, TN, 
40149, 1200 E SHELBY DR RD, MEMPHIS, TN, 
40150, 1200 EAST RAINES, MEMPHIS, TN, 
40151, 1200 ECHELS, MEMPHIS, TN, 
40152, 1200 ENCANTO RD, MEMPHIS, TN, 
40153, 1200 GAUSCO RD, MEMPHIS, TN, 
40154, 1200 HAVEN CIRCLE, MEMPHIS, TN, 
40155, 1200 HIGHLAND, MEMPHIS, TN, 
40156, 1200 HOMER ST, MEMPHIS, TN, 
40157, 1200 JOHN A DENIE RD, MEMPHIS, TN, 
40158, 1200 LEXINGTON, MEMPHIS, TN, 
40159, 1200 LORRAINE, MEMPHIS, TN, 
40160, 1200 MARBORO, MEMPHIS, TN, 
40161, 1200 N MANASSAS AVE, MEMPHIS, TN, 
40162, 1200 N WATKINS ST, MEMPHIS, TN, 
40163, 1200 NATIONAL AVE, MEMPHIS, TN, 
40164, 1200 NORTH DUNLAP, MEMPHIS, TN, 
40165, 1200 OLD HICKORY RD, MEMPHIS, TN, 
40166, 1200 PALLWOOD RD, MEMPHIS, TN, 
40167, 1200 PERKINS TER, MEMPHIS, TN, 
40168, 1200 PERKINS TERR, MEMPHIS, TN, 
40169, 1200 S PARKWAY EAST ST, MEMPHIS, TN, 
40170, 1200 S PKWY EAST, MEMPHIS, TN, 
40171, 1200 S PRESCOTT RD, MEMPHIS, TN, 
40172, 1200 S PRESCOTT ST, MEMPHIS, TN, 
40173, 1200 S WELLINGTON AVE, MEMPHIS, TN, 
40174, 1200 SHEBLY DR, MEMPHIS, TN, 
40175, 1200 SOMERVILLE ST, MEMPHIS, TN, 
40176, 1200 SOMERVILLE, MEMPHIS, TN, 
40177, 1200 SOUTH PERKINS, MEMPHIS, TN, 
40178, 1200 SOUTHLAND DR, MEMPHIS, TN, 
40179, 1200 SYLVAN ST, MEMPHIS, TN, 
40180, 1200 TIMOTHY, MEMPHIS, TN, 
40181, 1200 TUNSTALL AVE, MEMPHIS, TN, 
40182, 1200 VICKERY, MEMPHIS, TN, 
40183, 1200 VOLINTINE, MEMPHIS, TN, 
40184, 1200 VOLLINTINE ST, MEMPHIS, TN, 
40185, 1200 W LEXINGTON CR, MEMPHIS, TN, 
40186, 1200 W SHELBY DR, MEMPHIS, TN, 
40187, 1200 WIENER, MEMPHIS, TN, 
40188, 1200 WILBEC RD, MEMPHIS, TN, 
40189, 1200 WILLIE MITCHELL BLVD, MEMPHIS, TN, 
40190, 1200 WILLOUGHBY, MEMPHIS, TN, 
40191, 1200 WILSON AVE, MEMPHIS, TN, 
40192, 1200 WOODBURY RD, MEMPHIS, TN, 
40193, 1217THOMAS, MEMPHIS, TN, 
40194, 12400 US HWY 64, MEMPHIS, TN, 
40195, 12600 SEWARD, MEMPHIS, TN, 
40196, 1300 AZAILA, MEMPHIS, TN, 
40197, 1300 BARKSDALE, MEMPHIS, TN, 
40198, 1300 BROOKS RD, MEMPHIS, TN, 
40199, 1300 CHICKAMAGUA, MEMPHIS, TN, 
40200, 1300 CHICKAMAUGA RD, MEMPHIS, TN, 
40201, 1300 CLAYBROOK, MEMPHIS, TN, 
40202, 1300 COCKER, MEMPHIS, TN, 
40203, 1300 COLLEGE AVE, MEMPHIS, TN, 
40204, 1300 CONNEMARA AVE, MEMPHIS, TN, 
40205, 1300 CREEKS EDGE, MEMPHIS, TN, 
40206, 1300 DARM AVE, MEMPHIS, TN, 
40207, 1300 DATTEL, MEMPHIS, TN, 
40208, 1300 DAVID DR, MEMPHIS, TN, 
40209, 1300 DEERTRAIL LN, MEMPHIS, TN, 
40210, 1300 DOLAN RD, MEMPHIS, TN, 
40211, 1300 DOUBLETREE CV, MEMPHIS, TN, 
40212, 1300 E BARRON CIRCLE, MEMPHIS, TN, 
40213, 1300 E MALLORY AVE, MEMPHIS, TN, 
40214, 1300 E MCLEMORE ST, MEMPHIS, TN, 
40215, 1300 E SHELBY DRIVE, MEMPHIS, TN, 
40216, 1300 E SHELBY RD, MEMPHIS, TN, 
40217, 1300 EAST BROOKS, MEMPHIS, TN, 
40218, 1300 EAST MCLEMORE AVE, MEMPHIS, TN, 
40219, 1300 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
40220, 1300 FARMVILLE, MEMPHIS, TN, 
40221, 1300 FLOYD AVE, MEMPHIS, TN, 
40222, 1300 GAUSCO RD, MEMPHIS, TN, 
40223, 1300 GETWELL AVE, MEMPHIS, TN, 
40224, 1300 GILL ST, MEMPHIS, TN, 
40225, 1300 GREEN BROOK BEND, MEMPHIS, TN, 
40226, 1300 HEATHCLIFF DR, MEMPHIS, TN, 
40227, 1300 HEISTAN, MEMPHIS, TN, 
40228, 1300 ISLAND PLACE, MEMPHIS, TN, 
40229, 1300 KANSAS ST, MEMPHIS, TN, 
40230, 1300 KENNEDY, MEMPHIS, TN, 
40231, 1300 LAPALOMA ST, MEMPHIS, TN, 
40232, 1300 LION ST, MEMPHIS, TN, 
40233, 1300 LOONEY AVE, MEMPHIS, TN, 
40234, 1300 LOUISANA, MEMPHIS, TN, 
40235, 1300 MALLORY RD, MEMPHIS, TN, 
40236, 1300 MARGRET, MEMPHIS, TN, 
40237, 1300 MEADOWLARK LN, MEMPHIS, TN, 
40238, 1300 MEADOWLARK, MEMPHIS, TN, 
40239, 1300 MIDDLE CT, MEMPHIS, TN, 
40240, 1300 MISTY ISLE DR, MEMPHIS, TN, 
40241, 1300 N BELLVUE, MEMPHIS, TN, 
40242, 1300 N MCLEAN BLVD, MEMPHIS, TN, 
40243, 1300 N SESSIONS CT, MEMPHIS, TN, 
40244, 1300 NORTH BELLEVUE, MEMPHIS, TN, 
40245, 1300 NORTH THOMAS, MEMPHIS, TN, 
40246, 1300 OAKWOOD DR, MEMPHIS, TN, 
40247, 1300 OAKWOOD, MEMPHIS, TN, 
40248, 1300 POPE, MEMPHIS, TN, 
40249, 1300 PRIMACY PARK, MEMPHIS, TN, 
40250, 1300 REBEH CV, MEMPHIS, TN, 
40251, 1300 RHODES, MEMPHIS, TN, 
40252, 1300 RUTLAND ST, MEMPHIS, TN, 
40253, 1300 S MAIN, MEMPHIS, TN, 
40254, 1300 S WHITE STATION RD, MEMPHIS, TN, 
40255, 1300 SANDY STONE LN, MEMPHIS, TN, 
40256, 1300 SEVERSON, MEMPHIS, TN, 
40257, 1300 SMITH ST, MEMPHIS, TN, 
40258, 1300 SOUTH BARKSDALE, MEMPHIS, TN, 
40259, 1300 SOUTH PERKINS RD, MEMPHIS, TN, 
40260, 1300 SOUTH PKWY E, MEMPHIS, TN, 
40261, 1300 SOUTH PKWY, MEMPHIS, TN, 
40262, 1300 SOUTH WILLETT, MEMPHIS, TN, 
40263, 1300 STAGE RD, MEMPHIS, TN, 
40264, 1300 THORNTON CV, MEMPHIS, TN, 
40265, 1300 TIMBER BROOK, MEMPHIS, TN, 
40266, 1300 TULLY ST, MEMPHIS, TN, 
40267, 1300 TUNSTALL ST, MEMPHIS, TN, 
40268, 1300 TUTWEILER, MEMPHIS, TN, 
40269, 1300 TUTWILER ST, MEMPHIS, TN, 
40270, 1300 UNIVERSITY ST, MEMPHIS, TN, 
40271, 1300 VICOSCIA, MEMPHIS, TN, 
40272, 1300 W SHELBY DR, MEMPHIS, TN, 
40273, 1300 WEINER CV, MEMPHIS, TN, 
40274, 1300 WELLINGTON ST, MEMPHIS, TN, 
