18113, 1900 BALDWIN AVE, MEMPHIS, TN, 
18114, 1900 BARRONESS, MEMPHIS, TN, 
18115, 1900 BENNING ST, MEMPHIS, TN, 
18116, 1900 CENTRAL, MEMPHIS, TN, 
18117, 1900 DESSA DR, MEMPHIS, TN, 
18118, 1900 E WOLFCHASE CIRCLE, MEMPHIS, TN, 
18119, 1900 FAXON, MEMPHIS, TN, 
18120, 1900 FERBER, MEMPHIS, TN, 
18121, 1900 GLEN, MEMPHIS, TN, 
18122, 1900 KERR AVE, MEMPHIS, TN, 
18123, 1900 NEWGATE DR, MEMPHIS, TN, 
18124, 1900 WATSON ST, MEMPHIS, TN, 
18125, 1900 WILLOW WOOD AVE, MEMPHIS, TN, 
18126, 200 BICKFORD AVE, MEMPHIS, TN, 
18127, 200 BISCAYNE, MEMPHIS, TN, 
18128, 200 COLLINS ST, MEMPHIS, TN, 
18129, 200 E FAIRWAY, MEMPHIS, TN, 
18130, 200 EASTLAND, MEMPHIS, TN, 
18131, 200 EASTVIEW CV, MEMPHIS, TN, 
18132, 200 HERITAGE LAKE DR, MEMPHIS, TN, 
18133, 200 HORN LAKE CV, MEMPHIS, TN, 
18134, 200 JACKSON, MEMPHIS, TN, 
18135, 200 N PAULINE ST, MEMPHIS, TN, 
18136, 200 N RIVERSIDE, MEMPHIS, TN, 
18137, 200 NORTH AVALON ST, MEMPHIS, TN, 
18138, 200 RIVERSIDE, MEMPHIS, TN, 
18139, 200 S HOLMES ST, MEMPHIS, TN, 
18140, 200 STAR BLOSSOM DR, MEMPHIS, TN, 
18141, 200 WINDOVER RD, MEMPHIS, TN, 
18142, 2000 BENDER, MEMPHIS, TN, 
18143, 2000 BERRYHILL RD, MEMPHIS, TN, 
18144, 2000 CENTRAL AVE, MEMPHIS, TN, 
18145, 2000 COVENTRY, MEMPHIS, TN, 
18146, 2000 DANVILLE RD, MEMPHIS, TN, 
18147, 2000 EAST SHELBY DR, MEMPHIS, TN, 
18148, 2000 EVELYN AVE, MEMPHIS, TN, 
18149, 2000 EVERETTS FOLLY ST, MEMPHIS, TN, 
18150, 2000 MARTIN CIRCLE, MEMPHIS, TN, 
18151, 2000 RIVERSIDE, MEMPHIS, TN, 
18152, 2000 S PKWY EAST, MEMPHIS, TN, 
18153, 2000 SAINT JAMES, MEMPHIS, TN, 
18154, 2000 SIERRA, MEMPHIS, TN, 
18155, 2000 ST JAMES DR, MEMPHIS, TN, 
18156, 2000 STATE ST, MEMPHIS, TN, 
18157, 2000 STATE, MEMPHIS, TN, 
18158, 2000 VICTORIA RD, MEMPHIS, TN, 
18159, 2000 WARREN ST, MEMPHIS, TN, 
18160, 2100 ABBEY LN, MEMPHIS, TN, 
18161, 2100 BARNSBURY, MEMPHIS, TN, 
18162, 2100 BONNIE, MEMPHIS, TN, 
18163, 2100 CARVER AVE, MEMPHIS, TN, 
18164, 2100 CORNING AVE, MEMPHIS, TN, 
18165, 2100 FAIRFALL, MEMPHIS, TN, 
18166, 2100 FELIX AVE, MEMPHIS, TN, 
18167, 2100 GAYLE DR, MEMPHIS, TN, 
18168, 2100 HUNTER AVE, MEMPHIS, TN, 
18169, 2100 KELTNER CIRCLE, MEMPHIS, TN, 
