19112, 1200 SOUTH THIRD, MEMPHIS, TN, 
19113, 1200, MEMPHIS, TN, 
19114, 1300 BERCLAIR RD, MEMPHIS, TN, 
19115, 1300 BROWN AVE, MEMPHIS, TN, 
19116, 1300 CHERRYDALE CV, MEMPHIS, TN, 
19117, 1300 CT AVE, MEMPHIS, TN, 
19118, 1300 ELMVIEW LN, MEMPHIS, TN, 
19119, 1300 ENGLEWOOD ST, MEMPHIS, TN, 
19120, 1300 GAITHER, MEMPHIS, TN, 
19121, 1300 HAYNES ST, MEMPHIS, TN, 
19122, 1300 LOONEY, MEMPHIS, TN, 
19123, 1300 NEPTUNE ST, MEMPHIS, TN, 
19124, 1300 NICHOLAS ST, MEMPHIS, TN, 
19125, 1300 PERKINS TERRACE, MEMPHIS, TN, 
19126, 1300 PHILLIPS PL, MEMPHIS, TN, 
19127, 1300 PIDGEON PERCH, MEMPHIS, TN, 
19128, 1300 RAILTON RD, MEMPHIS, TN, 
19129, 1300 RHODES CV, MEMPHIS, TN, 
19130, 1300 S PERKINS RD, MEMPHIS, TN, 
19131, 1300 S PKWY E, MEMPHIS, TN, 
19132, 1300 S PKWY, MEMPHIS, TN, 
19133, 1300 SO ORLEANS, MEMPHIS, TN, 
19134, 1300 SOUTHLAND ML, MEMPHIS, TN, 
19135, 1300 UNIVERSITY, MEMPHIS, TN, 
19136, 1300 VOLLENTINE, MEMPHIS, TN, 
19137, 1300 WELLSVILLE RD, MEMPHIS, TN, 
19138, 1300 WOODSTON, MEMPHIS, TN, 
19139, 1300 YORKSHIRE, MEMPHIS, TN, 
19140, 1400 ELMVIEW LN, MEMPHIS, TN, 
19141, 1400 FARROW RD, MEMPHIS, TN, 
19142, 1400 GARDEN RD, MEMPHIS, TN, 
19143, 1400 HARTFORD PLACE, MEMPHIS, TN, 
19144, 1400 HEATHCLIFF DR, MEMPHIS, TN, 
19145, 1400 JANE EYRE, MEMPHIS, TN, 
19146, 1400 LEFLORE, MEMPHIS, TN, 
19147, 1400 LEXINGTON CIRCLE NORTH, MEMPHIS, TN, 
19148, 1400 MULLINS STATION, MEMPHIS, TN, 
19149, 1400 N SECOND, MEMPHIS, TN, 
19150, 1400 N WATKINS, MEMPHIS, TN, 
19151, 1400 N WILLET, MEMPHIS, TN, 
19152, 1400 NIESE, MEMPHIS, TN, 
19153, 1400 OAKWOOD, MEMPHIS, TN, 
19154, 1400 RAILTON RD, MEMPHIS, TN, 
19155, 1400 S FARONIA, MEMPHIS, TN, 
19156, 1400 S WILLET, MEMPHIS, TN, 
19157, 1400 SEMMES ST, MEMPHIS, TN, 
19158, 1400 TYNE ST, MEMPHIS, TN, 
19159, 1400 WHITEWATER RD, MEMPHIS, TN, 
19160, 1400 WILLIE MITCHELL ST, MEMPHIS, TN, 
19161, 1500 CANFIELD AVE, MEMPHIS, TN, 
19162, 1500 CARNEGIE, MEMPHIS, TN, 
19163, 1500 CAROL DR, MEMPHIS, TN, 
19164, 1500 DARDON, MEMPHIS, TN, 
19165, 1500 DEMO, MEMPHIS, TN, 
19166, 1500 E MCLEMORE AVE, MEMPHIS, TN, 
19167, 1500 FINLEY RD, MEMPHIS, TN, 
19168, 1500 JOANNE, MEMPHIS, TN, 
19169, 1500 LELAND ST, MEMPHIS, TN, 
19170, 1500 NORTH PKWY, MEMPHIS, TN, 
19171, 1500 S LAUDERDALE ST, MEMPHIS, TN, 
19172, 1500 SOUTHPORT, MEMPHIS, TN, 
19173, 1500 STARR AVE, MEMPHIS, TN, 
19174, 1500 TERRANCE LN, MEMPHIS, TN, 
19175, 1500 TIMOTHY DR, MEMPHIS, TN, 
19176, 1500 WHITMORE, MEMPHIS, TN, 
19177, 1500 WINCHESTER RD, MEMPHIS, TN, 
19178, 1600 BUNTYN ST, MEMPHIS, TN, 
19179, 1600 CAROL DR, MEMPHIS, TN, 
19180, 1600 CHANNEL, MEMPHIS, TN, 
19181, 1600 COURT, MEMPHIS, TN, 
19182, 1600 FLAMINGO RD, MEMPHIS, TN, 
19183, 1600 LAMAR CIRCLE, MEMPHIS, TN, 
19184, 1600 N GERMANTOWN, MEMPHIS, TN, 
19185, 1600 SEMMES ST, MEMPHIS, TN, 
19186, 1600 SHORT, MEMPHIS, TN, 
19187, 1600 SOUTH AVE, MEMPHIS, TN, 
19188, 1600 SOUTH COOPER, MEMPHIS, TN, 
19189, 1600 STACEY ST, MEMPHIS, TN, 
19190, 1600 STERLING, MEMPHIS, TN, 
19191, 1600 WEBB, MEMPHIS, TN, 
19192, 1600 WESTLAWN, MEMPHIS, TN, 
19193, 1600, MEMPHIS, TN, 
19194, 1700 BARTON ST, MEMPHIS, TN, 
19195, 1700 BOXWOOD, MEMPHIS, TN, 
19196, 1700 BRANCH WAY, MEMPHIS, TN, 
19197, 1700 CARR, MEMPHIS, TN, 
19198, 1700 CHILDERS AVE, MEMPHIS, TN, 
19199, 1700 COOPER, MEMPHIS, TN, 
19200, 1700 DENSON DR, MEMPHIS, TN, 
19201, 1700 FERRELL PARK, MEMPHIS, TN, 
19202, 1700 GOWAN DR, MEMPHIS, TN, 
19203, 1700 HARTLAND ST, MEMPHIS, TN, 
19204, 1700 HESTER RD, MEMPHIS, TN, 
19205, 1700 JOANNE, MEMPHIS, TN, 
19206, 1700 KENDALE AVE, MEMPHIS, TN, 
19207, 1700 LAWRENCE, MEMPHIS, TN, 
19208, 1700 LEHR DR, MEMPHIS, TN, 
19209, 1700 PENNSYLVANIA AVE, MEMPHIS, TN, 
19210, 1700 S COOPER ST, MEMPHIS, TN, 
19211, 1700 S WELLINGTON ST, MEMPHIS, TN, 
19212, 1700 SEMMES ST, MEMPHIS, TN, 
19213, 1700 VIA ROMA DR, MEMPHIS, TN, 
19214, 1700 VICTOR ST, MEMPHIS, TN, 
19215, 1700 WARFORD, MEMPHIS, TN, 
19216, 1700 WATSON RD, MEMPHIS, TN, 
19217, 1700 WELSH RD, MEMPHIS, TN, 
19218, 1800 AUTUMN AVE, MEMPHIS, TN, 
19219, 1800 BALL, MEMPHIS, TN, 
19220, 1800 CLUB GREEN DR, MEMPHIS, TN, 
19221, 1800 DELANO ST, MEMPHIS, TN, 
19222, 1800 EUCLID AVE, MEMPHIS, TN, 
19223, 1800 GROVEHAVEN CIR, MEMPHIS, TN, 
19224, 1800 KERR AVE, MEMPHIS, TN, 
