4113, 6000 SUMMER SUN SQUARE, MEMPHIS, TN, 
4114, 6300 ARBORWOOD, MEMPHIS, TN, 
4115, 6400 ARBORWOOD DR, MEMPHIS, TN, 
4116, 6800 UPLAND CT, MEMPHIS, TN, 
4117, 6900 SOMERSET CV, MEMPHIS, TN, 
4118, 700 JACKSON, MEMPHIS, TN, 
4119, 700 LIPFORD, MEMPHIS, TN, 
4120, 800 CELLA, MEMPHIS, TN, 
4121, 800 CRILLION DR, MEMPHIS, TN, 
4122, 800 CRUMP, MEMPHIS, TN, 
4123, 800 EAST PKWY SOUTH, MEMPHIS, TN, 
4124, 800 N MONTGOMERY, MEMPHIS, TN, 
4125, 8200 VARNAVAS DR, MEMPHIS, TN, 
4126, 8600 TRINITY RD, MEMPHIS, TN, 
4127, 900 N MCNEIL, MEMPHIS, TN, 
4128, 900 TULLY, MEMPHIS, TN, 
4129, 9200 MORNING RIDGE, MEMPHIS, TN, 
4130, LAMAR AND KNIGHT ARNOLD, MEMPHIS, TN, 
4131, THIRD AND EXCHANGE, MEMPHIS, TN, 
4132, VANCE AND LAUDERDALE, MEMPHIS, TN, 
4133, 100 S IDLEWILD ST, MEMPHIS, TN, 
4134, 100 SOUTH SECOND, MEMPHIS, TN, 
4135, 1000 RANDLE, MEMPHIS, TN, 
4136, 1000 WATKINS, MEMPHIS, TN, 
4137, 1100 ALASKA, MEMPHIS, TN, 
4138, 1100 E RAINES, MEMPHIS, TN, 
4139, 1100 N HIGHLAND, MEMPHIS, TN, 
4140, 1100 RIDGE LAKE BLVD, MEMPHIS, TN, 
4141, 1100 S COOPER, MEMPHIS, TN, 
4142, 1200 CANARY LN, MEMPHIS, TN, 
4143, 1200 N PKWY, MEMPHIS, TN, 
4144, 1300 HOMER, MEMPHIS, TN, 
4145, 1400 E SHELBY, MEMPHIS, TN, 
4146, 1400 ETHEL, MEMPHIS, TN, 
4147, 1400 GREENDALE, MEMPHIS, TN, 
4148, 1400 ISABELLE, MEMPHIS, TN, 
4149, 1500 BRYAN, MEMPHIS, TN, 
4150, 1500 RAGAN, MEMPHIS, TN, 
4151, 1600 BIRDSONG, MEMPHIS, TN, 
4152, 1600 FLORIDA, MEMPHIS, TN, 
4153, 1600 GAITHER, MEMPHIS, TN, 
4154, 1600 PATTERSON, MEMPHIS, TN, 
4155, 1700 ELY, MEMPHIS, TN, 
4156, 1700 HARVILLE, MEMPHIS, TN, 
4157, 1700 HOLMES, MEMPHIS, TN, 
4158, 1700 LOCUST, MEMPHIS, TN, 
4159, 1700 PENNSYLVANIA, MEMPHIS, TN, 
4160, 1800 SHADOWLAWN, MEMPHIS, TN, 
4161, 1900 LAPALOMA, MEMPHIS, TN, 
4162, 200 ADAMS, MEMPHIS, TN, 
4163, 200 JOUBERT, MEMPHIS, TN, 
4164, 200 N EVERGREEN, MEMPHIS, TN, 
4165, 200 N MAIN ST, MEMPHIS, TN, 
4166, 200 W PERSON, MEMPHIS, TN, 
4167, 200 WESLEY FOREST DR, MEMPHIS, TN, 
4168, 2000 BENFORD, MEMPHIS, TN, 
4169, 2000 NORTH PKWY, MEMPHIS, TN, 
4170, 2000 SWIFT, MEMPHIS, TN, 
4171, 2100 DRIFTWOOD, MEMPHIS, TN, 
4172, 2200 CHATTERING LN, MEMPHIS, TN, 
