144102, BARTLETT AND FINCASTLE, MEMPHIS, TN, 
144103, BARTLETT AND PIPERS GAP, MEMPHIS, TN, 
144104, BARTLETT AND PLEASANTVIEW, MEMPHIS, TN, 
144105, BARTLETT AND PLESANT VIEW, MEMPHIS, TN, 
144106, BARTLETT AND PRESSTOWER, MEMPHIS, TN, 
144107, BARTLETT AND RAL-LAGRANGE, MEMPHIS, TN, 
144108, BARTLETT AND STAGE, MEMPHIS, TN, 
144109, BARTLETT AND SUMMER AVE, MEMPHIS, TN, 
144110, BARTLETT BLVD AND PIPERS GAP, MEMPHIS, TN, 
144111, BARTLETT BLVD AND PLEASANT VIEW, MEMPHIS, TN, 
144112, BARTLETT RD AND BLUE RIDGE PKWY, MEMPHIS, TN, 
144113, BARTLETT RD AND CRESTVIEW DR, MEMPHIS, TN, 
144114, BARTLETT RD AND CRESTVIEW, MEMPHIS, TN, 
144115, BARTLETT RD AND FINCASTLE CV, MEMPHIS, TN, 
144116, BARTLETT RD AND PLEASANT VIEW RD, MEMPHIS, TN, 
144117, BARTLETT RD AND PLESANT VIEW, MEMPHIS, TN, 
144118, BARTLETT RD AND QUAIL RUN RD, MEMPHIS, TN, 
144119, BARTLETT RD AND RALEIGH LAGRANGE RD, MEMPHIS, TN, 
144120, BARTLETT RD AND RAPPAHANNOCK, MEMPHIS, TN, 
144121, BARTLETT RD AND SUMMER, MEMPHIS, TN, 
144122, BARTLETT RD PLEASANT VIEW, MEMPHIS, TN, 
144123, BARTLETT ROAD AND SUMMER AVENUE, MEMPHIS, TN, 
144124, BARTON AND E PERSON, MEMPHIS, TN, 
144125, BARTON AND E RAINES, MEMPHIS, TN, 
144126, BARTON AND ESEX, MEMPHIS, TN, 
144127, BARTON AND LAUDEEN, MEMPHIS, TN, 
144128, BARTON AND PERSON, MEMPHIS, TN, 
144129, BARTON AND RAINES RD, MEMPHIS, TN, 
144130, BARTON AND S PARKWAY, MEMPHIS, TN, 
144131, BARTON DR AND LAUDEEN DR, MEMPHIS, TN, 
144132, BARTON DRIVE & E RAINES ROAD, MEMPHIS, TN, 
144133, BARTON-RAINES, MEMPHIS, TN, 
144134, BARTON, MEMPHIS, TN, 
144135, BARWOOD ST, MEMPHIS, TN, 
144136, BASK IN AND DELLWOOD, MEMPHIS, TN, 
144137, BASKETBALL CT MT MORIAH AND MENDENHALL, MEMPHIS, TN, 
144138, BASKETBALL CT, MEMPHIS, TN, 
144139, BASKIN AND CANFIELD, MEMPHIS, TN, 
144140, BASKIN AND DAHLIA, MEMPHIS, TN, 
144141, BASKIN AND DARM, MEMPHIS, TN, 
144142, BASKIN AND GREENBREIR, MEMPHIS, TN, 
144143, BASKIN AND HACOMB, MEMPHIS, TN, 
144144, BASKIN AND MADEWELL, MEMPHIS, TN, 
144145, BASKIN AND STAGE AVE, MEMPHIS, TN, 
