155103, I240 HWY AND 385 HWY, MEMPHIS, TN, 
155104, I240 INTERSTATE AND AIRWAYS BLVD, MEMPHIS, TN, 
155105, I240 INTERSTATE S AND B, MEMPHIS, TN, 
155106, I240 MALLORY AVE, MEMPHIS, TN, 
155107, I240 N AND B AND I40, MEMPHIS, TN, 
155108, I240 N AND B AND NORRIS RD, MEMPHIS, TN, 
155109, I240 N AND B AND UNION, MEMPHIS, TN, 
155110, I240 N AND B AND WALNUT GROVE RD, MEMPHIS, TN, 
155111, I240 N AND B JACKSON, MEMPHIS, TN, 
155112, I240 N AND B N OF NORRIS, MEMPHIS, TN, 
155113, I240 N AND B SOUTH OF NORRIS, MEMPHIS, TN, 
155114, I240 N AND LAMAR, MEMPHIS, TN, 
155115, I240 N AND PERKINS, MEMPHIS, TN, 
155116, I240 N OF WALNUT GROVE, MEMPHIS, TN, 
155117, I240 N, MEMPHIS, TN, 
155118, I240 NB AND I40 WB, MEMPHIS, TN, 
155119, I240 NORTH AND LINDEN AVE, MEMPHIS, TN, 
155120, I240 NORTH AND NORRIS, MEMPHIS, TN, 
155121, I240 NORTH AND UNION, MEMPHIS, TN, 
155122, I240 NORTH BOUND AND UNION, MEMPHIS, TN, 
155123, I240 NORTH BOUND AND WALNUT GROVE, MEMPHIS, TN, 
155124, I240 NORTH BOUND EXIT RAMP TO UNION, MEMPHIS, TN, 
155125, I240 NORTH BOUND JUST SOUTH OF WALNUT GROVE, MEMPHIS, TN, 
155126, I240 NORTH OF NORRIS, MEMPHIS, TN, 
155127, I240 NORTH OF POPLAR AVE, MEMPHIS, TN, 
155128, I240 ONE S AND O SOUTH PKWY, MEMPHIS, TN, 
155129, I240 RAMP AND UNION AVE, MEMPHIS, TN, 
155130, I240 RD AND NORRIS RD, MEMPHIS, TN, 
155131, I240 S AND B AND LAMAR AVE, MEMPHIS, TN, 
155132, I240 S AND B AND MADISON AVE, MEMPHIS, TN, 
155133, I240 S AND B AND NORRIS, MEMPHIS, TN, 
155134, I240 S AND B AND S PKWY E, MEMPHIS, TN, 
155135, I240 S AND B NORTH OF SUMMER, MEMPHIS, TN, 
155136, I240 S AND POPLAR, MEMPHIS, TN, 
155137, I240 S AND S PKWY EXIT 28B, MEMPHIS, TN, 
155138, I240 S NORTH OF WALNUT GROVE RD, MEMPHIS, TN, 
155139, I240 S OF JACKSON AVE, MEMPHIS, TN, 
155140, I240 S OF NORRIS, MEMPHIS, TN, 
155141, I240 S/B AND LAMAR, MEMPHIS, TN, 
155142, I240 SB AND NORTH OR POPLAR, MEMPHIS, TN, 
155143, I240 SOUTH BOUND 40W, MEMPHIS, TN, 
155144, I240 SOUTHBOUND AND NORRIS, MEMPHIS, TN, 
155145, I240 ST, MEMPHIS, TN, 
155146, I240 W AND B AIRWAYS, MEMPHIS, TN, 
155147, I240 W AND B AND GETWELL, MEMPHIS, TN, 
155148, I240 W AND B AND I240 N AND B, MEMPHIS, TN, 
155149, I240 W AND B AND I240 S AND B, MEMPHIS, TN, 
155150, I240 W AND B AND MILLBRANCH ON RAMP, MEMPHIS, TN, 
155151, I240 W AND B AND MT MORIAH, MEMPHIS, TN, 
155152, I240 W AND B AND SUMMER, MEMPHIS, TN, 
155153, I240 W AND B HWY AND POPLAR, MEMPHIS, TN, 
155154, I240 W AND B JACKSON, MEMPHIS, TN, 
155155, I240 W AND B WEST OF AIRWAYS, MEMPHIS, TN, 
155156, I240 W AND NONCONNAH, MEMPHIS, TN, 
155157, I240 W AND S PKWY, MEMPHIS, TN, 
155158, I240 W AND WALNUT GROVE, MEMPHIS, TN, 
155159, I240 WB AND LAMAR, MEMPHIS, TN, 
