5112, 1700 OAKEN BUCKET, MEMPHIS, TN, 
5113, 1700 RAGAN, MEMPHIS, TN, 
5114, 1800 FIRST GREEN, MEMPHIS, TN, 
5115, 1800 PENDELTON, MEMPHIS, TN, 
5116, 1800 SECOND GREEN, MEMPHIS, TN, 
5117, 1900 PENNSYLVANIA, MEMPHIS, TN, 
5118, 1900 THOMAS, MEMPHIS, TN, 
5119, 200 EH CRUMP BLVD, MEMPHIS, TN, 
5120, 200 GEORGE W LEE, MEMPHIS, TN, 
5121, 200 MONROE AVE, MEMPHIS, TN, 
5122, 200 WESLEY FOREST, MEMPHIS, TN, 
5123, 2000 THRIFT, MEMPHIS, TN, 
5124, 2100 AMBERGATE LN, MEMPHIS, TN, 
5125, 2100 PROSPECT, MEMPHIS, TN, 
5126, 2100 WAVERLY, MEMPHIS, TN, 
5127, 2200 ALTA VISTA, MEMPHIS, TN, 
5128, 2200 BENNETT, MEMPHIS, TN, 
5129, 2200 DEER RIDGE DR, MEMPHIS, TN, 
5130, 2200 IMOGENE ST, MEMPHIS, TN, 
5131, 2200 PIEDMONT, MEMPHIS, TN, 
5132, 2300 IMOGENE, MEMPHIS, TN, 
5133, 2400 ALAMEDA, MEMPHIS, TN, 
5134, 2400 PKWY PLACE, MEMPHIS, TN, 
5135, 2500 BROAD, MEMPHIS, TN, 
5136, 2500 CANTOR, MEMPHIS, TN, 
5137, 2500 LAROSE, MEMPHIS, TN, 
5138, 2600 DAKAR, MEMPHIS, TN, 
5139, 2600 TREEMONT, MEMPHIS, TN, 
5140, 2600 VINTAGE DR, MEMPHIS, TN, 
5141, 2700 NIGHTINGALE, MEMPHIS, TN, 
5142, 2800 SUMMIT ARBOR CIRCLE, MEMPHIS, TN, 
5143, 2900 BRANDALE, MEMPHIS, TN, 
5144, 2900 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
5145, 2900 SUMMIT ARBOR CIR, MEMPHIS, TN, 
5146, 300 E OLIVE, MEMPHIS, TN, 
5147, 300 S DANNY THOMAS, MEMPHIS, TN, 
5148, 3000 CARNES, MEMPHIS, TN, 
5149, 3000 CARRIER ST, MEMPHIS, TN, 
5150, 3000 UNIVERSITY, MEMPHIS, TN, 
5151, 3100 E SHELBY DR, MEMPHIS, TN, 
5152, 3100 KETTLE CREEK DR, MEMPHIS, TN, 
5153, 3200 CLEARBROOK, MEMPHIS, TN, 
5154, 3200 ROYAL KNIGHT CV, MEMPHIS, TN, 
5155, 3300 CHRISTINE, MEMPHIS, TN, 
5156, 3300 HICKORY VIEW, MEMPHIS, TN, 
5157, 3400 CHARLOTTE, MEMPHIS, TN, 
