48110, 2500 AVERY AVE, MEMPHIS, TN, 
48111, 2500 BASSFIELD DR, MEMPHIS, TN, 
48112, 2500 BELGIAN CV, MEMPHIS, TN, 
48113, 2500 BOYLE ST, MEMPHIS, TN, 
48114, 2500 BROOKLYNN, MEMPHIS, TN, 
48115, 2500 CARROLLWOOD, MEMPHIS, TN, 
48116, 2500 CARROLWOOD LN, MEMPHIS, TN, 
48117, 2500 CRESCENT GLEN CR, MEMPHIS, TN, 
48118, 2500 CRESCENT GLENN, MEMPHIS, TN, 
48119, 2500 EAGLE RIDGE LN, MEMPHIS, TN, 
48120, 2500 EAGLE RIDGE, MEMPHIS, TN, 
48121, 2500 EAST HILL VIEW, MEMPHIS, TN, 
48122, 2500 EAST REESE GROVE CT, MEMPHIS, TN, 
48123, 2500 ELDRIDGE AVE, MEMPHIS, TN, 
48124, 2500 FALLING WATER LN, MEMPHIS, TN, 
48125, 2500 FALLING WATER, MEMPHIS, TN, 
48126, 2500 GENTRY AVE, MEMPHIS, TN, 
48127, 2500 HANOVER, MEMPHIS, TN, 
48128, 2500 HANWOOD AVE, MEMPHIS, TN, 
48129, 2500 HENNINGTON AVE, MEMPHIS, TN, 
48130, 2500 INVERARY DR, MEMPHIS, TN, 
48131, 2500 KETCHUM #6, MEMPHIS, TN, 
48132, 2500 KETCHUM 3, MEMPHIS, TN, 
48133, 2500 KETCHUM 8, MEMPHIS, TN, 
48134, 2500 KIMBARKWOODS CV, MEMPHIS, TN, 
48135, 2500 KIMBLE, MEMPHIS, TN, 
48136, 2500 KNOB, MEMPHIS, TN, 
48137, 2500 LAKE GARDEN, MEMPHIS, TN, 
48138, 2500 LAMAR ST, MEMPHIS, TN, 
48139, 2500 LISA ST, MEMPHIS, TN, 
48140, 2500 MADISON AVE, MEMPHIS, TN, 
48141, 2500 MALONE ST, MEMPHIS, TN, 
48142, 2500 MATTHEWS AVE, MEMPHIS, TN, 
48143, 2500 MONETTE AVE, MEMPHIS, TN, 
48144, 2500 MTMORIAH RD, MEMPHIS, TN, 
48145, 2500 N UMBERLAND LN, MEMPHIS, TN, 
48146, 2500 N UMBERLAND ST, MEMPHIS, TN, 
48147, 2500 NORTH SKYLINE CIRCLE, MEMPHIS, TN, 
48148, 2500 NUNNELEE ST, MEMPHIS, TN, 
48149, 2500 PARKWAY PL, MEMPHIS, TN, 
48150, 2500 PERSHING AVE AND MERTON ST, MEMPHIS, TN, 
