23111, 1100 CARROLTON, MEMPHIS, TN, 
23112, 1100 COLGATE, MEMPHIS, TN, 
23113, 1100 COURT AVENUE, MEMPHIS, TN, 
23114, 1100 E ALCY, MEMPHIS, TN, 
23115, 1100 FRANKFORT, MEMPHIS, TN, 
23116, 1100 HAWTHORNE, MEMPHIS, TN, 
23117, 1100 KANSAS ST, MEMPHIS, TN, 
23118, 1100 KEVIN CV, MEMPHIS, TN, 
23119, 1100 MARCIA RD, MEMPHIS, TN, 
23120, 1100 MEAGHER, MEMPHIS, TN, 
23121, 1100 N HOLMES ST, MEMPHIS, TN, 
23122, 1100 N SANGA, MEMPHIS, TN, 
23123, 1100 N WILLET, MEMPHIS, TN, 
23124, 1100 PAR, MEMPHIS, TN, 
23125, 1100 RIDGE LAKE, MEMPHIS, TN, 
23126, 1100 S PARKWAY E, MEMPHIS, TN, 
23127, 1100 S REMBERT ST, MEMPHIS, TN, 
23128, 1100 SO THIRD ST, MEMPHIS, TN, 
23129, 1100 SOUTH PRESCOTT, MEMPHIS, TN, 
23130, 1100 VAUGHN RD, MEMPHIS, TN, 
23131, 1100 WILL SCARLET RD, MEMPHIS, TN, 
23132, 11100 HIGHWAY 64, MEMPHIS, TN, 
23133, 1200 ALICE, MEMPHIS, TN, 
23134, 1200 BLANCHARD, MEMPHIS, TN, 
23135, 1200 CASENTINO, MEMPHIS, TN, 
23136, 1200 CHARTER OAK DR, MEMPHIS, TN, 
23137, 1200 DEMPSTER, MEMPHIS, TN, 
23138, 1200 E RAINES, MEMPHIS, TN, 
23139, 1200 ELVIS PRESLEY, MEMPHIS, TN, 
23140, 1200 ESPLANADE PL, MEMPHIS, TN, 
23141, 1200 FAXON AVE, MEMPHIS, TN, 
23142, 1200 FINCH DR, MEMPHIS, TN, 
23143, 1200 FINLEY RD, MEMPHIS, TN, 
23144, 1200 HARPETH DR, MEMPHIS, TN, 
23145, 1200 HAYNES ST, MEMPHIS, TN, 
23146, 1200 JOHN A DENIE, MEMPHIS, TN, 
23147, 1200 LEVEE, MEMPHIS, TN, 
23148, 1200 MARCIA RD, MEMPHIS, TN, 
23149, 1200 MISSISSIPPI BLVD, MEMPHIS, TN, 
23150, 1200 MOSBY RD, MEMPHIS, TN, 
23151, 1200 MT MORIAH, MEMPHIS, TN, 
23152, 1200 N EVERGREEN ST, MEMPHIS, TN, 
23153, 1200 N HOLMES ST, MEMPHIS, TN, 
23154, 1200 NORTH PKWY, MEMPHIS, TN, 
23155, 1200 OAKRIDGE DR, MEMPHIS, TN, 
23156, 1200 S PKWY, MEMPHIS, TN, 
23157, 1200 S THIRD ST, MEMPHIS, TN, 
23158, 1200 SOUTH REMBERT, MEMPHIS, TN, 
23159, 1200 VICTOR DR, MEMPHIS, TN, 
