131108, 600 EAST TENNESSEE ST, MEMPHIS, TN, 
131109, 600 EASTBORNE PL, MEMPHIS, TN, 
131110, 600 EASTBOURNE LN, MEMPHIS, TN, 
131111, 600 EASTBOURNE PLACE, MEMPHIS, TN, 
131112, 600 EASTGAGE AVE, MEMPHIS, TN, 
131113, 600 EATING RD, MEMPHIS, TN, 
131114, 600 ECHOLS, MEMPHIS, TN, 
131115, 600 EDITH ST, MEMPHIS, TN, 
131116, 600 EH CRUMP, MEMPHIS, TN, 
131117, 600 EHOLMES RD, MEMPHIS, TN, 
131118, 600 ELLISWORTH, MEMPHIS, TN, 
131119, 600 ELLSWORTH STREET, MEMPHIS, TN, 
131120, 600 EMCKALLER, MEMPHIS, TN, 
131121, 600 EMCLEMORE AVE, MEMPHIS, TN, 
131122, 600 EMERALD VIEW WAY, MEMPHIS, TN, 
131123, 600 EMERALD VIEW, MEMPHIS, TN, 
131124, 600 EPONTATOC, MEMPHIS, TN, 
131125, 600 ERIN AVE, MEMPHIS, TN, 
131126, 600 ERIN DRIVE, MEMPHIS, TN, 
131127, 600 ERWIN DR, MEMPHIS, TN, 
131128, 600 ESAT MALLORY, MEMPHIS, TN, 
131129, 600 ESHELBY, MEMPHIS, TN, 
131130, 600 ESSEX, MEMPHIS, TN, 
131131, 600 ESTRIDGE RD, MEMPHIS, TN, 
131132, 600 ESTRIDGE ST, MEMPHIS, TN, 
131133, 600 ETRIGG AVE, MEMPHIS, TN, 
131134, 600 ETRIGG, MEMPHIS, TN, 
131135, 600 EVERGREEN, MEMPHIS, TN, 
131136, 600 EXCHANGE 1, MEMPHIS, TN, 
131137, 600 EXCHANGE 4, MEMPHIS, TN, 
131138, 600 EXCHANGE APT 4, MEMPHIS, TN, 
131139, 600 EXCHANGE APT 8, MEMPHIS, TN, 
131140, 600 FAIRCHILD, MEMPHIS, TN, 
131141, 600 FEATHER WIND CV, MEMPHIS, TN, 
131142, 600 FEATHERWIND CV N, MEMPHIS, TN, 
131143, 600 FEATHERWOOD CV N, MEMPHIS, TN, 
131144, 600 FERNWOOD ST, MEMPHIS, TN, 
131145, 600 FIFTH STREET, MEMPHIS, TN, 
