45103, JASMINE AND FLOWERING PEACH, MEMPHIS, TN, 
45104, JEFFERSON AND FOURTH, MEMPHIS, TN, 
45105, JEFFERSON AVE, MEMPHIS, TN, 
45106, JESSAMINE AND LAUDERDALE, MEMPHIS, TN, 
45107, JOHNSON AND EASTVIEW, MEMPHIS, TN, 
45108, JOHNSON AND SCOTT, MEMPHIS, TN, 
45109, JOHNSON AND VANDALIA, MEMPHIS, TN, 
45110, JOSEPH AND DECATUR, MEMPHIS, TN, 
45111, JOSEPHINE AND MIDLAND, MEMPHIS, TN, 
45112, JOUBERT AND KANSAS, MEMPHIS, TN, 
45113, JUDY LYNN AND PERKINS, MEMPHIS, TN, 
45114, JW WILLIAMS AND DECATUR, MEMPHIS, TN, 
45115, KANSAS AND BLAIRHUNT, MEMPHIS, TN, 
45116, KANSAS AND DAVANT, MEMPHIS, TN, 
45117, KANSAS AND SILVER AGE, MEMPHIS, TN, 
45118, KANSAS AND W PERSON, MEMPHIS, TN, 
45119, KATE BOND AND DEER TRAIL, MEMPHIS, TN, 
45120, KATHY AND MERLE, MEMPHIS, TN, 
45121, KEARNEY AND HIGHLAND, MEMPHIS, TN, 
45122, KEATING AND SELECT, MEMPHIS, TN, 
45123, KEEL AND CROCKETT, MEMPHIS, TN, 
45124, KEEL AND WOODLAWN, MEMPHIS, TN, 
45125, KELTNER AND CASTALIA, MEMPHIS, TN, 
45126, KELTNER CIR AND CARVER AVE, MEMPHIS, TN, 
45127, KELTNER CIRCLE AND CASTALIA, MEMPHIS, TN, 
45128, KENNER AND LABELLE, MEMPHIS, TN, 
45129, KENT AND CARNES, MEMPHIS, TN, 
45130, KERR AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
45131, KERR AND GREENWOOD, MEMPHIS, TN, 
45132, KERR AND JAMES, MEMPHIS, TN, 
45133, KERR AND MCLEAN, MEMPHIS, TN, 
45134, KERR AND NIESE, MEMPHIS, TN, 
45135, KERR AND PARKWAY, MEMPHIS, TN, 
45136, KERR AND S PKWY E, MEMPHIS, TN, 
45137, KERR AVE AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
45138, KERR AVE AND HEMLOCK ST, MEMPHIS, TN, 
45139, KERWIN AND WORDSWORTH, MEMPHIS, TN, 
45140, KERWOOD AND WINWOOD, MEMPHIS, TN, 
45141, KETCHUM AND PENDLETON ST, MEMPHIS, TN, 
45142, KETCHUM RD AND PENDLETON ST, MEMPHIS, TN, 
45143, KEYSTONE AND OLD ALLEN, MEMPHIS, TN, 
45144, KIMBALL AND ALAMO, MEMPHIS, TN, 
45145, KIMBALL AND ROBIN HOOD, MEMPHIS, TN, 
45146, KIMBALL AND ROBINHOOD, MEMPHIS, TN, 
45147, KINGS BAY AND KINGS HORN, MEMPHIS, TN, 
45148, KINGSBAY AND KINGSPORT, MEMPHIS, TN, 
45149, KIPPLEY AND PERSHING, MEMPHIS, TN, 
45150, KIRBY AND POPLAR, MEMPHIS, TN, 
45151, KIRBY HIGH SCHOOL, MEMPHIS, TN, 
45152, KIRBY PKWY AND 385, MEMPHIS, TN, 
45153, KIRBY PKWY AND DEER FOREST, MEMPHIS, TN, 
