16108, 1200 MARLIN, MEMPHIS, TN, 
16109, 1200 N GRAHAM, MEMPHIS, TN, 
16110, 1200 NORA RD, MEMPHIS, TN, 
16111, 1200 RAILTON RD, MEMPHIS, TN, 
16112, 1200 SYLVAN, MEMPHIS, TN, 
16113, 1200 VICKERY LN, MEMPHIS, TN, 
16114, 1200 W PERKINS, MEMPHIS, TN, 
16115, 1300 CARROLTON, MEMPHIS, TN, 
16116, 1300 COLONIAL, MEMPHIS, TN, 
16117, 1300 DARLOW, MEMPHIS, TN, 
16118, 1300 DAVID, MEMPHIS, TN, 
16119, 1300 E BROOKS, MEMPHIS, TN, 
16120, 1300 EASON AVE, MEMPHIS, TN, 
16121, 1300 ELKWOOD ST, MEMPHIS, TN, 
16122, 1300 HOLLIDAY ST, MEMPHIS, TN, 
16123, 1300 KERR AVE, MEMPHIS, TN, 
16124, 1300 LABRADOR LN, MEMPHIS, TN, 
16125, 1300 PEACH, MEMPHIS, TN, 
16126, 1300 PRESCOTT, MEMPHIS, TN, 
16127, 1300 RICHLAND DR, MEMPHIS, TN, 
16128, 1300 S THIRD, MEMPHIS, TN, 
16129, 1300 TAHOE RD, MEMPHIS, TN, 
16130, 1400 BREEDLOVE ST, MEMPHIS, TN, 
16131, 1400 CLEMETINE, MEMPHIS, TN, 
16132, 1400 DOGWOOD, MEMPHIS, TN, 
16133, 1400 EASTMORELAND AVE, MEMPHIS, TN, 
16134, 1400 ISABELLE ST, MEMPHIS, TN, 
16135, 1400 MAY ST, MEMPHIS, TN, 
16136, 1400 N FARONIA, MEMPHIS, TN, 
16137, 1400 N HOLLYWOOD ST, MEMPHIS, TN, 
16138, 1400 OAK, MEMPHIS, TN, 
16139, 1400 OLD HICKORY, MEMPHIS, TN, 
16140, 1400 ORGILL AVE, MEMPHIS, TN, 
16141, 1400 ROSECLIFF, MEMPHIS, TN, 
16142, 1400 RUTLAND, MEMPHIS, TN, 
16143, 1400 SOUTH BELLEVUE BLVD, MEMPHIS, TN, 
16144, 1400 SPRINGBROOK DR, MEMPHIS, TN, 
16145, 1400 SPRINGDALE ST, MEMPHIS, TN, 
16146, 1400 STAGE AVE, MEMPHIS, TN, 
16147, 1400 STERN LN, MEMPHIS, TN, 
16148, 1400 TERRANCE LN, MEMPHIS, TN, 
16149, 1400 VICTOR DR, MEMPHIS, TN, 
16150, 1400 WEDGEWOOD, MEMPHIS, TN, 
16151, 1400 WEINER RD, MEMPHIS, TN, 
16152, 1500 BIRCH BEND RD, MEMPHIS, TN, 
16153, 1500 BLUEBERRY, MEMPHIS, TN, 
16154, 1500 DUNMOOR, MEMPHIS, TN, 
16155, 1500 EASTMORELAND, MEMPHIS, TN, 
16156, 1500 ELY, MEMPHIS, TN, 
16157, 1500 ESTATE, MEMPHIS, TN, 
16158, 1500 GABAY, MEMPHIS, TN, 
16159, 1500 MAPLEWOOD ST, MEMPHIS, TN, 
16160, 1500 S BARKSDALE, MEMPHIS, TN, 
16161, 1500 S PKWY, MEMPHIS, TN, 
16162, 1500 S WILLET, MEMPHIS, TN, 
16163, 1500 SINGING TREES, MEMPHIS, TN, 
16164, 1500 ST CHARLES CV, MEMPHIS, TN, 
16165, 1500 SYDNEY, MEMPHIS, TN, 
16166, 1500 WHITEWATER, MEMPHIS, TN, 
16167, 1500 ZELIN ST, MEMPHIS, TN, 
16168, 1600 BONNIE, MEMPHIS, TN, 
16169, 1600 ELLSWORTH ST, MEMPHIS, TN, 
16170, 1600 FIELDS, MEMPHIS, TN, 
16171, 1600 LIVEWELL CIR, MEMPHIS, TN, 
16172, 1600 MARJORIE ST, MEMPHIS, TN, 
16173, 1600 MONSARRAT ST, MEMPHIS, TN, 
16174, 1600 OAKWOOD DR, MEMPHIS, TN, 
16175, 1600 ORR ST, MEMPHIS, TN, 
16176, 1600 PENNSLYVANIA, MEMPHIS, TN, 
16177, 1600 S WILLETT, MEMPHIS, TN, 
16178, 1600 SOUTHERN AVE, MEMPHIS, TN, 
16179, 1600 STRIBBLING, MEMPHIS, TN, 
16180, 1600 SYCAMOREVIEW, MEMPHIS, TN, 
16181, 1600 WELSH RD, MEMPHIS, TN, 
16182, 1600 WILLIS ST, MEMPHIS, TN, 
16183, 1700 CAMERON ST, MEMPHIS, TN, 
16184, 1700 CLEOFORD, MEMPHIS, TN, 
16185, 1700 DUKE ST, MEMPHIS, TN, 
16186, 1700 ECHLES ST, MEMPHIS, TN, 
16187, 1700 HUNTERS TRACE, MEMPHIS, TN, 
16188, 1700 LOCUST ST, MEMPHIS, TN, 
16189, 1700 NELSON AVE, MEMPHIS, TN, 
16190, 1700 NORTH GERMANTOWN, MEMPHIS, TN, 
16191, 1700 OBERLE RD, MEMPHIS, TN, 
16192, 1700 ROBINHOOD LN, MEMPHIS, TN, 
16193, 1700 RUSSWOOD RD, MEMPHIS, TN, 
16194, 1700 SAILORS ST, MEMPHIS, TN, 
16195, 1700 SEA ISLE RD, MEMPHIS, TN, 
16196, 1700 SOUTH ORLEANS, MEMPHIS, TN, 
16197, 1700 STEVE CV, MEMPHIS, TN, 
16198, 1700 WHITEWATER, MEMPHIS, TN, 
16199, 1700 WINDWAY, MEMPHIS, TN, 
16200, 1800 1ST GREEN, MEMPHIS, TN, 
16201, 1800 CHEROKEE, MEMPHIS, TN, 
16202, 1800 CHERRY RD, MEMPHIS, TN, 
16203, 1800 DEXTER OAKS LN, MEMPHIS, TN, 
16204, 1800 FIRST GREEN DR, MEMPHIS, TN, 
16205, 1800 KINGSVIEW, MEMPHIS, TN, 
16206, 1800 LABELLE, MEMPHIS, TN, 
16207, 1800 MACAULAY AVE, MEMPHIS, TN, 
16208, 1800 MARY, MEMPHIS, TN, 
16209, 1800 MILLBRANCH PARK SOUTH, MEMPHIS, TN, 
16210, 1800 OBERLE, MEMPHIS, TN, 
16211, 1800 PIPING ROCK RD, MEMPHIS, TN, 
16212, 1800 ROLLING HILLS, MEMPHIS, TN, 
16213, 1800 S BARKSDALE, MEMPHIS, TN, 
16214, 1800 SINGING TREE, MEMPHIS, TN, 
16215, 1900 2ND CV, MEMPHIS, TN, 
16216, 1900 ALCY, MEMPHIS, TN, 
16217, 1900 CT, MEMPHIS, TN, 
16218, 1900 ELDORADO, MEMPHIS, TN, 
