8114, 2100 WHITTEN RD, MEMPHIS, TN, 
8115, 2100 WOODEN HEART CT, MEMPHIS, TN, 
8116, 2200 CT AVE, MEMPHIS, TN, 
8117, 2200 GREEN GRASS CV, MEMPHIS, TN, 
8118, 2200 WILSON, MEMPHIS, TN, 
8119, 2300 CENTRAL AVE, MEMPHIS, TN, 
8120, 2400 BRIDGEPORT, MEMPHIS, TN, 
8121, 2400 LONGSTREET DR, MEMPHIS, TN, 
8122, 2400 UNION AVE, MEMPHIS, TN, 
8123, 2500 DEADRICK AVE, MEMPHIS, TN, 
8124, 2500 LOWELL AVE, MEMPHIS, TN, 
8125, 2500 RAMMESSES, MEMPHIS, TN, 
8126, 2500 TWAIN, MEMPHIS, TN, 
8127, 2500 VOLLINTINE, MEMPHIS, TN, 
8128, 2600 BETHLEHAM, MEMPHIS, TN, 
8129, 2600 LAGENA, MEMPHIS, TN, 
8130, 2600 N HOLLYWOOD, MEMPHIS, TN, 
8131, 2600 OGDEN, MEMPHIS, TN, 
8132, 2600 PERSHING, MEMPHIS, TN, 
8133, 2600 RAMMESSES, MEMPHIS, TN, 
8134, 2700 CARNES AVE, MEMPHIS, TN, 
8135, 2700 DEADRICK AVE, MEMPHIS, TN, 
8136, 2700 DUNN AVE, MEMPHIS, TN, 
8137, 2700 FELIX, MEMPHIS, TN, 
8138, 2700 MCMURRAY, MEMPHIS, TN, 
8139, 2700 SUPREME AVE, MEMPHIS, TN, 
8140, 2700 WELLONS, MEMPHIS, TN, 
8141, 2800 CRACKLEROSE, MEMPHIS, TN, 
8142, 2800 DUNN, MEMPHIS, TN, 
8143, 2800 HIDDEN ARBOR CT, MEMPHIS, TN, 
8144, 2800 MARGOT, MEMPHIS, TN, 
8145, 2900 HICKORY HILL ROAD, MEMPHIS, TN, 
8146, 2900 PENDLETON, MEMPHIS, TN, 
8147, 2900 SOUTH MENDENHALL, MEMPHIS, TN, 
8148, 2900 TREEBROOK WAY, MEMPHIS, TN, 
8149, 300 HONDURAS, MEMPHIS, TN, 
8150, 300 MANASSAS, MEMPHIS, TN, 
8151, 300 MCLEMORE, MEMPHIS, TN, 
8152, 300 RICHMOND, MEMPHIS, TN, 
8153, 300 S FRONT ST, MEMPHIS, TN, 
8154, 300 W WALDORF, MEMPHIS, TN, 
8155, 3000 BASSWOOD, MEMPHIS, TN, 
8156, 3000 LAKE PARK RD, MEMPHIS, TN, 
8157, 3100 BEAUCHAMP, MEMPHIS, TN, 
8158, 3100 ELGIN, MEMPHIS, TN, 
8159, 3100 FORD, MEMPHIS, TN, 
8160, 3100 LOUNETTE, MEMPHIS, TN, 
8161, 3100 PARHAM, MEMPHIS, TN, 
8162, 3100 SANDBROOK, MEMPHIS, TN, 
8163, 3200 AUTUMNWOOD, MEMPHIS, TN, 
8164, 3200 COLEMAN AVE, MEMPHIS, TN, 
8165, 3200 HARVESTER LN, MEMPHIS, TN, 
8166, 3200 KIMBALL, MEMPHIS, TN, 
8167, 3200 ORANGE LEAF CT, MEMPHIS, TN, 
8168, 3300 BENJESTOWN, MEMPHIS, TN, 
8169, 3300 CANYON, MEMPHIS, TN, 
8170, 3300 DOUGLASS, MEMPHIS, TN, 
8171, 3300 FLOWER VALLEY, MEMPHIS, TN, 
8172, 3300 GRENOBLE LN, MEMPHIS, TN, 
8173, 3300 MORNINGVIEW DR, MEMPHIS, TN, 
8174, 3300 PALACE GREEN, MEMPHIS, TN, 
8175, 3300 S PERKINS RD, MEMPHIS, TN, 
8176, 3400 BARRON, MEMPHIS, TN, 
8177, 3400 CASTLEMAN, MEMPHIS, TN, 
8178, 3400 CREIGHTON AVE, MEMPHIS, TN, 
8179, 3400 GRAVES, MEMPHIS, TN, 
8180, 3400 PETOSKY, MEMPHIS, TN, 
8181, 3400 RINEY, MEMPHIS, TN, 
8182, 3400 S 3RD, MEMPHIS, TN, 
8183, 3500 COLEMAN AVE, MEMPHIS, TN, 
8184, 3500 PHILSDALE, MEMPHIS, TN, 
8185, 3500 SEALY, MEMPHIS, TN, 
8186, 3600 POWERS, MEMPHIS, TN, 
8187, 3600 RHODES, MEMPHIS, TN, 
8188, 3600 ROCKWOOD AVE, MEMPHIS, TN, 
8189, 3600 WINGOOD, MEMPHIS, TN, 
8190, 3700 BELLBRANCH, MEMPHIS, TN, 
8191, 3700 OLD GETWELL, MEMPHIS, TN, 
8192, 3700 WEST CHANTREY, MEMPHIS, TN, 
8193, 3800 CLARKE RD, MEMPHIS, TN, 
8194, 3800 HILLRIDGE, MEMPHIS, TN, 
8195, 3800 IRONWOOD DR, MEMPHIS, TN, 
8196, 3800 MOUNTAIN TERRACE, MEMPHIS, TN, 
8197, 3800 ROYAL WOOD, MEMPHIS, TN, 
8198, 3800 SPOTTSWOOD, MEMPHIS, TN, 
8199, 3800 TCHULAHOMA, MEMPHIS, TN, 
8200, 3900 BARRON, MEMPHIS, TN, 
8201, 3900 BRANDY, MEMPHIS, TN, 
8202, 3900 CAZASSA, MEMPHIS, TN, 
8203, 3900 HOLMAN, MEMPHIS, TN, 
8204, 3900 MCCAIN, MEMPHIS, TN, 
8205, 3900 WALSINGHAM, MEMPHIS, TN, 
8206, 3900 WILSHIRE, MEMPHIS, TN, 
8207, 400 E OLIVE, MEMPHIS, TN, 
8208, 400 ELDER, MEMPHIS, TN, 
8209, 400 S SECOND, MEMPHIS, TN, 
8210, 400 W JOHNSON CIR, MEMPHIS, TN, 
8211, 400 WALKER AVE, MEMPHIS, TN, 
8212, 4000 HEDGEROW, MEMPHIS, TN, 
8213, 4000 LAURA SPRINGS DR, MEMPHIS, TN, 
8214, 4000 MICHAEL, MEMPHIS, TN, 
8215, 4000 ROSS RD, MEMPHIS, TN, 
