15113, 700 MARIANNA ST, MEMPHIS, TN, 
15114, 700 MONROE AVE, MEMPHIS, TN, 
15115, 700 N DUNLAP ST, MEMPHIS, TN, 
15116, 700 N GRAHAM, MEMPHIS, TN, 
15117, 700 N MENDENHALL RD, MEMPHIS, TN, 
15118, 700 PEARCE ST, MEMPHIS, TN, 
15119, 700 S GRAHAM, MEMPHIS, TN, 
15120, 700 S PKWY, MEMPHIS, TN, 
15121, 700 S SOMERVILLE, MEMPHIS, TN, 
15122, 700 SAINT PAUL, MEMPHIS, TN, 
15123, 700 ST JUDE PLACE, MEMPHIS, TN, 
15124, 7000 DUSTY TRAIL LN, MEMPHIS, TN, 
15125, 7000 STAGE, MEMPHIS, TN, 
15126, 7100 HILLSHIRE DR, MEMPHIS, TN, 
15127, 7200 APPLING FARMS PKWY, MEMPHIS, TN, 
15128, 7400 BARNSTABLE, MEMPHIS, TN, 
15129, 7400 HOLLORN LN, MEMPHIS, TN, 
15130, 7900 RAQUETBALL LN, MEMPHIS, TN, 
15131, 800 BROWER ST, MEMPHIS, TN, 
15132, 800 CLAYBROOK, MEMPHIS, TN, 
15133, 800 DOTBERRY, MEMPHIS, TN, 
15134, 800 E CRUMP, MEMPHIS, TN, 
15135, 800 E EH CRUMP BLVD, MEMPHIS, TN, 
15136, 800 EDITH AVE, MEMPHIS, TN, 
15137, 800 GOODWYN ST, MEMPHIS, TN, 
15138, 800 HONDURAS, MEMPHIS, TN, 
15139, 800 IVY, MEMPHIS, TN, 
15140, 800 LAUDERDALE, MEMPHIS, TN, 
15141, 800 N MERTON ST, MEMPHIS, TN, 
15142, 800 N WILLET, MEMPHIS, TN, 
15143, 800 PEARCE ST, MEMPHIS, TN, 
15144, 800 RAIN DANCE WAY, MEMPHIS, TN, 
15145, 800 RAINES RD, MEMPHIS, TN, 
15146, 800 REGENT PL, MEMPHIS, TN, 
15147, 800 S PARKWAY E, MEMPHIS, TN, 
15148, 800 S PRESCOTT ST, MEMPHIS, TN, 
15149, 800 STAGE, MEMPHIS, TN, 
15150, 800 WATKINS, MEMPHIS, TN, 
15151, 800 WEST DR, MEMPHIS, TN, 
15152, 8100 HWY 64, MEMPHIS, TN, 
15153, 8100 WINDBREAK RD, MEMPHIS, TN, 
15154, 8100 WINDBREAK, MEMPHIS, TN, 
15155, 8200 COUNTRY VILLAGE DR, MEMPHIS, TN, 
15156, 8200 MACON, MEMPHIS, TN, 
15157, 8300 ROCKCREEK PLACE, MEMPHIS, TN, 
15158, 8500 CREEK FRONT DR, MEMPHIS, TN, 
15159, 8700 CHIMNEY ROCK, MEMPHIS, TN, 
15160, 900 CARSON ST, MEMPHIS, TN, 
15161, 900 CREEKSIDE DR, MEMPHIS, TN, 
15162, 900 E PERSON, MEMPHIS, TN, 
15163, 900 EAST ST, MEMPHIS, TN, 
15164, 900 HAWTHORNE, MEMPHIS, TN, 
15165, 900 MANSFIELD, MEMPHIS, TN, 
15166, 900 N 7TH ST, MEMPHIS, TN, 
15167, 900 N SECOND ST, MEMPHIS, TN, 
15168, 900 PROVINE AVE, MEMPHIS, TN, 
15169, 900 RESTBROOK AVE, MEMPHIS, TN, 
15170, 900 S FOURTH ST, MEMPHIS, TN, 
15171, 900 THOMAS BLVD, MEMPHIS, TN, 
15172, 900 WATSON, MEMPHIS, TN, 
15173, 900 WELLINGTON, MEMPHIS, TN, 
15174, ADAMS AND FOURTH, MEMPHIS, TN, 
15175, BARRON AND HAYNES, MEMPHIS, TN, 
15176, BEALE AND 3RD, MEMPHIS, TN, 
