100104, 2800 IMOGENE RD, MEMPHIS, TN, 
100105, 2800 IRAQUOIS, MEMPHIS, TN, 
100106, 2800 IROQUIOIS RD, MEMPHIS, TN, 
100107, 2800 IROQUOIS AVE, MEMPHIS, TN, 
100108, 2800 JASMINE CIRCLE, MEMPHIS, TN, 
100109, 2800 JAVA CV, MEMPHIS, TN, 
100110, 2800 JAVA DRIVE, MEMPHIS, TN, 
100111, 2800 JAVA RD, MEMPHIS, TN, 
100112, 2800 JEFFERY DR, MEMPHIS, TN, 
100113, 2800 JEFFERY ST, MEMPHIS, TN, 
100114, 2800 JEFFREY RD, MEMPHIS, TN, 
100115, 2800 JEFFRY, MEMPHIS, TN, 
100116, 2800 JOHN SIGHT, MEMPHIS, TN, 
100117, 2800 JOHN SIKE, MEMPHIS, TN, 
100118, 2800 JOHN SIKES #1, MEMPHIS, TN, 
100119, 2800 JOHN SIKES DR #4, MEMPHIS, TN, 
100120, 2800 JOHN SIKES DRN, MEMPHIS, TN, 
100121, 2800 JOHN SIKES LN, MEMPHIS, TN, 
100122, 2800 JOHN SKYES, MEMPHIS, TN, 
100123, 2800 JOHN SYKE, MEMPHIS, TN, 
100124, 2800 JOHN SYKES #2, MEMPHIS, TN, 
100125, 2800 JOLSEN, MEMPHIS, TN, 
100126, 2800 JOLSON RD, MEMPHIS, TN, 
100127, 2800 JOLSTON, MEMPHIS, TN, 
100128, 2800 JOULSON AVE, MEMPHIS, TN, 
100129, 2800 JOY LN, MEMPHIS, TN, 
100130, 2800 JUANITA AIR W, MEMPHIS, TN, 
100131, 2800 JUANITA CIR W, MEMPHIS, TN, 
100132, 2800 JUANITA WEST, MEMPHIS, TN, 
100133, 2800 JULANN DR, MEMPHIS, TN, 
100134, 2800 K IRBY WHITTEN, MEMPHIS, TN, 
100135, 2800 KATE BOND ELEM, MEMPHIS, TN, 
100136, 2800 KATE BOND RDF, MEMPHIS, TN, 
100137, 2800 KATE BOND ST, MEMPHIS, TN, 
100138, 2800 KATE BONDS RD, MEMPHIS, TN, 
100139, 2800 KELMSCOT CV, MEMPHIS, TN, 
100140, 2800 KENDAL, MEMPHIS, TN, 
100141, 2800 KENDALL LN, MEMPHIS, TN, 
100142, 2800 KENDALL RD, MEMPHIS, TN, 
100143, 2800 KENNETH CV, MEMPHIS, TN, 
100144, 2800 KETCHUM #1, MEMPHIS, TN, 
100145, 2800 KETCHUM #15, MEMPHIS, TN, 
100146, 2800 KETCHUM #16 ST, MEMPHIS, TN, 
100147, 2800 KETCHUM #3, MEMPHIS, TN, 
100148, 2800 KETCHUM #4, MEMPHIS, TN, 
100149, 2800 KETCHUM #5, MEMPHIS, TN, 
100150, 2800 KETCHUM #6, MEMPHIS, TN, 
100151, 2800 KETCHUM 11, MEMPHIS, TN, 
100152, 2800 KETCHUM 12, MEMPHIS, TN, 
100153, 2800 KETCHUM 2, MEMPHIS, TN, 
100154, 2800 KETCHUM 6, MEMPHIS, TN, 
100155, 2800 KETCHUM 8, MEMPHIS, TN, 
100156, 2800 KETCHUM APT 3, MEMPHIS, TN, 
100157, 2800 KETCHUM APT 4, MEMPHIS, TN, 
