6115, 2300 SHARON LN, MEMPHIS, TN, 
6116, 2400 HILLSIDE, MEMPHIS, TN, 
6117, 2400 PECAN CIRCLE, MEMPHIS, TN, 
6118, 2400 WARREN ST, MEMPHIS, TN, 
6119, 2500 PECAN CIRCLE, MEMPHIS, TN, 
6120, 2600 CHATTERING LN, MEMPHIS, TN, 
6121, 2600 NORTH UMBERLAND, MEMPHIS, TN, 
6122, 2600 SPARKS, MEMPHIS, TN, 
6123, 2700 ENTERPRISE, MEMPHIS, TN, 
6124, 2700 JACKSON, MEMPHIS, TN, 
6125, 2800 BEECHMONT, MEMPHIS, TN, 
6126, 2800 CASTLEMAN, MEMPHIS, TN, 
6127, 2800 HARMON CREST, MEMPHIS, TN, 
6128, 2800 W HICKORY BLUFF, MEMPHIS, TN, 
6129, 2900 BEVERLY HILL, MEMPHIS, TN, 
6130, 2900 GETWELL RD, MEMPHIS, TN, 
6131, 2900 LAMB PL, MEMPHIS, TN, 
6132, 2900 PUTTING GREEN, MEMPHIS, TN, 
6133, 300 BERTHA, MEMPHIS, TN, 
6134, 300 CEDAR, MEMPHIS, TN, 
6135, 300 EAST RED OAK, MEMPHIS, TN, 
6136, 300 ELDER RD, MEMPHIS, TN, 
6137, 300 FLYNN, MEMPHIS, TN, 
6138, 300 KOLMAR, MEMPHIS, TN, 
6139, 3000 AUSTIN PEAY HWY, MEMPHIS, TN, 
6140, 3000 KNIGHT RD, MEMPHIS, TN, 
6141, 3000 LAKERUN CIR, MEMPHIS, TN, 
6142, 3000 WEDGE CV, MEMPHIS, TN, 
6143, 3100 AUTUMN CIR, MEMPHIS, TN, 
6144, 3100 CHRISTINE, MEMPHIS, TN, 
6145, 3100 ESTES, MEMPHIS, TN, 
6146, 3200 ELVIS PRESLEY, MEMPHIS, TN, 
6147, 3200 FOREST GLEN, MEMPHIS, TN, 
6148, 3200 S 3RD ST, MEMPHIS, TN, 
6149, 3200 TULIP POPLAR DR, MEMPHIS, TN, 
6150, 3200 WRIGHT PLACE, MEMPHIS, TN, 
6151, 3300 ALLISON, MEMPHIS, TN, 
6152, 3300 CLEARBROOK, MEMPHIS, TN, 
6153, 3300 N WOODLAKE CIR, MEMPHIS, TN, 
6154, 3300 ROYAL KNIGHT DR, MEMPHIS, TN, 
6155, 3300 STANDARD, MEMPHIS, TN, 
6156, 3300 VALLEY STREAM CV, MEMPHIS, TN, 
6157, 3400 BEREA, MEMPHIS, TN, 
6158, 3400 BESTWAY DR, MEMPHIS, TN, 
6159, 3400 CRISTIL ST, MEMPHIS, TN, 
6160, 3400 HICKORY VIEW PLACE, MEMPHIS, TN, 
6161, 3400 KIRBY RD, MEMPHIS, TN, 
6162, 3400 ZOYSIA DR, MEMPHIS, TN, 
6163, 3500 BLUEBERRY HILL, MEMPHIS, TN, 
6164, 3500 KNIGHT, MEMPHIS, TN, 
6165, 3500 PRYOR, MEMPHIS, TN, 
6166, 3500 RENAULT, MEMPHIS, TN, 
6167, 3600 N WATKINS, MEMPHIS, TN, 
