83111, 1200 SEMMES#4, MEMPHIS, TN, 
83112, 1200 SEMMS, MEMPHIS, TN, 
83113, 1200 SEVERSON AVE 116, MEMPHIS, TN, 
83114, 1200 SEVERSON RD, MEMPHIS, TN, 
83115, 1200 SEVERSON, APT 116, MEMPHIS, TN, 
83116, 1200 SHADOWLAWN DR, MEMPHIS, TN, 
83117, 1200 SHADOWLAWN, MEMPHIS, TN, 
83118, 1200 SHALLOWLINE, MEMPHIS, TN, 
83119, 1200 SHELBY D RD, MEMPHIS, TN, 
83120, 1200 SHELBY DR-SOUTHLAND MALL, MEMPHIS, TN, 
83121, 1200 SHELBY DRIVE, MEMPHIS, TN, 
83122, 1200 SHELBY GM DIAMONDS, MEMPHIS, TN, 
83123, 1200 SHIRLEY, MEMPHIS, TN, 
83124, 1200 SLEDGE #5, MEMPHIS, TN, 
83125, 1200 SLEDGE APT 2, MEMPHIS, TN, 
83126, 1200 SMITH AVE., MEMPHIS, TN, 
83127, 1200 SO FOURTH ST, MEMPHIS, TN, 
83128, 1200 SO FOURTH, MEMPHIS, TN, 
83129, 1200 SO PRESCOTT, MEMPHIS, TN, 
83130, 1200 SORLEANS, MEMPHIS, TN, 
83131, 1200 SOTH BELLEVUE, MEMPHIS, TN, 
83132, 1200 SOULTHLAND MALL, MEMPHIS, TN, 
83133, 1200 SOUTH 4TH, MEMPHIS, TN, 
83134, 1200 SOUTH BARKSDALES, MEMPHIS, TN, 
83135, 1200 SOUTH BELEVUE, MEMPHIS, TN, 
83136, 1200 SOUTH BELLEVUE AVE, MEMPHIS, TN, 
83137, 1200 SOUTH BELLUVUE, MEMPHIS, TN, 
83138, 1200 SOUTH COOPER #17, MEMPHIS, TN, 
83139, 1200 SOUTH COPPER ST, MEMPHIS, TN, 
83140, 1200 SOUTH FLORIDA ST, MEMPHIS, TN, 
83141, 1200 SOUTH FLORIDA, MEMPHIS, TN, 
83142, 1200 SOUTH FOURTH ST, MEMPHIS, TN, 
83143, 1200 SOUTH HIGHLAND ST, MEMPHIS, TN, 
83144, 1200 SOUTH ORLEANS ST, MEMPHIS, TN, 
83145, 1200 SOUTH ORLEANS STREET, MEMPHIS, TN, 
83146, 1200 SOUTH ORLENS, MEMPHIS, TN, 
83147, 1200 SOUTH PARKWAY AVE, MEMPHIS, TN, 
83148, 1200 SOUTH PKWY ROOM #110, MEMPHIS, TN, 
83149, 1200 SOUTH THIRD ST, MEMPHIS, TN, 
83150, 1200 SOUTH THRID, MEMPHIS, TN, 
83151, 1200 SOUTH WILLETT ST, MEMPHIS, TN, 
83152, 1200 SOUTHLAND MALL ST, MEMPHIS, TN, 
83153, 1200 SOUUTH BELLEVUE, MEMPHIS, TN, 
83154, 1200 SPARKWAY AVE, MEMPHIS, TN, 
83155, 1200 SPARKWAY E, MEMPHIS, TN, 
83156, 1200 SPEED ST, MEMPHIS, TN, 
83157, 1200 SPOTTSWOODS, MEMPHIS, TN, 
83158, 1200 SPRINDDALE, MEMPHIS, TN, 
83159, 1200 SPRINGDALE 3, MEMPHIS, TN, 
83160, 1200 SPRINGDALE RD, MEMPHIS, TN, 
83161, 1200 ST VINCENT PL, MEMPHIS, TN, 
83162, 1200 STELLA, MEMPHIS, TN, 
83163, 1200 STEVENS, MEMPHIS, TN, 
83164, 1200 STEVENSON, MEMPHIS, TN, 
83165, 1200 STEVERSON, MEMPHIS, TN, 
83166, 1200 STHIRD, MEMPHIS, TN, 
83167, 1200 SUNNYFIELD CV AND CHUCK AVE, MEMPHIS, TN, 
83168, 1200 SWELLINGTON ST, MEMPHIS, TN, 
83169, 1200 SWHITESTATION, MEMPHIS, TN, 
83170, 1200 SYCAMORE VIEW RD AND SHELBY OAKS RD, MEMPHIS, TN, 
83171, 1200 TALLY PL, MEMPHIS, TN, 
83172, 1200 TANGELWOOD, MEMPHIS, TN, 
83173, 1200 TATUM RD, MEMPHIS, TN, 
83174, 1200 TATUM, MEMPHIS, TN, 
83175, 1200 TERRY CIR, MEMPHIS, TN, 
83176, 1200 THIRD ST, MEMPHIS, TN, 
83177, 1200 TRAPPERS CV, MEMPHIS, TN, 
83178, 1200 TULIP AVE, MEMPHIS, TN, 
83179, 1200 TULSA, MEMPHIS, TN, 
83180, 1200 TUNIC, MEMPHIS, TN, 
83181, 1200 TUNICA APT 3, MEMPHIS, TN, 
83182, 1200 TUNICA APT A, MEMPHIS, TN, 
83183, 1200 TUNICA APT C, MEMPHIS, TN, 
83184, 1200 TUNICA APT D, MEMPHIS, TN, 
83185, 1200 TUNICA C, MEMPHIS, TN, 
83186, 1200 TUPALO, MEMPHIS, TN, 
83187, 1200 TUPELL, MEMPHIS, TN, 
83188, 1200 TURKEY RUN, MEMPHIS, TN, 
83189, 1200 TUSTALL, MEMPHIS, TN, 
83190, 1200 TUTWEILER ST, MEMPHIS, TN, 
83191, 1200 TUTWILER RD, MEMPHIS, TN, 
83192, 1200 TUTWILER ST, MEMPHIS, TN, 
83193, 1200 TUTWILERD 3, MEMPHIS, TN, 
83194, 1200 TUTWILLER AVE, MEMPHIS, TN, 
83195, 1200 TUTWILLER, MEMPHIS, TN, 
83196, 1200 TWIN LAKES, MEMPHIS, TN, 
83197, 1200 TYLA, MEMPHIS, TN, 
83198, 1200 UNION AVE # 225, MEMPHIS, TN, 
83199, 1200 UNION AVE APT 302, MEMPHIS, TN, 
83200, 1200 UNION AVE RM234, MEMPHIS, TN, 
83201, 1200 UNIVERSITY 5, MEMPHIS, TN, 
83202, 1200 VANCE #1, MEMPHIS, TN, 
83203, 1200 VANCE 103, MEMPHIS, TN, 
83204, 1200 VANCE 5, MEMPHIS, TN, 
83205, 1200 VANCE RD, MEMPHIS, TN, 
83206, 1200 VAUGHN AVE, MEMPHIS, TN, 
83207, 1200 VERA CRUZ ST, MEMPHIS, TN, 
83208, 1200 VERALIA, MEMPHIS, TN, 
83209, 1200 VERNON CVE, MEMPHIS, TN, 
83210, 1200 VICKERY LN #101, MEMPHIS, TN, 
83211, 1200 VICKERY LN, STE 200, MEMPHIS, TN, 
83212, 1200 VICKORY LN, MEMPHIS, TN, 
83213, 1200 VICTOR ST, MEMPHIS, TN, 
83214, 1200 VICTORY LN, MEMPHIS, TN, 
83215, 1200 VOLENTINE, MEMPHIS, TN, 
83216, 1200 VOLINTINE AVE, MEMPHIS, TN, 
83217, 1200 VOLLILTINE, MEMPHIS, TN, 
83218, 1200 VOLLINTIN, MEMPHIS, TN, 
83219, 1200 VOLLITINE, MEMPHIS, TN, 
83220, 1200 W CRESTWOOD DR, MEMPHIS, TN, 
83221, 1200 W HOLMES RD, MEMPHIS, TN, 
83222, 1200 W HOLMES RED, MEMPHIS, TN, 
83223, 1200 W LEXINGTON CR AVE, MEMPHIS, TN, 
83224, 1200 W LEXINGTON CR ST, MEMPHIS, TN, 
83225, 1200 W LEXINGTON ST, MEMPHIS, TN, 
83226, 1200 W LEXINGTON, MEMPHIS, TN, 
83227, 1200 W LEXINTON CIRCLE, MEMPHIS, TN, 
83228, 1200 W MCLEMORE, MEMPHIS, TN, 
83229, 1200 W NATCHEZ POINT, MEMPHIS, TN, 
83230, 1200 W RAINES RD, MEMPHIS, TN, 
83231, 1200 W RANES RD, MEMPHIS, TN, 
83232, 1200 W SHELBY, MEMPHIS, TN, 
83233, 1200 W WEST CRESTWOOD, MEMPHIS, TN, 
83234, 1200 WALKER AVENUE, MEMPHIS, TN, 
83235, 1200 WARFORD AVE, MEMPHIS, TN, 
83236, 1200 WARFORD STREET, MEMPHIS, TN, 
