11111, DELANO AND WATKINS, MEMPHIS, TN, 
11112, DELLWOOD AND WATKINS, MEMPHIS, TN, 
11113, ELVIS PRESLEY AND FERGUSON, MEMPHIS, TN, 
11114, HEARD AND OAKWOOD, MEMPHIS, TN, 
11115, HOLLYWOOD AND STATEN, MEMPHIS, TN, 
11116, I-240 AND NORRIS RD, MEMPHIS, TN, 
11117, I-40 AND WATKINS, MEMPHIS, TN, 
11118, I240 AND POPLAR, MEMPHIS, TN, 
11119, JACKSON AND MONTGOMERY, MEMPHIS, TN, 
11120, KNIGHT ARNOLD AND CLEARBROOK, MEMPHIS, TN, 
11121, KNIGHT ARNOLD AND KIRBY PKWY, MEMPHIS, TN, 
11122, LAUDERDALE AND DISON, MEMPHIS, TN, 
11123, LINDEN AND THIRD, MEMPHIS, TN, 
11124, LOONEY AND DUNLAP, MEMPHIS, TN, 
11125, PONTOTOC AND HERNANDO, MEMPHIS, TN, 
11126, PORTER AND WILLIAMS, MEMPHIS, TN, 
11127, RAMILL AND YALE, MEMPHIS, TN, 
11128, RANGELINE AND FRAYSER, MEMPHIS, TN, 
11129, SAM COOPER AND GRAHAM, MEMPHIS, TN, 
11130, SECOND AND MADISON, MEMPHIS, TN, 
11131, SPOTTSWOOD AND PRESCOTT, MEMPHIS, TN, 
11132, SPRINGDALE AND CHELSEA, MEMPHIS, TN, 
11133, SUMMER AND SYCAMORE VIEW, MEMPHIS, TN, 
11134, WARFORD AND JAMES, MEMPHIS, TN, 
11135, WATKINS AND WHITNEY, MEMPHIS, TN, 
11136, WHITNEY AND STEELE, MEMPHIS, TN, 
11137, 100 BEALE ST, MEMPHIS, TN, 
11138, 100 E EMORY, MEMPHIS, TN, 
11139, 100 EASTVIEW DR, MEMPHIS, TN, 
11140, 100 INTERFAITH PL, MEMPHIS, TN, 
11141, 100 SOUTH MORRISON, MEMPHIS, TN, 
11142, 100 W COLORADO, MEMPHIS, TN, 
11143, 100 W GEETER RD, MEMPHIS, TN, 
11144, 100 W OLIVE AVE, MEMPHIS, TN, 
11145, 100 WEST GEETER, MEMPHIS, TN, 
11146, 1000 GARLAND ST, MEMPHIS, TN, 
11147, 1000 HAYNES, MEMPHIS, TN, 
11148, 1000 KEATING, MEMPHIS, TN, 
11149, 1000 N SECOND, MEMPHIS, TN, 
11150, 1000 NEW YORK ST, MEMPHIS, TN, 
11151, 1000 ROCK POINT DR, MEMPHIS, TN, 
11152, 1000 SEATTLE ST, MEMPHIS, TN, 
11153, 1000 SHADY GROVE, MEMPHIS, TN, 
11154, 1000 TUNSTALL, MEMPHIS, TN, 
11155, 1000 WINCHESTER, MEMPHIS, TN, 
11156, 1100 BAMMEL, MEMPHIS, TN, 
11157, 1100 BROWER ST, MEMPHIS, TN, 
11158, 1100 CLYDE, MEMPHIS, TN, 
11159, 1100 FIELDS, MEMPHIS, TN, 
11160, 1100 MERIWETHER, MEMPHIS, TN, 
11161, 1100 MOREHEAD ST, MEMPHIS, TN, 
11162, 1100 N 7TH, MEMPHIS, TN, 
11163, 1100 N AVALON, MEMPHIS, TN, 
11164, 1100 RAYNER ST, MEMPHIS, TN, 
11165, 1100 S SOMERVILLE, MEMPHIS, TN, 
11166, 1100 WARING, MEMPHIS, TN, 
11167, 1100 WINCHESTER, MEMPHIS, TN, 
11168, 1200 APRIL WOODS CIRCLE, MEMPHIS, TN, 
11169, 1200 COPPOCK ST, MEMPHIS, TN, 
11170, 1200 DUNLAP, MEMPHIS, TN, 
11171, 1200 N BELLEVUE, MEMPHIS, TN, 
11172, 1200 TUTWILER, MEMPHIS, TN, 
11173, 1200 VERNON CV, MEMPHIS, TN, 
11174, 1200 WINCHESTER, MEMPHIS, TN, 
11175, 1300 BAUMAN, MEMPHIS, TN, 
11176, 1300 BREEDLOVE ST, MEMPHIS, TN, 
11177, 1300 E MCLEMORE AVE, MEMPHIS, TN, 
11178, 1300 MADEWELL CV, MEMPHIS, TN, 
11179, 1300 NORTH GRAHAM, MEMPHIS, TN, 
11180, 1300 POPPEN DR, MEMPHIS, TN, 
11181, 1300 RIVERSIDE, MEMPHIS, TN, 
11182, 1300 ROSECREST, MEMPHIS, TN, 
11183, 1300 STAGE, MEMPHIS, TN, 
11184, 1400 FRAYSER, MEMPHIS, TN, 
11185, 1400 GRAND OPERA CV, MEMPHIS, TN, 
11186, 1400 N FARONIA SQ, MEMPHIS, TN, 
11187, 1400 N WILLETT, MEMPHIS, TN, 
11188, 1400 PAULLUS, MEMPHIS, TN, 
11189, 1400 PEABODY AVE, MEMPHIS, TN, 
11190, 1400 ROYAL OAKS, MEMPHIS, TN, 
11191, 1400 SINGING TREES, MEMPHIS, TN, 
11192, 1400 SPRINGBROOK RD, MEMPHIS, TN, 
11193, 1500 BAGGET, MEMPHIS, TN, 
11194, 1500 CAMERON ST, MEMPHIS, TN, 
11195, 1500 DEARING, MEMPHIS, TN, 
11196, 1500 FERGUSON, MEMPHIS, TN, 
11197, 1500 HAVANA, MEMPHIS, TN, 
11198, 1500 ORIOLE ST, MEMPHIS, TN, 
11199, 1500 PAULLUS AVE, MEMPHIS, TN, 
11200, 1500 S MCLEAN, MEMPHIS, TN, 
11201, 1600 E RAINES, MEMPHIS, TN, 
11202, 1600 FLORIDA ST, MEMPHIS, TN, 
11203, 1600 MCALISTER DR, MEMPHIS, TN, 
11204, 1600 PATTON ST, MEMPHIS, TN, 
11205, 1600 RAYBURN ST, MEMPHIS, TN, 
11206, 1600 RAYMORE, MEMPHIS, TN, 
11207, 1600 ROOSEVELT AVE, MEMPHIS, TN, 
11208, 1600 S WHITE STATION, MEMPHIS, TN, 
11209, 1600 STRIBLING RD, MEMPHIS, TN, 
11210, 1600 WAVERLY AVE, MEMPHIS, TN, 
11211, 1700 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
11212, 1700 HOPEWELL, MEMPHIS, TN, 
11213, 1700 PORTLAND, MEMPHIS, TN, 
11214, 1700 ROBINHOOD, MEMPHIS, TN, 
11215, 1700 SHELBY OAKS DR, MEMPHIS, TN, 
11216, 1800 BISMARK, MEMPHIS, TN, 
11217, 1800 CORNELIA LN, MEMPHIS, TN, 
11218, 1800 CORNING AVE, MEMPHIS, TN, 
11219, 1800 DEARING RD, MEMPHIS, TN, 
11220, 1800 GALLOWAY, MEMPHIS, TN, 
11221, 1800 GLENVIEW AVE, MEMPHIS, TN, 
11222, 1800 KELTNER CR, MEMPHIS, TN, 
