2114, 1700 CAMERON, MEMPHIS, TN, 
2115, 1700 GOWAN, MEMPHIS, TN, 
2116, 1800 CRIMSON, MEMPHIS, TN, 
2117, 1900 E BROOKS RD, MEMPHIS, TN, 
2118, 2100 WALL ST, MEMPHIS, TN, 
2119, 2300 PARK AVE, MEMPHIS, TN, 
2120, 2500 DEADRICK, MEMPHIS, TN, 
2121, 300 MADISON, MEMPHIS, TN, 
2122, 300 MODDER, MEMPHIS, TN, 
2123, 3000 SOUTHWALL, MEMPHIS, TN, 
2124, 3100 KNIGHTWAY, MEMPHIS, TN, 
2125, 3200 NATHAN, MEMPHIS, TN, 
2126, 3600 MENDENHALL RD, MEMPHIS, TN, 
2127, 3600 MILLBRANCH, MEMPHIS, TN, 
2128, 3700 SHARPE, MEMPHIS, TN, 
2129, 3800 ROCKWOOD, MEMPHIS, TN, 
2130, 3900 SOUTH ADVANTAGE WAY, MEMPHIS, TN, 
2131, 4200 2ND NORTHSIDE DR, MEMPHIS, TN, 
2132, 4600 ADDINGTON, MEMPHIS, TN, 
2133, 4800 HORN LAKE RD, MEMPHIS, TN, 
2134, 4900 APPLESTONE, MEMPHIS, TN, 
2135, 500 BOSTON, MEMPHIS, TN, 
2136, 5800 WATERSTONE OAKWAY, MEMPHIS, TN, 
2137, 800 EVA, MEMPHIS, TN, 
2138, MENDENHALL AND WINCHESTER, MEMPHIS, TN, 
2139, 1000 NEPTUNE, MEMPHIS, TN, 
2140, 1300 MADISON AVE, MEMPHIS, TN, 
2141, 1400 E PERSON AVE, MEMPHIS, TN, 
2142, 1700 HELSLEY, MEMPHIS, TN, 
2143, 1800 FRAYSER, MEMPHIS, TN, 
2144, 200 S MAIN, MEMPHIS, TN, 
2145, 2000 CLIFTON, MEMPHIS, TN, 
2146, 2100 WINCHESTER RD, MEMPHIS, TN, 
2147, 2200 MADISON AVE, MEMPHIS, TN, 
2148, 2700 CENTRAL AVE, MEMPHIS, TN, 
2149, 3100 CAPRI, MEMPHIS, TN, 
2150, 3100 NATHAN, MEMPHIS, TN, 
2151, 3200 WRITE PL, MEMPHIS, TN, 
2152, 3500 HECKLE, MEMPHIS, TN, 
2153, 3600 CHRISTINE, MEMPHIS, TN, 
2154, 3600 GRACELAND, MEMPHIS, TN, 
2155, 3600 WESTLINE, MEMPHIS, TN, 
2156, 3700 CLAYMORE, MEMPHIS, TN, 
2157, 3700 W WINCHESTER SQ, MEMPHIS, TN, 
2158, 3900 RIDGEWAY RD, MEMPHIS, TN, 
2159, 4200 ARROWHEAD, MEMPHIS, TN, 
2160, 4200 NAVAHO, MEMPHIS, TN, 
2161, 4500 MEDLEY LN, MEMPHIS, TN, 
2162, 600 WALKER, MEMPHIS, TN, 
2163, 6300 LAKE VIEW TRAIL, MEMPHIS, TN, 
2164, 700 N GERMANTOWN, MEMPHIS, TN, 
2165, 700 S LAUDERDALE, MEMPHIS, TN, 
2166, 7900 WINCHESTER RD, MEMPHIS, TN, 
2167, 800 AYERS, MEMPHIS, TN, 
2168, 900 BERCLAIR, MEMPHIS, TN, 
2169, 900 CHELSEA AVE, MEMPHIS, TN, 
2170, 900 EXOCET, MEMPHIS, TN, 
2171, 1100 GARLAND, MEMPHIS, TN, 
2172, 1200 MANASSAS, MEMPHIS, TN, 
2173, 1800 BROOKGREEN DR, MEMPHIS, TN, 
2174, 2000 S LAUDERDALE, MEMPHIS, TN, 
2175, 2300 DEMOCRAT RD, MEMPHIS, TN, 
2176, 2400 ELVIS PRESLEY, MEMPHIS, TN, 
2177, 2700 DUNN, MEMPHIS, TN, 
2178, 2700 LAROSE, MEMPHIS, TN, 
2179, 2700 MIDLAND, MEMPHIS, TN, 
2180, 2800 GRUBER, MEMPHIS, TN, 
2181, 2800 WARFORD, MEMPHIS, TN, 
2182, 3100 SUNRISE, MEMPHIS, TN, 
2183, 3200 PRINCETON, MEMPHIS, TN, 
2184, 3300 MACON, MEMPHIS, TN, 
2185, 3600 GOWAN, MEMPHIS, TN, 
2186, 3700 ROYAL WOOD, MEMPHIS, TN, 
2187, 3900 BURR, MEMPHIS, TN, 
2188, 3900 GOLDEN EAGLE DR, MEMPHIS, TN, 
2189, 400 MADISON AVE, MEMPHIS, TN, 
2190, 4100 EAGLE RIVER, MEMPHIS, TN, 
2191, 4200 ALPS, MEMPHIS, TN, 
2192, 4300 S THIRD, MEMPHIS, TN, 
2193, 4300 WESTOVER, MEMPHIS, TN, 
2194, 4800 AMERICAN WAY, MEMPHIS, TN, 
2195, 4900 SHAYNE LN, MEMPHIS, TN, 
2196, 5300 LAMAR, MEMPHIS, TN, 
2197, 5400 GETWELL RD, MEMPHIS, TN, 
2198, 800 BARTLETT, MEMPHIS, TN, 
2199, 900 ALMA, MEMPHIS, TN, 
2200, CHELSEA AND HOLLYWOOD, MEMPHIS, TN, 
2201, GETWELL AND AMERICAN WAY, MEMPHIS, TN, 
2202, 1500 DEXTER LAKE DR, MEMPHIS, TN, 
2203, 1600 BARTON, MEMPHIS, TN, 
2204, 1600 BROOKS, MEMPHIS, TN, 
2205, 1600 CORNING, MEMPHIS, TN, 
2206, 1600 DALLAS, MEMPHIS, TN, 
2207, 1600 POPE, MEMPHIS, TN, 
2208, 1600 S LAUDERDALE, MEMPHIS, TN, 
2209, 200 E NORWOOD, MEMPHIS, TN, 
2210, 200 N HOLLYWOOD, MEMPHIS, TN, 
2211, 2000 ELVIS PRESLEY, MEMPHIS, TN, 
2212, 2100 PEABODY, MEMPHIS, TN, 
2213, 2200 FLORIDA, MEMPHIS, TN, 
2214, 2200 PARKHURST CT, MEMPHIS, TN, 
2215, 2600 LAMAR AVE, MEMPHIS, TN, 
2216, 2700 FILMORE, MEMPHIS, TN, 
2217, 2700 N GERMANTOWN RD, MEMPHIS, TN, 
2218, 300 GARLAND, MEMPHIS, TN, 
2219, 300 S MAIN ST, MEMPHIS, TN, 
2220, 3300 BOXDALE, MEMPHIS, TN, 
2221, 3500 POWELL, MEMPHIS, TN, 
2222, 3600 BOWEN, MEMPHIS, TN, 
2223, 3600 EASTLINE DR, MEMPHIS, TN, 
2224, 3600 VENABLE, MEMPHIS, TN, 
2225, 3700 TIMBERLINE DR, MEMPHIS, TN, 
2226, 3700 WATKINS, MEMPHIS, TN, 
2227, 3800 STATION WAY, MEMPHIS, TN, 
2228, 400 POPLAR AVE, MEMPHIS, TN, 
2229, 4100 BAYLISS, MEMPHIS, TN, 
2230, 4200 RAINWOOD DR, MEMPHIS, TN, 
2231, 4700 WINCHESTER RD, MEMPHIS, TN, 
2232, 4900 CITATION DR, MEMPHIS, TN, 
2233, 500 MARIANNA, MEMPHIS, TN, 
2234, 5000 POPLAR, MEMPHIS, TN, 
2235, 5000 SUMMER, MEMPHIS, TN, 
2236, 600 LIPFORD, MEMPHIS, TN, 
2237, 6000 BIRDIE CV, MEMPHIS, TN, 
2238, KNIGHT ARNOLD AND PERKINS, MEMPHIS, TN, 
2239, PARK AND AIRWAYS, MEMPHIS, TN, 
2240, PERKINS AND KNIGHT ARNOLD, MEMPHIS, TN, 
2241, STEELE AND DELLWOOD, MEMPHIS, TN, 
2242, 1000 MAURY, MEMPHIS, TN, 
2243, 1100 UNIVERSITY, MEMPHIS, TN, 
2244, 1200 BRADLEY, MEMPHIS, TN, 
2245, 1400 SYCAMORE VIEW RD, MEMPHIS, TN, 
2246, 1500 PILLOW, MEMPHIS, TN, 
2247, 1500 TUTWILER, MEMPHIS, TN, 
2248, 1600 DAVIS, MEMPHIS, TN, 
2249, 1600 RAILTON, MEMPHIS, TN, 
2250, 1700 GERMANTOWN PKWY, MEMPHIS, TN, 
2251, 1700 N GRAHAM, MEMPHIS, TN, 
2252, 1800 SINGING TREES, MEMPHIS, TN, 
2253, 1900 FIRST CV, MEMPHIS, TN, 
2254, 200 DANNY THOMAS, MEMPHIS, TN, 
2255, 200 GOODLOE, MEMPHIS, TN, 
2256, 200 MILL, MEMPHIS, TN, 
2257, 200 W RED OAK, MEMPHIS, TN, 
2258, 2400 GERMANTOWN PKWY, MEMPHIS, TN, 
2259, 2800 WOLFCREEK PKWY, MEMPHIS, TN, 
2260, 2900 TREVA, MEMPHIS, TN, 
2261, 300 LAUDERDALE, MEMPHIS, TN, 
2262, 3000 BREWER, MEMPHIS, TN, 
2263, 3100 WALNUT GROVE, MEMPHIS, TN, 
2264, 3200 KETTLE CREEK, MEMPHIS, TN, 
2265, 3200 PECAN LAKE, MEMPHIS, TN, 
2266, 3300 ASHWOOD, MEMPHIS, TN, 
2267, 3500 KNIGHT RD, MEMPHIS, TN, 
2268, 3700 DEBBY, MEMPHIS, TN, 
2269, 3700 OLD DOMINION, MEMPHIS, TN, 
2270, 3900 KERWIN, MEMPHIS, TN, 
2271, 400 EDITH, MEMPHIS, TN, 
2272, 4100 SOAPSTONE, MEMPHIS, TN, 
2273, 4200 S THIRD, MEMPHIS, TN, 
2274, 4300 TRUDY, MEMPHIS, TN, 
2275, 4400 RANGELINE, MEMPHIS, TN, 
2276, 4600 SAWMILL DR, MEMPHIS, TN, 
2277, 500 N GERMANTOWN, MEMPHIS, TN, 
2278, 5300 KNIGHT ARNOLD, MEMPHIS, TN, 
2279, 5400 MEADOWLAKE DR S, MEMPHIS, TN, 
2280, 6400 THISTLE DOWN CV, MEMPHIS, TN, 
2281, 6600 BIRCHBROOK LN, MEMPHIS, TN, 
2282, 6800 MACON RD, MEMPHIS, TN, 
2283, 700 N BELLEVUE, MEMPHIS, TN, 
2284, 800 E PKWY S, MEMPHIS, TN, 
2285, 800 TAMPA, MEMPHIS, TN, 
2286, 900 ALASKA, MEMPHIS, TN, 
2287, 9100 HIGHWAY 64, MEMPHIS, TN, 
2288, PARK AND HIGHLAND, MEMPHIS, TN, 
2289, PERKINS AND AMERICAN WAY, MEMPHIS, TN, 
2290, 1000 SEMMES, MEMPHIS, TN, 
2291, 1100 BREEDLOVE, MEMPHIS, TN, 
2292, 1100 TREADWELL, MEMPHIS, TN, 
2293, 1500 FLORIDA, MEMPHIS, TN, 
2294, 1500 OAKLAWN, MEMPHIS, TN, 
2295, 1500 RAYNER, MEMPHIS, TN, 
2296, 1700 BERKSHIRE, MEMPHIS, TN, 
2297, 1700 EAST HOLMES, MEMPHIS, TN, 
2298, 1800 CAPRI, MEMPHIS, TN, 
2299, 1800 FRAYSER BLVD, MEMPHIS, TN, 
2300, 1900 WATSON, MEMPHIS, TN, 
2301, 2300 CANDLEWYCK CIR, MEMPHIS, TN, 
2302, 2400 VANDALE, MEMPHIS, TN, 
2303, 2800 THE SPRINGS CT, MEMPHIS, TN, 
2304, 300 NORTH MAIN, MEMPHIS, TN, 
2305, 3000 COLEMAN, MEMPHIS, TN, 
2306, 3000 SHADY VISTA, MEMPHIS, TN, 
2307, 3100 DIRECTORS ROW, MEMPHIS, TN, 
2308, 3200 BEAUCHAMP, MEMPHIS, TN, 
2309, 3200 S MENDENHALL RD, MEMPHIS, TN, 
2310, 3300 GIVEN, MEMPHIS, TN, 
2311, 3300 KNIGHT RD, MEMPHIS, TN, 
2312, 3700 CHESTERWOOD, MEMPHIS, TN, 
2313, 3800 PHILSDALE, MEMPHIS, TN, 
2314, 3800 STEELE, MEMPHIS, TN, 
2315, 400 N MANASSAS, MEMPHIS, TN, 
2316, 4000 BERKSHIRE, MEMPHIS, TN, 
2317, 4100 KNOB DR, MEMPHIS, TN, 
2318, 4100 TARRYWOOD, MEMPHIS, TN, 
2319, 4200 ST ELMO, MEMPHIS, TN, 
2320, 4500 MCCORKLE, MEMPHIS, TN, 
2321, 600 BERCLAIR, MEMPHIS, TN, 
2322, 6500 SHELBY DR, MEMPHIS, TN, 
2323, 6900 CLUB RIDGE CIR, MEMPHIS, TN, 
2324, 700 SOUTHERN OAKS PL, MEMPHIS, TN, 
2325, 800 WARING, MEMPHIS, TN, 
2326, 900 DECATUR, MEMPHIS, TN, 
2327, 900 WALKER AVE, MEMPHIS, TN, 
2328, FRAYSER AND RANGELINE, MEMPHIS, TN, 
2329, LAMAR AND AMERICAN WAY, MEMPHIS, TN, 
2330, 100 MONROE, MEMPHIS, TN, 
2331, 1000 EMMIE, MEMPHIS, TN, 
2332, 1100 BEVERLY, MEMPHIS, TN, 
2333, 1100 N SEVENTH, MEMPHIS, TN, 
2334, 1500 MILLVIEW, MEMPHIS, TN, 
2335, 1500 NORTHSIDE, MEMPHIS, TN, 
2336, 1500 SNOWDEN, MEMPHIS, TN, 
2337, 1600 CANE MEADOW CIRCLE, MEMPHIS, TN, 
2338, 1600 LAMAR CV, MEMPHIS, TN, 
2339, 1800 E HOLMES RD, MEMPHIS, TN, 
2340, 1800 NELSON, MEMPHIS, TN, 
2341, 200 MADISON AVE, MEMPHIS, TN, 
2342, 2000 ASA, MEMPHIS, TN, 
2343, 2400 BROOKLYN, MEMPHIS, TN, 
2344, 2500 SHASTA, MEMPHIS, TN, 
2345, 2700 MOUNT MORIAH RD, MEMPHIS, TN, 
2346, 2700 SPOTTSWOOD, MEMPHIS, TN, 
2347, 2900 TREVA LN, MEMPHIS, TN, 
2348, 3000 COLEMAN RD, MEMPHIS, TN, 
2349, 3200 ST CHARLES, MEMPHIS, TN, 
2350, 3300 JOHNSON, MEMPHIS, TN, 
2351, 3600 MAYFLOWER, MEMPHIS, TN, 
2352, 3800 PERSHING PARK DR, MEMPHIS, TN, 
2353, 3800 RIDGEWAY, MEMPHIS, TN, 
2354, 3800 RIVERDALE, MEMPHIS, TN, 
2355, 4100 SOUTH THIRD, MEMPHIS, TN, 
2356, 4200 MILLBRANCH RD, MEMPHIS, TN, 
2357, 4700 BERTA, MEMPHIS, TN, 
2358, 4700 BRINDLEY, MEMPHIS, TN, 
2359, 4700 SHELBY DR, MEMPHIS, TN, 
2360, 5100 MCKELLAR WOODS, MEMPHIS, TN, 
2361, 5500 MASON, MEMPHIS, TN, 
2362, 600 DELTA, MEMPHIS, TN, 
2363, 6400 LAKE ARBOR DR, MEMPHIS, TN, 
2364, 700 EVA, MEMPHIS, TN, 
2365, 7100 WOODLAKE DR, MEMPHIS, TN, 
2366, 800 CRILLION, MEMPHIS, TN, 
2367, 800 WILLIAMS, MEMPHIS, TN, 
2368, THIRD AND BELZ, MEMPHIS, TN, 
2369, 100 N SOMERVILLE, MEMPHIS, TN, 
2370, 1000 DECATUR, MEMPHIS, TN, 
2371, 1000 MISSISSIPPI, MEMPHIS, TN, 
2372, 1400 HAYWOOD, MEMPHIS, TN, 
2373, 1400 JEFFERSON, MEMPHIS, TN, 
2374, 1500 HICKORY WAY, MEMPHIS, TN, 
2375, 1500 SOUTH, MEMPHIS, TN, 
2376, 1600 BUNTYN, MEMPHIS, TN, 
2377, 1600 DELLWOOD AVE, MEMPHIS, TN, 
2378, 1600 JACKSON, MEMPHIS, TN, 
2379, 1600 MONROE, MEMPHIS, TN, 
2380, 1700 CANE MEADOW, MEMPHIS, TN, 
2381, 1900 KELTNER, MEMPHIS, TN, 
2382, 200 N MONTGOMERY, MEMPHIS, TN, 
2383, 200 N TUCKER, MEMPHIS, TN, 
2384, 200 S HIGHLAND, MEMPHIS, TN, 
2385, 2000 E RAINES RD, MEMPHIS, TN, 
2386, 2300 PAMELA, MEMPHIS, TN, 
2387, 2300 PENDLETON, MEMPHIS, TN, 
2388, 2400 MALONE, MEMPHIS, TN, 
2389, 2600 LAROSE, MEMPHIS, TN, 
2390, 2700 GARDEN GROVE CIRCLE, MEMPHIS, TN, 
2391, 2700 KIRBY WHITTEN RD, MEMPHIS, TN, 
2392, 2800 SELECT, MEMPHIS, TN, 
2393, 3100 CARNES, MEMPHIS, TN, 
2394, 3100 GUERNSEY, MEMPHIS, TN, 
2395, 3200 GIVEN, MEMPHIS, TN, 
2396, 3300 SUNRISE, MEMPHIS, TN, 
2397, 3800 KEARNEY, MEMPHIS, TN, 
2398, 4700 TCHULAHOMA, MEMPHIS, TN, 
2399, 4900 CHESTERWOOD CT, MEMPHIS, TN, 
2400, 500 ORCHARD, MEMPHIS, TN, 
2401, 500 S HIGHLAND, MEMPHIS, TN, 
2402, 600 LUCY, MEMPHIS, TN, 
2403, 600 N MENDENHALL, MEMPHIS, TN, 
2404, 700 POPLAR, MEMPHIS, TN, 
2405, 800 HAMILTON, MEMPHIS, TN, 
2406, 800 SEMMES, MEMPHIS, TN, 
2407, 900 FAXON, MEMPHIS, TN, 
2408, 900 PENDLETON, MEMPHIS, TN, 
2409, JACKSON AND WATKINS, MEMPHIS, TN, 
2410, RIDGEMONT AND NEW ALLEN, MEMPHIS, TN, 
2411, 1200 TUNICA, MEMPHIS, TN, 
2412, 1300 BREEDLOVE, MEMPHIS, TN, 
2413, 1300 KEEL, MEMPHIS, TN, 
2414, 1500 LAMAR, MEMPHIS, TN, 
2415, 1600 CHERRY RD, MEMPHIS, TN, 
2416, 1600 GALLOWAY, MEMPHIS, TN, 
2417, 1800 HUNTER AVE, MEMPHIS, TN, 
2418, 1800 WILDROSE, MEMPHIS, TN, 
2419, 1900 BALDWIN, MEMPHIS, TN, 
2420, 1900 BISMARK, MEMPHIS, TN, 
2421, 200 N MCLEAN, MEMPHIS, TN, 
2422, 2000 AMBERGATE LN, MEMPHIS, TN, 
2423, 2000 BOYLE, MEMPHIS, TN, 
2424, 2200 MEADOW GLADE LN, MEMPHIS, TN, 
2425, 2300 DEADRICK, MEMPHIS, TN, 
2426, 2400 SARATOGA, MEMPHIS, TN, 
2427, 2500 LISA, MEMPHIS, TN, 
2428, 2600 BURNS, MEMPHIS, TN, 
2429, 2600 GOODWILL, MEMPHIS, TN, 
2430, 2700 BURNS, MEMPHIS, TN, 
2431, 2800 MT MORIAH RD, MEMPHIS, TN, 
2432, 2900 MEADOWLAKE DR, MEMPHIS, TN, 
2433, 2900 WOLFCREEK PKWY, MEMPHIS, TN, 
2434, 300 LOONEY, MEMPHIS, TN, 
2435, 300 N SECOND, MEMPHIS, TN, 
2436, 300 S CAMILLA, MEMPHIS, TN, 
2437, 3000 GEORGETOWN, MEMPHIS, TN, 
2438, 3100 LYNDALE, MEMPHIS, TN, 
2439, 3200 ARBOR GROVE WAY, MEMPHIS, TN, 
2440, 3300 N WATKINS, MEMPHIS, TN, 
2441, 3400 MILLBRANCH, MEMPHIS, TN, 
2442, 3400 W WINCHESTER PL, MEMPHIS, TN, 
2443, 3600 BELLBRANCH DR, MEMPHIS, TN, 
2444, 3600 HALLBROOK, MEMPHIS, TN, 
2445, 3700 RHEA, MEMPHIS, TN, 
2446, 3700 RIDGEWAY RD, MEMPHIS, TN, 
2447, 3700 SKYLARK, MEMPHIS, TN, 
2448, 3800 SUMMER, MEMPHIS, TN, 
2449, 3900 KERWOOD, MEMPHIS, TN, 
