3114, 1600 BALTIMORE, MEMPHIS, TN, 
3115, 1600 MARIANNA, MEMPHIS, TN, 
3116, 1700 ALTA VISTA, MEMPHIS, TN, 
3117, 1700 BARTON, MEMPHIS, TN, 
3118, 1700 HUMBER, MEMPHIS, TN, 
3119, 1800 CRIMSON CIRCLE, MEMPHIS, TN, 
3120, 1800 OAKWOOD, MEMPHIS, TN, 
3121, 1800 ORR, MEMPHIS, TN, 
3122, 2000 FRISCO AVE, MEMPHIS, TN, 
3123, 2600 DEVEREUX, MEMPHIS, TN, 
3124, 2600 HORIZON LAKE, MEMPHIS, TN, 
3125, 2700 CARNES, MEMPHIS, TN, 
3126, 2800 ENTERPRISE, MEMPHIS, TN, 
3127, 2800 WINDSOR PKWY, MEMPHIS, TN, 
3128, 3300 DANVILLE CIR, MEMPHIS, TN, 
3129, 3300 MORNINGSIDE, MEMPHIS, TN, 
3130, 3400 SPRING WATER CV, MEMPHIS, TN, 
3131, 3500 PROVIDENCE DR, MEMPHIS, TN, 
3132, 3600 CLAYMORE DR, MEMPHIS, TN, 
3133, 3600 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
3134, 3600 MYNDERS AVE, MEMPHIS, TN, 
3135, 3700 OLD ALLEN, MEMPHIS, TN, 
3136, 3900 N ADVANTAGE WAY DR, MEMPHIS, TN, 
3137, 400 MCFARLAND, MEMPHIS, TN, 
3138, 400 WALKER, MEMPHIS, TN, 
3139, 4000 SILVERLEAF, MEMPHIS, TN, 
3140, 4000 THOMAS, MEMPHIS, TN, 
3141, 4000 VOLTAIRE RD, MEMPHIS, TN, 
3142, 4100 MILLBRANCH, MEMPHIS, TN, 
3143, 4200 DEVEL, MEMPHIS, TN, 
3144, 4200 LEROY, MEMPHIS, TN, 
3145, 4300 CVNTRY, MEMPHIS, TN, 
3146, 4500 BEACON HILL, MEMPHIS, TN, 
3147, 4500 MILLBRANCH, MEMPHIS, TN, 
3148, 4500 WOODDALE AVE, MEMPHIS, TN, 
3149, 4800 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
3150, 4800 WOODDALE, MEMPHIS, TN, 
3151, 500 LIPFORD, MEMPHIS, TN, 
3152, 5200 MCKELLAR WOODS, MEMPHIS, TN, 
3153, 5300 WINCHESTER RD, MEMPHIS, TN, 
3154, 5800 MYERS, MEMPHIS, TN, 
3155, 6800 SHELBY DR, MEMPHIS, TN, 
3156, 700 HARRELL, MEMPHIS, TN, 
3157, 800 MCCONNELL, MEMPHIS, TN, 
3158, 900 ALICE, MEMPHIS, TN, 
3159, 900 CELLA, MEMPHIS, TN, 
3160, BELLEVUE AND MCLEMORE, MEMPHIS, TN, 
3161, 100 NORTH BELVEDERE, MEMPHIS, TN, 
3162, 1000 LEACREST, MEMPHIS, TN, 
3163, 1000 VANCE, MEMPHIS, TN, 
3164, 1200 THOMAS, MEMPHIS, TN, 
3165, 1300 S BELLEVUE, MEMPHIS, TN, 
3166, 1400 FERGUSON, MEMPHIS, TN, 
3167, 1400 TERRACE LN, MEMPHIS, TN, 
3168, 1500 POPE, MEMPHIS, TN, 
3169, 1500 WOODWARD, MEMPHIS, TN, 
3170, 1600 ROOSEVELT, MEMPHIS, TN, 
3171, 1700 RANDOLPH PLACE, MEMPHIS, TN, 
3172, 1700 STRIBLING, MEMPHIS, TN, 
3173, 2300 SHANNON, MEMPHIS, TN, 
3174, 2600 KENNER, MEMPHIS, TN, 
3175, 2700 LAMAR AVE, MEMPHIS, TN, 
3176, 2700 N WATKINS ST, MEMPHIS, TN, 
3177, 2700 S PERKINS RD, MEMPHIS, TN, 
3178, 2700 TRICIA, MEMPHIS, TN, 
3179, 2800 CLAUDETTE RD, MEMPHIS, TN, 
3180, 2800 HICKORY POINTE LN, MEMPHIS, TN, 
3181, 2900 S MENDENHALL RD, MEMPHIS, TN, 
3182, 300 GREENLAW, MEMPHIS, TN, 
3183, 300 LUCY AVE, MEMPHIS, TN, 
3184, 3100 S THIRD ST, MEMPHIS, TN, 
3185, 3200 RADFORD, MEMPHIS, TN, 
3186, 3500 BOXDALE, MEMPHIS, TN, 
3187, 3500 EMILY PLACE, MEMPHIS, TN, 
3188, 3500 OVERTON CROSSING, MEMPHIS, TN, 
3189, 3500 PROVIDENCE, MEMPHIS, TN, 
3190, 3700 WINCHESTER PARK CIR, MEMPHIS, TN, 
3191, 3800 TIMBERLINE, MEMPHIS, TN, 
3192, 3900 VOLTAIRE, MEMPHIS, TN, 
3193, 400 SIMPSON, MEMPHIS, TN, 
3194, 4100 LEROY, MEMPHIS, TN, 
3195, 4200 MT TERRACE, MEMPHIS, TN, 
3196, 4200 PARKCHESTER, MEMPHIS, TN, 
3197, 4200 QUEST WAY, MEMPHIS, TN, 
3198, 4200 UNIVERSITY, MEMPHIS, TN, 
3199, 4300 KENOSHA, MEMPHIS, TN, 
3200, 4300 UNIVERSITY, MEMPHIS, TN, 
3201, 4500 MILLSTREAM, MEMPHIS, TN, 
3202, 5000 SHELTER CV, MEMPHIS, TN, 
3203, 5000 SOUTHRIDGE, MEMPHIS, TN, 
3204, 5100 CAPEN, MEMPHIS, TN, 
3205, 5200 WAYFARER, MEMPHIS, TN, 
3206, 5200 YALE RD, MEMPHIS, TN, 
3207, 5500 POPLAR AVE, MEMPHIS, TN, 
3208, 5600 APPLE BLOSSOM DR, MEMPHIS, TN, 
3209, 600 BELTLINE, MEMPHIS, TN, 
3210, 600 CADRACA, MEMPHIS, TN, 
3211, 600 LORAINE, MEMPHIS, TN, 
3212, 600 W LEVI, MEMPHIS, TN, 
3213, 6500 MORIAH WAY, MEMPHIS, TN, 
3214, 700 BLACKHAWK, MEMPHIS, TN, 
3215, 700 KENT, MEMPHIS, TN, 
3216, 700 LEATH, MEMPHIS, TN, 
3217, 800 ALMA, MEMPHIS, TN, 
3218, 800 LEDBETTER, MEMPHIS, TN, 
3219, 800 LIPFORD, MEMPHIS, TN, 
3220, 8300 COUNTRY SQUIRE PL, MEMPHIS, TN, 
3221, LAMAR AND KIMBALL, MEMPHIS, TN, 
3222, PARK AND PENDLETON, MEMPHIS, TN, 
3223, SHELBY DR AND TULANE, MEMPHIS, TN, 
3224, 100 E GAGE, MEMPHIS, TN, 
3225, 1000 BIRCH, MEMPHIS, TN, 
3226, 1000 E MCLEMORE, MEMPHIS, TN, 
3227, 1100 MT VERNON, MEMPHIS, TN, 
3228, 1200 GREENWOOD, MEMPHIS, TN, 
3229, 1200 MELROSE, MEMPHIS, TN, 
3230, 1300 CHICKAMAUGA, MEMPHIS, TN, 
3231, 1300 GILL, MEMPHIS, TN, 
3232, 1300 JACKSON, MEMPHIS, TN, 
3233, 1300 PARKROSE, MEMPHIS, TN, 
3234, 1400 EASON, MEMPHIS, TN, 
3235, 1500 WALNUT HALL CT, MEMPHIS, TN, 
3236, 1600 LAMAR, MEMPHIS, TN, 
3237, 1600 S THIRD, MEMPHIS, TN, 
3238, 1700 MICHIGAN, MEMPHIS, TN, 
3239, 1700 RANDOLPH PL, MEMPHIS, TN, 
3240, 1700 SYCAMORE VIEW RD, MEMPHIS, TN, 
3241, 1800 NORFOLK, MEMPHIS, TN, 
3242, 1800 WINSTON, MEMPHIS, TN, 
3243, 1900 TITUS, MEMPHIS, TN, 
3244, 200 S MAIN ST, MEMPHIS, TN, 
3245, 2100 ST ELMO, MEMPHIS, TN, 
3246, 2200 BROWN, MEMPHIS, TN, 
3247, 2200 KANSAS, MEMPHIS, TN, 
