51109, 4800 SOUTH 3RD ST, MEMPHIS, TN, 
51110, 4800 SOUTH MILNOR, MEMPHIS, TN, 
51111, 4800 SOUTH POINT, MEMPHIS, TN, 
51112, 4800 SOUTHAVEN RD, MEMPHIS, TN, 
51113, 4800 SPOTTSWOOD AV, MEMPHIS, TN, 
51114, 4800 SPOTTSWOOD DR, MEMPHIS, TN, 
51115, 4800 STACEY DR, MEMPHIS, TN, 
51116, 4800 STHIRD ST, MEMPHIS, TN, 
51117, 4800 STONY HILL, MEMPHIS, TN, 
51118, 4800 SUMMER RD, MEMPHIS, TN, 
51119, 4800 TWELFTH ST, MEMPHIS, TN, 
51120, 4800 WOODDALE ST, MEMPHIS, TN, 
51121, 4851ELVIS PRESLEY BLVD, MEMPHIS, TN, 
51122, 4900 ALLRAND DR, MEMPHIS, TN, 
51123, 4900 BLANDING ST, MEMPHIS, TN, 
51124, 4900 BOXDALE, MEMPHIS, TN, 
51125, 4900 BRADFORD ST, MEMPHIS, TN, 
51126, 4900 BRIARCLIFF RD, MEMPHIS, TN, 
51127, 4900 BRIDGEDALE ST, MEMPHIS, TN, 
51128, 4900 BURGESS, MEMPHIS, TN, 
51129, 4900 CAPAHA DR, MEMPHIS, TN, 
51130, 4900 CHESTER WOOD CT, MEMPHIS, TN, 
51131, 4900 CHESTERWOOD CV, MEMPHIS, TN, 
51132, 4900 CLOISTER ST, MEMPHIS, TN, 
51133, 4900 COLONIAL CV, MEMPHIS, TN, 
51134, 4900 COPPER VALLEY DR E, MEMPHIS, TN, 
51135, 4900 COPPER VALLEY DR, MEMPHIS, TN, 
51136, 4900 CORO RD, MEMPHIS, TN, 
51137, 4900 EAST SHORE DR, MEMPHIS, TN, 
51138, 4900 ELVIS PRESELY, MEMPHIS, TN, 
51139, 4900 ENGLISH TOWN, MEMPHIS, TN, 
51140, 4900 FAIRFIELD CIRCLE, MEMPHIS, TN, 
51141, 4900 FARRIS CLR, MEMPHIS, TN, 
51142, 4900 FERRIS CIR, MEMPHIS, TN, 
51143, 4900 FERRIS, MEMPHIS, TN, 
51144, 4900 FLEETGROVE, MEMPHIS, TN, 
51145, 4900 GREY BARK, MEMPHIS, TN, 
51146, 4900 GREYBARK CV, MEMPHIS, TN, 
51147, 4900 HALEVILLE ST, MEMPHIS, TN, 
51148, 4900 HANCOCK RD, MEMPHIS, TN, 
51149, 4900 HIDDEN WOODS, MEMPHIS, TN, 
51150, 4900 HIDDENWOOD CV, MEMPHIS, TN, 
51151, 4900 HIGH POINT CV, MEMPHIS, TN, 
51152, 4900 HUNGERFORD RD, MEMPHIS, TN, 
51153, 4900 JASPER AVE, MEMPHIS, TN, 
51154, 4900 LEONARD ST, MEMPHIS, TN, 
