78092, 0 GREENWOOD ST AND S PKWY, MEMPHIS, TN, 
78093, 0 HARDIN AVE AND NATIONAL ST, MEMPHIS, TN, 
78094, 0 HARRELL ST AND SUMMER AVE, MEMPHIS, TN, 
78095, 0 HEMLOCK ST AND S PARKWAY ST, MEMPHIS, TN, 
78096, 0 HIGHLAND AND HESTER ST, MEMPHIS, TN, 
78097, 0 HIGHWAY 64 AND APPLING RD, MEMPHIS, TN, 
78098, 0 HOLLYWOOD ST AND 0 SAM COOPER BLVD, MEMPHIS, TN, 
78099, 0 HOLMES RD AND AIRWAYS BLVD, MEMPHIS, TN, 
78100, 0 HOMER ST AND 0 VERNON AVE, MEMPHIS, TN, 
78101, 0 HOMEWOOD DR, MEMPHIS, TN, 
78102, 0 HUBBARD AVE AND BOXWOOD ST, MEMPHIS, TN, 
78103, 0 HWY 64 AND KATE BOND RD, MEMPHIS, TN, 
78104, 0 I 240 AND WALNUT GROVE RD, MEMPHIS, TN, 
78105, 0 I-240 AND S PKWY, MEMPHIS, TN, 
78106, 0 I-240 EASTBOUND AND LAMAR AVE, MEMPHIS, TN, 
78107, 0 I-40 AND 00 SYCAMORE VIEW RD, MEMPHIS, TN, 
78108, 0 I-40 AND COVINGTON PIKE, MEMPHIS, TN, 
78109, 0 I-40 AND NORTH WATKINS ST, MEMPHIS, TN, 
78110, 0 I-40 AND SYCAMORE VIEW RD, MEMPHIS, TN, 
78111, 0 I-40 AND WATKINS RD, MEMPHIS, TN, 
78112, 0 I-40 AND WHITTEN RD, MEMPHIS, TN, 
78113, 0 I-40 W AND HOLLYWOOD RD, MEMPHIS, TN, 
78114, 0 I-40E AND 0 HWY 64, MEMPHIS, TN, 
78115, 0 I240 AND 0 POPLAR AVE, MEMPHIS, TN, 
78116, 0 I240 AND CRUMP AVE, MEMPHIS, TN, 
78117, 0 I240 AND S PKWY, MEMPHIS, TN, 
78118, 0 I40 AND GERMANTOWN PKWY, MEMPHIS, TN, 
78119, 0 I40-WARFORD ST, MEMPHIS, TN, 
78120, 0 INTERSTATE 40 AND 0 COVINGTON PIKE, MEMPHIS, TN, 
78121, 0 INTERSTATE 40 AND COVINGTON PIKE, MEMPHIS, TN, 
78122, 0 INTERSTATE 40 AND HOLLYWOOD RD, MEMPHIS, TN, 
78123, 0 INTERSTATE 40 AND HOLLYWOOD ST, MEMPHIS, TN, 
78124, 0 INTERSTATE 40 AND SYCAMORE VIEW, MEMPHIS, TN, 
78125, 0 INTERSTATE 40 E AND COVINGTON PIKE RD, MEMPHIS, TN, 
78126, 0 JACKSON AND AYERS AVE, MEMPHIS, TN, 
78127, 0 JACKSON AVE AND BAYLISS AVE, MEMPHIS, TN, 
78128, 0 JACKSON AVE AND N EVERGREEN ST, MEMPHIS, TN, 
78129, 0 JARDIN PLACE AND CARY HILL CV, MEMPHIS, TN, 
78130, 0 JASMINE DR AND JASMINE CV, MEMPHIS, TN, 
78131, 0 JEFFERSON AVE AND SECOND ST, MEMPHIS, TN, 
78132, 0 LACEWOOD DR AND SILVERLEAF RD, MEMPHIS, TN, 
78133, 0 LAPALOMA ST AND E PERSON AVE, MEMPHIS, TN, 
78134, 0 LEVEE RD, MEMPHIS, TN, 
78135, 0 LEVEE, MEMPHIS, TN, 
78136, 0 LEWIS STREET AND KEEL AVE, MEMPHIS, TN, 
78137, 0 MACON RD AND 00 CENTURY CENTER, MEMPHIS, TN, 
78138, 0 MAPLEBROOK AND ASPENBROOK ST, MEMPHIS, TN, 
78139, 0 MCLEMORE AND POND AVE, MEMPHIS, TN, 
78140, 0 MENDENHALL RD AND KNIGHT ARNOLD RD, MEMPHIS, TN, 
78141, 0 MISSISSIPPI BLVD AND WALKER AVE, MEMPHIS, TN, 
78142, 0 MISSISSIPPI BLVD, MEMPHIS, TN, 
78143, 0 MOSBY AND DUNLAP ST, MEMPHIS, TN, 
78144, 0 MOUNT MORIAH AND MENDENHALL RD, MEMPHIS, TN, 
78145, 0 N 2ND ST AND EXCHANGE AVE, MEMPHIS, TN, 
78146, 0 N GERMANTOWN PKWY AND WALNUT GROVE RD, MEMPHIS, TN, 
78147, 0 N GRAHAM ST AND MINDEN RD, MEMPHIS, TN, 
78148, 0 N HIGHLAND ST AND MACON RD, MEMPHIS, TN, 
78149, 0 N HOUSTON LEVEE ROAD AND 0 NOTTING HILL ROAD, MEMPHIS, TN, 
78150, 0 N MCNEIL ST AND COURT AVE, MEMPHIS, TN, 
78151, 0 N WATKINS RD, MEMPHIS, TN, 
78152, 0 NATIONAL ST AND JACKSON AVE, MEMPHIS, TN, 
78153, 0 NEPTUNE, MEMPHIS, TN, 
78154, 0 NEW ALLEN RD AND 0 RIDGEMONT AVE, MEMPHIS, TN, 
78155, 0 NEW ALLEN RD AND FRAYSER BOULEVARD, MEMPHIS, TN, 
78156, 0 NORTH HOLMES, MEMPHIS, TN, 
78157, 0 OLD AUSTIN PEAY HW AND OLD RALEIGH LAGRANGE RD, MEMPHIS, TN, 
78158, 0 OLD AUSTIN PEAY HWY AND PALM RD, MEMPHIS, TN, 
78159, 0 OLD RALEIGH LAGRANGE RD AND EAST ST, MEMPHIS, TN, 
