118, 1800 WINCHESTER, MEMPHIS, TN, 
119, 1300 UNION AVE, MEMPHIS, TN, 
120, 2700 GETWELL RD, MEMPHIS, TN, 
121, 2200 FRAYSER, MEMPHIS, TN, 
122, 3400 STEVE, MEMPHIS, TN, 
123, 8000 WINCHESTER, MEMPHIS, TN, 
124, 2900 N GERMANTOWN PKWY, MEMPHIS, TN, 
125, 4800 HAVEN CT, MEMPHIS, TN, 
126, 1000 JACKSON, MEMPHIS, TN, 
127, 2400 SUMMER, MEMPHIS, TN, 
128, 500 TILLMAN, MEMPHIS, TN, 
129, 1600 DELLWOOD, MEMPHIS, TN, 
130, 3500 PLAZA, MEMPHIS, TN, 
131, 800 E RAINES, MEMPHIS, TN, 
132, 1300 WESLEY DR, MEMPHIS, TN, 
133, 3900 AUSTIN PEAY, MEMPHIS, TN, 
134, 2400 KETCHUM, MEMPHIS, TN, 
135, 3000 MIMOSA, MEMPHIS, TN, 
136, 4000 JACKSON AVE, MEMPHIS, TN, 
137, 6800 WINCHESTER RD, MEMPHIS, TN, 
138, 1700 UNION, MEMPHIS, TN, 
139, 5900 POPLAR AVE, MEMPHIS, TN, 
140, 200 UNION, MEMPHIS, TN, 
141, 6200 MACON RD, MEMPHIS, TN, 
142, 6800 RALEIGH LAGRANGE RD, MEMPHIS, TN, 
143, 2900 SHADY VISTA, MEMPHIS, TN, 
144, 3300 POPLAR, MEMPHIS, TN, 
145, 2400 AIRWAYS, MEMPHIS, TN, 
146, 400 S BELLEVUE, MEMPHIS, TN, 
147, 2300 AIRWAYS, MEMPHIS, TN, 
148, 4300 GRACELAND DR, MEMPHIS, TN, 
149, 1400 UNION, MEMPHIS, TN, 
150, 1500 WILSON, MEMPHIS, TN, 
151, 3500 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
152, 3300 AUSTIN PEAY HWY, MEMPHIS, TN, 
153, 2400 PENDLETON, MEMPHIS, TN, 
154, 2200 UNION AVE, MEMPHIS, TN, 
155, 3400 SUMMER AVE, MEMPHIS, TN, 
156, 3800 PERSHING PARK, MEMPHIS, TN, 
157, 4100 ST PIERRE, MEMPHIS, TN, 
158, 1900 S THIRD, MEMPHIS, TN, 
159, 2500 W HILLVIEW, MEMPHIS, TN, 
160, 2800 N GERMANTOWN, MEMPHIS, TN, 
161, 1500 E BROOKS, MEMPHIS, TN, 
162, 7800 WINCHESTER RD, MEMPHIS, TN, 
163, 2600 PERES, MEMPHIS, TN, 
164, 3100 SUMMER, MEMPHIS, TN, 
165, 6000 PARK, MEMPHIS, TN, 
166, 1400 SYCAMORE VIEW, MEMPHIS, TN, 
167, 3400 N WATKINS, MEMPHIS, TN, 
168, 1300 PRIMACY PKWY, MEMPHIS, TN, 
169, 300 POPLAR AVE, MEMPHIS, TN, 
170, 4400 EASTWIND, MEMPHIS, TN, 
171, 5200 SUMMER, MEMPHIS, TN, 
172, 4600 SUMMER AVE, MEMPHIS, TN, 
173, 3400 THOMAS, MEMPHIS, TN, 
174, 800 ADAMS, MEMPHIS, TN, 
175, 2900 DEADRICK, MEMPHIS, TN, 
176, 1300 N GRAHAM, MEMPHIS, TN, 
177, 2400 N GERMANTOWN PKWY, MEMPHIS, TN, 
178, 4700 KNIGHT ARNOLD, MEMPHIS, TN, 
179, 700 COLONIAL RD, MEMPHIS, TN, 
180, 3600 HICKORY HILL, MEMPHIS, TN, 
181, 1700 UNION AVE, MEMPHIS, TN, 
182, 3000 COVINGTON PIKE, MEMPHIS, TN, 
183, 5500 HUDGINS, MEMPHIS, TN, 
184, 100 N MAIN, MEMPHIS, TN, 
185, 1800 PIPING ROCK, MEMPHIS, TN, 
186, 4100 LAMAR, MEMPHIS, TN, 
187, 2200 HOWELL, MEMPHIS, TN, 
188, 3900 LAMAR AVE, MEMPHIS, TN, 
189, 4100 AMERICAN WAY, MEMPHIS, TN, 
190, 700 ADAMS, MEMPHIS, TN, 
191, 4200 GRACELAND, MEMPHIS, TN, 
192, 3500 ELVIS PRESLEY, MEMPHIS, TN, 
193, 2300 ELVIS PRESLEY, MEMPHIS, TN, 
194, 1800 BERRYHILL, MEMPHIS, TN, 
195, 2700 MT MORIAH, MEMPHIS, TN, 
196, 1500 AIRWAYS, MEMPHIS, TN, 
197, 1300 GETWELL RD, MEMPHIS, TN, 
198, 3400 N TREZEVANT, MEMPHIS, TN, 
199, 3000 PARK, MEMPHIS, TN, 
200, 3700 HICKORY HILL, MEMPHIS, TN, 
201, 4200 FARONIA, MEMPHIS, TN, 
202, 3500 SPOTTSWOOD, MEMPHIS, TN, 
203, 2600 WOODCLIFF, MEMPHIS, TN, 
204, 1700 N GERMANTOWN PKWY, MEMPHIS, TN, 
205, 4700 COTTON DR, MEMPHIS, TN, 
206, 4900 ELVIS PRESLEY, MEMPHIS, TN, 
207, 3500 AUSTIN PEAY, MEMPHIS, TN, 
208, 3900 LAMAR, MEMPHIS, TN, 
209, 4300 RIDGESTONE, MEMPHIS, TN, 
210, 1100 PEABODY, MEMPHIS, TN, 
211, 1200 FRAYSER, MEMPHIS, TN, 
212, 2000 POPLAR, MEMPHIS, TN, 
213, 5400 KNIGHT ARNOLD, MEMPHIS, TN, 
214, 2400 LAMAR, MEMPHIS, TN, 
215, 5900 SUMMER AVE, MEMPHIS, TN, 
216, 900 JEFFERSON AVE, MEMPHIS, TN, 
217, 4100 S THIRD, MEMPHIS, TN, 
218, 700 CHELSEA, MEMPHIS, TN, 
219, 3200 S THIRD, MEMPHIS, TN, 
220, 4000 RIDGEWAY RD, MEMPHIS, TN, 
221, 5100 POPLAR, MEMPHIS, TN, 
222, 3300 SUMMER, MEMPHIS, TN, 
223, 3700 N WATKINS, MEMPHIS, TN, 
224, 2700 N WATKINS, MEMPHIS, TN, 
225, 1300 POPLAR, MEMPHIS, TN, 
226, 2900 KIMBALL AVE, MEMPHIS, TN, 
227, 3100 SUMMER AVE, MEMPHIS, TN, 
228, 4400 KNIGHT ARNOLD, MEMPHIS, TN, 
229, 4700 ELVIS PRESLEY, MEMPHIS, TN, 
230, 1600 PENNSYLVANIA, MEMPHIS, TN, 
231, 3000 PARK AVE, MEMPHIS, TN, 
232, 3300 SOUTHERN, MEMPHIS, TN, 
233, 3400 SOUTHERN, MEMPHIS, TN, 
234, 4100 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
235, 4500 WESTMONT, MEMPHIS, TN, 
236, 2200 LAMAR, MEMPHIS, TN, 
237, 2500 KETCHUM RD, MEMPHIS, TN, 
238, 3500 CASTLEMAN, MEMPHIS, TN, 
239, 600 S HIGHLAND ST, MEMPHIS, TN, 
240, 700 S HIGHLAND, MEMPHIS, TN, 
241, 1200 E SHELBY, MEMPHIS, TN, 
242, 2900 POPLAR, MEMPHIS, TN, 
243, 4200 WINCHESTER, MEMPHIS, TN, 
244, 5400 POPLAR AVE, MEMPHIS, TN, 
245, 1800 UNION, MEMPHIS, TN, 
246, 4000 CAMELOT LN, MEMPHIS, TN, 
247, 7200 WINCHESTER, MEMPHIS, TN, 
248, 1500 BRIARCREST, MEMPHIS, TN, 
249, 1700 E HOLMES, MEMPHIS, TN, 
250, 5400 POPLAR, MEMPHIS, TN, 
251, 1900 KELTNER CIRCLE, MEMPHIS, TN, 
252, 2500 SUMMER, MEMPHIS, TN, 
253, 2600 W HILLVIEW, MEMPHIS, TN, 
254, 400 BEALE ST, MEMPHIS, TN, 
255, 2500 MT MORIAH, MEMPHIS, TN, 
256, 3900 AMERICAN WAY, MEMPHIS, TN, 
257, 4000 SUMMER, MEMPHIS, TN, 
258, 4200 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
259, 6200 MACON, MEMPHIS, TN, 
260, 1200 WHITAKER, MEMPHIS, TN, 
261, 2600 FRAYSER BLVD, MEMPHIS, TN, 
262, 1100 WHITAKER, MEMPHIS, TN, 
263, 4900 FARRIS CIRCLE, MEMPHIS, TN, 
264, 1300 MADISON, MEMPHIS, TN, 
265, 2500 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
266, 3000 GETWELL RD, MEMPHIS, TN, 
267, 2200 WINCHESTER, MEMPHIS, TN, 
268, 5200 WAYFARER CIR, MEMPHIS, TN, 
269, 6600 MT MORIAH, MEMPHIS, TN, 
270, 6800 WINCHESTER, MEMPHIS, TN, 
271, 3000 POPLAR AVE, MEMPHIS, TN, 
272, 3700 KINGSGATE, MEMPHIS, TN, 
273, 1700 SYCAMORE VIEW, MEMPHIS, TN, 
274, 4400 GRACELAND DR, MEMPHIS, TN, 
275, 600 S MENDENHALL, MEMPHIS, TN, 
276, 1400 UNION AVE, MEMPHIS, TN, 
277, 4400 CREEKWOOD, MEMPHIS, TN, 
278, 1100 CT, MEMPHIS, TN, 
279, 2900 S PERKINS, MEMPHIS, TN, 
280, 3400 AUSTIN PEAY HWY, MEMPHIS, TN, 
281, 4600 MILLBRANCH, MEMPHIS, TN, 
282, 3000 BARRON, MEMPHIS, TN, 
283, 3100 THOMAS, MEMPHIS, TN, 
284, 6000 POPLAR, MEMPHIS, TN, 
285, 1300 COLLEGE, MEMPHIS, TN, 
286, 1700 WINCHESTER, MEMPHIS, TN, 
287, 1400 GETWELL, MEMPHIS, TN, 
288, 200 UNION AVE, MEMPHIS, TN, 
289, 7000 E SHELBY DR, MEMPHIS, TN, 
290, 3200 LADBROOK, MEMPHIS, TN, 
291, 1000 JACKSON AVE, MEMPHIS, TN, 
292, 1700 GETWELL, MEMPHIS, TN, 
293, 3400 LAMAR AVE, MEMPHIS, TN, 
294, 3600 S MENDENHALL, MEMPHIS, TN, 
295, 900 KERR, MEMPHIS, TN, 
296, 4000 AUTUMN RIDGE CT, MEMPHIS, TN, 
297, 6600 WINCHESTER, MEMPHIS, TN, 
298, 300 N LAUDERDALE, MEMPHIS, TN, 
299, 3500 LAMAR AVE, MEMPHIS, TN, 
300, 400 VANCE, MEMPHIS, TN, 
301, 4200 EASTWIND, MEMPHIS, TN, 
302, 4300 ELVIS PRESLEY, MEMPHIS, TN, 
303, 3100 TILLMAN CV, MEMPHIS, TN, 
304, 3400 LAMAR, MEMPHIS, TN, 
305, 5000 LAMAR, MEMPHIS, TN, 
306, 5100 STAGE RD, MEMPHIS, TN, 
