13112, 6200 VILLAGE GROVE, MEMPHIS, TN, 
13113, 6300 CRANBURY PARK, MEMPHIS, TN, 
13114, 6300 MERRYWIND CV, MEMPHIS, TN, 
13115, 6400 BRIAR PATCH, MEMPHIS, TN, 
13116, 6400 HUNTERS PLACE, MEMPHIS, TN, 
13117, 6600 NORTH COUNTRY OAKS CIRCLE, MEMPHIS, TN, 
13118, 6600 ROCKY PARK DR, MEMPHIS, TN, 
13119, 6700 CHAUNCEY CV, MEMPHIS, TN, 
13120, 6700 HARTFORD DR, MEMPHIS, TN, 
13121, 6700 KNOLLFIELD, MEMPHIS, TN, 
13122, 6700 RAINES, MEMPHIS, TN, 
13123, 6700 REESE RD, MEMPHIS, TN, 
13124, 6800 LENOX CENTER CT, MEMPHIS, TN, 
13125, 6800 NORTH LANDING WAY, MEMPHIS, TN, 
13126, 6900 TAWNY CV, MEMPHIS, TN, 
13127, 700 DELLROSE, MEMPHIS, TN, 
13128, 700 E PKWY S, MEMPHIS, TN, 
13129, 700 EAST DISON, MEMPHIS, TN, 
13130, 700 JOSEPHINE ST, MEMPHIS, TN, 
13131, 700 N AVANT LN, MEMPHIS, TN, 
13132, 700 N SIXTH ST, MEMPHIS, TN, 
13133, 700 NORTH MANASSAS, MEMPHIS, TN, 
13134, 700 OAKLEAF OFFICE LN, MEMPHIS, TN, 
13135, 700 S MAIN, MEMPHIS, TN, 
13136, 700 S ORLEANS, MEMPHIS, TN, 
13137, 700 ST PAUL AVE, MEMPHIS, TN, 
13138, 700 TENNESSEE ST, MEMPHIS, TN, 
13139, 700 TRIGG, MEMPHIS, TN, 
13140, 700 W RAINES RD, MEMPHIS, TN, 
13141, 7000 GREEN CREST DR, MEMPHIS, TN, 
13142, 7000 RED OAKS CIRCLE, MEMPHIS, TN, 
13143, 7100 COBBLESTONE, MEMPHIS, TN, 
13144, 7100 HWY 64, MEMPHIS, TN, 
13145, 7200 COUNTRY OAKS DR, MEMPHIS, TN, 
13146, 7200 FALLS HOLLOW CV, MEMPHIS, TN, 
13147, 7200 SHADOW OAKS DR, MEMPHIS, TN, 
13148, 800 ALMA ST, MEMPHIS, TN, 
13149, 800 BARRETT PL, MEMPHIS, TN, 
13150, 800 DELLROSE, MEMPHIS, TN, 
13151, 800 E BROOKS, MEMPHIS, TN, 
13152, 800 HOMER, MEMPHIS, TN, 
13153, 800 JOSEPHINE ST, MEMPHIS, TN, 
13154, 800 LIPFORD ST, MEMPHIS, TN, 
13155, 800 LOEB ST, MEMPHIS, TN, 
13156, 800 MARSH, MEMPHIS, TN, 
13157, 800 PRESCOTT, MEMPHIS, TN, 
13158, 800 ROSEMONT, MEMPHIS, TN, 
13159, 800 S BARKSDALE, MEMPHIS, TN, 
13160, 800 S COOPER, MEMPHIS, TN, 
13161, 800 S COX, MEMPHIS, TN, 
13162, 800 SOUTH HIGHLAND, MEMPHIS, TN, 
13163, 800 WARING RD, MEMPHIS, TN, 
13164, 800 WHITNEY AVE, MEMPHIS, TN, 
13165, 8200 CORDOVA RD, MEMPHIS, TN, 
