26114, 5200 ROLLING FIELDS DR, MEMPHIS, TN, 
26115, 5200 SOUTH THIRD ST, MEMPHIS, TN, 
26116, 5200 STACEY RD, MEMPHIS, TN, 
26117, 5200 VICKIE, MEMPHIS, TN, 
26118, 5200 WALNUT GROVE, MEMPHIS, TN, 
26119, 5300 AIRVIEW RD, MEMPHIS, TN, 
26120, 5300 AIRWAYS, MEMPHIS, TN, 
26121, 5300 BLUERIDGE, MEMPHIS, TN, 
26122, 5300 CROSSFIELD RD, MEMPHIS, TN, 
26123, 5300 DERRON, MEMPHIS, TN, 
26124, 5300 EDENSHIRE, MEMPHIS, TN, 
26125, 5300 EPWORTH CV, MEMPHIS, TN, 
26126, 5300 FERNLEAF AVE, MEMPHIS, TN, 
26127, 5300 HONEYWOOD AVE, MEMPHIS, TN, 
26128, 5300 LEONARD RD, MEMPHIS, TN, 
26129, 5300 MESQUITE, MEMPHIS, TN, 
26130, 5300 PATRICK HENRY DR, MEMPHIS, TN, 
26131, 5300 RAINES, MEMPHIS, TN, 
26132, 5300 STAGE RD, MEMPHIS, TN, 
26133, 5300 STHIRD, MEMPHIS, TN, 
26134, 5300 WAYFARER, MEMPHIS, TN, 
26135, 5300 WESLEY PARK DR, MEMPHIS, TN, 
26136, 5400 ALBEMARLE DR, MEMPHIS, TN, 
26137, 5400 DEE CV, MEMPHIS, TN, 
26138, 5400 DENWOOD AVE, MEMPHIS, TN, 
26139, 5400 HUNGERFORD, MEMPHIS, TN, 
26140, 5400 LAMAR, MEMPHIS, TN, 
26141, 5400 NORMANDY, MEMPHIS, TN, 
26142, 5400 RICH, MEMPHIS, TN, 
26143, 5400 SANTA MONICA ST, MEMPHIS, TN, 
26144, 5400 YELLOWOOD, MEMPHIS, TN, 
26145, 5500 BANNOCK, MEMPHIS, TN, 
26146, 5500 CRESTVIEW RD, MEMPHIS, TN, 
26147, 5500 E SHELBY DR, MEMPHIS, TN, 
26148, 5500 EMERALD HILLS, MEMPHIS, TN, 
26149, 5500 FINCHWOOD CV, MEMPHIS, TN, 
26150, 5500 MAPLE RIDGE, MEMPHIS, TN, 
26151, 5500 MESQUITE RD, MEMPHIS, TN, 
26152, 5500 N MEADOWLAKE, MEMPHIS, TN, 
26153, 5500 S ANGELA, MEMPHIS, TN, 
26154, 5500 SPUTNIK DR, MEMPHIS, TN, 
26155, 5500 VANDEROAK, MEMPHIS, TN, 
26156, 5500 WALNUT GROVE, MEMPHIS, TN, 
26157, 5600 BAYSHORE, MEMPHIS, TN, 
26158, 5600 DERRON, MEMPHIS, TN, 
26159, 5600 GETWELL, MEMPHIS, TN, 
26160, 5600 HERITAGE LAKE CV, MEMPHIS, TN, 
26161, 5600 LAKE VERNELL, MEMPHIS, TN, 
26162, 5600 MELVIN, MEMPHIS, TN, 
26163, 5600 MURFF AVE, MEMPHIS, TN, 
26164, 5600 MURRAY, MEMPHIS, TN, 
26165, 5600 QUINCE, MEMPHIS, TN, 
26166, 5600 UNITED DR, MEMPHIS, TN, 
26167, 5700 APPLEBLOSSOM, MEMPHIS, TN, 
26168, 5700 GARDEN GAP, MEMPHIS, TN, 
26169, 5700 MASON, MEMPHIS, TN, 
26170, 5700 PATHWAY, MEMPHIS, TN, 
26171, 5700 PIDGEON ROOST, MEMPHIS, TN, 
26172, 5700 RICH, MEMPHIS, TN, 
26173, 5700 SCOTTSDALE AVE, MEMPHIS, TN, 
26174, 5700 SYCAMORE RIDGE RD, MEMPHIS, TN, 
26175, 5700 WATERSTONE OAK DR, MEMPHIS, TN, 
26176, 5800 FRENCH MARKET CIRCLE NORTH, MEMPHIS, TN, 
26177, 5800 JARDIN, MEMPHIS, TN, 
26178, 5800 PLUM VALLEY DR, MEMPHIS, TN, 
26179, 5800 RAL-LAGRANGE, MEMPHIS, TN, 
