126110, 500 SO FRONT, MEMPHIS, TN, 
126111, 500 SO LAUDERDALE, MEMPHIS, TN, 
126112, 500 SO MAIN, MEMPHIS, TN, 
126113, 500 SO PARKWAY E, MEMPHIS, TN, 
126114, 500 SORLEANS ST, MEMPHIS, TN, 
126115, 500 SOUTH BUNTYN, MEMPHIS, TN, 
126116, 500 SOUTH BUTLER, MEMPHIS, TN, 
126117, 500 SOUTH BUTLERWOODS, MEMPHIS, TN, 
126118, 500 SOUTH CAMILLA, MEMPHIS, TN, 
126119, 500 SOUTH CLEVELAND ST, MEMPHIS, TN, 
126120, 500 SOUTH FENWICK ST, MEMPHIS, TN, 
126121, 500 SOUTH FRONT #203, MEMPHIS, TN, 
126122, 500 SOUTH FRONT ST UNIT 201 S, MEMPHIS, TN, 
126123, 500 SOUTH GERMANTOWN PKY, MEMPHIS, TN, 
126124, 500 SOUTH GREER ST, MEMPHIS, TN, 
126125, 500 SOUTH GROVE, MEMPHIS, TN, 
126126, 500 SOUTH HIGHLAND APT17, MEMPHIS, TN, 
126127, 500 SOUTH JEFFERSON APT 2, MEMPHIS, TN, 
126128, 500 SOUTH MAIN 304, MEMPHIS, TN, 
126129, 500 SOUTH ORLEANS ST, MEMPHIS, TN, 
126130, 500 SOUTH PERKINS EXTENDED, MEMPHIS, TN, 
126131, 500 SOUTH PKWY W, MEMPHIS, TN, 
126132, 500 SOUTH PRESCOTT ST, MEMPHIS, TN, 
126133, 500 SOUTH RESSE, MEMPHIS, TN, 
126134, 500 SOUTH SANGA RD, MEMPHIS, TN, 
126135, 500 SOUTH WHITE STATIOM, MEMPHIS, TN, 
126136, 500 SOUTH YATES RD, MEMPHIS, TN, 
126137, 500 SOUTH YATES, MEMPHIS, TN, 
126138, 500 SOUTHERN AND N PKWY, MEMPHIS, TN, 
126139, 500 SOUTHERN, MEMPHIS, TN, 
126140, 500 SOUTHPARKWAY EAST, MEMPHIS, TN, 
126141, 500 ST HIGHLAND, MEMPHIS, TN, 
126142, 500 ST MARTIN AVE, MEMPHIS, TN, 
126143, 500 ST MARTIN, MEMPHIS, TN, 
126144, 500 ST NICK AVE, MEMPHIS, TN, 
126145, 500 ST NICK DR, MEMPHIS, TN, 
126146, 500 ST NICK RD, MEMPHIS, TN, 
126147, 500 ST PIERRE, MEMPHIS, TN, 
126148, 500 STAFFORD CIRCLE, MEMPHIS, TN, 
126149, 500 STONE HAM, MEMPHIS, TN, 
126150, 500 STONEHAM DR, MEMPHIS, TN, 
126151, 500 SUGAR CREEK, MEMPHIS, TN, 
126152, 500 SULLIVAN AVE, MEMPHIS, TN, 
126153, 500 SULLIVAN RD, MEMPHIS, TN, 
126154, 500 SULLIVAN ST, MEMPHIS, TN, 
126155, 500 SULLUVAN DR, MEMPHIS, TN, 
126156, 500 SUMMER AVE, MEMPHIS, TN, 
126157, 500 SUMMER, MEMPHIS, TN, 
126158, 500 SUMMERWOOD RD, MEMPHIS, TN, 
126159, 500 SUMNERS WELLS, MEMPHIS, TN, 
126160, 500 SWAIN RIDGE, MEMPHIS, TN, 
126161, 500 SWEETBRIER CV, MEMPHIS, TN, 
126162, 500 TAKIMTHI, MEMPHIS, TN, 
126163, 500 TAMPA AVE, MEMPHIS, TN, 
126164, 500 TANAWANDA CV, MEMPHIS, TN, 
126165, 500 TENACITY CT 205, MEMPHIS, TN, 
126166, 500 TENESSEE ST, MEMPHIS, TN, 
126167, 500 THOMAS, MEMPHIS, TN, 
126168, 500 TIKAMATHI, MEMPHIS, TN, 
126169, 500 TIKAMITHI CV, MEMPHIS, TN, 
126170, 500 TILLIMAN, MEMPHIS, TN, 
126171, 500 TILLMAN #1, MEMPHIS, TN, 
126172, 500 TILLMAN 1, MEMPHIS, TN, 
126173, 500 TILLMAN 12, MEMPHIS, TN, 
126174, 500 TILLMAN 3, MEMPHIS, TN, 
126175, 500 TILLMAN 8, MEMPHIS, TN, 
126176, 500 TILLMAN APT 1, MEMPHIS, TN, 
126177, 500 TILLMAN APT 10, MEMPHIS, TN, 
126178, 500 TILLMAN APT 7, MEMPHIS, TN, 
126179, 500 TILLMAN APT 8, MEMPHIS, TN, 
126180, 500 TILLMAN APT A, MEMPHIS, TN, 
126181, 500 TILLMAN APT2, MEMPHIS, TN, 
126182, 500 TILLMAN PL, MEMPHIS, TN, 
126183, 500 TILLMAN ST., MEMPHIS, TN, 
126184, 500 TILLMAN STATION, MEMPHIS, TN, 
126185, 500 TONAWONDA CV, MEMPHIS, TN, 
126186, 500 TONDAWA, MEMPHIS, TN, 
126187, 500 TONSTAD CV, MEMPHIS, TN, 
126188, 500 TRIGG AVENUE, MEMPHIS, TN, 
126189, 500 TUTTON CV, MEMPHIS, TN, 
126190, 500 TWELVE OAK CIR, MEMPHIS, TN, 
126191, 500 UNIION, MEMPHIS, TN, 
126192, 500 UNION AV, MEMPHIS, TN, 
126193, 500 UNIVERSITY CTR, MEMPHIS, TN, 
126194, 500 UNIVERSITY RD, MEMPHIS, TN, 
126195, 500 UNIVERSITY RM 172, MEMPHIS, TN, 
126196, 500 UNIVETSITY CTR, MEMPHIS, TN, 
126197, 500 UNVERSITY, MEMPHIS, TN, 
126198, 500 VANCE #106, MEMPHIS, TN, 
126199, 500 VANCE 102, MEMPHIS, TN, 
