31110, 6100 RIDGEWICK DR, MEMPHIS, TN, 
31111, 6100 RIVER OAKS CV, MEMPHIS, TN, 
31112, 6100 SHADY GROVE, MEMPHIS, TN, 
31113, 6200 BELLE FOREST DR, MEMPHIS, TN, 
31114, 6200 CRANBURY PARK DR, MEMPHIS, TN, 
31115, 6200 DISCOVER DR, MEMPHIS, TN, 
31116, 6200 FLODDEN, MEMPHIS, TN, 
31117, 6200 MACINNESS, MEMPHIS, TN, 
31118, 6200 PEBBLE BEACH AVE, MEMPHIS, TN, 
31119, 6200 RIDGEWYCK RD, MEMPHIS, TN, 
31120, 6200 TROUT VALLEY, MEMPHIS, TN, 
31121, 6300 ARBOR CREEK TRAILS, MEMPHIS, TN, 
31122, 6300 BAY PARK DR, MEMPHIS, TN, 
31123, 6300 GREENBERRY HILL CV, MEMPHIS, TN, 
31124, 6300 HAILEY RD, MEMPHIS, TN, 
31125, 6300 KINGSCREST, MEMPHIS, TN, 
31126, 6300 SUMMER, MEMPHIS, TN, 
31127, 6300 WINCHESTER AVE, MEMPHIS, TN, 
31128, 6400 BRANDERHAM DR, MEMPHIS, TN, 
31129, 6400 EAST HOLMES RD, MEMPHIS, TN, 
31130, 6400 MULLINS STATION CV, MEMPHIS, TN, 
31131, 6400 NORTH QUAIL HOLLOW, MEMPHIS, TN, 
31132, 6400 STAFFORDSHIRE RD, MEMPHIS, TN, 
31133, 6400 THORNFIELD DR, MEMPHIS, TN, 
31134, 6400 TRAFALGAR RD, MEMPHIS, TN, 
31135, 6400 WOODPARK DR, MEMPHIS, TN, 
31136, 6500 COPPER VALLEY DR S, MEMPHIS, TN, 
31137, 6500 COPPER VALLEY, MEMPHIS, TN, 
31138, 6500 COUNTRY OAKS CIR, MEMPHIS, TN, 
31139, 6500 CRIMSON, MEMPHIS, TN, 
31140, 6500 E SHELBY DRIVE, MEMPHIS, TN, 
31141, 6500 GILLESPIE RD, MEMPHIS, TN, 
31142, 6500 GILLHAM DR, MEMPHIS, TN, 
31143, 6500 KIRBY TREE, MEMPHIS, TN, 
31144, 6500 SUMMER GALE, MEMPHIS, TN, 
31145, 6600 CABERNET CV, MEMPHIS, TN, 
31146, 6600 CENTURY ARBOR WEST, MEMPHIS, TN, 
31147, 6600 COUNTRY OAK CIR, MEMPHIS, TN, 
31148, 6600 IMPERIAL OAK DR, MEMPHIS, TN, 
31149, 6600 IMPERIAL OAKS CV, MEMPHIS, TN, 
31150, 6600 KIRBY FOREST CV, MEMPHIS, TN, 
31151, 6600 MACON, MEMPHIS, TN, 
31152, 6600 RAINES, MEMPHIS, TN, 
31153, 6600 W MARGAUX CV, MEMPHIS, TN, 
31154, 6600 WINCHESTER AVE, MEMPHIS, TN, 
31155, 6700 BAINBRIDGE, MEMPHIS, TN, 
31156, 6700 BENT TREE, MEMPHIS, TN, 
31157, 6700 BOYLSTON, MEMPHIS, TN, 
31158, 6700 BURLINGAME, MEMPHIS, TN, 
31159, 6700 DUCKLING CV, MEMPHIS, TN, 
31160, 6700 EINAT CV, MEMPHIS, TN, 
31161, 6700 ELK GATE, MEMPHIS, TN, 
