167099, SHELBY DR AND I-55 SOUTHBOUND, MEMPHIS, TN, 
167100, SHELBY DR AND I55 HWY, MEMPHIS, TN, 
167101, SHELBY DR AND INTERSTATE, MEMPHIS, TN, 
167102, SHELBY DR AND JONETTA, MEMPHIS, TN, 
167103, SHELBY DR AND KASSEL, MEMPHIS, TN, 
167104, SHELBY DR AND KASSELL, MEMPHIS, TN, 
167105, SHELBY DR AND KATHERINE LN, MEMPHIS, TN, 
167106, SHELBY DR AND KIRBY PARK WAY, MEMPHIS, TN, 
167107, SHELBY DR AND KIRBY PARKWAH, MEMPHIS, TN, 
167108, SHELBY DR AND KIRBY PARKWAY, MEMPHIS, TN, 
167109, SHELBY DR AND KIRBY PKY, MEMPHIS, TN, 
167110, SHELBY DR AND LEWIS CARRUTHERS RD, MEMPHIS, TN, 
167111, SHELBY DR AND LEWIS CARRUTHERS, MEMPHIS, TN, 
167112, SHELBY DR AND LEWIS CRUTHERS, MEMPHIS, TN, 
167113, SHELBY DR AND LOUIS CARRATHERS, MEMPHIS, TN, 
167114, SHELBY DR AND LOUIS CARUTHERS DR, MEMPHIS, TN, 
167115, SHELBY DR AND MALARD NEST, MEMPHIS, TN, 
167116, SHELBY DR AND MALLARD NEST, MEMPHIS, TN, 
167117, SHELBY DR AND MALLARD RIDGE, MEMPHIS, TN, 
167118, SHELBY DR AND MALONE RD, MEMPHIS, TN, 
167119, SHELBY DR AND MCKORKLE, MEMPHIS, TN, 
167120, SHELBY DR AND MENDENHALL RD, MEMPHIS, TN, 
167121, SHELBY DR AND MICKEY ST, MEMPHIS, TN, 
167122, SHELBY DR AND MICKY, MEMPHIS, TN, 
167123, SHELBY DR AND MILL BRANCH RD, MEMPHIS, TN, 
167124, SHELBY DR AND MILL BRANCH, MEMPHIS, TN, 
167125, SHELBY DR AND MILL STREAM DR, MEMPHIS, TN, 
167126, SHELBY DR AND MILLBRANCH DR, MEMPHIS, TN, 
167127, SHELBY DR AND MILLVIEW CT, MEMPHIS, TN, 
167128, SHELBY DR AND ORLEANS, MEMPHIS, TN, 
167129, SHELBY DR AND PERCY RD, MEMPHIS, TN, 
167130, SHELBY DR AND PLESANT HILL, MEMPHIS, TN, 
167131, SHELBY DR AND PLESANTVIEW, MEMPHIS, TN, 
167132, SHELBY DR AND PRIVATE DR, MEMPHIS, TN, 
167133, SHELBY DR AND QUALITY DR, MEMPHIS, TN, 
167134, SHELBY DR AND S THIRD ST, MEMPHIS, TN, 
167135, SHELBY DR AND SANDY PARK DR, MEMPHIS, TN, 
167136, SHELBY DR AND SANDY PARK, MEMPHIS, TN, 
167137, SHELBY DR AND SHELBY AIR, MEMPHIS, TN, 
