136041, 6900 WILCHESTER RD, MEMPHIS, TN, 
136042, 6900 WINCHESTER SUITED, MEMPHIS, TN, 
136043, 6900 WINCHESTERRD, MEMPHIS, TN, 
136044, 6900 WINDING LN, MEMPHIS, TN, 
136045, 6900 WOLFSTONE CIR, MEMPHIS, TN, 
136046, 6900 WOOD LAKES DR, MEMPHIS, TN, 
136047, 6900 WOOD MILLS, MEMPHIS, TN, 
136048, 6900 WOODLAKE CIR, MEMPHIS, TN, 
136049, 6900 WYNTHAM DR, MEMPHIS, TN, 
136050, 6900 WYTHAM CV, MEMPHIS, TN, 
136051, 6906FOXHORSE CV, MEMPHIS, TN, 
136052, 691ALICE, MEMPHIS, TN, 
136053, 691HAMILTON, MEMPHIS, TN, 
136054, 6920 AND 6922 E SHELBY DR, MEMPHIS, TN, 
136055, 6921BORDEAUX, MEMPHIS, TN, 
136056, 693SHELBY, MEMPHIS, TN, 
136057, 695-699 HANLEY, MEMPHIS, TN, 
136058, 6988AUTUMN CREST CV, MEMPHIS, TN, 
136059, 6TH AND CEDAR, MEMPHIS, TN, 
136060, 6TH AND CHELSEA, MEMPHIS, TN, 
136061, 6TH AND GREENLAW, MEMPHIS, TN, 
136062, 6TH SOUTH COOPER, MEMPHIS, TN, 
136063, 6TH ST AND CEDAR AVE, MEMPHIS, TN, 
136064, 6TH ST AND GREENLAW AVE, MEMPHIS, TN, 
136065, 7-800 CARSON AND SPOTTSWOOD, MEMPHIS, TN, 
136066, 700 & 695 HANLEY, MEMPHIS, TN, 
136067, 700 0AKLEAF OFFICE LN 105, MEMPHIS, TN, 
136068, 700 4TH, MEMPHIS, TN, 
136069, 700 ADAMS (JUVENILE CT), MEMPHIS, TN, 
136070, 700 ADAMS 5, MEMPHIS, TN, 
136071, 700 ADAMS 9, MEMPHIS, TN, 
136072, 700 ADAMS AND POPLAR AND HAMLIN LOT, MEMPHIS, TN, 
136073, 700 ADAMS APT 11, MEMPHIS, TN, 
136074, 700 ADAMS APT12, MEMPHIS, TN, 
136075, 700 ADAMS APT5, MEMPHIS, TN, 
136076, 700 ADAMS PLACE, MEMPHIS, TN, 
136077, 700 ADAMS ROOM 283, MEMPHIS, TN, 
136078, 700 ADAMS W, MEMPHIS, TN, 
136079, 700 ADMAS, MEMPHIS, TN, 
136080, 700 AGGIE ST, MEMPHIS, TN, 
136081, 700 AIRES, MEMPHIS, TN, 
