10112, 4100 CHARLES DR, MEMPHIS, TN, 
10113, 4100 MACON, MEMPHIS, TN, 
10114, 4100 MCWEENY, MEMPHIS, TN, 
10115, 4100 POINT CHURCH, MEMPHIS, TN, 
10116, 4200 AMANDA CIRCLE, MEMPHIS, TN, 
10117, 4200 HOLMES RD, MEMPHIS, TN, 
10118, 4200 MCCORKLE, MEMPHIS, TN, 
10119, 4200 NEELY, MEMPHIS, TN, 
10120, 4200 SOUTHWYCK LN, MEMPHIS, TN, 
10121, 4300 AIR TRANS RD, MEMPHIS, TN, 
10122, 4300 DEERLAND ST, MEMPHIS, TN, 
10123, 4400 FARONIA RD, MEMPHIS, TN, 
10124, 4400 FLAIRWOOD, MEMPHIS, TN, 
10125, 4400 MT HOOD, MEMPHIS, TN, 
10126, 4500 BOYCE RD, MEMPHIS, TN, 
10127, 4500 CIMMARON, MEMPHIS, TN, 
10128, 4500 DAVIDCREST, MEMPHIS, TN, 
10129, 4500 HELENE, MEMPHIS, TN, 
10130, 4600 CINDERELLA, MEMPHIS, TN, 
10131, 4600 COUNTRY BROOK, MEMPHIS, TN, 
10132, 4600 HARVEST HILL, MEMPHIS, TN, 
10133, 4600 MARIGOLD, MEMPHIS, TN, 
10134, 4600 WHITEFOX, MEMPHIS, TN, 
10135, 4600 WHITEPINE, MEMPHIS, TN, 
10136, 4700 DUNN, MEMPHIS, TN, 
10137, 4700 MILLPORT CV, MEMPHIS, TN, 
10138, 4700 RIVERDALE RD, MEMPHIS, TN, 
10139, 4700 SHAKER CV, MEMPHIS, TN, 
10140, 4700 WATERMILL DR, MEMPHIS, TN, 
10141, 4800 APPLESTONE ST, MEMPHIS, TN, 
10142, 4800 BOWEN, MEMPHIS, TN, 
10143, 4800 BURBANK, MEMPHIS, TN, 
10144, 4800 CVNTRY MALL, MEMPHIS, TN, 
10145, 4800 MILL BRANCH RD, MEMPHIS, TN, 
10146, 4800 STACEY, MEMPHIS, TN, 
10147, 4900 DAPHNE RD, MEMPHIS, TN, 
10148, 4900 HIDDEN WOODS CV, MEMPHIS, TN, 
10149, 4900 MCCRORY, MEMPHIS, TN, 
10150, 4900 NEELY, MEMPHIS, TN, 
10151, 4900 RALEIGH MILLINGTON, MEMPHIS, TN, 
10152, 4900 STAGE RD, MEMPHIS, TN, 
10153, 4TH AND VANCE, MEMPHIS, TN, 
10154, 500 BONITA DR, MEMPHIS, TN, 
10155, 500 DICKINSON, MEMPHIS, TN, 
10156, 500 E MALLORY, MEMPHIS, TN, 
10157, 500 E RAINES, MEMPHIS, TN, 
10158, 500 S LAUDERDALE ST, MEMPHIS, TN, 
10159, 500 SOUTH FRONT, MEMPHIS, TN, 
10160, 5000 CHEVRON RD, MEMPHIS, TN, 
10161, 5000 MCKELLAR PARK, MEMPHIS, TN, 
10162, 5000 WINCHESTER RD, MEMPHIS, TN, 
10163, 5100 WILFONG, MEMPHIS, TN, 
10164, 5200 CANA RD, MEMPHIS, TN, 
10165, 5200 CITATION, MEMPHIS, TN, 
10166, 5200 HUDGINS, MEMPHIS, TN, 
10167, 5200 JESSIE LEE LN, MEMPHIS, TN, 
10168, 5200 LEXIE, MEMPHIS, TN, 
10169, 5200 WAYFARER CR, MEMPHIS, TN, 
10170, 5300 FERNLEAF, MEMPHIS, TN, 
10171, 5300 KNIGHT ARNOLD RD, MEMPHIS, TN, 
10172, 5300 WAYFARER CIRCLE, MEMPHIS, TN, 
10173, 5400 DISTRIPLEX FARMS DR, MEMPHIS, TN, 
10174, 5400 TIMBERDALE, MEMPHIS, TN, 
10175, 5500 DAVIDSON, MEMPHIS, TN, 
10176, 5500 DERRON, MEMPHIS, TN, 
10177, 5500 MILLBRANCH, MEMPHIS, TN, 
10178, 5600 KNIGHT ARNOLD, MEMPHIS, TN, 
10179, 5900 ASHRIDGE PLACE, MEMPHIS, TN, 
10180, 5900 ASQUITH PLACE, MEMPHIS, TN, 
10181, 5900 NEWBERRY, MEMPHIS, TN, 
10182, 600 E PKWY S, MEMPHIS, TN, 
10183, 600 N FOURTH, MEMPHIS, TN, 
10184, 600 UPTOWN VILLAGE CIR, MEMPHIS, TN, 
10185, 6000 N LITTLE BROOK CIRCLE, MEMPHIS, TN, 
10186, 6100 BLACK RAVEN DR, MEMPHIS, TN, 
10187, 6200 BRIARBEND LN, MEMPHIS, TN, 
10188, 6300 RIDGE MANOR DR, MEMPHIS, TN, 
10189, 6400 CHEEKWOOD, MEMPHIS, TN, 
10190, 6500 MACON RD, MEMPHIS, TN, 
10191, 6500 S COUNTRY OAKS CIR, MEMPHIS, TN, 
10192, 6700 ELKGATE, MEMPHIS, TN, 
10193, 6800 CASTLEGATE LN, MEMPHIS, TN, 
10194, 6800 ROCKBROOK DR, MEMPHIS, TN, 
10195, 6800 VALLEY PARK DR, MEMPHIS, TN, 
10196, 700 E MALLORY AVE, MEMPHIS, TN, 
10197, 700 EAST GEORGIA, MEMPHIS, TN, 
10198, 700 EAST SHELBY, MEMPHIS, TN, 
10199, 700 HURON, MEMPHIS, TN, 
10200, 700 LESTER ST, MEMPHIS, TN, 
10201, 700 MCDAVITT, MEMPHIS, TN, 
10202, 700 N FOURTH, MEMPHIS, TN, 
10203, 700 S CAMILLA, MEMPHIS, TN, 
10204, 700 S GREER, MEMPHIS, TN, 
10205, 700 WILLIAMS AVE, MEMPHIS, TN, 
10206, 7100 CROSS TIMBER LN, MEMPHIS, TN, 
10207, 7100 RIVER RUN LN, MEMPHIS, TN, 
10208, 7100 TEXEL CV, MEMPHIS, TN, 
10209, 7200 DEVENTER CV, MEMPHIS, TN, 
10210, 7300 HWY 64, MEMPHIS, TN, 
10211, 7400 NEWLING LN, MEMPHIS, TN, 
10212, 7800 DEERFIELD TRACE, MEMPHIS, TN, 
10213, 7800 POLO GROUNDS BLVD, MEMPHIS, TN, 
10214, 7800 POLO GROUNDS, MEMPHIS, TN, 
10215, 800 EASTERN, MEMPHIS, TN, 
10216, 800 HAMILTON ST, MEMPHIS, TN, 
10217, 800 MUDDY RIVER LN, MEMPHIS, TN, 
10218, 800 OLYMPIC ST, MEMPHIS, TN, 
10219, 8100 COUNTRY SQUIRE LN, MEMPHIS, TN, 
10220, 8100 HAVISHIRE CV, MEMPHIS, TN, 
10221, 8200 DEXTER CREEK LN, MEMPHIS, TN, 
10222, 8200 ROCKCREEK PL, MEMPHIS, TN, 
10223, 8300 VARNAVAS, MEMPHIS, TN, 
10224, 8300 WOLFCHASE LN, MEMPHIS, TN, 
10225, 8800 CLEAR SKY PATH, MEMPHIS, TN, 
10226, 900 ALMA ST, MEMPHIS, TN, 
10227, 900 BERCLAIR RD, MEMPHIS, TN, 
10228, 900 BOSTON ST, MEMPHIS, TN, 
10229, 900 CAVALIER, MEMPHIS, TN, 
10230, 900 KEEL, MEMPHIS, TN, 
10231, 900 NORTH PKWY, MEMPHIS, TN, 
10232, 900 WEST RAINES, MEMPHIS, TN, 
10233, 9200 MORNING RIDGE RD, MEMPHIS, TN, 
10234, 9800 HWY 64, MEMPHIS, TN, 
10235, CHELSEA AND LAMBERT, MEMPHIS, TN, 
10236, CHELSEA AND PERES, MEMPHIS, TN, 
10237, CRUMP AND EAST, MEMPHIS, TN, 
10238, ELDRIDGE AND HOLLYWOOD, MEMPHIS, TN, 
10239, ELVIS PRESLEY AND MONTGOMERY, MEMPHIS, TN, 
10240, GEORGIA AND LAUDERDALE, MEMPHIS, TN, 
10241, HERNANDO AND PONTOTOC, MEMPHIS, TN, 
10242, I-240 AND POPLAR AVE, MEMPHIS, TN, 
10243, I-40 AND AUSTIN PEAY, MEMPHIS, TN, 
10244, KNIGHT ARNOLD AND GOODLETT, MEMPHIS, TN, 
10245, LAMAR AND WILLETT, MEMPHIS, TN, 
10246, LAUDERDALE AND MALLORY, MEMPHIS, TN, 
10247, LAUDERDALE AND VANCE, MEMPHIS, TN, 
10248, MADISON AND BELVEDERE, MEMPHIS, TN, 
10249, MISSISSIPPI AND GEORGIA, MEMPHIS, TN, 
10250, PARK AND RIDGEWAY, MEMPHIS, TN, 
10251, PEABODY AND MAIN, MEMPHIS, TN, 
10252, QUINCE AND KIRBY, MEMPHIS, TN, 
10253, RAINES AND WESTMONT, MEMPHIS, TN, 
10254, RUFUS THOMAS AND BEALE, MEMPHIS, TN, 
10255, SHELBY AND MILLBRANCH, MEMPHIS, TN, 
10256, SHELBY DR AND GETWELL, MEMPHIS, TN, 
10257, SHELBY OAKS AND SYCAMORE VIEW, MEMPHIS, TN, 
10258, SYCAMORE VIEW AND I40, MEMPHIS, TN, 
10259, WATKINS AND OVERTON CROSSING, MEMPHIS, TN, 
10260, WINCHESTER AND ROSS, MEMPHIS, TN, 
10261, 100 FLORENCE, MEMPHIS, TN, 
10262, 100 GAYOSO AVE, MEMPHIS, TN, 
10263, 100 HULING, MEMPHIS, TN, 
10264, 100 MUDDY RIVER LN, MEMPHIS, TN, 
10265, 100 NORTH MAIN ST, MEMPHIS, TN, 
10266, 100 VICKSBURG CV, MEMPHIS, TN, 
10267, 100 W DUNBAR, MEMPHIS, TN, 
10268, 1000 DUNLAP, MEMPHIS, TN, 
10269, 1000 ELIZABETH LN, MEMPHIS, TN, 
10270, 1000 FAXON AVE, MEMPHIS, TN, 
10271, 1000 KIPPLEY, MEMPHIS, TN, 
10272, 1000 LEON PLACE, MEMPHIS, TN, 
10273, 1000 MCCLURE, MEMPHIS, TN, 
10274, 1000 N GERMANTOWN, MEMPHIS, TN, 
10275, 1000 N MCLEAN, MEMPHIS, TN, 
10276, 1000 W RAINES, MEMPHIS, TN, 
10277, 1000 WHITAKER, MEMPHIS, TN, 
10278, 1000 WOODBURY, MEMPHIS, TN, 
10279, 1100 BEACH, MEMPHIS, TN, 
10280, 1100 BLANCHARD, MEMPHIS, TN, 
