32109, 1100 TIDES RIDGE CV, MEMPHIS, TN, 
32110, 1100 VINEWOOD, MEMPHIS, TN, 
32111, 1100 VOLLINTINE AVE, MEMPHIS, TN, 
32112, 1100 W MONTEBELLO CIR, MEMPHIS, TN, 
32113, 1100 WALK RD, MEMPHIS, TN, 
32114, 1100 WEST RAINES, MEMPHIS, TN, 
32115, 1100 WEST SHANKMAN CIRCLE, MEMPHIS, TN, 
32116, 1100 WHITAKER ST, MEMPHIS, TN, 
32117, 1100 WHITESTATION, MEMPHIS, TN, 
32118, 1100 WILLET, MEMPHIS, TN, 
32119, 11000 HWY 64, MEMPHIS, TN, 
32120, 1200 ARGYLE, MEMPHIS, TN, 
32121, 1200 AUBRA RD, MEMPHIS, TN, 
32122, 1200 BAMMELL, MEMPHIS, TN, 
32123, 1200 BELLVUE, MEMPHIS, TN, 
32124, 1200 BRADBURY DR, MEMPHIS, TN, 
32125, 1200 CAPITOL, MEMPHIS, TN, 
32126, 1200 CELLA ST, MEMPHIS, TN, 
32127, 1200 CELTIC CV, MEMPHIS, TN, 
32128, 1200 CHARTER OAK, MEMPHIS, TN, 
32129, 1200 DEER TRAIL, MEMPHIS, TN, 
32130, 1200 DOVE CREST, MEMPHIS, TN, 
32131, 1200 E DEMPSTER AVE, MEMPHIS, TN, 
32132, 1200 E IRVIN DR, MEMPHIS, TN, 
32133, 1200 E IRVIN, MEMPHIS, TN, 
32134, 1200 ESTATE DR, MEMPHIS, TN, 
32135, 1200 ETHEL ST, MEMPHIS, TN, 
32136, 1200 GAUSCO, MEMPHIS, TN, 
32137, 1200 HALE RD, MEMPHIS, TN, 
32138, 1200 HALEDALE, MEMPHIS, TN, 
32139, 1200 HUNTSMAN LN, MEMPHIS, TN, 
32140, 1200 LAUDEEN DR, MEMPHIS, TN, 
32141, 1200 MAPLEBROOK LN, MEMPHIS, TN, 
32142, 1200 MAPLEBROOK, MEMPHIS, TN, 
32143, 1200 MARGRET, MEMPHIS, TN, 
32144, 1200 MARY JANE CV, MEMPHIS, TN, 
32145, 1200 MARY JANE, MEMPHIS, TN, 
32146, 1200 MERCHANT ST, MEMPHIS, TN, 
32147, 1200 MINNA, MEMPHIS, TN, 
32148, 1200 MT VERNON ST, MEMPHIS, TN, 
32149, 1200 N HOLLYWOOD ST, MEMPHIS, TN, 
32150, 1200 NATCHEZ, MEMPHIS, TN, 
32151, 1200 NORTH BELLEVUE, MEMPHIS, TN, 
32152, 1200 NORTH GRAHAM, MEMPHIS, TN, 
32153, 1200 OAK RIDGE DR, MEMPHIS, TN, 
32154, 1200 OAK RIVER, MEMPHIS, TN, 
32155, 1200 OVERTON PARK AVE, MEMPHIS, TN, 
32156, 1200 PERKINS, MEMPHIS, TN, 
32157, 1200 RUTLAND RD, MEMPHIS, TN, 
32158, 1200 RUTLAND ST, MEMPHIS, TN, 
32159, 1200 S BELLEVUE BOULEVARD, MEMPHIS, TN, 
32160, 1200 SOUTHLAND MALL DR, MEMPHIS, TN, 
32161, 1200 SPRINGDALE AVE, MEMPHIS, TN, 
32162, 1200 STAGE AVE, MEMPHIS, TN, 
32163, 1200 STAR LINE RD, MEMPHIS, TN, 
32164, 1200 STARLINE, MEMPHIS, TN, 
32165, 1200 STEPHEN, MEMPHIS, TN, 
32166, 1200 SYCAMORE VIEW, MEMPHIS, TN, 
32167, 1200 TANGLEWOOD ST, MEMPHIS, TN, 
32168, 1200 VERA CRUZ, MEMPHIS, TN, 
32169, 1200 VOLLINTINE AVE, MEMPHIS, TN, 
32170, 1200 WARFORD, MEMPHIS, TN, 
32171, 1200 WATKINS, MEMPHIS, TN, 
32172, 1200 WHEATON ST, MEMPHIS, TN, 
32173, 1200 WHITNEY AVE, MEMPHIS, TN, 
