52100, 6100 WIND MEADOWS LN, MEMPHIS, TN, 
52101, 6100 WIND MEADOWS, MEMPHIS, TN, 
52102, 6100, MEMPHIS, TN, 
52103, 6200 APARTMENTS, MEMPHIS, TN, 
52104, 6200 APT ENTRANCE OFF RIDGEWAY BLVD, MEMPHIS, TN, 
52105, 6200 BELL FOREST, MEMPHIS, TN, 
52106, 6200 BERRY PICK, MEMPHIS, TN, 
52107, 6200 BLUE WILLOW, MEMPHIS, TN, 
52108, 6200 BRIAR BEND, MEMPHIS, TN, 
52109, 6200 CHINA BERRY DR, MEMPHIS, TN, 
52110, 6200 EAST GLEN HOMES, MEMPHIS, TN, 
52111, 6200 ERYIE DR, MEMPHIS, TN, 
52112, 6200 FREEPORT DR, MEMPHIS, TN, 
52113, 6200 GASCONY DR, MEMPHIS, TN, 
52114, 6200 GLENHOME DR, MEMPHIS, TN, 
52115, 6200 GLENHOME, MEMPHIS, TN, 
52116, 6200 GRAY OAK DR, MEMPHIS, TN, 
52117, 6200 HICKORY FARM CIRCLE, MEMPHIS, TN, 
52118, 6200 KNIGHT ARNOLD RD EXT, MEMPHIS, TN, 
52119, 6200 KNIGHT BRIDGE DR, MEMPHIS, TN, 
52120, 6200 KNIGHTBRIDGE DR, MEMPHIS, TN, 
52121, 6200 KNIGHTBRIDGE, MEMPHIS, TN, 
52122, 6200 KNIGHTSBRIDGE LN, MEMPHIS, TN, 
52123, 6200 MACINNESS DR, MEMPHIS, TN, 
52124, 6200 MISSION RIDGE RD, MEMPHIS, TN, 
52125, 6200 MT MORIAH EXTENDED RD, MEMPHIS, TN, 
52126, 6200 RALEIGH LAGRANGE RD, MEMPHIS, TN, 
52127, 6200 RAVEN OAK DR, MEMPHIS, TN, 
52128, 6200 SAGEBRUSH DR, MEMPHIS, TN, 
52129, 6200 SHADOW FALLS CV, MEMPHIS, TN, 
52130, 6200 SOUTHAMPTON, MEMPHIS, TN, 
52131, 6200 SUDBERRY LN, MEMPHIS, TN, 
52132, 6200 TROUT VALLEY DR, MEMPHIS, TN, 
52133, 6200 VILLAGE GRV, MEMPHIS, TN, 
52134, 6200 WATER OAKS, MEMPHIS, TN, 
52135, 6200 WATERSTONE OAK SQ, MEMPHIS, TN, 
52136, 6200 WATERSTONE OAK, MEMPHIS, TN, 
52137, 6200 WINCHESTER AVE, MEMPHIS, TN, 
52138, 6200, MEMPHIS, TN, 
52139, 6300 ARBOR CREEK DR, MEMPHIS, TN, 
52140, 6300 ARBORCREEK TRAIL, MEMPHIS, TN, 
52141, 6300 BRIARCREST RD, MEMPHIS, TN, 
52142, 6300 FOREST GROVE, MEMPHIS, TN, 
52143, 6300 GILHAM, MEMPHIS, TN, 
52144, 6300 GILLESPIE RD, MEMPHIS, TN, 
52145, 6300 HUMPHRIES BLVD, MEMPHIS, TN, 
52146, 6300 HUMPREYS BLVD, MEMPHIS, TN, 
52147, 6300 KINGCREST, MEMPHIS, TN, 
52148, 6300 LAKE VIEW TR, MEMPHIS, TN, 
52149, 6300 LAMONT CV, MEMPHIS, TN, 
52150, 6300 LIMEWOOD, MEMPHIS, TN, 
52151, 6300 MASSEY OAKS CV, MEMPHIS, TN, 
52152, 6300 MORAY CV, MEMPHIS, TN, 
52153, 6300 MOUNT MORIAH RD EXT, MEMPHIS, TN, 
52154, 6300 MT MORIAH EXTENDED, MEMPHIS, TN, 
52155, 6300 RIVER VIEW CV, MEMPHIS, TN, 
52156, 6300 SCARLETT CREST, MEMPHIS, TN, 
52157, 6300 SHADY GROVE LN, MEMPHIS, TN, 
52158, 6300 SPEY CV, MEMPHIS, TN, 
52159, 6300 STAFFORDSHIRE, MEMPHIS, TN, 
52160, 6300 SUNNYSLOPE, MEMPHIS, TN, 
52161, 6300 TARBET CV, MEMPHIS, TN, 
52162, 6300 VILLAGE GRV, MEMPHIS, TN, 
52163, 6300 VILLAGE PARK RD, MEMPHIS, TN, 
52164, 6400 AMANDA OAKS N, MEMPHIS, TN, 
52165, 6400 AMANDA OAKS, MEMPHIS, TN, 
52166, 6400 ARBOR CREAK TRAIL, MEMPHIS, TN, 
52167, 6400 ARBORCREEK, MEMPHIS, TN, 
52168, 6400 ARROW BROOK LN, MEMPHIS, TN, 
52169, 6400 BRIGHTWOOD RD, MEMPHIS, TN, 
52170, 6400 BROOKS MANOR, MEMPHIS, TN, 
52171, 6400 CRANBURY PARK DR, MEMPHIS, TN, 
52172, 6400 CROWN EMPERIAL, MEMPHIS, TN, 
52173, 6400 EAST RAINES, MEMPHIS, TN, 
52174, 6400 EAST VILLAGE GROVE PLACE, MEMPHIS, TN, 
52175, 6400 GILLESPIE DR, MEMPHIS, TN, 
52176, 6400 KINGS CREST LN, MEMPHIS, TN, 
52177, 6400 KINGS CREST, MEMPHIS, TN, 
52178, 6400 KIRBY DOWN DR, MEMPHIS, TN, 
52179, 6400 KIRBY OAKS DR, MEMPHIS, TN, 
52180, 6400 LAKE ARBOR PLACE, MEMPHIS, TN, 
52181, 6400 LAKEVIEW, MEMPHIS, TN, 
52182, 6400 MAISON PRIVEE, MEMPHIS, TN, 
52183, 6400 MID SUMMERWAY, MEMPHIS, TN, 
52184, 6400 MISTY CREST, MEMPHIS, TN, 
52185, 6400 OAK PARK DR, MEMPHIS, TN, 
52186, 6400 OAK PARK, MEMPHIS, TN, 
