18084, BULLITT LN / OXMOOR LN, LOUISVILLE, KY, 40222
18085, BURNLEY RD / GATEHOUSE LN, LOUISVILLE, KY, 40243
18086, BURNSDALE RD / SUNDERLAND RD, LOUISVILLE, KY, 40243
18087, BUSH FARM RD / OLD HENRY RD, LOUISVILLE, KY, 40245
18088, CADILLAC CT / TAYLOR AVE, LOUISVILLE, KY, 40213
18089, CALDWELL ST, LOUISVILLE, KY, 40204
18090, CAMBRIDGE STATION RD / SHELBYVILLE RD, LOUISVILLE, KY, 40223
18091, CAMDEN AVE / KAHLERT AVE, LOUISVILLE, KY, 40215
18092, CAMDEN AVE / PARTHENIA AVE, LOUISVILLE, KY, 40215
18093, CANE RUN RD / ALGONQUIN PKY, LOUISVILLE, KY, 40211
18094, CANE RUN RD / ROCKAWAY DR, LOUISVILLE, KY, 40216
18095, CANE RUN RD / WILKIE RD, LOUISVILLE, KY, 40216
18096, CANNONS LN / I 64 RAMP, LOUISVILLE, KY, 40207
18097, CARBINE CT / CARBINE LN, LOUISVILLE, KY, 40229
18098, CARDINAL OAKS DR / ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214
18099, CARLISLE AVE / CRAIG AVE, LOUISVILLE, KY, 40215
18100, CARLISLE AVE / WARREN AVE, LOUISVILLE, KY, 40215
18101, CAVEN AVE / KURTZ AVE, LOUISVILLE, KY, 40229
18102, CAVEN AVE / PIRATE LN, LOUISVILLE, KY, 40229
18103, CAWEIN WAY / TAYLORSVILLE RD, LOUISVILLE, KY, 40220
18104, CECIL AVE / W BROADWAY, LOUISVILLE, KY, 40211
18105, CEDAR CT / WILBERFORCE CT, LOUISVILLE, KY, 40203
18106, CHAMBERLAIN LN / CHARTER OAKS DR, LOUISVILLE, KY, 40241
18107, CHAMBERLAIN LN / HAMPTON LAKE WAY, LOUISVILLE, KY, 40241
18108, CHAMBERRY DR / ROCK CREEK DR, LOUISVILLE, KY, 40207
18109, CHAMPIONS TRACE LN / NEWBURG RD, LOUISVILLE, KY, NA
18110, CHARLES ST / SPRATT ST, LOUISVILLE, KY, 40204
18111, CHATEAU LN / CULVER LN, LOUISVILLE, KY, 40219
