13091, BURWELL AVE, LOUISVILLE, KY, 40210
13092, CAMDEN AVE / LENTZ AVE, LOUISVILLE, KY, 40215
13093, CAMDEN AVE / WARREN AVE, LOUISVILLE, KY, 40215
13094, CAMP GROUND RD / CANE RUN RD, LOUISVILLE, KY, 40211
13095, CANE RUN RD / CLARINET DR, LOUISVILLE, KY, 40216
13096, CANE RUN RD / GREENBELT HWY, LOUISVILLE, KY, 40272
13097, CANE RUN RD / TEAKWOOD CIR, LOUISVILLE, KY, 40216
13098, CANNONS LN / FRANKFORT AVE, LOUISVILLE, KY, 40206
13099, CARLISLE AVE / POWELL AVE, LOUISVILLE, KY, 40215
13100, CAYUGA ST / SQUIRES DR, LOUISVILLE, KY, 40215
13101, CHAMPIONS TRACE LN / HIKES LN, LOUISVILLE, KY, 40218
13102, CHEROKEE PKY / CHEROKEE RD, LOUISVILLE, KY, 40204
13103, CLARKS LN / PRESTON HWY, LOUISVILLE, KY, 40217
13104, CONSTANCE DR / JACQUELINE WAY, LOUISVILLE, KY, 40272
13105, CONTRACTORS CT / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
13106, COOPER CHAPEL RD / MAPLE RD, LOUISVILLE, KY, 40229
13107, CRAFTY DR / QUEST DR, LOUISVILLE, KY, 40213
13108, CRITTENDEN DR / GRADE LN, LOUISVILLE, KY, 40213
13109, CYPRESS ST / WYANDOTTE AVE, LOUISVILLE, KY, 40210
13110, DEARBORN AVE / GARLAND AVE, LOUISVILLE, KY, 40211
13111, DIXIE HWY / E ROCKFORD LN, LOUISVILLE, KY, 40216
13112, DIXIE HWY / HEATON RD, LOUISVILLE, KY, NA
13113, DIXIE HWY / WINGFIELD LN, LOUISVILLE, KY, 40210
13114, DOVER RD / MARTIN AVE, LOUISVILLE, KY, 40216
13115, DR W J HODGE ST / STONE ALY, LOUISVILLE, KY, 40203
13116, DUMESNIL ST / OLIVE ST, LOUISVILLE, KY, 40211
13117, E BARBEE AVE / S PRESTON ST, LOUISVILLE, KY, 40217
13118, E INDIAN TRL / LODEMA WAY, LOUISVILLE, KY, 40213
13119, E KENTUCKY ST / ST PAUL CT, LOUISVILLE, KY, 40203
13120, EASTERN PKY / POPLAR LEVEL RD, LOUISVILLE, KY, 40217
13121, EDWARD ST / HIGHLAND AVE, LOUISVILLE, KY, 40204
13122, ELDORADO AVE / GRANVIL DR, LOUISVILLE, KY, 40218
13123, EVA BANDMAN PARK, LOUISVILLE, KY, 40206
13124, EXETER AVE / E INDIAN TRL, LOUISVILLE, KY, 40218
13125, FACTORY LN / OLD HENRY RD, LOUISVILLE, KY, 40245
13126, FARMINGTON AVE / S FLOYD ST, LOUISVILLE, KY, 40209
13127, FERN VALLEY RD W / I65N, LOUISVILLE, KY, 40213
13128, FERN VALLEY RD, LOUISVILLE, KY, 40228
13129, FEYHURST DR / YUCCA LN, LOUISVILLE, KY, 40258
13130, FINZER ST / S SHELBY ST, LOUISVILLE, KY, 40203
13131, FISCHER AVE / E OAK ST, LOUISVILLE, KY, 40204
13132, FRANKFORT AVE, LOUISVILLE, KY, 40206
13133, GABRIEL DR / LOWER HUNTERS TRCE, LOUISVILLE, KY, 40216
