15097, 1900 PALATKA RD, LOUISVILLE, KY, 40214
15098, 1900 RIVA RIDGE RD, LOUISVILLE, KY, 40214
15099, 1900 ROCKFORD LN, LOUISVILLE, KY, 40216
15100, 200 BECKLEY CREEK PKY, LOUISVILLE, KY, 40245
15101, 200 BELLEMEADE RD, LOUISVILLE, KY, 40222
15102, 200 BUCKLAND TRCE, LOUISVILLE, KY, 40245
15103, 200 CASA BELLA CT, LOUISVILLE, KY, 40220
15104, 200 CORALBERRY RD, LOUISVILLE, KY, 40207
15105, 200 FEDERAL CT, LOUISVILLE, KY, 40214
15106, 200 FENLEY AVE, LOUISVILLE, KY, 40206
15107, 200 N 29TH ST, LOUISVILLE, KY, 40212
15108, 200 N 46TH ST, LOUISVILLE, KY, 40212
15109, 200 OXFORDSHIRE LN, LOUISVILLE, KY, 40222
15110, 200 SOUTH HAMPTON RD, LOUISVILLE, KY, 40223
15111, 200 STILLWOOD CT, LOUISVILLE, KY, 40223
15112, 200 STILZ AVE, LOUISVILLE, KY, 40206
15113, 200 VALE RD, LOUISVILLE, KY, 40223
15114, 200 W LANSING AVE, LOUISVILLE, KY, 40214
15115, 200 WILLIS DR, LOUISVILLE, KY, 40118
15116, 2000 GRIFFITHS AVE, LOUISVILLE, KY, 40203
15117, 2000 INDUSTRIAL BLVD, LOUISVILLE, KY, 40219
15118, 2000 JEFFERSON ST, LOUISVILLE, KY, 40203
15119, 2000 MEADOWGATE LN, LOUISVILLE, KY, 40223
15120, 2000 STRATHMOOR BLVD, LOUISVILLE, KY, 40205
15121, 2000 TYRONE DR, LOUISVILLE, KY, 40218
15122, 2000 WENDLER LN, LOUISVILLE, KY, 40272
15123, 2100 BRIDLEWOOD DR, LOUISVILLE, KY, 40299
15124, 2100 LAUDERDALE RD, LOUISVILLE, KY, 40205
15125, 2100 NEWBURG RD, LOUISVILLE, KY, 40205
15126, 2100 UNITY PL, LOUISVILLE, KY, 40208
15127, 2200 DOROTHY AVE, LOUISVILLE, KY, 40205
15128, 2200 VILLAGE DR, LOUISVILLE, KY, 40205
15129, 2300 ALEXANDER AVE, LOUISVILLE, KY, 40217
15130, 2300 BOULEVARD NAPOLEON, LOUISVILLE, KY, 40205
15131, 2300 DORMA AVE, LOUISVILLE, KY, 40217
15132, 2300 LONGEST AVE, LOUISVILLE, KY, 40204
15133, 2300 NEWBURG RD, LOUISVILLE, KY, 40205
15134, 2300 WETSTEIN AVE, LOUISVILLE, KY, 40205
15135, 2300 WOODBOURNE AVE, LOUISVILLE, KY, 40205
15136, 2400 AVALON ST, LOUISVILLE, KY, 40216
15137, 2400 BLEVINS GAP RD, LOUISVILLE, KY, 40272
15138, 2400 BURWELL AVE, LOUISVILLE, KY, 40210
15139, 2400 CHAMBERLAIN CROSSING DR, LOUISVILLE, KY, 40245
15140, 2400 CHEROKEE PKY, LOUISVILLE, KY, 40204
15141, 2400 KINGS CROSS CT, LOUISVILLE, KY, 40272
15142, 2400 LIME KILN CT, LOUISVILLE, KY, 40222
15143, 2400 TRADITION CIR, LOUISVILLE, KY, 40245
15144, 2500 BALLANTRAE CIR, LOUISVILLE, KY, 40241
15145, 2500 BLEVINS GAP RD, LOUISVILLE, KY, 40272
15146, 2500 DUNDEE RD, LOUISVILLE, KY, 40205
15147, 2500 GEORGE ROGERS CLARK PL, LOUISVILLE, KY, 40206
15148, 2500 GLADSTONE CIR, LOUISVILLE, KY, 40205
15149, 2500 HAWTHORNE AVE, LOUISVILLE, KY, 40205
15150, 2500 NELSON MILLER PKY, LOUISVILLE, KY, 40223
15151, 2500 ROYSTER WAY, LOUISVILLE, KY, 40258
15152, 2500 RUDY LN, LOUISVILLE, KY, 40207
15153, 2500 TOP HILL RD, LOUISVILLE, KY, 40206
15154, 2500 WINDSOR FOREST DR, LOUISVILLE, KY, 40272
15155, 2600 BAGBY WAY, LOUISVILLE, KY, 40216
15156, 2600 HARDWOOD CT, LOUISVILLE, KY, 40214
15157, 2600 HELM ST, LOUISVILLE, KY, 40209
15158, 2600 MARGUERITE DR, LOUISVILLE, KY, 40216
15159, 2600 PHOENIX HILL DR, LOUISVILLE, KY, 40207
15160, 2600 PIKES PEAK BLVD, LOUISVILLE, KY, 40214
15161, 2600 SEMINARY DR, LOUISVILLE, KY, 40241
15162, 2700 GRAHAM AVE, LOUISVILLE, KY, 40206
15163, 2700 HOUNZ LN, LOUISVILLE, KY, 40223
15164, 2700 PIKES PEAK BLVD, LOUISVILLE, KY, 40214
15165, 2700 PRESTON HWY, LOUISVILLE, KY, 40217
15166, 2800 ALICE AVE, LOUISVILLE, KY, 40220
15167, 2800 ALTA VISTA PL, LOUISVILLE, KY, 40206
15168, 2800 ARDEN RD, LOUISVILLE, KY, 40220
15169, 2800 DANDOR RD, LOUISVILLE, KY, 40220
15170, 2800 ENGLEWOOD AVE, LOUISVILLE, KY, 40220
15171, 2800 FLEMING AVE, LOUISVILLE, KY, 40206
15172, 2800 GARLAND AVE, LOUISVILLE, KY, 40211
15173, 2800 HOOCK AVE, LOUISVILLE, KY, 40205
15174, 2800 JOAN AVE, LOUISVILLE, KY, 40205
15175, 2800 SHELDON RD, LOUISVILLE, KY, 40218
15176, 2800 WAREHAM RD, LOUISVILLE, KY, 40242
15177, 2800 WOODWARD DR, LOUISVILLE, KY, 40220
15178, 2900 CHIMNEY ROCK LN, LOUISVILLE, KY, 40220
15179, 2900 NORTHWESTERN PKY, LOUISVILLE, KY, 40212
15180, 2900 WALLINGFORD CT, LOUISVILLE, KY, 40218
15181, 300 BILTMORE RD, LOUISVILLE, KY, 40207
15182, 300 BRUNSWICK RD, LOUISVILLE, KY, 40207
15183, 300 CLAREMONT AVE, LOUISVILLE, KY, 40206
15184, 300 E JEFFERSON ST, LOUISVILLE, KY, 40202
15185, 300 GRAVES END DR, LOUISVILLE, KY, 40203
15186, 300 JOE CONWAY CIR, LOUISVILLE, KY, 40207
15187, 300 LANAI CT, LOUISVILLE, KY, 40245
15188, 300 MOCKINGBIRD GARDENS DR, LOUISVILLE, KY, 40207
15189, 300 OLD HARRODS CREEK RD, LOUISVILLE, KY, 40223
15190, 300 S 3RD ST, LOUISVILLE, KY, 40202
15191, 300 S 5TH ST, LOUISVILLE, KY, 40202
15192, 300 SCOTTSDALE BLVD, LOUISVILLE, KY, 40214
15193, 300 STEPHEN BOONE CT, LOUISVILLE, KY, 40214
15194, 300 WHISP BROOK CIR, LOUISVILLE, KY, 40229
15195, 3000 CABINWOOD DR, LOUISVILLE, KY, 40220
15196, 3000 FALMOUTH DR, LOUISVILLE, KY, 40205
15197, 3000 GARLAND AVE, LOUISVILLE, KY, 40211
15198, 3000 HAYFIELD DR, LOUISVILLE, KY, 40205
15199, 3000 HERMANY CT, LOUISVILLE, KY, 40206
15200, 3000 WHITEWAY AVE, LOUISVILLE, KY, 40205
15201, 3000 YOUNG AVE, LOUISVILLE, KY, 40211
15202, 3100 ARJAY LN, LOUISVILLE, KY, 40220
15203, 3100 CAWEIN WAY, LOUISVILLE, KY, 40220
15204, 3100 DEBERA WAY, LOUISVILLE, KY, 40220
15205, 3100 GALWAY LN, LOUISVILLE, KY, 40242
15206, 3100 HEWITT AVE, LOUISVILLE, KY, 40220
15207, 3100 MEADOWSIDE CT, LOUISVILLE, KY, 40214
15208, 3100 NEW LYNNVIEW DR, LOUISVILLE, KY, 40216
15209, 3100 STOBER RD, LOUISVILLE, KY, 40213
15210, 3100 SUDBURY LN, LOUISVILLE, KY, 40220
15211, 3100 SUNFIELD CIR, LOUISVILLE, KY, 40241
15212, 3200 DUBLIN LN, LOUISVILLE, KY, 40206
15213, 3200 POMEROY DR, LOUISVILLE, KY, 40220
15214, 3200 S WINCHESTER ACRES RD, LOUISVILLE, KY, 40223
15215, 3300 ARTERBURN AVE, LOUISVILLE, KY, 40206
15216, 3300 BEHR CT, LOUISVILLE, KY, 40220
15217, 3300 COLLINS LN, LOUISVILLE, KY, 40245
