16097, 16300 CROOKED LN, LOUISVILLE, KY, 40023
16098, 16700 TAYLORSVILLE RD, LOUISVILLE, KY, 40023
16099, 16900 ABBOTTS BEACH RD, LOUISVILLE, KY, 40177
16100, 1700 BRICK KILN LN, LOUISVILLE, KY, 40216
16101, 1700 BROWNSBORO RD, LOUISVILLE, KY, 40206
16102, 1700 DUNDEE WAY, LOUISVILLE, KY, 40205
16103, 1700 GREYLING DR, LOUISVILLE, KY, 40272
16104, 1700 SOUTHLAKE DR, LOUISVILLE, KY, 40223
16105, 1700 STRATTON CT, LOUISVILLE, KY, 40211
16106, 17000 OLDE COPPER CT, LOUISVILLE, KY, 40245
16107, 17100 DEER CROSSING TRL, LOUISVILLE, KY, 40023
16108, 17100 DRY RIDGE RD, LOUISVILLE, KY, 40299
16109, 1800 APPLETON LN, LOUISVILLE, KY, NA
16110, 1800 BLANCA CT, LOUISVILLE, KY, 40223
16111, 1800 CASSELBERRY RD, LOUISVILLE, KY, 40205
16112, 1800 FARNSLEY RD, LOUISVILLE, KY, 40216
16113, 1800 HARTMAN AVE, LOUISVILLE, KY, 40205
16114, 1800 KLINE CT, LOUISVILLE, KY, 40205
16115, 1800 ROSEDALE AVE, LOUISVILLE, KY, 40205
16116, 1800 W ORMBSY, LOUISVILLE, KY, 40203
16117, 1800 WILLIAMSON CT, LOUISVILLE, KY, 40223
16118, 18000 BRIGHTLEAF PL, LOUISVILLE, KY, 40023
16119, 18000 ELLERSLIE DR, LOUISVILLE, KY, 40245
16120, 1900 ARNOLD PALMER BLVD, LOUISVILLE, KY, 40245
16121, 1900 FLAT ROCK RD, LOUISVILLE, KY, 40245
16122, 1900 MILBURT DR, LOUISVILLE, KY, 40223
16123, 1900 MUNCIE AVE, LOUISVILLE, KY, 40206
16124, 1900 S POPE LICK RD, LOUISVILLE, KY, 40299
16125, 200 ARLINGTON MEADOWS DR, LOUISVILLE, KY, 40023
16126, 200 BONTRESSA DR, LOUISVILLE, KY, 40206
16127, 200 CHESTNUT ST, LOUISVILLE, KY, 40202
16128, 200 CORAL AVE, LOUISVILLE, KY, 40206
16129, 200 DALEVIEW LN, LOUISVILLE, KY, 40207
16130, 200 DORSEY WAY, LOUISVILLE, KY, 40223
16131, 200 E LEE ST, LOUISVILLE, KY, 40208
16132, 200 KINNAIRD LN, LOUISVILLE, KY, 40243
16133, 200 LANARK PL, LOUISVILLE, KY, 40243
16134, 200 RIDGEWAY COR, LOUISVILLE, KY, 40207
16135, 200 S JANE ST, LOUISVILLE, KY, 40206
16136, 200 SPRING GARDEN DR, LOUISVILLE, KY, 40218
16137, 200 W KENTUCKY ST, LOUISVILLE, KY, 40203
16138, 200 WOODED FALLS RD, LOUISVILLE, KY, 40243
16139, 2000 ARNOLD PALMER BLVD, LOUISVILLE, KY, 40245
16140, 2000 CRUMS LN, LOUISVILLE, KY, 40216
16141, 2000 DAHLIA AVE, LOUISVILLE, KY, 40205
16142, 2000 EMERSON AVE, LOUISVILLE, KY, 40205
16143, 2000 HOUNZ LN, LOUISVILLE, KY, 40223
16144, 2000 LOWELL AVE, LOUISVILLE, KY, 40205
16145, 2000 ROUND RIDGE RD, LOUISVILLE, KY, 40207
16146, 2000 STALLION CT, LOUISVILLE, KY, 40245
16147, 2100 METAL LN, LOUISVILLE, KY, 40206
16148, 2100 STARMONT RD, LOUISVILLE, KY, 40207
16149, 2200 HAWTHORNE AVE, LOUISVILLE, KY, 40205
16150, 2200 MELLWOOD AVE, LOUISVILLE, KY, 40206
16151, 2200 MILLVALE RD, LOUISVILLE, KY, 40205
16152, 2200 ROCKFORD LN, LOUISVILLE, KY, NA
16153, 2200 SOUTH PARK RD, LOUISVILLE, KY, 40219
16154, 2200 STANLEY GAULT PKY, LOUISVILLE, KY, 40223
16155, 2200 WALRICH DR, LOUISVILLE, KY, 40211
16156, 2200 WINSTON AVE, LOUISVILLE, KY, 40205
16157, 2300 BLEVINS GAP RD, LOUISVILLE, KY, 40272
16158, 2300 BROOKSIDE DR, LOUISVILLE, KY, 40205
16159, 2300 CLARKWOOD RD, LOUISVILLE, KY, 40207
16160, 2300 FLEET AVE, LOUISVILLE, KY, 40217
16161, 2400 7TH STREET RD, LOUISVILLE, KY, 40208
16162, 2400 AINTREE WAY, LOUISVILLE, KY, 40220
16163, 2400 CHADFORD WAY, LOUISVILLE, KY, 40222
16164, 2400 CRYSTAL SPRINGS PL, LOUISVILLE, KY, 40245
16165, 2400 GALLOWAY CT, LOUISVILLE, KY, 40245
16166, 2400 HAHN ST, LOUISVILLE, KY, 40209
16167, 2400 HIGH PINE DR, LOUISVILLE, KY, 40214
16168, 2400 HIKES LN, LOUISVILLE, KY, 40218
16169, 2400 MCGEE DR, LOUISVILLE, KY, 40216
16170, 2400 OMAHA LN, LOUISVILLE, KY, 40216
16171, 2400 S 35TH ST, LOUISVILLE, KY, 40211
16172, 2400 SUNSHINE WAY, LOUISVILLE, KY, 40216
16173, 2400 TYLER LN, LOUISVILLE, KY, 40205
16174, 2400 VALLEY VISTA RD, LOUISVILLE, KY, 40205
16175, 2500 BOULEVARD NAPOLEON, LOUISVILLE, KY, 40205
16176, 2500 CLEARBROOK DR, LOUISVILLE, KY, 40220
16177, 2500 COTTONWOOD DR, LOUISVILLE, KY, 40242
16178, 2500 DIXIE HWY, LOUISVILLE, KY, 40216
16179, 2500 DORA DR, LOUISVILLE, KY, 40214
16180, 2500 MANCHESTER RD, LOUISVILLE, KY, 40205
16181, 2500 PADDOCK CT, LOUISVILLE, KY, 40216
16182, 2500 RHETT CT, LOUISVILLE, KY, 40242
16183, 2500 TERRA CROSSING BLVD, LOUISVILLE, KY, 40245
16184, 2500 WENDELL AVE, LOUISVILLE, KY, 40205
16185, 2500 WOOD CREEK RD, LOUISVILLE, KY, 40205
16186, 2600 BARDSTOWN RD, LOUISVILLE, KY, 40205
16187, 2600 DRAYTON DR, LOUISVILLE, KY, 40205
16188, 2600 RIVER GREEN CIR, LOUISVILLE, KY, 40206
16189, 2600 SUMMERFIELD DR, LOUISVILLE, KY, 40220
16190, 2600 TOP HILL RD, LOUISVILLE, KY, 40206
16191, 2600 WYANDOTTE AVE, LOUISVILLE, KY, 40210
16192, 2700 MARGUERITE DR, LOUISVILLE, KY, 40216
16193, 2700 RAZOR VIEW CT, LOUISVILLE, KY, 40299
16194, 2700 TRUMPETVINE RD, LOUISVILLE, KY, 40220
16195, 2700 W GAULBERT AVE, LOUISVILLE, KY, 40211
16196, 2800 ELAM CT, LOUISVILLE, KY, 40213
16197, 2800 JOMARIE CT, LOUISVILLE, KY, 40220
16198, 2800 MILBURN AVE, LOUISVILLE, KY, 40220
16199, 2800 S 2ND ST, LOUISVILLE, KY, 40208
16200, 2800 THORNBIRD CT, LOUISVILLE, KY, 40220
16201, 2900 ASPENDALE CT, LOUISVILLE, KY, 40241
16202, 2900 CARLINGFORD DR, LOUISVILLE, KY, 40222
16203, 2900 CLEARPOINT PL, LOUISVILLE, KY, 40241
16204, 2900 DARTMOUTH AVE, LOUISVILLE, KY, 40205
16205, 2900 KOSTER PL, LOUISVILLE, KY, 40241
16206, 2900 MONTROSE AVE, LOUISVILLE, KY, 40205
16207, 2900 WALDOAH BEACH RD, LOUISVILLE, KY, 40207
16208, 300 APPOMATTOX RD, LOUISVILLE, KY, 40214
16209, 300 BARCELONA DR, LOUISVILLE, KY, 40245
16210, 300 CASA BELLA CT, LOUISVILLE, KY, 40220
16211, 300 CLARK STATION RD, LOUISVILLE, KY, 40023
16212, 300 EDGEMONT LN, LOUISVILLE, KY, 40118
16213, 300 GLENGARRY DR, LOUISVILLE, KY, 40118
16214, 300 HIGH RISE DR, LOUISVILLE, KY, 40213
16215, 300 JARVIS LN, LOUISVILLE, KY, 40207
16216, 300 MCCREADY AVE, LOUISVILLE, KY, 40206
16217, 300 MERIDIAN AVE, LOUISVILLE, KY, 40207
16218, 300 MOCKINGBIRD VALLEY RD, LOUISVILLE, KY, 40207
16219, 300 N MADISON AVE, LOUISVILLE, KY, 40243
16220, 300 S 22ND ST, LOUISVILLE, KY, 40212
16221, 300 SPRITE RD, LOUISVILLE, KY, 40207
16222, 300 WICKFIELD DR, LOUISVILLE, KY, 40245
16223, 300 WILLOW BROOK RD, LOUISVILLE, KY, 40243
16224, 3000 BOB WHITE CT, LOUISVILLE, KY, 40216
16225, 3000 BRIDWELL DR, LOUISVILLE, KY, 40216
16226, 3000 COLONIAL HILL RD, LOUISVILLE, KY, 40205
16227, 3000 FRANKFORT AVE, LOUISVILLE, KY, 40206
16228, 3000 GREENUP RD, LOUISVILLE, KY, 40217
16229, 3000 LAKE VISTA DR, LOUISVILLE, KY, 40241
16230, 3000 MEADE AVE, LOUISVILLE, KY, 40217
16231, 3000 WINDSOR LAKES PKY, LOUISVILLE, KY, 40214
16232, 3000 ZORN AVE, LOUISVILLE, KY, 40206
16233, 3100 ALBANS PL, LOUISVILLE, KY, 40241
16234, 3100 BON AIR AVE, LOUISVILLE, KY, 40205
16235, 3100 COLLINS LN, LOUISVILLE, KY, 40245
16236, 3100 RANDOLPH AVE, LOUISVILLE, KY, 40206
16237, 3100 RUNNING DEER CIR, LOUISVILLE, KY, 40241
16238, 3100 WHITMAN WAY, LOUISVILLE, KY, 40211
16239, 3200 7TH STREET RD, LOUISVILLE, KY, NA
16240, 3200 BRECKENRIDGE LN, LOUISVILLE, KY, 40220
16241, 3200 CANTERBURY LN, LOUISVILLE, KY, 40207
16242, 3200 GILLIGAN ST, LOUISVILLE, KY, 40212
16243, 3200 MURRAY HILL PIKE, LOUISVILLE, KY, 40241
16244, 3200 SUDBURY LN, LOUISVILLE, KY, 40220
16245, 3200 WOODLAND AVE, LOUISVILLE, KY, 40211
16246, 3300 BRIDWELL DR, LOUISVILLE, KY, 40216
16247, 3300 HARDWOOD FOREST DR, LOUISVILLE, KY, 40214
16248, 3300 HILLVALE RD, LOUISVILLE, KY, 40241
16249, 3300 ROBIN RD, LOUISVILLE, KY, 40213
16250, 3300 TUCKER WOOD LN, LOUISVILLE, KY, 40299
16251, 3400 GATECREEK RD, LOUISVILLE, KY, 40272
16252, 3400 HASTINGS CIR, LOUISVILLE, KY, 40241
16253, 3400 KIRBY AVE, LOUISVILLE, KY, 40211
16254, 3400 LEITH LN, LOUISVILLE, KY, 40218
16255, 3400 LESTER AVE, LOUISVILLE, KY, 40215
16256, 3400 TARRAGON RD, LOUISVILLE, KY, 40219
16257, 3500 BLEVINS GAP RD, LOUISVILLE, KY, 40272
16258, 3500 COLONIAL SPRINGS RD, LOUISVILLE, KY, 40245
16259, 3500 FENWICK PARK PL, LOUISVILLE, KY, 40220
16260, 3500 INDOCIN CT, LOUISVILLE, KY, 40220
16261, 3500 STRATTON AVE, LOUISVILLE, KY, 40211
16262, 3500 TARRAGON RD, LOUISVILLE, KY, 40219
16263, 3500 TEMPLETON CT, LOUISVILLE, KY, 40214
16264, 3500 WATERLEAF CT, LOUISVILLE, KY, 40207
16265, 3600 APEX GARDENS DR, LOUISVILLE, KY, 40241
16266, 3600 ARGYLE LN, LOUISVILLE, KY, 40220
16267, 3600 GLENVIEW AVE, LOUISVILLE, KY, 40025
16268, 3600 HILLCREEK RD, LOUISVILLE, KY, 40220
16269, 3600 HUDSON AVE, LOUISVILLE, KY, 40211
16270, 3600 PFLANZ AVE, LOUISVILLE, KY, 40212
16271, 3600 RALPH AVE, LOUISVILLE, KY, 40211
16272, 3600 ROSEMONT CT, LOUISVILLE, KY, 40218
16273, 3700 BASHFORD AVE, LOUISVILLE, KY, 40218
16274, 3700 BLUE CREEK CT, LOUISVILLE, KY, 40229
16275, 3700 FREEDOM WAY, LOUISVILLE, KY, 40229
16276, 3700 LIME KILN LN, LOUISVILLE, KY, 40222
16277, 3700 SHANKS LN, LOUISVILLE, KY, 40216
16278, 3700 SOUTHERN AVE, LOUISVILLE, KY, 40211
