12097, 4200 WARREN ST, LOUISVILLE, KY, 40213
12098, 4300 LAKE DREAMLAND RD, LOUISVILLE, KY, 40216
12099, 4300 LYNNBROOK DR, LOUISVILLE, KY, 40220
12100, 4300 RAVEN RIDGE DR, LOUISVILLE, KY, 40216
12101, 4300 WINNROSE WAY, LOUISVILLE, KY, 40211
12102, 4400 AMELIA CT, LOUISVILLE, KY, 40241
12103, 4400 BROOKHAVEN AVE, LOUISVILLE, KY, 40220
12104, 4400 BURNT CEDAR LN, LOUISVILLE, KY, 40219
12105, 4400 CRITTENDEN DR, LOUISVILLE, KY, 40209
12106, 4400 DANNYWOOD RD, LOUISVILLE, KY, 40220
12107, 4400 MALCOLM AVE, LOUISVILLE, KY, 40215
12108, 4500 CHERRY FOREST CIR, LOUISVILLE, KY, 40245
12109, 4500 CHURCHMAN AVE, LOUISVILLE, KY, 40215
12110, 4500 MUD LN, LOUISVILLE, KY, 40229
12111, 4500 ROBARDS LN, LOUISVILLE, KY, 40218
12112, 4500 STARLITE LN, LOUISVILLE, KY, 40291
12113, 4500 STONE LAKES DR, LOUISVILLE, KY, 40299
12114, 4500 VARBLE AVE, LOUISVILLE, KY, 40211
12115, 4500 YAGER LN, LOUISVILLE, KY, 40241
12116, 4600 HEDGES RD, LOUISVILLE, KY, 40216
12117, 4600 SARATOGA HILL RD, LOUISVILLE, KY, 40299
12118, 4700 BROWNSBORO RD, LOUISVILLE, KY, 40207
12119, 4700 GLEN ROSE RD, LOUISVILLE, KY, 40229
12120, 4700 GLENNA WAY, LOUISVILLE, KY, 40219
12121, 4700 MILES LN, LOUISVILLE, KY, 40219
12122, 4700 ROBARDS LN, LOUISVILLE, KY, 40218
12123, 4700 WOODED OAK CIR, LOUISVILLE, KY, 40245
12124, 4800 E MANSLICK RD, LOUISVILLE, KY, 40219
12125, 4800 GRASTON AVE, LOUISVILLE, KY, 40216
12126, 4800 GUY DR, LOUISVILLE, KY, 40258
12127, 4800 LAWRIE LN, LOUISVILLE, KY, 40214
12128, 4800 MIDDLESEX DR, LOUISVILLE, KY, 40245
12129, 4800 MILES LN, LOUISVILLE, KY, 40219
12130, 4800 UNSELD BLVD, LOUISVILLE, KY, 40218
12131, 4900 BLUEBIRD AVE, LOUISVILLE, KY, 40213
12132, 4900 DARNTON LN, LOUISVILLE, KY, 40216
12133, 4900 FURY WAY, LOUISVILLE, KY, 40258
12134, 4900 SHELBYVILLE RD, LOUISVILLE, KY, 40207
12135, 500 AUBURN OAKS DR, LOUISVILLE, KY, 40214
12136, 500 GABLEWOOD CIR, LOUISVILLE, KY, 40245
12137, 500 JACKSON ST, LOUISVILLE, KY, 40202
12138, 500 N HUBBARDS LN, LOUISVILLE, KY, 40207
12139, 500 RIVER RD, LOUISVILLE, KY, 40202
12140, 500 VALLEY COLLEGE DR, LOUISVILLE, KY, 40272
12141, 5000 ACAPOLCA WAY, LOUISVILLE, KY, 40219
12142, 5000 CEDAR BROOK CT, LOUISVILLE, KY, 40219
12143, 5000 MONTICELLO AVE, LOUISVILLE, KY, 40218
12144, 5000 RONWOOD DR, LOUISVILLE, KY, 40219
12145, 5100 BAYWOOD DR, LOUISVILLE, KY, 40241
12146, 5100 BLEVINS GAP RD, LOUISVILLE, KY, 40272
12147, 5100 DAVID WAY, LOUISVILLE, KY, 40229
12148, 5100 SHEPHERDSVILLE RD, LOUISVILLE, KY, 40228
12149, 5200 BARNES DR, LOUISVILLE, KY, 40219
12150, 5200 EUGENE WAY, LOUISVILLE, KY, 40216
12151, 5200 SKYLIGHT DR, LOUISVILLE, KY, 40258
12152, 5200 ST GABRIEL LN, LOUISVILLE, KY, 40291
12153, 5200 VALKYRIE WAY, LOUISVILLE, KY, 40272
12154, 5300 AMALFI AVE, LOUISVILLE, KY, 40219
12155, 5300 BANNON CROSSINGS DR, LOUISVILLE, KY, 40218
12156, 5300 GUEST AVE, LOUISVILLE, KY, 40213
12157, 5300 JESSAMINE LN, LOUISVILLE, KY, 40258
12158, 5300 SARATOGA ESTATES CIR, LOUISVILLE, KY, 40299
12159, 5300 SOUTHSIDE DR, LOUISVILLE, KY, 40214
12160, 5400 CANNONWOOD DR, LOUISVILLE, KY, 40229
12161, 5400 CARLING CT, LOUISVILLE, KY, 40272
12162, 5400 HESS RD, LOUISVILLE, KY, 40258
12163, 5400 LAYNE RD, LOUISVILLE, KY, 40219
12164, 5400 MERRIBROOK LN, LOUISVILLE, KY, 40059
12165, 5400 ROBBS LN, LOUISVILLE, KY, 40219
12166, 5400 ROBINWOOD RD, LOUISVILLE, KY, 40218
12167, 5400 SKEFFINGTON WAY, LOUISVILLE, KY, 40241
12168, 5400 WALTLEE CT, LOUISVILLE, KY, 40291
12169, 5500 BETH RD, LOUISVILLE, KY, 40219
12170, 5500 GOLDENROD RD, LOUISVILLE, KY, 40272
12171, 5500 WINSLOW CIR, LOUISVILLE, KY, 40272
12172, 5500 WOODED LAKE DR, LOUISVILLE, KY, 40299
12173, 5600 DORINDA DR, LOUISVILLE, KY, 40258
12174, 5600 IDLEWOOD LN, LOUISVILLE, KY, 40291
12175, 5600 RED CRESTED WAY, LOUISVILLE, KY, 40218
12176, 5600 STERLING DR, LOUISVILLE, KY, 40216
12177, 5700 GRANDEL BLVD, LOUISVILLE, KY, 40258
12178, 5700 LARKGROVE DR, LOUISVILLE, KY, 40229
12179, 5700 MALDON DR, LOUISVILLE, KY, 40216
12180, 5700 MORNING GLORY LN, LOUISVILLE, KY, 40258
12181, 5700 TARRAGON CT, LOUISVILLE, KY, 40219
12182, 5800 MIDNIGHT LN, LOUISVILLE, KY, 40229
12183, 5800 OUTER LOOP, LOUISVILLE, KY, 40219
12184, 5800 SHEPHERD CROSSING DR, LOUISVILLE, KY, 40219
12185, 5900 MERCURY DR, LOUISVILLE, KY, 40291
12186, 600 BERMUDA LN, LOUISVILLE, KY, 40213
12187, 600 BRECKINRIDGE ST, LOUISVILLE, KY, 40203
12188, 600 N BIRCHWOOD AVE, LOUISVILLE, KY, 40206
12189, 600 S 7TH ST, LOUISVILLE, KY, 40203
12190, 600 WICKFIELD DR, LOUISVILLE, KY, 40245
12191, 600 WOODLAKE DR, LOUISVILLE, KY, 40245
12192, 6000 BARLEY AVE, LOUISVILLE, KY, 40218
12193, 6000 CROSSBEAK CT, LOUISVILLE, KY, 40229
12194, 6000 HURSTVIEW RD, LOUISVILLE, KY, 40291
12195, 6000 SHADOW RUN RD, LOUISVILLE, KY, 40219
12196, 6000 TITANIC WAY, LOUISVILLE, KY, 40258
12197, 6100 GREENVIEW DR, LOUISVILLE, KY, 40216
12198, 6100 LEONARD WAY, LOUISVILLE, KY, 40229
12199, 6100 RICHIEWAYNE DR, LOUISVILLE, KY, 40219
12200, 6100 SEAFORTH WAY, LOUISVILLE, KY, 40258
12201, 6100 TOP HAT CT, LOUISVILLE, KY, 40258
12202, 6200 BAY PINE DR, LOUISVILLE, KY, 40219
12203, 6200 DUTCHMANS LN, LOUISVILLE, KY, 40205
12204, 6200 METER CT, LOUISVILLE, KY, 40291
12205, 6200 PRICE LANE RD, LOUISVILLE, KY, 40229
12206, 6200 RIVERDALE RD, LOUISVILLE, KY, 40272
12207, 6200 ROCKY MOUNTAIN DR, LOUISVILLE, KY, 40228
12208, 6300 GREEN MANOR DR, LOUISVILLE, KY, 40228
12209, 6300 MANSE DR, LOUISVILLE, KY, 40258
12210, 6300 MOORMAN RD, LOUISVILLE, KY, 40272
12211, 6300 SHERLOCK WAY, LOUISVILLE, KY, 40228
12212, 6300 W PAGES LN, LOUISVILLE, KY, 40258
12213, 6300 WISTERIA VIEW LN, LOUISVILLE, KY, 40218
12214, 6400 BETHANY LN, LOUISVILLE, KY, 40272
12215, 6400 RIVER RD, LOUISVILLE, KY, 40059
12216, 6400 UPPER HUNTERS TRCE, LOUISVILLE, KY, 40216
12217, 6500 BIRCHLINE BLVD, LOUISVILLE, KY, 40291
12218, 6500 LOVERS LN, LOUISVILLE, KY, 40291
12219, 6500 MEMORY LN, LOUISVILLE, KY, 40258
12220, 6500 MOORMAN RD, LOUISVILLE, KY, 40272
12221, 6500 SKYLINE DR, LOUISVILLE, KY, 40272
12222, 6500 STRAWBERRY LN, LOUISVILLE, KY, 40214
12223, 6500 TRADESMILL DR, LOUISVILLE, KY, 40291
12224, 6600 BETHANY LN, LOUISVILLE, KY, 40272
12225, 6600 BIRCHLINE BLVD, LOUISVILLE, KY, 40291
12226, 6600 MOORHAMPTON DR, LOUISVILLE, KY, 40228
12227, 6700 BROOK TERRACE DR, LOUISVILLE, KY, 40228
12228, 6700 CAROLYN RD, LOUISVILLE, KY, 40214
12229, 6700 CINDY DR, LOUISVILLE, KY, 40258
12230, 6700 GREEN MANOR DR, LOUISVILLE, KY, 40228
12231, 6700 LONGLAKE DR, LOUISVILLE, KY, 40291
12232, 6700 SANTOM LN, LOUISVILLE, KY, 40291
12233, 6700 TERRY RD, LOUISVILLE, KY, 40258
12234, 6700 WILLIAM CLARK DR, LOUISVILLE, KY, 40228
12235, 6800 ASTRAL DR, LOUISVILLE, KY, 40258
12236, 6800 BROOK BEND WAY, LOUISVILLE, KY, 40229
12237, 6800 CASEY PL, LOUISVILLE, KY, 40229
12238, 6800 FENWICK DR, LOUISVILLE, KY, 40228
12239, 6800 WYNDE MANOR DR, LOUISVILLE, KY, 40228
12240, 6900 BELLCREST CT, LOUISVILLE, KY, 40291
12241, 6900 LAKEGREEN CT, LOUISVILLE, KY, 40291
12242, 6900 PEPPERMILL LN, LOUISVILLE, KY, 40228
12243, 6900 SHIBLEY AVE, LOUISVILLE, KY, 40291
12244, 6900 SPRUCEDALE CT, LOUISVILLE, KY, 40291
12245, 700 BEDFORDSHIRE RD, LOUISVILLE, KY, 40222
12246, 700 GRANT AVE, LOUISVILLE, KY, 40222
12247, 700 MOUNT HOLLY RD, LOUISVILLE, KY, 40118
12248, 700 S 5TH ST, LOUISVILLE, KY, 40203
12249, 700 WINDING OAKS TRL, LOUISVILLE, KY, 40223
12250, 7000 ASPEN GROVE CT, LOUISVILLE, KY, 40241
12251, 7000 BIRNAMWOOD DR, LOUISVILLE, KY, 40258
12252, 7000 COOPER CHAPEL RD, LOUISVILLE, KY, 40229
12253, 7000 DALE RD, LOUISVILLE, KY, 40258
12254, 7000 ROGERS LN, LOUISVILLE, KY, 40272
12255, 7000 TRADE PORT DR, LOUISVILLE, KY, 40258
12256, 7000 WELFORD AVE, LOUISVILLE, KY, 40272
12257, 7100 CANE RUN RD, LOUISVILLE, KY, 40258
12258, 7100 FIELD RIDGE CT, LOUISVILLE, KY, 40291
12259, 7200 COOPER CHAPEL RD, LOUISVILLE, KY, 40229
12260, 7200 DISTRIBUTION DR, LOUISVILLE, KY, 40258
12261, 7200 RIVERPORT DR, LOUISVILLE, KY, 40258
12262, 7300 BROOK MEADOW DR, LOUISVILLE, KY, 40228
12263, 7300 GRANNEL RD, LOUISVILLE, KY, 40214
12264, 7300 OLD NORTH CHURCH RD, LOUISVILLE, KY, 40214
12265, 7300 QUAIL RIDGE RD, LOUISVILLE, KY, 40291
12266, 7300 SKY BLUE AVE, LOUISVILLE, KY, 40258
12267, 7400 BLUE WING DR, LOUISVILLE, KY, 40258
12268, 7400 FALLS RIDGE CT, LOUISVILLE, KY, 40241
12269, 7400 HASSOCK DR, LOUISVILLE, KY, 40258
12270, 7400 LESANE DR, LOUISVILLE, KY, 40214
12271, 7400 RONAN DR, LOUISVILLE, KY, 40258
12272, 7500 ARNOLDTOWN RD, LOUISVILLE, KY, 40214
12273, 7500 COLSON DR, LOUISVILLE, KY, 40220
12274, 7500 JUSTAN AVE, LOUISVILLE, KY, 40214
12275, 7600 BLUE WING DR, LOUISVILLE, KY, 40258
12276, 7600 MARIETTA CT, LOUISVILLE, KY, 40258
12277, 7600 NOTTOWAY CIR, LOUISVILLE, KY, 40214
12278, 7600 RIVER RD, LOUISVILLE, KY, 40059
12279, 7700 ANNALISA DR, LOUISVILLE, KY, 40291
12280, 7700 TRILLIUM DR, LOUISVILLE, KY, 40258
12281, 7800 AXTELL AVE, LOUISVILLE, KY, 40258
12282, 7800 CANONERO WAY, LOUISVILLE, KY, 40291
12283, 7800 COOPER CHAPEL RD, LOUISVILLE, KY, 40229
12284, 7800 KENHURST DR, LOUISVILLE, KY, 40258
