address_string,n,coords,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109",35,,39.062627,-94.553203,0.9,intersection,,"E 35th St","Kansas City",MO,"Jackson County",64128,US,"TIGER/Line® dataset from the US Census Bureau"
"HARDESTY AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124",35,,39.105194,-94.51874,1,intersection,,"Hardesty Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"6600 E TRUMAN ROAD, KANSAS CITY, MO, 64127",34,,39.09423,-94.505187,0.9,rooftop,6600,"E Truman Rd","Kansas City",MO,"Jackson County",64126,US,"City of Kansas City"
"E 55 STREET and PASEO, KANSAS CITY, MO, 64130",34,,39.026975,-94.567512,0.7,intersection,,"E 55th St","Kansas City",MO,"Jackson County",64110,US,"TIGER/Line® dataset from the US Census Bureau"
"E 59 STREET and SWOPE PK, KANSAS CITY, MO, 64130",34,,39.018803,-94.541682,0.91,intersection,,"E 59th St","Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau"
"8000 E TRUMAN ROAD, KANSAS CITY, MO, 64127",33,,39.09323,-94.492739,0.8,range_interpolation,8000,"E Truman Rd","Kansas City",MO,"Jackson County",64126,US,"TIGER/Line® dataset from the US Census Bureau"
"8500 STATE LINE ROAD, KANSAS CITY, MO, 64131",33,,38.974543,-94.60873,0.9,rooftop,8500,"State Line Rd","Kansas City",MO,,64114,US,"City of Olathe"
"1100 N CENTURY AVENUE, KANSAS CITY, MO, 64120",32,,39.12554,-94.489454,0.6,street_center,,"N Century Ave","Kansas City",MO,"Jackson County",64120,US,"TIGER/Line® dataset from the US Census Bureau"
"13100 STATE LINE ROAD, KANSAS CITY, MO, 64145",32,,38.890715,-94.608484,1,rooftop,13100,"State Line Rd","Kansas City",MO,,64145,US,"City of Olathe"
"8400 STATE LINE ROAD, KANSAS CITY, MO, 64114",32,,38.97562,-94.608643,0.8,nearest_rooftop_match,8424,"State Line Rd","Kansas City",MO,,64114,US,"City of Olathe"
"E 46 STREET and WABASH AVENUE, KANSAS CITY, MO, 64110",32,,39.042879,-94.555432,0.9,intersection,,"E 46th St","Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau"
"W 31 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64111",32,,39.069272,-94.534482,0.37,intersection,,"E 31st St","Kansas City",MO,"Jackson County",64128,US,"TIGER/Line® dataset from the US Census Bureau"
"100 WORLDS OF FUN DR, KANSAS CITY, MO, 64161",31,,39.166079,-94.463954,0.33,place,,,"Kansas City",MO,"Clay County",64161,US,"TIGER/Line® dataset from the US Census Bureau"
"1500 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64110",31,,39.044214,-94.566858,1,rooftop,1500,"Emanuel Cleaver Ii Blvd","Kansas City",MO,"Jackson County",64110,US,"City of Kansas City"
"EMANUEL CLEAVER II BOULEVARD and OAK STREET, KANSAS CITY, MO, 64112",31,,39.042065,-94.585195,0.77,intersection,,"Emanuel Cleaver Ii Blvd","Kansas City",MO,"Jackson County",64112,US,"TIGER/Line® dataset from the US Census Bureau"
"N BELMONT BOULEVARD and STREET JOHN AVENUE, KANSAS CITY, MO, 64123",31,,39.114831,-94.509009,1,street_center,,"N Belmont Blvd","Kansas City",MO,"Jackson County",64123,US,"TIGER/Line® dataset from the US Census Bureau"
"W 10 STREET and SUMMIT STREET, KANSAS CITY, MO, 64106",31,,39.019576,-94.276675,0.7,intersection,,"NW 10th St","Blue Springs",MO,"Jackson County",64015,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64110",30,,39.041852,-94.570837,0.7,nearest_rooftop_match,1214,"E Emanuel Cleaver Ii Blvd","Kansas City",MO,"Jackson County",64110,US,Jackson
