address_string,n,coords,google_lat,google_lon,centroid
"200 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64112",19,"39.0420926,-94.5847404",39.0420926,-94.5847404,FALSE
"8500 STATE LINE ROAD, KANSAS CITY, MO, 64131",19,"38.8407319,-94.4643824",38.8407319,-94.4643824,FALSE
"HARDESTY AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124",19,"39.1052274,-94.5191215",39.1052274,-94.5191215,FALSE
"W 47 STREET and J C NICHOLS PARKWAY, KANSAS CITY, MO, 64111",19,"39.0421455,-94.5880325",39.0421455,-94.5880325,FALSE
"E 18 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64109",18,"39.0911243,-94.5609978",39.0911243,-94.5609978,FALSE
"I 70 HIGHWAY and STERLING AVENUE, KANSAS CITY, MO, 64133",18,"39.0460642,-94.4483592",39.0460642,-94.4483592,FALSE
"4300 N CORRINGTON AVENUE, KANSAS CITY, MO, 64119",17,"39.217096,-94.494101",39.217096,-94.494101,FALSE
"E 19 STREET and OAK STREET, KANSAS CITY, MO, 64109",17,"39.090302,-94.5790278",39.090302,-94.5790278,FALSE
"E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109",17,"39.0626386,-94.5532024",39.0626386,-94.5532024,FALSE
"E 44 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64110",17,"39.0464175,-94.5540609",39.0464175,-94.5540609,FALSE
"E 56 STREET and SWOPE PK, KANSAS CITY, MO, 64130",17,"39.0242502,-94.54158",39.0242502,-94.54158,FALSE
"E 75 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130",17,"38.9915516,-94.5756606",38.9915516,-94.5756606,FALSE
"E RED BRIDGE ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64137",17,"38.9296287,-94.526594",38.9296287,-94.526594,FALSE
"100 E 12 STREET, KANSAS CITY, MO, 64106",16,"39.0999136,-94.5820808",39.0999136,-94.5820808,FALSE
"13100 STATE LINE ROAD, KANSAS CITY, MO, 64145",16,"38.8900382,-94.6072759",38.8900382,-94.6072759,FALSE
"13200 STATE LINE ROAD, KANSAS CITY, MO, 64145",16,"38.9740484,-94.6083166",38.9740484,-94.6083166,FALSE
"14400 S US HIGHWAY 71 , KANSAS CITY, MO, 64145",16,"38.8642257,-94.5279221",38.8642257,-94.5279221,FALSE
"3800 BLUE RIDGE COURT, KANSAS CITY, MO, 64129",16,"38.8893615,-94.5796006",38.8893615,-94.5796006,FALSE
"8500 BLUE PK W, KANSAS CITY, MO, 64138",16,"39.0053088,-94.4852127",39.0053088,-94.4852127,FALSE
"BROOKLYN AVE and E GREGORY BLVD, KANSAS CITY, MO, 64130",16,"38.9982429,-94.561493",38.9982429,-94.561493,FALSE
"E RED BRIDGE ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64134",16,"38.9333563,-94.5223893",38.9333563,-94.5223893,FALSE
"OAKWOOD ROAD and OLDHAM ROAD, KANSAS CITY, MO, 64130",16,"38.9926203,-94.5216891",38.9926203,-94.5216891,FALSE
"100 N VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123",15,"39.1125535,-94.5261182",39.1125535,-94.5261182,FALSE
"3300 E 113 TERRACE, KANSAS CITY, MO, 64137",15,"38.9208814,-94.5478199",38.9208814,-94.5478199,FALSE
"BALES AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",15,"39.1059616,-94.5404822",39.1059616,-94.5404822,FALSE
"E 34 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109",15,"39.064861,-94.571629",39.064861,-94.571629,FALSE
"EMANUEL CLEAVER II BOULEVARD and OAK STREET, KANSAS CITY, MO, 64112",15,"39.0419692,-94.5823115",39.0419692,-94.5823115,FALSE
"GARFIELD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64126",15,"39.1065377,-94.5571527",39.1065377,-94.5571527,FALSE
"I 435 HIGHWAY and NE MO 152 HIGHWAY, KANSAS CITY, MO, 64119",15,"39.2407105,-94.5095176",39.2407105,-94.5095176,FALSE
"NE BARRY ROAD and N OAK TRAFFICWAY, KANSAS CITY, MO, 64155",15,"39.2464173,-94.5758818",39.2464173,-94.5758818,FALSE
"PENNSYLVANIA AVENUE and WESTPORT ROAD, KANSAS CITY, MO, 64127",15,"39.0528533,-94.5914536",39.0528533,-94.5914536,FALSE
"1100 N CENTURY AVENUE, KANSAS CITY, MO, 64120",14,"39.1255141,-94.4896082",39.1255141,-94.4896082,FALSE
"11600 E US HIGHWAY 40, KANSAS CITY, MO, 64123",14,"39.0458637,-94.4393389",39.0458637,-94.4393389,FALSE
"4600 BROADWAY, KANSAS CITY, MO, 64111",14,"39.0535228,-94.590339",39.0535228,-94.590339,FALSE
"500 NE BARRY ROAD, KANSAS CITY, MO, 64118",14,"39.246761,-94.5735463",39.246761,-94.5735463,FALSE
"7300 NW 87 TERRACE, KANSAS CITY, MO, 64154",14,"39.251845,-94.6490408",39.251845,-94.6490408,FALSE
"8500 BLUE PK W, KANSAS CITY, MO, 64129",14,"39.0053088,-94.4852127",39.0053088,-94.4852127,FALSE
"8700 ELMWOOD AVE, KANSAS CITY, MO, 64132",14,"38.9668142,-94.5373691",38.9668142,-94.5373691,FALSE
"E 50 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64132",14,"39.0357948,-94.5604591",39.0357948,-94.5604591,FALSE
"EASTWOOD TRAFFICWAY and I 435 HIGHWAY, KANSAS CITY, MO, 64129",14,"39.0313843,-94.5010976",39.0313843,-94.5010976,FALSE
"INDEPENDENCE AVENUE and KENSINGTON AVENUE, KANSAS CITY, MO, 64124",14,"39.1056202,-94.5303189",39.1056202,-94.5303189,FALSE
"INDEPENDENCE AVENUE and PASEO, KANSAS CITY, MO, 64124",14,"39.1059039,-94.5390769",39.1059039,-94.5390769,FALSE
"INDEPENDENCE AVENUE and WOODLAND AVENUE, KANSAS CITY, MO, 64123",14,"39.1066463,-94.5600573",39.1066463,-94.5600573,FALSE
"MAIN STREET and PETTICOAT LN, KANSAS CITY, MO, 64106",14,"39.101161,-94.5831282",39.101161,-94.5831282,FALSE
"STREET JOHN AVENUE and WHEELING AVENUE, KANSAS CITY, MO, 64123",14,"39.11217,-94.5105798",39.11217,-94.5105798,FALSE
"100 WARD PK N, KANSAS CITY, MO, 64112",13,"39.0407849,-94.5881096",39.0407849,-94.5881096,FALSE
"10600 STATE LINE ROAD, KANSAS CITY, MO, 64114",13,"38.9333651,-94.6076537",38.9333651,-94.6076537,FALSE
