address_string,n,coords
"600 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211",188,
"E OAK ST / S PRESTON ST, LOUISVILLE, KY, 40203",184,
"S 26TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212",183,
"ALGONQUIN PKY / CANE RUN RD, LOUISVILLE, KY, 40211",180,
"S 11TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203",179,
"3500 W BROADWAY, LOUISVILLE, KY, 40211",178,
"9600 WHIPPS MILL RD, LOUISVILLE, KY, 40242",178,
"S 12TH ST / W HILL ST, LOUISVILLE, KY, 40210",178,
"S 4TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202",178,
"1 ARENA PLZ, LOUISVILLE, KY, 40202",176,
"100 RIVER RD, LOUISVILLE, KY, 40202",176,
"S 15TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203",176,
"400 WEST CT, LOUISVILLE, KY, 40203",175,
"9800 VIEUX CARRE DR, LOUISVILLE, KY, 40223",173,
"BLUEGRASS AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",171,
"DIXIE HWY / GARLAND AVE, LOUISVILLE, KY, 40210",171,
"DIXIE HWY / GREENWOOD RD, LOUISVILLE, KY, 40258",171,
"S 24TH ST / W BROADWAY, LOUISVILLE, KY, 40211",171,
"S 5TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202",171,
"E BROADWAY / S CLAY ST, LOUISVILLE, KY, 40202",168,
"3300 NEWBURG RD, LOUISVILLE, KY, 40218",167,
"8500 NATIONAL TPKE, LOUISVILLE, KY, 40118",166,
"BAXTER AVE / HIGHLAND AVE, LOUISVILLE, KY, 40204",166,
"2000 BANK ST, LOUISVILLE, KY, 40203",165,
"3RD STREET RD / NEW CUT RD, LOUISVILLE, KY, 40214",164,
"600 VILLAGE WEST DR, LOUISVILLE, KY, 40203",164,
"S 15TH ST / W HILL ST, LOUISVILLE, KY, 40210",163,
"4900 MANSLICK RD, LOUISVILLE, KY, 40216",160,
"200 WHISP BROOK CIR, LOUISVILLE, KY, 40229",158,
"E BURNETT AVE / S SHELBY ST, LOUISVILLE, KY, 40217",157,
"W BROADWAY / DR W J HODGE ST, LOUISVILLE, KY, 40203",156,
"10400 BROOKRIDGE VILLAGE BLVD, LOUISVILLE, KY, 40291",155,
"600 E ORMSBY AVE, LOUISVILLE, KY, 40203",155,
"7000 RAGGARD RD, LOUISVILLE, KY, 40216",155,
"2100 W BROADWAY, LOUISVILLE, KY, 40211",154,
