address_string,n,coords
"100 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64106",4,
"100 N BRYANT STREET, CLAYCOMO, MO, 64155",4,
"100 N VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64124",4,
"100 ROYAL WAY, KANSAS CITY, MO, 64127",4,
"1000 AVENIDA CESAR E. CHA, KANSAS CITY, MO, 64108",4,
"1000 FRONT STREET, KANSAS CITY, MO, 64105",4,
"1000 FRONT STREET, KANSAS CITY, MO, 64106",4,
"10100 W 119 STREET, OVERLAND PARK, MO, 66213",4,
"10200 NW TRANSCON DR, KANSAS CITY, MO, 64153",4,
"10600 STATE LINE ROAD, KANSAS CITY, MO,",4,
"10700 HICKMAN MILLS DR, KANSAS CITY, MO, 64134",4,
"10900 STATE LINE ROAD, KANSAS CITY, MO, 64114",4,
"11600 E US HIGHWAY 40, KANSAS CITY, MO, 61433",4,
"11600 E US HIGHWAY 40, KANSAS CITY, MO, 64128",4,
"11600 E US HIGHWAY 40, KANSAS CITY, MO, 64129",4,
"11600 E US HIGHWAY 40, KANSAS CITY, MO, 64134",4,
"11601-HIGHWAY E US HIGHWAY 40, KANSAS CITY, MO, 64133",4,
"11800 US HIGHWAY 71, KANSAS CITY, MO, 64134",4,
"12200 GRAND AVENUE, KANSAS CITY, MO, 64145",4,
"12900 STATE LINE ROAD, KANSAS CITY, MO, 64145",4,
"1300 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64130",4,
"14900 ANDREWS ROAD, KANSAS CITY, MO, 64147",4,
"15600 E US HIGHWAY 40, KANSAS CITY, MO, 64136",4,
"15900 E US HIGHWAY 40, KANSAS CITY, MO, 64136",4,
"1700 E TRUMAN ROAD, KANSAS CITY, MO, 64108",4,
"1700 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64110",4,
"200 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64111",4,
"200 NICHOLS, KANSAS CITY, MO, 64111",4,
"20TH STREET/PASEO AVENUE, KANSAS CITY, MO, 64109",4,
"23 STREET TO I 435 N RA and I 435 HIGHWAY, KANSAS CITY, MO, 64130",4,
"2400 E TRUMAN ROAD, KANSAS CITY, MO, 64108",4,
"2500 MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64126",4,
"2635-1 and 2 BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64129",4,
"2ND / DELAWARE, KANSAS CITY, MO, 64105",4,
"3100 GILLHAM PL, KANSAS CITY, MO, 64111",4,
"31ST AND PROSPECT, KANSAS CITY, MO, 64128",4,
"3300 N OAK TRAFFICWAY, KANSAS CITY, MO, 64117",4,
"3300 STADIUM DR, KANSAS CITY, MO, 64129",4,
"3500 BROADWAY BOULEVARD, KANSAS CITY, MO, 64110",4,
"3600 BROADWAY BOULEVARD, KANSAS CITY, MO, 64109",4,
"3700 BROADWAY BOULEVARD, KANSAS CITY, MO, 64040",4,
"3700 BROADWAY BOULEVARD, KANSAS CITY, MO, 64110",4,
"3700 S EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64124",4,
"3800 EMANUEL CLEAVER II BOULEVARD E, KANSAS CITY, MO, 64130",4,
