address_string,n,coords,google_lat,google_lon,centroid
"E ORMSBY AVE / S PRESTON ST, LOUISVILLE, KY, 40203",259,"38.2309938,-85.7500138",38.2309938,-85.7500138,FALSE
"S 28TH ST / W MARKET ST, LOUISVILLE, KY, 40212",256,"38.2597872,-85.7964672",38.2597872,-85.7964672,FALSE
"CHEROKEE PARK, LOUISVILLE, KY, 40205",254,"38.2399656,-85.6993663",38.2399656,-85.6993663,FALSE
"SEELBACH AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",252,"38.1878856,-85.7835655",38.1878856,-85.7835655,FALSE
"E BROADWAY / S HANCOCK ST, LOUISVILLE, KY, 40202",250,"38.2449782,-85.7435821",38.2449782,-85.7435821,FALSE
"FERN VALLEY RD / PRESTON HWY, LOUISVILLE, KY, 40219",247,"38.1567303,-85.6969971",38.1567303,-85.6969971,FALSE
"100 E BROADWAY, LOUISVILLE, KY, 40202",244,"38.245282,-85.75325",38.245282,-85.75325,FALSE
"IROQUOIS PARK, LOUISVILLE, KY, 40214",243,"38.1608222,-85.7803058",38.1608222,-85.7803058,FALSE
"S 35TH ST / W BROADWAY, LOUISVILLE, KY, 40211",242,"38.2499491,-85.8098561",38.2499491,-85.8098561,FALSE
"OUTER LOOP / PRESTON HWY, LOUISVILLE, KY, 40219",240,"38.1384914,-85.6868586",38.1384914,-85.6868586,FALSE
"3100 BROOKLAWN CAMPUS DR, LOUISVILLE, KY, 40218",239,"38.2078184,-85.6757735",38.2078184,-85.6757735,FALSE
"4900 NORTON HEALTHCARE BLVD, LOUISVILLE, KY, 40241",237,"38.312177,-85.5731681",38.312177,-85.5731681,FALSE
"1400 DIXIE HWY, LOUISVILLE, KY, 40210",235,"38.2319162,-85.7890278",38.2319162,-85.7890278,FALSE
"9800 PRESTON CROSSING BLVD, LOUISVILLE, KY, 40229",235,"38.105893,-85.6723824",38.105893,-85.6723824,FALSE
"S 12TH ST / CEDAR CT, LOUISVILLE, KY, 40203",233,"38.2539832,-85.7704858",38.2539832,-85.7704858,FALSE
"S 15TH ST / W BROADWAY, LOUISVILLE, KY, 40203",232,"38.2482475,-85.7765632",38.2482475,-85.7765632,FALSE
"9700 PRESTON CROSSING BLVD, LOUISVILLE, KY, 40229",230,"38.1080412,-85.671901",38.1080412,-85.671901,FALSE
"E INDIAN TRL / POPLAR LEVEL RD, LOUISVILLE, KY, 40213",229,"38.1715407,-85.6850028",38.1715407,-85.6850028,FALSE
"BAXTER AVE / E BROADWAY, LOUISVILLE, KY, 40204",226,"38.2437711,-85.7270231",38.2437711,-85.7270231,FALSE
"NEW CUT RD / OUTER LOOP, LOUISVILLE, KY, 40214",226,"38.1264028,-85.7762254",38.1264028,-85.7762254,FALSE
"S 7TH ST / W HILL ST, LOUISVILLE, KY, 40208",226,"38.2267793,-85.7690009",38.2267793,-85.7690009,FALSE
"S FLOYD ST / E ST CATHERINE ST, LOUISVILLE, KY, 40203",226,"38.2364768,-85.7512646",38.2364768,-85.7512646,FALSE
"S 12TH ST / W BROADWAY, LOUISVILLE, KY, 40203",225,"38.2475625,-85.7715806",38.2475625,-85.7715806,FALSE
"1700 W BROADWAY, LOUISVILLE, KY, 40203",224,"38.247614,-85.7813012",38.247614,-85.7813012,FALSE
"BARDSTOWN RD / GOLDSMITH LN, LOUISVILLE, KY, 40205",224,"38.2083471,-85.6690709",38.2083471,-85.6690709,FALSE
"BERRY BLVD / TAYLOR BLVD, LOUISVILLE, KY, 40215",221,"38.1963082,-85.7829084",38.1963082,-85.7829084,FALSE
"DIXIE HWY / W OAK ST, LOUISVILLE, KY, 40210",219,"38.2374191,-85.7867583",38.2374191,-85.7867583,FALSE
"500 VILLAGE WEST DR, LOUISVILLE, KY, 40203",214,"38.2509577,-85.7662366",38.2509577,-85.7662366,FALSE
"S 18TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203",213,"38.2563928,-85.780182",38.2563928,-85.780182,FALSE
"GREENWOOD RD / TERRY RD, LOUISVILLE, KY, 40258",208,"38.144754,-85.8718137",38.144754,-85.8718137,FALSE
"S 34TH ST / W MARKET ST, LOUISVILLE, KY, 40212",207,"38.2609173,-85.8068654",38.2609173,-85.8068654,FALSE
"S 4TH ST / W BROADWAY, LOUISVILLE, KY, 40202",203,"38.2460838,-85.7583914",38.2460838,-85.7583914,FALSE
"BARDSTOWN RD / GRINSTEAD DR, LOUISVILLE, KY, 40204",202,"38.2384119,-85.7209876",38.2384119,-85.7209876,FALSE
"1000 ZORN AVE, LOUISVILLE, KY, 40207",201,"38.2706932,-85.6940659",38.2706932,-85.6940659,FALSE
"400 S 10TH ST, LOUISVILLE, KY, 40203",200,"38.2540788,-85.7673581",38.2540788,-85.7673581,FALSE
"S 13TH ST / W HILL ST, LOUISVILLE, KY, 40210",196,"38.2275984,-85.7768199",38.2275984,-85.7768199,FALSE
