id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
25916,5900 PENDLETON,LOUISVILLE,KY,40272,Match,Non_Exact,5900 Pendleton Rd,LOUISVILLE,KY,40272,-85.874756,38.05649,96861694,L
25915,5900 OLD HEADY RD,LOUISVILLE,KY,40299,Match,Exact,5900 Old Heady Rd,LOUISVILLE,KY,40299,-85.50511,38.162502,96990018,R
25918,593.5 RIVER,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25917,5900 SOUTHSIDE DR,LOUISVILLE,KY,40214,Match,Exact,5900 Southside Dr,LOUISVILLE,KY,40214,-85.764786,38.16682,96905669,R
25919,600 36TH ST,LOUISVILLE,KY,40211,Match,Non_Exact,600 S 36th St,LOUISVILLE,KY,40211,-85.810974,38.253334,96836230,R
25910,5900 BRISCOE LN,LOUISVILLE,KY,40228,Match,Exact,5900 Briscoe Ln,LOUISVILLE,KY,40228,-85.65107,38.143627,632852715,R
25912,5900 CREIGHTON HILL RD,LOUISVILLE,KY,40207,Match,Exact,5900 Creighton Hill Rd,LOUISVILLE,KY,40207,-85.64434,38.271492,96892598,R
25911,5900 CAMP GROUND RD,LOUISVILLE,KY,40216,Match,Exact,5900 Camp Ground Rd,LOUISVILLE,KY,40216,-85.86444,38.195854,96836305,R
25084,200 N 4TH ST,LOUISVILLE,KY,40202,Match,Non_Exact,200 S 4th St,LOUISVILLE,KY,40202,-85.756805,38.2552,96844678,R
25083,200 N 43RD ST,LOUISVILLE,KY,40212,Match,Exact,200 N 43rd St,LOUISVILLE,KY,40212,-85.81838,38.266064,96836007,L
25086,200 NOTTING HILL BLVD,LOUISVILLE,KY,40245,Match,Exact,200 Notting Hill Blvd,LOUISVILLE,KY,40245,-85.41399,38.23695,628822815,R
25085,200 N BECKLEY STATION RD,LOUISVILLE,KY,40245,Match,Exact,200 N Beckley Station Rd,LOUISVILLE,KY,40245,-85.48737,38.240524,618511456,L
25088,200 REVOLUTIONARY RD,LOUISVILLE,KY,40214,Match,Exact,200 Revolutionary Rd,LOUISVILLE,KY,40214,-85.762375,38.13344,96975308,L
25087,200 OAK ST,LOUISVILLE,KY,40203,Tie,,,,,,,,,
25089,200 ROCKCLIFF CT,LOUISVILLE,KY,40213,Match,Non_Exact,200 Rock Cliff Ct,LOUISVILLE,KY,40218,-85.67502,38.20435,635341902,L
25080,200 LONG RUN RD,LOUISVILLE,KY,40245,Match,Exact,200 Long Run Rd,LOUISVILLE,KY,40245,-85.43572,38.238853,621166234,L
25082,200 N 42ND ST,LOUISVILLE,KY,40212,Match,Exact,200 N 42nd St,LOUISVILLE,KY,40212,-85.81731,38.265797,96836065,L
25081,200 N 16TH ST,LOUISVILLE,KY,40203,Match,Exact,200 N 16th St,LOUISVILLE,KY,40203,-85.77616,38.260193,96842028,L
25095,200 W RIVER RD,LOUISVILLE,KY,40202,Match,Exact,200 W River Rd,LOUISVILLE,KY,40202,-85.752846,38.258686,96844757,L
25094,200 SOUTHWESTERN PKWY,LOUISVILLE,KY,40212,No_Match,,,,,,,,,
25097,200 WATERSTONE WAY,LOUISVILLE,KY,40245,Match,Exact,200 Waterstone Way,LOUISVILLE,KY,40245,-85.46223,38.233616,618512050,R
25096,200 WARNOCK ST,LOUISVILLE,KY,40208,Match,Non_Exact,200 Warnock St,LOUISVILLE,KY,40217,-85.75707,38.21482,96910953,R
25099,200 WHITLAND CT,LOUISVILLE,KY,40243,Match,Exact,200 Whitland Ct,LOUISVILLE,KY,40243,-85.53087,38.242336,96865820,L
