BLOCK_ADDRESS,geocode_city,geocode_state,ZIP_CODE,.,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
"1 HARWOOD RD",Louisville,Kentucky,40222,3,38.287923,-85.63673,1,range_interpolation,1,"Harwood Rd",Louisville,KY,"Jefferson County",40222,US
"1 HAWTHORN HL",Louisville,Kentucky,40204,5,38.227585,-85.72547,1,range_interpolation,1,"Hawthorn Hl",Louisville,KY,"Jefferson County",40204,US
"1 HIGHWOOD PL",Louisville,Kentucky,40206,17,38.269024,-85.702619,1,range_interpolation,1,"Highwood Pl",Louisville,KY,"Jefferson County",40206,US
"1 HILL RD",Louisville,Kentucky,40204,16,38.228526,-85.715989,1,range_interpolation,1,"Hill Rd",Louisville,KY,"Jefferson County",40204,US
"1 HILL TOP CT",Louisville,Kentucky,40214,2,38.187603,-85.76858,1,range_interpolation,1,"Hill Top Ct",Louisville,KY,"Jefferson County",40214,US
"1 KENIL CT",Louisville,Kentucky,40206,7,38.263149,-85.704636,0.8,street_center,,"Kenil Ct",Louisville,KY,"Jefferson County",40206,US
"1 LAKE AVE",Louisville,Kentucky,40206,14,38.267635,-85.700375,1,range_interpolation,1,"Lake Ave",Louisville,KY,"Jefferson County",40206,US
"1 MAIN ST",Louisville,Kentucky,40202,1,38.256224,-85.751559,1,range_interpolation,1,"Main St",Louisville,KY,"Jefferson County",40202,US
"1 MAPLE CT",Louisville,Kentucky,40214,10,38.186748,-85.768767,1,range_interpolation,1,"Maple Ct",Louisville,KY,"Jefferson County",40214,US
"1 MARKSMAN TRL",Louisville,Kentucky,40216,5,38.205215,-85.836104,0.8,street_center,,"Marksman Trl",Louisville,KY,"Jefferson County",40216,US
"1 MOCKINGBIRD PL",Louisville,Kentucky,40207,2,38.275785,-85.683867,1,range_interpolation,1,"Mockingbird Pl",Louisville,KY,"Jefferson County",40207,US
"1 MOCKINGBIRD VALLEY DR",Louisville,Kentucky,40207,14,38.276134,-85.678981,1,range_interpolation,1,"Mockingbird Valley Dr",Louisville,KY,"Jefferson County",40207,US
"1 MODERN WAY",Louisville,Kentucky,40216,8,38.205026,-85.835022,1,range_interpolation,1,"Modern Way",Louisville,KY,"Jefferson County",40216,US
"1 N CALUMET CT",Louisville,Kentucky,40214,1,38.12696,-85.76028,1,range_interpolation,1,"Calumet Dr",Louisville,KY,"Jefferson County",40214,US
