id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
1313,5800 NW BARRY ROAD,KANSAS CITY,MO,64152,Match,Non_Exact,5800 NW Barry Rd,KANSAS CITY,MO,64154,-94.64735,39.246902,39714228,R
1312,5800 NW 67 TERRACE,KANSAS CITY,MO,64152,Match,Non_Exact,5800 NW 67 Ter,KANSAS CITY,MO,64151,-94.64775,39.21742,39694033,R
1311,5700 E 109 TERRACE,KANSAS CITY,MO,64137,Match,Exact,5700 E 109 Ter,KANSAS CITY,MO,64137,-94.52419,38.92708,91458363,L
1310,5600 NORTON AVENUE,KANSAS CITY,MO,64132,Match,Non_Exact,5600 Norton Ave,KANSAS CITY,MO,64130,-94.5381,39.02236,91453336,R
1728,4600 WARWICK BOULEVARD,KANSAS CITY,MO,64111,Match,Non_Exact,4600 Warwick Blvd,KANSAS CITY,MO,64112,-94.58317,39.04323,91519226,R
1729,47 and JC NICHOLS,KANSAS CITY,MO,64112,No_Match,,,,,,,,,
1726,4600 SOUTH BENTON AVENUE,KANSAS CITY,MO,64128,No_Match,,,,,,,,,
1727,4600 WALLACE AVENUE,KANSAS CITY,MO,64133,Match,Non_Exact,4600 Wallace Ave,KANSAS CITY,MO,64129,-94.48624,39.03917,91485408,R
1724,4400 E 10 STREET,KANSAS CITY,MO,64126,Match,Non_Exact,4400 E 10 St,KANSAS CITY,MO,64127,-94.5302,39.10092,91450622,L
1725,4600 JARBOE STREET,KANSAS CITY,MO,64111,Match,Non_Exact,4600 Jarboe St,KANSAS CITY,MO,64112,-94.59961,39.044285,91446832,R
1722,4200 PROSPECT AVENUE,KANSAS CITY,MO,64128,Match,Non_Exact,4200 Prospect Ave,KANSAS CITY,MO,64130,-94.553894,39.049946,91451989,R
1723,4300 INDIANA AVENUE,KANSAS CITY,MO,64127,Match,Non_Exact,4300 Indiana Ave,KANSAS CITY,MO,64130,-94.54478,39.047794,91452270,R
1720,3800 WOODLAND AVENUE,KANSAS CITY,MO,64110,Match,Non_Exact,3800 Woodland Ave,KANSAS CITY,MO,64109,-94.56282,39.056858,91451786,R
1721,4200 N CHELSEA AVENUE,KANSAS CITY,MO,64119,Match,Non_Exact,4200 N Chelsea Ave,KANSAS CITY,MO,64117,-94.52269,39.169907,89758711,L
1329,700 E 101 TERRACE,KANSAS CITY,MO,64114,Match,Non_Exact,700 E 101 Ter,KANSAS CITY,MO,64131,-94.58217,38.943287,91501560,L
1328,700 BROADWAY BOULEVARD,KANSAS CITY,MO,64106,No_Match,,,,,,,,,
1325,6800 BELLEFONTAINE AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,6800 Bellefontaine Ave,KANSAS CITY,MO,64132,-94.55087,39.00314,91456805,R
1324,6700 MYRTLE AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,6700 Myrtle Ave,KANSAS CITY,MO,64132,-94.54037,39.00453,91457341,R
1327,6TH/HARDESTY AVENUE,KANSAS CITY,MO,64123,No_Match,,,,,,,,,
1326,6900 E 114 TERRACE,KANSAS CITY,MO,64134,Match,Exact,6900 E 114 Ter,KANSAS CITY,MO,64134,-94.5108,38.916195,91466085,L
1321,6400 E 87 STREET,KANSAS CITY,MO,64132,No_Match,,,,,,,,,
1320,6300 E 102 TERRACE,KANSAS CITY,MO,64134,Match,Exact,6300 E 102 Ter,KANSAS CITY,MO,64134,-94.516136,38.93917,91465767,L
1323,6600 E US HIGHWAY 40,KANSAS CITY,MO,64127,Match,Non_Exact,6600 US Hwy 40,KANSAS CITY,MO,64129,-94.50725,39.06986,91459105,L
1322,6500 INDEPENDENCE AVENUE,KANSAS CITY,MO,64123,Match,Non_Exact,6500 Independence Ave,KANSAS CITY,MO,64125,-94.506195,39.104748,91458586,L
1717,3800 AGNES AVENUE,KANSAS CITY,MO,64127,Match,Non_Exact,3800 Agnes Ave,KANSAS CITY,MO,64128,-94.54892,39.056988,91452101,R
1718,3800 BALES AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3800 Bales Ave,KANSAS CITY,MO,64128,-94.54315,39.056793,91452176,R
1719,3800 N ANTIOCH ROAD,KANSAS CITY,MO,64117,Match,Exact,3800 N Antioch Rd,KANSAS CITY,MO,64117,-94.54713,39.163242,89759058,L
1330,700 MAIN STREET,KANSAS CITY,MO,64106,Tie,,,,,,,,,
1713,3600 E 112 STREET,KANSAS CITY,MO,64137,Match,Exact,3600 E 112 St,KANSAS CITY,MO,64137,-94.5484,38.923206,91457868,L
1714,3700 BENTON BOULEVARD,KANSAS CITY,MO,64127,Match,Non_Exact,3700 Benton Blvd,KANSAS CITY,MO,64128,-94.546555,39.058723,91452149,R
1715,3700 N OAK TRAFFICWAY,KANSAS CITY,MO,64118,No_Match,,,,,,,,,
1716,3700 PARK AVENUE,KANSAS CITY,MO,64132,No_Match,,,,,,,,,
1710,3400 PROSPECT AVENUE,KANSAS CITY,MO,64127,Match,Non_Exact,3400 Prospect Ave,KANSAS CITY,MO,64128,-94.55313,39.06435,91452028,R
1711,3500 BENTON BOULEVARD,KANSAS CITY,MO,64130,Match,Non_Exact,3500 Benton Blvd,KANSAS CITY,MO,64128,-94.54637,39.062325,91452119,R
1712,3500 LEXINGTON AVENUE,KANSAS CITY,MO,64123,Match,Non_Exact,3500 Lexington Ave,KANSAS CITY,MO,64124,-94.540184,39.110493,91450322,L
1704,3100 AGNES AVENUE,KANSAS CITY,MO,64127,Match,Non_Exact,3100 Agnes Ave,KANSAS CITY,MO,64128,-94.54825,39.069668,91450206,R
1705,3100 E 49 STREET,KANSAS CITY,MO,64129,Match,Non_Exact,3100 E 49 St,KANSAS CITY,MO,64130,-94.54872,39.037174,91452642,L
1702,300 N VAN BRUNT BOULEVARD,KANSAS CITY,MO,64123,Match,Exact,300 N Van Brunt Blvd,KANSAS CITY,MO,64123,-94.52557,39.114628,91443678,L
1703,3000 NE 37 STREET,KANSAS CITY,MO,64116,Match,Non_Exact,3000 NE 37th St,KANSAS CITY,MO,64117,-94.545074,39.161324,89759106,L
1708,3400 BALES AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3400 Bales Ave,KANSAS CITY,MO,64128,-94.54284,39.064026,91452133,R
1709,3400 MONTGALL AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3400 Montgall Ave,KANSAS CITY,MO,64128,-94.551956,39.064312,91452033,R
1706,3200 CAMPBELL STREET,KANSAS CITY,MO,64110,Match,Non_Exact,3200 Campbell St,KANSAS CITY,MO,64109,-94.57436,39.068695,91446395,R
1707,3300 GILLHAM ROAD,KANSAS CITY,MO,64111,Match,Non_Exact,3300 Gillham Rd,KANSAS CITY,MO,64109,-94.57908,39.06805,91499529,R
