id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
3644,J C NICHOLS PARKWAY and WARD PK,KANSAS CITY,MO,64112,Match,Non_Exact,J C Nichols Pkwy & Ward Pkwy S,KANSAS CITY,MO,64112,-94.58809,39.041065,"",""
3886,1500 E 97 STREET,KANSAS CITY,MO,64114,No_Match,,,,,,,,,
3645,JACKSON AVENUE and SMART AVENUE,KANSAS CITY,MO,64124,Match,Exact,Jackson Ave & Smart Ave,KANSAS CITY,MO,64124,-94.532845,39.109318,"",""
3887,1500 POPLAR AVENUE,KANSAS CITY,MO,64128,Match,Non_Exact,1500 Poplar Ave,KANSAS CITY,MO,64127,-94.52465,39.094048,91450877,R
3409,6400 INDEPENDENCE AVENUE,KANSAS CITY,MO,64123,Match,Non_Exact,6400 Independence Ave,KANSAS CITY,MO,64125,-94.50719,39.10479,91458571,L
3646,LEEDS TRAFFICWAY and TOPPING AVENUE,KANSAS CITY,MO,64129,Match,Non_Exact,Leeds Trfy & Topping Ave,KANSAS CITY,MO,64128,-94.51662,39.056244,"",""
3888,15000 E US HIGHWAY 40,KANSAS CITY,MO,64133,Match,Non_Exact,15000 US Hwy 40,KANSAS CITY,MO,64136,-94.40085,39.035046,91470577,L
3408,6400 E 8 STREET,KANSAS CITY,MO,64124,Match,Non_Exact,6400 E 8 St,KANSAS CITY,MO,64125,-94.507385,39.102356,91458706,L
3647,MAIN STREET and W TRUMAN ROAD,KANSAS CITY,MO,64108,Match,Non_Exact,Main St & Truman Rd,KANSAS CITY,MO,64108,-94.58341,39.095757,"",""
3889,15300 E 49 STREET,KANSAS CITY,MO,64133,Match,Non_Exact,15300 E 49 St,KANSAS CITY,MO,64136,-94.40047,39.031513,91470585,L
3407,6400 E 12 STREET,KANSAS CITY,MO,64125,Match,Non_Exact,6400 E 12 St,KANSAS CITY,MO,64126,-94.507645,39.09745,91458721,L
3648,MCKINLEY AVENUE and ROBANDEE LN,KANSAS CITY,MO,64138,Match,Non_Exact,McKinley St & Robandee Ln,KANSAS CITY,MO,64138,-94.48717,38.95361,"",""
3660,NE 48 STREET and N BRIGHTON AVENUE,KANSAS CITY,MO,64117,Match,Non_Exact,NE 48th St & N Brighton Ave,KANSAS CITY,MO,64119,-94.5213,39.18075,"",""
3661,NE 52 and N MANCHSTER,KANSAS CITY,MO,64119,No_Match,,,,,,,,,
3662,NE 53 STREET and NE SAN RAFAEL DR,KANSAS CITY,MO,64113,No_Match,,,,,,,,,
3420,7000 CHESTNUT AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,7000 Chestnut Ave,KANSAS CITY,MO,64132,-94.55451,38.99967,91526059,R
