BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
I64E / I265,28,6,5,5,5,1,3,3,2,58
GREENWOOD RD,28,16,11,2,,,,,,57
I64W / I264 EE EAST SIDE IN LMPD-MCMAHAN,,16,23,9,,2,4,3,,57
I71S / I265,33,8,3,6,,2,3,2,,57
S CLAY ST,36,14,7,,,,,,,57
I265S / STONESTREET RD,19,9,4,9,4,2,2,5,2,56
I65N / I264,20,8,8,5,2,1,3,8,1,56
2300 LANNAN PARK RD,,8,4,11,8,7,3,11,3,55
700 LOUIS COLEMAN JR DR,1,,8,3,10,11,3,7,12,55
8100 ST ANDREWS CHURCH RD,4,5,4,9,3,9,11,4,6,55
ASHBY LN,24,14,17,,,,,,,55
I265S / NATIONAL TPKE,10,4,7,12,3,2,5,3,9,55
I265S / PRESTON HWY,15,7,9,3,,7,10,2,2,55
I64E / CANNONS LN,28,8,11,4,1,1,1,1,,55
I71N / I265,36,5,4,1,2,2,2,2,1,55
3000 ST ANTHONY GARDENS DR,,6,12,10,2,6,3,2,13,54
7TH STREET RD,41,13,,,,,,,,54
BRECKENRIDGE LN,46,2,5,,,,,,1,54
GRINSTEAD DR,20,28,5,,,,,,1,54
I 265 RAMP / I 64 EAST,,,6,4,15,12,15,2,,54
I264E / BROWNSBORO RD,28,10,7,1,4,3,,1,,54
I265N / I64,31,4,6,2,1,1,6,1,2,54
I265N / PRESTON HWY,17,4,9,6,6,5,5,,2,54
I64E / GRINSTEAD DR,14,10,5,3,2,4,11,2,3,54
KY-841 RAMP / KY-841 RAMP,10,8,6,6,13,1,5,5,,54
NEW LA GRANGE RD,29,15,10,,,,,,,54
7200 HOME PARK DR,7,7,3,4,8,3,2,8,11,53
I64E / STORY AVE,20,9,8,8,2,1,4,1,,53
300 LOUIS COLEMAN JR DR,1,,14,13,4,7,7,5,1,52
3RD STREET RD,47,5,,,,,,,,52
FERN CREEK PARK,3,8,5,7,7,5,1,15,1,52
1000 ST PAUL CT,4,5,3,5,1,6,5,13,9,51
500 S 34TH ST,28,19,4,,,,,,,51
DR W J HODGE ST / W MADISON ST,6,6,6,,9,2,9,9,4,51
I65S / I264,24,3,7,6,1,,2,6,2,51
S 6TH ST,33,11,6,1,,,,,,51
DR W J HODGE ST / MAPLE ST,7,2,5,5,10,10,2,2,7,50
I71S / ZORN AVE,22,8,11,2,,2,3,,2,50
2800 ST XAVIER ST,7,8,3,10,3,3,3,7,5,49
5500 LA FLEUR WAY,6,2,10,8,5,3,5,6,4,49
I71S / I264,22,8,8,2,2,,1,6,,49
800 LOUIS COLEMAN JR DR,,,4,9,7,9,7,8,4,48
GOLDSMITH LN,21,12,15,,,,,,,48
