BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
JEFFERSON HILL RD / KEYS FERRY RD,1,1,2,,,,,,,4
JENNINGS LN,2,2,,,,,,,,4
JENNY JUNE DR / NELLIE BLY DR,,,,4,,,,,,4
JOHNSONTOWN DR / JOHNSONTOWN RD,3,,,1,,,,,,4
JOHNSONTOWN RD / YUMA WAY,1,3,,,,,,,,4
JONES DR,4,,,,,,,,,4
KENMORE AVE / WESTERN AVE,,,,,,,,,4,4
KY-841 RAMP / NEW CUT RD,1,1,,1,,1,,,,4
LA VEL LN / TERRY RD,,,1,3,,,,,,4
LAGOONA DR / PLANE TREE DR,,1,2,1,,,,,,4
LAKE LOUISVILLA DR / WESTPORT RD,,1,,3,,,,,,4
LAKEFRONT PL / TUCKER STATION RD,,,,4,,,,,,4
LAMPTON ALY / SWAN ST,,4,,,,,,,,4
LAMPTON ST,2,2,,,,,,,,4
LARCHMONT AVE,2,2,,,,,,,,4
LEXINGTON RD / ALTA VISTA RD,4,,,,,,,,,4
LIPPS LN,3,1,,,,,,,,4
LONEY LN / NELSON AVE,,,,,,,,,4,4
LOUIS COLEMAN JR DR / STRATTON AVE,,,,4,,,,,,4
LOUIS COLEMAN JR DR / W BROADWAY,,,1,3,,,,,,4
LOWE RD / REGENCY WOODS WAY,1,1,1,1,,,,,,4
LULA WAY / WOODED WAY,,1,,,,,,,3,4
LYTLE ST / N 20TH ST,,4,,,,,,,,4
MANSLICK RD / MCNAIR RD,2,1,1,,,,,,,4
MANSLICK RD / ROSEWOOD WAY,1,,3,,,,,,,4
MARY ELLEN DR / SCOTTSDALE BLVD,4,,,,,,,,,4
MEADOW DR / TERRIER LN,2,2,,,,,,,,4
MERCER AVE,4,,,,,,,,,4
MILL BROOK RD / NEW LA GRANGE RD,3,1,,,,,,,,4
MILLERS LN,2,2,,,,,,,,4
MINOMA AVE / S SHELBY ST,3,1,,,,,,,,4
MORGAN AVE / MOUNT HOLLY RD,1,,,3,,,,,,4
MORTON AVE / EDWARD ST,,3,1,,,,,,,4
MOUNT HOLLY RD / FAIRDALE RD,,,4,,,,,,,4
MOUNT WASHINGTON RD / RAY NAN DR,1,2,,1,,,,,,4
N 21ST ST / N 22ND ST CONNECTOR,,2,,1,,,,,1,4
N 27TH ST / SHIPPINGPORT DR,,,,4,,,,,,4
N 32ND ST / ALFORD AVE,2,1,1,,,,,,,4
N 34TH ST / JEWELL AVE,1,2,1,,,,,,,4
N 35TH ST / ALFORD AVE,,,3,1,,,,,,4
N 9TH ST / ROY WILKINS AVE,2,1,1,,,,,,,4
N CHARLTON ST / POPE ST,,1,2,,,,,,1,4
N HUBBARDS LN / TAGGART DR,3,1,,,,,,,,4
N MADISON AVE / MAIN ST,3,,,1,,,,,,4
NELSON HORNBECK PARK,,2,,1,,,,,1,4
NEW CUT RD / 3RD STREET RD,,2,2,,,,,,,4
NOTTING HILL BLVD / SHELBYVILLE RD,,3,1,,,,,,,4
OLMSTED DR / RUNDILL RD,,,,,,1,1,,2,4
ONEIDA CT,4,,,,,,,,,4
OUTER LOOP / SMYRNA RD,4,,,,,,,,,4
PARK - ELLIOTT PARK,,1,,,3,,,,,4
PARK - WILLIAM HARRISON PARK,,1,,,1,2,,,,4
PATTERSON DR / POPLAR LEVEL RD,2,,2,,,,,,,4
PAYNE ST / COOPER ST,,4,,,,,,,,4
PHILLIPS LN / SENECA AVE,,2,,2,,,,,,4
POPLAR LEVEL RD / RUSSELL AVE,1,,1,2,,,,,,4
PRESTON HWY / I 264 RAMP,1,,3,,,,,,,4
PRESTON HWY / KRUPP PARK DR,,,1,3,,,,,,4
QUILLMAN DR / ST ANDREWS CHURCH RD,1,1,,2,,,,,,4
RANGELAND RD / POPLAR LEVEL RD,,,4,,,,,,,4
REGENT WAY / ROBINWOOD RD,4,,,,,,,,,4
RENWOOD BLVD / ST ANDREWS CHURCH RD,2,1,,1,,,,,,4
REUTLINGER AVE / RUFER AVE,,2,,2,,,,,,4
RIVER RD / AVISH LN,,,4,,,,,,,4
RIVER RD / RIVERSIDE DR,2,,2,,,,,,,4
S 10TH ST / W MAIN ST,4,,,,,,,,,4
S 11TH ST / W KENTUCKY ST,1,2,,1,,,,,,4
S 16TH ST / PIRTLE ST,1,2,,1,,,,,,4
S 1ST ST / COLONIAL OAKS CT,,,,3,,,,,1,4
S 1ST ST / E KENTON ST,,2,,,,,,,2,4
S 20TH ST / ESQUIRE ALY,1,,3,,,,,,,4
S 23RD ST,2,2,,,,,,,,4
S 26TH ST//DATE STREET,,,4,,,,,,,4
S 34TH ST / GRAND AVE,2,2,,,,,,,,4
S 38TH ST / STRATTON AVE,1,3,,,,,,,,4
S 40TH ST / SUNSET AVE,1,2,,,,,,,1,4
S 4TH ST / REESER PL,1,2,,,,,,,1,4
S 5TH ST / W TENNY AVE,1,1,1,1,,,,,,4
S 6TH ST / W MAIN ST,1,2,1,,,,,,,4
S 7TH ST / PEARSON CT,1,,,3,,,,,,4
S 7TH ST / S 11TH ST,4,,,,,,,,,4
S ENGLISH STATION RD / TAYLORSVILLE RD,1,2,1,,,,,,,4
S FLOYD ST / CENTRAL AVE,,1,3,,,,,,,4
S FLOYD ST / E BRECKINRIDGE ST,2,2,,,,,,,,4
S HURSTBOURNE PKY S / I64W,,,2,2,,,,,,4
S PRESTON ST / E MARKET ST,,2,1,1,,,,,,4
S PRESTON ST / RAWLINGS ST,1,,,3,,,,,,4
SCRIM AVE / WEST AVE,2,1,1,,,,,,,4
SEAFORTH WAY / TERRY RD,,1,,1,,,,,2,4
SHELBYVILLE RD / I 264 RAMP,,1,3,,,,,,,4
SHELBYVILLE RD / N WHITTINGTON PKY,,,4,,,,,,,4
SHELBYVILLE RD / SHERBURN LN,,4,,,,,,,,4
SHEPHERDSVILLE RD / OUTER LOOP,,,4,,,,,,,4
SIX MILE LN / WESTWOOD FARMS DR,2,2,,,,,,,,4
SLEVIN ST / N 24TH ST,,3,,1,,,,,,4
SOUTHSIDE DR / THALIA AVE,1,1,2,,,,,,,4
SR GAMES - TOM SAWYER PARK,,,,4,,,,,,4
ST ANTHONY CHURCH RD / WHIPPERWILL RD,,1,,,,2,,1,,4
STONEBRIDGE RD / WESTPORT RD,1,,2,,,,,,1,4
SUNDANCE DR / SUNSET CT,1,3,,,,,,,,4
SWAN ST / E ST CATHERINE ST,,3,1,,,,,,,4
TAYLOR BLVD / ARCADE AVE,2,2,,,,,,,,4
TAYLOR BLVD / BEECHER ST,2,1,1,,,,,,,4
TAYLOR BLVD / LONGFIELD AVE,2,1,1,,,,,,,4
TUCKER LAKE DR / TUCKER STATION RD,1,3,,,,,,,,4
VALLEY STATION RD / DEERING RD,,,2,,,,,,2,4
W BROADWAY / S 18TH ST,4,,,,,,,,,4
W BROADWAY / S 38TH ST,4,,,,,,,,,4
W CHESTNUT ST / S 26TH ST,,3,,1,,,,,,4
W JEFFERSON ST / DR W J HODGE ST,,,,4,,,,,,4
W JEFFERSON ST / S 32ND ST,,3,1,,,,,,,4
W LEE ST / RILEY AVE,2,,1,1,,,,,,4
W MAIN ST / BOSTON CT,,,4,,,,,,,4
W RIVER RD / W WASHINGTON ST,,3,,,,,,,1,4
WESTPORT RD / CHAMBERLAIN LN,1,1,2,,,,,,,4
WF - ORANGE PICNIC AREA,,,,3,,,1,,,4
WF - TAN LOT SOUTH,,,,,,,3,,1,4
WHIPPS MILL RD / WOOD RD,1,,,3,,,,,,4
WILSON AVE / ALGONQUIN PKY,1,3,,,,,,,,4
1 BEVERLY RD,,,3,,,,,,,3
1 I 264 WEST,2,1,,,,,,,,3
10.6 I265N,,,,,,,,,3,3
100 COUNTRYSIDE LN,2,,1,,,,,,,3
100 DARRELL,3,,,,,,,,,3
100 I 64 EAST,3,,,,,,,,,3
100 I 64 WEST,3,,,,,,,,,3
100 ST MATTHEWS AVE,,,,1,,,2,,,3
1000 ALGONQUIN PKY,2,,,,,,,,1,3
1000 DUDLEY AVE,,,,3,,,,,,3
1000 I 264 WEST,3,,,,,,,,,3
1000 ONEIDA AVE,,,3,,,,,,,3
1000 ORCHARD AVE,,2,,1,,,,,,3
10000 CEDAR CREEK RD,3,,,,,,,,,3
10100 FRIEND CT,,,,,,,,,3,3
10200 BACK RUN RD,,1,1,1,,,,,,3
10200 BROWNSBORO RD,,1,2,,,,,,,3
10200 OVEROAKS CT,,,,3,,,,,,3
10300 COOPERWOOD CT,,1,2,,,,,,,3
10300 LINN STATION RD,3,,,,,,,,,3
10300 NANKA RD,2,,1,,,,,,,3
10300 TROTTERS POINTE DR,,1,1,1,,,,,,3
10400 COTTONWOOD CT,,3,,,,,,,,3
10400 WATERMARK PL,,,,,,,2,1,,3
10500 OLD TAYLORSVILLE RD,,1,2,,,,,,,3
10500 SCARLET OAK CT,1,1,1,,,,,,,3
10500 TROTTERS POINTE DR,1,1,,,,,,,1,3
10600 COLONIAL WOODS WAY,1,1,,,,,,,1,3
10600 LOWER RIVER RD,,,2,1,,,,,,3
10600 MITCHELL HILL RD,1,1,1,,,,,,,3
10700 COLONEL HANCOCK DR,1,,2,,,,,,,3
10700 FAIRMOUNT RD,,,1,2,,,,,,3
10700 TALL TREE CT,,1,1,,,,,,1,3
10800 DEZERN AVE,,2,,,,,,,1,3
10800 FAIRMOUNT RD,1,,2,,,,,,,3
1090 BICKNELL AVE,,,,,,,,,3,3
10900 BARDSTOWN WOODS BLVD,,3,,,,,,,,3
10900 STITCH PL,,1,1,1,,,,,,3
10900 TALON WAY,,2,1,,,,,,,3
11.2 I264E,,,,,,,,,3,3
1100 DORSEY LN,,1,1,,,,,,1,3
1100 HOERTZ,,3,,,,,,,,3
1100 LODGE HILL RD,,,,1,,,,1,1,3
1100 MILES VIEW CT,,1,1,,,,,,1,3
1100 PAL RD,,,,,,1,2,,,3
1100 STONE SPRING WAY,2,,1,,,,,,,3
11000 BOOKER RD,,,,2,,,,,1,3
11100 PARK RD,,,,2,,,,,1,3
11200 BAUMLER PL,1,,1,1,,,,,,3
11200 CARRIAGE VIEW WAY,1,1,1,,,,,,,3
11200 DIXIE HWY,,,,1,,,,,2,3
11200 FANTASY TRL,,1,,,,,,1,1,3
11200 THORNTON LN,,,,,,,,,3,3
11300 CEDAR CREEK RD,1,,,2,,,,,,3
11300 HALIFAX DR,,,1,2,,,,,,3
11300 PEBBLE TRCE,,,,,,,,,3,3
11400 SEATONVILLE RD,,1,1,1,,,,,,3
11500 MITCHELL HILL RD,,1,1,1,,,,,,3
11500 SARATOGA HILL CT,1,,2,,,,,,,3
11500 SHAFFER FARMS LN,,1,,1,,,,,1,3
11700 VERANDA WAY,,,3,,,,,,,3
11900 ELLINGSWORTH LN,2,,1,,,,,,,3
12 I264E,,,,,,,,3,,3
1200 FIRST GETHSEMANE AVE,,,1,,,,,,2,3
1200 OF LOGAN ST,,,,,,,,3,,3
1200 QUALITY CHOICE PL,1,,,2,,,,,,3
1200 RUDGATE CV,,,3,,,,,,,3
12000 BEARCAMP RD,,,1,,,,,,2,3
12000 GREENVALLEY DR,,,,1,,,,,2,3
12100 MEADOW LN,2,,,,,,,1,,3
12400 REHL RD,,,1,,,,,,2,3
125 I65N,,,,,,,,3,,3
12500 LOWER RIVER RD,1,,1,1,,,,,,3
12700 ABBEY RD,,1,1,1,,,,,,3
12700 OTTO KNOP DR,1,,2,,,,,,,3
12800 RAZOR CREEK CT,1,,1,1,,,,,,3
12810 E ORELL RD,,,,,,,,,3,3
129 I65N,,,,,,,,1,2,3
12900 SCOTTS GAP RD,1,,,,,,,,2,3
13.2 I264W,,,,,,,,1,2,3
1300 BLACKTHORN RD,,,1,1,,,,,1,3
1300 MOORE CT,3,,,,,,,,,3
1300 N HURSTBOURNE PKY,,,1,,,,,,2,3
1300 S 34TH ST,1,2,,,,,,,,3
13300 CAIN LN,,,,,,,,,3,3
13400 CAIN LN,,2,,,,,,,1,3
13400 PARK VIEW CT,3,,,,,,,,,3
13400 SAPLING SPRING PL,1,1,1,,,,,,,3
135 I65N,,,,,,,,1,2,3
13500 AIKEN RD,,,3,,,,,,,3
13600 I 65 SOUTH,3,,,,,,,,,3
13600 QUIET GLEN CT,,,,,,,,,3,3
13700 ENGLISH IVY CT,,1,1,,,,,,1,3
13800 TAYLORSVILLE RD,2,,,,,,,,1,3
13900 BEARCAMP RD,1,2,,,,,,,,3
1400 BRICK ALY,,,1,,,,,,2,3
1400 HOERTZ AVE,1,1,,1,,,,,,3
1400 I 264 WEST,3,,,,,,,,,3
1400 SEELBACH AVE,,1,1,,,,,,1,3
14200 PORT CAPTAIN WAY,,,,,,2,1,,,3
14400 FOREST GLENN CT,,,3,,,,,,,3
14500 CLEAR MEADOW CT,1,,2,,,,,,,3
14500 PAULEYS GAP RD,1,,2,,,,,,,3
1500 FULTON ST,,3,,,,,,,,3
1500 MARINAS EDGE WAY,,,,,,,,3,,3
1500 RIDGE CT,,,,,,,,,3,3
1500 S FLOYD ST,1,1,1,,,,,,,3
1500 ST CATHERINE ST,,,,,,,,1,2,3
1520 HEMLOCK ST,,3,,,,,,,,3
15300 HARBOUR TREE AVE,3,,,,,,,,,3
16 I64E,,,,,,,,3,,3
1600 S FLOYD ST,,1,,1,,,,,1,3
16700 WINDING VIEW TRL,1,1,1,,,,,,,3
17 I64W,,,,,,,,3,,3
1700 13TH ST,,,,,,,,,3,3
1700 EAGLE CREEK PL,,,1,,,,,,2,3
1700 I 265 SOUTH,3,,,,,,,,,3
1700 LAMKINS CT,,,,,,,,,3,3
1700 N BECKLEY STATION RD,,1,1,1,,,,,,3
1800 BRENTMOOR LN,,,2,1,,,,,,3
1800 I 64 EAST,3,,,,,,,,,3
1800 LYNN WAY,,,1,2,,,,,,3
18100 BELLAVISTA PL,,,,,1,,,2,,3
1827 BARDSTOWN RD,,,,,,,,,3,3
1900 ASHMOOR LN,,1,2,,,,,,,3
1900 BUTTONWOOD RD,2,1,,,,,,,,3
1900 DALEVIEW LN,3,,,,,,,,,3
1900 DECATUR DR,,,3,,,,,,,3
1900 ESQUIRE ALY,3,,,,,,,,,3
19000 LONG GROVE WAY,1,,,2,,,,,,3
19100 HIGHWAY 148,2,,1,,,,,,,3
20 I64W,,,,,,,,1,2,3
200 BECKLEY WOODS DR,1,1,,,,,,,1,3
200 CLARK STATION RD,2,,1,,,,,,,3
200 FOREST PARK RD,,1,2,,,,,,,3
200 IOWA AVE,1,1,,1,,,,,,3
200 LAURIE VALLEE RD,,,,,,,,,3,3
200 MONOHAN DR,,,3,,,,,,,3
200 S BROOK ST,1,1,,,,,,,1,3
200 SPOONBILL LN,,,,,,,,,3,3
200 STOKE ON TRENT,,,3,,,,,,,3
200 W FLORENCE AVE,,2,,,,,,,1,3
200 WHITLAND CT,2,,,1,,,,,,3
200 WICKFIELD DR,,3,,,,,,,,3
2000 GLENVIEW AVE,1,1,1,,,,,,,3
2100 PLYMOUTH CT,3,,,,,,,,,3
2200 AMBOY DR,,,,,,,,,3,3
2200 CHERIAN DR,,2,,,,,,,1,3
2200 DARRELL DR,2,,,1,,,,,,3
2200 EASTBRIDGE CT,1,,1,,,,,,1,3
2200 LAMPTER ST,,,,3,,,,,,3
2200 SHEFFIELD BLVD,1,1,,,,,,,1,3
2200 TATTON DR,,,,,,2,,1,,3
2200 THURMAN DR,1,1,,1,,,,,,3
2200 WALTERDALE TER,1,,,,,,,,2,3
2300 GLENVIEW AVE,1,1,1,,,,,,,3
2300 I 64 WEST,3,,,,,,,,,3
2300 JEFFERSON ST,,,,,,,,1,2,3
2300 LIME KILN CT,1,2,,,,,,,,3
2300 MOUNT CLAIRE AVE,,1,1,1,,,,,,3
2300 S 4TH ST,2,1,,,,,,,,3
2400 ARNOLD PALMER BLVD,,,,,,,,,3,3
2400 CHESTNUT ST,,,,,,,,,3,3
2400 GRAY FOX RD,,,1,1,,,,,1,3
2400 LEXINGTON RD,,3,,,,,,,,3
2400 MALVERN HILL CT,1,1,1,,,,,,,3
2400 SPRING VALLEY LN,1,,1,,,,,,1,3
2400 W HILL ST,3,,,,,,,,,3
2400 WINDSOR FOREST DR,1,,,2,,,,,,3
2500 KRAUSE DR,1,,,1,,,,,1,3
2500 LEGENE DR,1,2,,,,,,,,3
2500 NEBLETT AVE,3,,,,,,,,,3
2500 TUCKAHO RD,1,,1,1,,,,,,3
2600 NEBLETT AVE,2,1,,,,,,,,3
2600 S POPE LICK RD,2,,,1,,,,,,3
2700 CANNONS LN,,,2,1,,,,,,3
2800 ALFORD AVE,2,,1,,,,,,,3
2800 SADDLE HORN DR,1,1,1,,,,,,,3
2800 TREMONT DR,,,,1,,,,,2,3
2900 BUDDEKE DR,,,,,,,2,,1,3
2900 MARY ROSE DR,,,2,1,,,,,,3
3 I71S,,,,,,,,,3,3
300 ACADEMY LAKE WAY,,,,2,,,,,1,3
300 AMY AVE,,1,,2,,,,,,3
300 BUCKLAND TRCE,,,,1,,,,,2,3
300 CHELSEA RD,,,,1,,,,,2,3
300 CREASON CT,1,,1,1,,,,,,3
300 E HILL ST,,2,1,,,,,,,3
300 E WOODLAWN AVE,,,1,2,,,,,,3
300 FOX RUN RD,,3,,,,,,,,3
300 GODFREY AVE,1,1,1,,,,,,,3
300 MILITIA DR,,1,,1,,,,,1,3
300 MILL STREAM PL,1,,2,,,,,,,3
300 PIATT PL,,1,1,,,,,,1,3
300 RANNOCH CT,,,2,1,,,,,,3
300 ROCKCREST VIEW CT,,,,,1,,,1,1,3
300 S 30TH ST,3,,,,,,,,,3
300 W BRANDEIS AVE,,,1,1,,,,,1,3
300 WOOD RD,,,,2,,,,,1,3
3000 SPRINGCREST DR,,1,1,,,,,,1,3
3000 SUNNYFIELD RD,1,1,,1,,,,,,3
3100 WEATHER WAY,,,1,,,,,,2,3
3200 CALAIS DR,,3,,,,,,,,3
3200 DUNLOVA CT,,1,1,,,,,,1,3
3200 RALPH AVE,,2,1,,,,,,,3
3200 SPRINGSTEAD CIR,1,1,1,,,,,,,3
3200 WESSEL RD,2,,,,,,,,1,3
3300 CHESTNUT,,,3,,,,,,,3
3300 COMMERCE CENTER PL,,2,,,,,,,1,3
3300 CORNELL TRACE CT,,,1,,,,,,2,3
3300 DEL PARK TER,3,,,,,,,,,3
3300 ENDEAVOR WAY,1,,2,,,,,,,3
3300 KREMER AVE,2,,,1,,,,,,3
3400 HISTORIC DR,1,1,,,,,,,1,3
3400 MANSLICK RD,,3,,,,,,,,3
3400 STONY FARM DR,3,,,,,,,,,3
3400 WOODSIDE RD,,,,1,,,,,2,3
3500 BURRELL DR,,1,,1,,,,,1,3
3500 MUD LN,2,,,1,,,,,,3
3600 CUTLER RD,,2,1,,,,,,,3
3600 DORSET RD,,,1,2,,,,,,3
3600 FALLEN TIMBER DR,1,,2,,,,,,,3
3600 NUTMEG CT,2,,,,,,,,1,3
3600 OLD ROUTT RD,,,,1,,1,1,,,3
3600 SHAKER MILL CT,,,,3,,,,,,3
3700 ALCONA LN,,,,2,,,,,1,3
3700 ROOSEVELT AVE,,,3,,,,,,,3
3700 SHANNON RUN TRL,,2,1,,,,,,,3
3700 UPPER RIVER RD,1,,2,,,,,,,3
3700 WYNBROOKE CIR,2,,,,,,,,1,3
3800 ACCOMACK,,,3,,,,,,,3
3800 BEAUFORT LN,1,,1,1,,,,,,3
3800 GARWOOD PL,,,1,1,,,,,1,3
3800 HANDLEY AVE,1,1,,1,,,,,,3
3800 KINGSBURY DR,1,,2,,,,,,,3
3800 THERINA WAY,,,2,1,,,,,,3
3900 ELLIOTT AVE,1,,,1,,,,,1,3
3900 LOVIN CT,,1,2,,,,,,,3
3RD STREET RD / BENTFORD DR,,,1,2,,,,,,3
3RD STREET RD / MAE CT,1,1,,,,,,,1,3
400 BRAEMOOR PL,,,3,,,,,,,3
400 I 264 WEST,3,,,,,,,,,3
400 I 71 SOUTH,3,,,,,,,,,3
400 KINNAIRD LN,,1,2,,,,,,,3
400 N 23RD ST,,3,,,,,,,,3
400 S 15TH ST,,1,2,,,,,,,3
400 WICKFIELD DR,,1,1,1,,,,,,3
4000 BOLD RULER WAY,1,2,,,,,,,,3
4000 CAMP GROUND RD,,2,,,,,,,1,3
4000 KIRBY LN,2,,,1,,,,,,3
4100 BROOK FARM PL,1,1,,1,,,,,,3
4100 CHENOWETH RUN RD,,,2,,,,,,1,3
4100 ESTATE DR,1,1,1,,,,,,,3
4100 LIME KILN LN,1,,,2,,,,,,3
4100 PACELLI PL,1,,1,,,,,,1,3
4100 RONALD CT,,2,,1,,,,,,3
4100 ST CHARLES LN,,,1,1,,,,1,,3
4200 BEECHCREST AVE,,,,2,,,,,1,3
4200 EVERSHEAD PL,1,1,1,,,,,,,3
4200 SENN RD,,1,1,1,,,,,,3
4200 WOODGATE LN,1,,2,,,,,,,3
4300 BAY POINTE DR,2,,1,,,,,,,3
4300 BURNT CEDAR LN,,1,1,,,,,,1,3
4300 CHEFS WAY,,,,,,1,,2,,3
4300 KURTZ AVE,,,2,,,,,,1,3
4400 HOPEWELL RD,2,,1,,,,,,,3
4400 LANDSIDE CT,,1,,,,,,,2,3
4400 ROBARDS LN,1,1,,,,,,,1,3
4500 CRITTENDEN DR,1,,1,1,,,,,,3
4500 ROSSMOOR DR,,,1,,,,,,2,3
4600 CAMP GROUND RD,,3,,,,,,,,3
4600 DEEPWOOD CT,1,,,1,,,,1,,3
4600 SOUTH RIDGE DR,,1,1,,,,,,1,3
4600 SPRING BRANCH CT,1,,,,,,,,2,3
4600 YOCUMSHIRE DR,1,,,,,,,,2,3
4700 BRIXHAM CT,1,,1,,,,,1,,3
4700 BROWNSBORO GARDENS DR,,,1,1,,,,,1,3
4700 KIEFER RD,3,,,,,,,,,3
4700 MURPHY LN,,2,1,,,,,,,3
4700 ST RITA DR,1,,1,,,,,1,,3
4700 SUNNY MEADOW CT,1,,2,,,,,,,3
4900 BILLTOWN RD,1,1,,,,,,,1,3
4900 HOPEWELL RD,,,,2,,,,,1,3
500 ACADEMY RIDGE PL,,,1,1,,,,,1,3
500 BEDFORDSHIRE RD,1,,1,,,,,,1,3
500 I 71 SOUTH,3,,,,,,,,,3
500 MACINTOSH,,,3,,,,,,,3
500 S 41ST ST,,,2,,,,,,1,3
5000 HILARY GREEN DR,,,,,,,,2,1,3
5000 SILVER RUN WAY,,,2,1,,,,,,3
5000 VASSAR AVE,3,,,,,,,,,3
5100 CRITTENDEN DR,1,,,2,,,,,,3
5100 HARVEST DR,,1,,1,,,,,1,3
5100 JEFF COMMERCE DR,,,,,,,,,3,3
5100 RAILROAD AVE,3,,,,,,,,,3
5200 DAHL RD,1,1,,1,,,,,,3
5200 MARS CT,,2,1,,,,,,,3
5400 CANE RUN RD,1,,1,,,,,,1,3
5400 HARBORTOWN CIR,,,2,,,,,,1,3
5400 HARBORTOWN RD,1,1,,,,,,,1,3
5500 MARY LAYNE RD,1,,2,,,,,,,3
5500 PENDLETON RD,,3,,,,,,,,3
5500 SOUTHSIDE DR,1,2,,,,,,,,3
5600 CHARLESWOOD PL,1,,,,,,,,2,3
5600 HACKLE,,3,,,,,,,,3
5623 NEW CUT RD,,,,,,,,,3,3
5800 BUCKS LN,2,1,,,,,,,,3
5900 WORTHINGTON WAY,1,,1,1,,,,,,3
598 RIVER,,1,,,,2,,,,3
6.4 I264E,,,,1,,,1,,1,3
600 I 71 SOUTH,3,,,,,,,,,3
600 N 36TH ST,1,2,,,,,,,,3
600 N 37TH ST,,1,,2,,,,,,3
600 RIVER RD,,,1,1,,,,,1,3
6000 CRITTENDEN DR,3,,,,,,,,,3
6000 TRANSYLVANIA BEACH RD,,1,1,1,,,,,,3
6100 CHENOWETH RUN RD,,3,,,,,,,,3
6100 SHEILA RD,,1,,,,,,,2,3
6300 BUCKSKIN PL,1,1,1,,,,,,,3
6300 FEGENBUSH LN,,3,,,,,,,,3
6300 WOOD RD,,,3,,,,,,,3
6400 SADDLEVIEW CT,,1,,,,,,,2,3
6400 SHADOW WOOD DR,3,,,,,,,,,3
6500 DUROC AVE,,1,,1,,,,,1,3
6500 ECHO TRL,1,1,1,,,,,,,3
6500 FALLING STAR DR,2,,1,,,,,,,3
6500 GREY OAKS CT,,,,3,,,,,,3
6600 FERNVIEW RD,1,,,,,,,,2,3
6700 CALM RIVER WAY,1,1,,1,,,,,,3
6700 GLENDALE RD,,,1,,,1,,,1,3
6700 STERNBACH CT,,,2,1,,,,,,3
6800 ARBOR MANOR WAY,3,,,,,,,,,3
6800 FORDHAM LN,,,1,1,,,,,1,3
6900 BEECH AVE,,,2,1,,,,,,3
6900 GLADYS RD,2,1,,,,,,,,3
6900 SUNNY VALE WAY,,1,1,1,,,,,,3
700 FAIRHILL DR,,,,2,,,,,1,3
700 I 64 EAST,3,,,,,,,,,3
700 KENTUCKY AVE,,,3,,,,,,,3
700 S 20TH ST,2,1,,,,,,,,3
700 VANNAH AVE,3,,,,,,,,,3
7000 BRETT FRAZIER DR,,2,,,,,,,1,3
7000 U S HIGHWAY 42,1,,2,,,,,,,3
7100 BRETT FRAZIER DR,,2,1,,,,,,,3
7100 JAN PLACE ST,,,1,,,,2,,,3
7200 ADAM MEADOW CT,,,,,,,,3,,3
7200 HOLLOW CREEK RD,1,,1,1,,,,,,3
7200 SHEFFORD LN,2,1,,,,,,,,3
7300 SCENIC TRL,2,,1,,,,,,,3
7300 STRIVE LN,2,1,,,,,,,,3
7300 WINSTEAD DR,,,,,,,,,3,3
7500 ASTRID WAY,1,,1,,,,,,1,3
7500 AVALON SPRINGS DR,,,,,,,,,3,3
7500 LAKE LOUISVILLA DR,1,,2,,,,,,,3
7600 OSWEGO CIR,,3,,,,,,,,3
7700 BARBOUR PLACE DR,,1,,2,,,,,,3
7700 ROSWELL WAY,,1,,2,,,,,,3
7700 ROUTT RD,3,,,,,,,,,3
7700 ST BERNARD CT,,1,,,1,,1,,,3
7800 GRETA AVE,2,,,1,,,,,,3
7900 BRISCOE WOODS DR,,1,1,1,,,,,,3
7900 LOFT CT,,2,1,,,,,,,3
7900 ZELMA FIELDS AVE,,,,,,,,,3,3
7TH ST RD,,,,,,,,,3,3
800 AHLAND RD,,,,2,,,,,1,3
800 DEERCROSS CT,1,2,,,,,,,,3
800 NORTON AVE,1,,1,1,,,,,,3
800 ROCKBRIDGE RD,1,,,2,,,,,,3
800 TIMBERBROOK PL,,3,,,,,,,,3
800 W KENTUCKY ST,1,,1,,,,,1,,3
8000 ATLANTA PKY,2,,1,,,,,,,3
8000 FERNDALE RD,1,1,1,,,,,,,3
8000 MINOR LN,,1,1,1,,,,,,3
8000 PLEASANT VALLEY CT,,3,,,,,,,,3
8000 STOUT RD,1,1,,1,,,,,,3
8100 BRUSH LN,,,3,,,,,,,3
8100 INDIAN WELLS CT,1,,,,,,,,2,3
8100 PARKSHIRE CT,1,,,,,,,1,1,3
8100 TONYA CT,1,,1,,,,,,1,3
8200 BROWNSBORO RD,3,,,,,,,,,3
8200 JONATHAN CT,1,,,,,,,,2,3
8200 LIMEHOUSE LN,2,,1,,,,,,,3
8300 LA GRANGE RD,1,,,,,1,,1,,3
8300 MICHAEL RAY DR,2,1,,,,,,,,3
8300 THIXTON LN,,1,,2,,,,,,3
8400 NEW LA GRANGE RD,1,2,,,,,,,,3
8500 HARRODS BRIDGE WAY,3,,,,,,,,,3
8500 RHETT BUTLER DR,,,1,2,,,,,,3
8600 LOYAL DR,,1,2,,,,,,,3
8600 THIXTON LN,1,,1,1,,,,,,3
8600 WIMBORNE WAY,,,,,,,,,3,3
8700 HI VIEW LN,1,,1,1,,,,,,3
8700 KEV CT,1,,1,,,,,,1,3
8700 LANTERN LITE PKY,,,3,,,,,,,3
8700 LYNNHALL CT,1,,,2,,,,,,3
8700 PINE SPRINGS DR,1,1,,1,,,,,,3
