5085, E 6 STREET and NORTON AVENUE, KANSAS CITY, MO, 64124
5086, E 6 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
5087, E 6 STREET and WALNUT STREET, KANSAS CITY, MO, 64109
5088, E 60 TERRACE and ELMWOOD AVENUE, KANSAS CITY, MO, 64130
5089, E 62 STREET and PROSPECT AVE, KANSAS CITY, MO, 64132
5090, E 62 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64130
5091, E 63 STREET and CITADEL DR, KANSAS CITY, MO, 64130
5092, E 63 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64130
5093, E 63 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64130
5094, E 63 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64110
5095, E 63 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64134
5096, E 63 STREET and TRACY AVENUE, KANSAS CITY, MO, 64110
5097, E 63 TRAFFICWAY and BEACON DR, KANSAS CITY, MO, 64130
5098, E 63 TRAFFICWAY and BLUE PK W, KANSAS CITY, MO, 64130
5099, E 63 TRAFFICWAY and WINCHESTER AVENUE, KANSAS CITY, MO, 64132
5100, E 64 STREET and AGNES AVENUE, KANSAS CITY, MO, 64132
5101, E 66 STREET and MANCHESTER AVENUE, KANSAS CITY, MO, 64138
5102, E 67 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64132
5103, E 67 STREET and MANCHESTER AVENUE, KANSAS CITY, MO, 64132
5104, E 67 STREET and OLIVE STREET, KANSAS CITY, MO, 64130
5105, E 67 STREET and WALROND AVENUE, KANSAS CITY, MO, 64132
5106, E 68 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64132
5107, E 68 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64132
5108, E 69 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64132
5109, E 69 STREET and CHERRY STREET, KANSAS CITY, MO, 64131
5110, E 69 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64132
5111, E 69 STREET and OLIVE STREET, KANSAS CITY, MO, 64132
5112, E 69 TERRACE and PROSPECT AVENUE, KANSAS CITY, MO, 64132
5113, E 7 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64123
5114, E 7 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106
5115, E 7 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64127
5116, E 7 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64123
