1395, BENTON BOULEVARD and I 70 HIGHWAY, KANSAS CITY, MO, 64127
1396, BENTON BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64126
1397, BLUE PK and KENSINGTON AVENUE, KANSAS CITY, MO, 64130
1398, BLUE PK W and NOLAND ROAD, KANSAS CITY, MO, 64138
1399, BLUE RIDGE BOULEVARD and E RED BRIDGE ROAD, KANSAS CITY, MO, 64134
1400, BRIGHTON AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64119
1401, BRIGHTON AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123
1402, BRIGHTON AVENUE and THOMPSON AVENUE, KANSAS CITY, MO, 64123
1403, BROADWAY and WESTPORT ROAD, KANSAS CITY, MO, 64110
1404, BROADWAY BOULEVARD and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64108
1405, BROADWAY BOULEVARD and VALENTINE ROAD, KANSAS CITY, MO, 64110
1406, BROADWAY BOULEVARD and VALENTINE ROAD, KANSAS CITY, MO, 64111
1407, BRUCE R WATKINS DR and EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64131
1408, BRUSH CREEK BOULEVARD and HARRISON STREET, KANSAS CITY, MO, 64110
1409, BRUSH CREEK BOULEVARD and VIRGINIA AVENUE, KANSAS CITY, MO, 64110
1410, CAMPBELL STREET and EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64111
1411, CAMPBELL STREET and PACIFIC STREET, KANSAS CITY, MO, 64106
1412, CENTRAL STREET and WESTPORT ROAD, KANSAS CITY, MO, 64111
1413, CHARLOTTE STREET and I 670 HIGHWAY, KANSAS CITY, MO, 64106
1414, CHELSEA AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124
1415, CHESTNUT AVENUE and SWOPE PK, KANSAS CITY, MO, 64132
1416, CYPRESS AVENUE and ELMWOOD AVENUE, KANSAS CITY, MO, 64130
1417, CYPRESS AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124
1418, E 1 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106
1419, E 10 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64124
1420, E 10 STREET and LOCUST STREET, KANSAS CITY, MO, 64105
1421, E 10 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
1422, E 10 STREET and TROOST AVENUE, KANSAS CITY, MO, 64106
1423, E 107 STREET and MARSH AVENUE, KANSAS CITY, MO, 64134
1424, E 11 STREET and PASEO, KANSAS CITY, MO, 64106
1425, E 114 STREET and MANCHESTER AVENUE, KANSAS CITY, MO, 64134
1426, E 114 STREET and RICHMOND AVENUE, KANSAS CITY, MO, 64134
1427, E 114 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64134
1428, E 12 STREET and EWING AVENUE, KANSAS CITY, MO, 64126
1429, E 12 STREET and PASEO, KANSAS CITY, MO, 64106
1430, E 12 STREET and PASEO, KANSAS CITY, MO, 64124
1431, E 12 STREET and WALNUT STREET, KANSAS CITY, MO, 64110
1432, E 13 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64127
1433, E 13 STREET and WALNUT STREET, KANSAS CITY, MO, 64105
1434, E 14 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64127
1435, E 16 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64126
1436, E 17 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
1437, E 18 STREET and BRIGHTON AVENUE, KANSAS CITY, MO, 64127
1438, E 19 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64108
1439, E 19 STREET S and HAZEL AVENUE, , MO, 64126
1440, E 2 STREET and MAIN STREET, KANSAS CITY, MO, 64106
1441, E 20 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64108
1442, E 20 STREET and MCGEE STREET, KANSAS CITY, MO, 64108
1443, E 22 STREET and POPLAR AVENUE, KANSAS CITY, MO, 64128
1444, E 23 STREET and DENVER AVENUE, KANSAS CITY, MO, 64127
1445, E 23 STREET and TELEVISION PL, KANSAS CITY, MO, 64127
1446, E 23 TRAFFICWAY W and I 435 HIGHWAY, KANSAS CITY, MO, 64128
1447, E 24 STREET and CYPRESS AVENUE, KANSAS CITY, MO, 64127
1448, E 24 STREET and DENVER AVENUE, KANSAS CITY, MO, 64129
1449, E 25 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64127
1450, E 25 STREET and HARRISON STREET, KANSAS CITY, MO, 64108
1451, E 25 STREET and HOLMES STREET, KANSAS CITY, MO, 64108
1452, E 25 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64127
1453, E 26 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64127
1454, E 26 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
1455, E 27 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64110
1456, E 27 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64130
1457, E 27 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64126
1458, E 27 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64128
1459, E 27 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64109
1460, E 27 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64108
1461, E 27 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
1462, E 28 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64109
1463, E 28 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64127
1464, E 28 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64128
1465, E 28 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64107
1466, E 29 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64128
1467, E 3 STREET and OAK STREET, KANSAS CITY, MO, 64106
1468, E 30 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64127
1469, E 30 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109
1470, E 30 TERRACE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64131
1471, E 31 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64128
1472, E 32 STREET and AGNES AVENUE, KANSAS CITY, MO, 64130
1473, E 32 STREET and WALROND AVENUE, KANSAS CITY, MO, 64128
1474, E 33 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64127
1475, E 33 STREET and FOREST AVENUE, KANSAS CITY, MO,
1476, E 33 STREET and TRACY AVENUE, KANSAS CITY, MO, 64109
1477, E 33 STREET and TROOST AVENUE, KANSAS CITY, MO, 64111
1478, E 34 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64109
1479, E 34 STREET and TRACY AVENUE, KANSAS CITY, MO, 64110
1480, E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO,
1481, E 36 STREET and HOLMES STREET, KANSAS CITY, MO, 64109
1482, E 38 STREET and BALES AVENUE, KANSAS CITY, MO, 64130
1483, E 38 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64111
1484, E 38 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64128
1485, E 38 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64130
1486, E 39 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64109
1487, E 39 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64110
1488, E 39 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
1489, E 39 STREET and MAIN STREET, KANSAS CITY, MO, 64110
1490, E 39 STREET and NORTON AVENUE, KANSAS CITY, MO, 64130
1491, E 40 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64127
1492, E 40 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64130
1493, E 40 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64130
1494, E 40 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64128
1495, E 40 STREET and TROOST AVENUE, KANSAS CITY, MO, 64110
1496, E 42 STREET and VIRGINIA AVENUE, KANSAS CITY, MO, 64110
1497, E 43 STREET and BLUE RIDGE COURT, KANSAS CITY, MO, 64130
1498, E 43 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64128
1499, E 43 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
1500, E 43 TERRACE and ELMWOOD AVENUE, KANSAS CITY, MO, 64130
1501, E 44 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64130
1502, E 44 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64130
1503, E 44 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
1504, E 44 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64130
1505, E 45 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
1506, E 45 STREET and S EMANUEL CLEAVER II BOULEVARD S, KANSAS CITY, MO, 64128
1507, E 46 STREET and PASEO, KANSAS CITY, MO, 64110
1508, E 46 STREET and WARWICK BOULEVARD, KANSAS CITY, MO, 64112
1509, E 49 STREET and AGNES AVENUE, KANSAS CITY, MO, 64130
1510, E 5 STREET and GILLIS STREET, KANSAS CITY, MO, 64124
1511, E 52 STREET and BROOKSIDE BOULEVARD, KANSAS CITY, MO, 64130
1512, E 53 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64131
1513, E 53 TERRACE and JACKSON AVENUE, KANSAS CITY, MO, 64129
1514, E 54 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64101
1515, E 54 STREET and FOREST AVENUE, KANSAS CITY, MO, 64110
1516, E 55 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64130
1517, E 55 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64130
1518, E 56 STREET and WABASH AVENUE, KANSAS CITY, MO, 64131
1519, E 56 STREET and WABASH AVENUE, KANSAS CITY, MO, 64132
1520, E 57 STREET and PASEO, KANSAS CITY, MO, 64110
1521, E 57 STREET and TROOST AVENUE, KANSAS CITY, MO, 64110
1522, E 58 STREET and SWOPE PK, KANSAS CITY, MO, 64130
1523, E 58 STREET and WABASH AVENUE, KANSAS CITY, MO, 64130
1524, E 59 STREET and AGNES AVENUE, KANSAS CITY, MO, 64130
1525, E 59 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
1526, E 62 STREET and WALROND AVENUE, KANSAS CITY, MO, 64130
1527, E 63 STREET and SWOPE PK, KANSAS CITY, MO, 64120
1528, E 63 TRAFFICWAY and MANCHESTER AVENUE, KANSAS CITY, MO, 64130
1529, E 63 TRAFFICWAY and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64110
1530, E 68 STREET and BALES AVENUE, KANSAS CITY, MO, 64132
1531, E 68 STREET and MONROE AVENUE, KANSAS CITY, MO, 64132
1532, E 68 TERRACE and PASEO, KANSAS CITY, MO, 64132
1533, E 7 STREET and MAIN STREET, KANSAS CITY, MO, 64106
1534, E 7 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64109
1535, E 7 STREET and WINNER ROAD, KANSAS CITY, MO, 64123
1536, E 70 STREET and HOLMES ROAD, KANSAS CITY, MO, 64134
1537, E 70 STREET and PASEO, KANSAS CITY, MO, 64132
1538, E 70 TERRACE and PROSPECT AVENUE, KANSAS CITY, MO, 64132
1539, E 72 STREET and WALROND AVENUE, KANSAS CITY, MO, 64132
1540, E 75 STREET and HOLMES ROAD, KANSAS CITY, MO, 64131
1541, E 75 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
1542, E 75 STREET and TROOST AVENUE, KANSAS CITY, MO, 64132
1543, E 76 STREET and PASEO, KANSAS CITY, MO, 64132
1544, E 77 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130
1545, E 8 STREET and CHERRY STREET, KANSAS CITY, MO, 64106
1546, E 8 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105
1547, E 8 STREET and NORTON AVENUE, KANSAS CITY, MO, 64124
1548, E 8 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64128
1549, E 8 STREET and TRACY AVENUE, KANSAS CITY, MO, 64106
1550, E 8 STREET and TROOST AVENUE, KANSAS CITY, MO, 64106
1551, E 8 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
1552, E 8 STREET and WHEELING AVENUE, KANSAS CITY, MO, 64124
1553, E 80 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64131
1554, E 82 TERRACE and EUCLID AVENUE, KANSAS CITY, MO, 64132
1555, E 85 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64132
1556, E 85 STREET and WABASH AVENUE, KANSAS CITY, MO, 64131
1557, E 85 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64131
1558, E 87 STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64134
1559, E 9 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64124
1560, E 9 STREET and CHERRY STREET, KANSAS CITY, MO, 64106
1561, E 9 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64127
1562, E 9 STREET and MAIN STREET, KANSAS CITY, MO, 64106
1563, E 9 STREET and PASEO, KANSAS CITY, MO, 64130
1564, E 9 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
1565, E BANNISTER ROAD and BLUE RIVER ROAD, KANSAS CITY, MO, 64137
1566, E BANNISTER ROAD and HOLMES ROAD, KANSAS CITY, MO, 64131
1567, E BANNISTER ROAD and I 435 HIGHWAY, KANSAS CITY, MO, 64134
1568, E BANNISTER ROAD and TROOST AVENUE, KANSAS CITY, MO, 64131
1569, E FRONT STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64123
1570, E GREGORY BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64138
1571, E GREGORY BOULEVARD and PASEO, KANSAS CITY, MO, 64131
1572, E LINWOOD BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64108
1573, E LINWOOD BOULEVARD and MICHIGAN AVENUE, KANSAS CITY, MO, 64109
1574, E LINWOOD BOULEVARD and MONTGALL AVENUE, KANSAS CITY, MO, 64128
1575, E LINWOOD BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64109
1576, E MEYER BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO, 64131
1577, E MEYER BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64131
1578, E MISSOURI AVENUE and WOODLAND AVENUE, KANSAS CITY, MO, 64106
1579, E TRUMAN ROAD and WALNUT STREET, KANSAS CITY, MO, 64108
1580, EASTERN AVENUE and RAYTOWN ROAD, KANSAS CITY, MO, 64129
1581, ELMWOOD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64127
1582, FRONT STREET and RIVER FRONT ROAD, KANSAS CITY, MO, 64105
1583, GILLHAM ROAD and ROCKHILL TERRACE, KANSAS CITY, MO, 64111
1584, GLADSTONE BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124
1585, GLADSTONE BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64125
1586, HARDESTY AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64124
1587, HIDDEN LAKES DR and N SUMMIT STREET, KANSAS CITY, MO, 64118
1588, HIGHLAND AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64110
1589, HIGHLAND AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64116
1590, I 435 HIGHWAY and I 70 HIGHWAY, KANSAS CITY, MO, 64129
1591, I 435 HIGHWAY and WINNER ROAD, KANSAS CITY, MO, 64124
1592, I 435 N TO US 71 N RA and US HIGHWAY 71, KANSAS CITY, MO, 64137
1593, I 70 HIGHWAY and E US HIGHWAY 40, KANSAS CITY, MO, 64129
1594, I 70 HIGHWAY and PROSPECT AVENUE, KANSAS CITY, MO, 64127
1595, INDEPENDENCE AVENUE and OLIVE STREET, KANSAS CITY, MO, 64106
1596, INDEPENDENCE AVENUE and PARK AVENUE, KANSAS CITY, MO, 64123
1597, INDEPENDENCE AVENUE and PROSPECT BOULEVARD, KANSAS CITY, MO,
1598, INDEPENDENCE AVENUE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
1599, INDEPENDENCE AVENUE and WHITE AVENUE, KANSAS CITY, MO, 64124
1600, INDEPENDENCE AVENUE and WOODLAND AVENUE, KANSAS CITY, MO, 64124
1601, LAWN AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64127
1602, LEXINGTON AVENUE and MONTGALL AVENUE, KANSAS CITY, MO, 64124
1603, LONGVIEW ROAD and SPRING VALLEY ROAD, KANSAS CITY, MO, 64134
1604, M 9 HIGHWAY and N US HIGHWAY 169, KANSAS CITY, MO, 64153
1605, MAIN STREET and WARWICK TRAFFICWAY, KANSAS CITY, MO, 64108
1606, MONROE AVENUE and MORRELL AVENUE, KANSAS CITY, MO, 64123
1607, N ANTIOCH ROAD and NE VIVION ROAD, KANSAS CITY, MO, 64118
1608, N ANTIOCH ROAD and NE VIVION ROAD, KANSAS CITY, MO, 64119
1609, N ASKEW AVENUE and NE RUSSELL ROAD, KANSAS CITY, MO, 64117
1610, N CORRINGTON AVENUE and NE PARVIN ROAD, KANSAS CITY, MO, 64130
1611, N ELMWOOD AVENUE and NE VIVION ROAD, KANSAS CITY, MO, 64119
1612, N SPRUCE AVENUE and NE VIVION ROAD, KANSAS CITY, MO, 64118
1613, NE 118 TERRACE and N COLLEGE AVENUE, KANSAS CITY, MO, 64155
1614, NE 33 TERRACE and N CHOUTEAU TRAFFICWAY N, KANSAS CITY, MO, 64121
1615, NE 43 STREET and N ANTIOCH ROAD, KANSAS CITY, MO, 64118
1616, NE 44 TERRACE and NE KELSEY ROAD, KANSAS CITY, MO, 64117
1617, NE 45 TERRACE and N WINN ROAD, KANSAS CITY, MO, 64117
1618, NE 50 STREET and N ANTIOCH ROAD, KANSAS CITY, MO, 64119
1619, NE 50 STREET and N BRISTOL AVENUE, KANSAS CITY, MO, 64119
1620, NE 88 TERRACE and N OAK TRAFFICWAY, KANSAS CITY, MO, 64151
1621, NE CHOUTEAU TRAFFICWAY and NE PARVIN ROAD, KANSAS CITY, MO, 64117
1622, NW 126 TERRACE and NW SKYVIEW AVENUE, KANSAS CITY, MO, 64154
1623, NW WAUKOMIS and NW HARDEN, KANSAS CITY, MO, 64116
1624, OAK STREET and VOLKER BOULEVARD, KANSAS CITY, MO, 64130
1625, OAKWOOD ROAD and OLDHAM ROAD, KANSAS CITY, MO, 64132
1626, OAKWOOD ROAD and OLDHAM ROAD, KANSAS CITY, MO, 64138
1627, PHELPS ROAD and E US HIGHWAY 40, KANSAS CITY, MO,
1628, PROSPECT AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64109
1629, PROSPECT AVENUE and VICTOR STREET, KANSAS CITY, MO, 64127
1630, ROANOKE ROAD and WESTPORT ROAD, KANSAS CITY, MO, 64111
1631, STREET JOHN AVENUE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123
1632, STREET JOHN AVENUE and WABASH AVENUE, KANSAS CITY, MO, 64124
1633, TROOST 62ND, KANSAS CITY, MO, NA
1634, TROOST AVENUE and VOLKER BOULEVARD, KANSAS CITY, MO, 64110
1635, W 10 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
1636, W 12 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64106
1637, W 14 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64106
1638, W 16 STREET and MAIN STREET, KANSAS CITY, MO, 64106
1639, W 17 STREET and MADISON AVENUE, KANSAS CITY, MO, 64108
1640, W 17 STREET and SUMMIT STREET, KANSAS CITY, MO, 64108
1641, W 18 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64108
1642, W 2 STREET and MAIN STREET, KANSAS CITY, MO, 64105
1643, W 28 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64108
1644, W 29 STREET and PENN VALLEY DR, KANSAS CITY, MO, 64108
1645, W 29 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64108
1646, W 3 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
1647, W 31 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64110
1648, W 33 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64110
1649, W 36 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64111
1650, W 37 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64114
1651, W 38 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64111
1652, W 39 STREET and ROANOKE ROAD, KANSAS CITY, MO, 64111
1653, W 39 STREET and TERRACE STREET, KANSAS CITY, MO, 64111
1654, W 40 TERRACE and BROADWAY, KANSAS CITY, MO, 64109
1655, W 41 STREET and MILL STREET, KANSAS CITY, MO, 64110
1656, W 43 STREET and MAIN STREET, KANSAS CITY, MO, 64111
1657, W 43 STREET and ROANOKE ROAD, KANSAS CITY, MO, 64111
1658, W 47 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO,
1659, W 52 STREET and WORNALL ROAD, KANSAS CITY, MO, 64114
1660, W 59 STREET and WORNALL ROAD, KANSAS CITY, MO, 64111
1661, W 7 STREET and BANK STREET, KANSAS CITY, MO, 64105
1662, W 74 TERRACE and BROADWAY, KANSAS CITY, MO, 64131
1663, W 77 STREET and WORNALL ROAD, KANSAS CITY, MO, 64141
1664, W 9 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64106
1665, W BANNISTER ROAD and WORNALL ROAD, KANSAS CITY, MO, 64114
1666, 100 E 55 TERRACE, KANSAS CITY, MO, 64113
1667, 100 LAWN AVENUE, KANSAS CITY, MO, 64127
1668, 100 N JACKSON AVENUE, KANSAS CITY, MO, 64123
1669, 100 NE HILL STREET, KANSAS CITY, MO, 64116
1670, 100 W WINTHROPE ROAD, KANSAS CITY, MO, 64114
1671, 100 WORLDS OF FUN AVE , KC, KANSAS CITY, MO, 64161
1672, 1000 BALTIMORE AVENUE, KANSAS CITY, MO, 64108
1673, 1000 BROADWAY BOULEVARD, KANSAS CITY, MO, 64106
1674, 1000 NE 113 TERRACE, KANSAS CITY, MO, 64155
1675, 10100 N AMBASSADOR DR, KANSAS CITY, MO, 64154
1676, 10400 HICKMAN MILLS DR, KANSAS CITY, MO, 64134
1677, 107TH STREET/ MANCHESTER, KANSAS CITY, MO, 64134
1678, 1100 E 139 STREET, KANSAS CITY, MO, 64145
1679, 11100 HOLMES ROAD, KANSAS CITY, MO, 64114
1680, 11400 GREENWOOD ROAD, KANSAS CITY, MO, 64138
1681, 11500 TROOST AVENUE, KANSAS CITY, MO, 64145
1682, 11600 E US HIGHWAY 40 E, INDEPENDENCE, MO, 64110
1683, 11800 WINCHESTER AVENUE, KANSAS CITY, MO, 64138
1684, 1200 WALNUT STREET, KANSAS CITY, MO, 64108
1685, 12900 WORNALL ROAD, KANSAS CITY, MO, 64114
1686, 1300 E 79 STREET, KANSAS CITY, MO, 64132
1687, 1300 HOLMES STREET, KANSAS CITY, MO, 64108
1688, 1300 N GRAND BOULEVARD, KANSAS CITY, MO, 64106
1689, 13100 HOLMES ROAD, KANSAS CITY, MO, 64114
1690, 13800 BLUE PK W, KANSAS CITY, MO, 64138
1691, 1400 TOPPING AVENUE, KANSAS CITY, MO, 64123
1692, 14200 E US HIGHWAY 40, KANSAS CITY, MO, 64133
1693, 15400 E 48 STREET, KANSAS CITY, MO, 64136
1694, 1900 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64108
1695, 1900 MCGEE STREET, KANSAS CITY, MO, 64106
1696, 2100 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64109
1697, 2100 MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64129
1698, 2500 HOLMES STREET, KANSAS CITY, MO, 64106
1699, 2500 LAWN AVENUE, KANSAS CITY, MO, 64124
1700, 2600 NE 43 STREET, KANSAS CITY, MO, 64116
1701, 2900 NE 102 TERRACE, KANSAS CITY, MO, 64155
1702, 300 N VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123
1703, 3000 NE 37 STREET, KANSAS CITY, MO, 64116
1704, 3100 AGNES AVENUE, KANSAS CITY, MO, 64127
1705, 3100 E 49 STREET, KANSAS CITY, MO, 64129
1706, 3200 CAMPBELL STREET, KANSAS CITY, MO, 64110
1707, 3300 GILLHAM ROAD, KANSAS CITY, MO, 64111
1708, 3400 BALES AVENUE, KANSAS CITY, MO, 64130
1709, 3400 MONTGALL AVENUE, KANSAS CITY, MO, 64130
1710, 3400 PROSPECT AVENUE, KANSAS CITY, MO, 64127
1711, 3500 BENTON BOULEVARD, KANSAS CITY, MO, 64130
1712, 3500 LEXINGTON AVENUE, KANSAS CITY, MO, 64123
1713, 3600 E 112 STREET, KANSAS CITY, MO, 64137
1714, 3700 BENTON BOULEVARD, KANSAS CITY, MO, 64127
1715, 3700 N OAK TRAFFICWAY, KANSAS CITY, MO, 64118
1716, 3700 PARK AVENUE, KANSAS CITY, MO, 64132
1717, 3800 AGNES AVENUE, KANSAS CITY, MO, 64127
1718, 3800 BALES AVENUE, KANSAS CITY, MO, 64130
1719, 3800 N ANTIOCH ROAD, KANSAS CITY, MO, 64117
1720, 3800 WOODLAND AVENUE, KANSAS CITY, MO, 64110
1721, 4200 N CHELSEA AVENUE, KANSAS CITY, MO, 64119
1722, 4200 PROSPECT AVENUE, KANSAS CITY, MO, 64128
1723, 4300 INDIANA AVENUE, KANSAS CITY, MO, 64127
1724, 4400 E 10 STREET, KANSAS CITY, MO, 64126
1725, 4600 JARBOE STREET, KANSAS CITY, MO, 64111
1726, 4600 SOUTH BENTON AVENUE, KANSAS CITY, MO, 64128
1727, 4600 WALLACE AVENUE, KANSAS CITY, MO, 64133
1728, 4600 WARWICK BOULEVARD, KANSAS CITY, MO, 64111
1729, 47 and JC NICHOLS, KANSAS CITY, MO, 64112
1730, 4700 ROANOKE PK, KANSAS CITY, MO, 64111
1731, 4800 E 9 STREET, KANSAS CITY, MO, 64126
1732, 500 INDIANA AVENUE, KANSAS CITY, MO, 64123
1733, 500 KENSINGTON AVENUE, KANSAS CITY, MO, 64123
1734, 5000 E 7 STREET, KCMO, MO, 64124
1735, 5000 N CHELSEA AVENUE, KANSAS CITY, MO, 64117
1736, 5100 WORNALL ROAD, KANSAS CITY, MO, 64114
1737, 5200 LONGVIEW ROAD, KANSAS CITY, MO, 64134
1738, 5300 E 39 STREET, KANSAS CITY, MO, 64130
1739, 5500 FOREST AVENUE, KANSAS CITY, MO, 64130
1740, 5600 E 101 STREET, KANSAS CITY, MO, 64134
1741, 5600 MAIN STREET, KANSAS CITY, MO, 64112
1742, 5600 NW 87 TERRACE, KANSAS CITY, MO, 64152
1743, 5600 OLIVE STREET, KANSAS CITY, MO, 64131
1744, 5700 TROOST AVENUE, KANSAS CITY, MO, 64131
1745, 5800 E 14 STREET, KANSAS CITY, MO, 64127
1746, 5800 E 9 STREET, KANSAS CITY, MO, 64124
1747, 5800 WOODLAND AVENUE, KANSAS CITY, MO, 64130
1748, 600 E MINOR DR, KANSAS CITY, MO, 64114
1749, 600 GRAND BOULEVARD, KANSAS CITY, MO, 64108
1750, 600 INDIANA AVENUE, KANSAS CITY, MO, 64123
1751, 600 NE 104 TERRACE, KANSAS CITY, MO, 64155
1752, 6000 SWOPE PK, KANSAS CITY, MO, 64132
1753, 6200 E 9 STREET, KANSAS CITY, MO, 64126
1754, 6300 WOODLAND AVENUE, KANSAS CITY, MO, 64130
1755, 63RD and I 435 HIGHWAY, KANSAS CITY, MO, 64132
1756, 6400 E 12 STREET, KANSAS CITY, MO, 64125
1757, 6400 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123
1758, 6400 PASEO, KANSAS CITY, MO, 64132
1759, 6700 BLUE PARKWAY DR, KANSAS CITY, MO,
