3084, E 9 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64126
3085, E 92 STREET and MARSH AVENUE, KANSAS CITY, MO, 64138
3086, E 94 TERRACE and CLEVELAND AVENUE, KANSAS CITY, MO, 64131
3087, E 99 STREET and HILLCREST ROAD, KANSAS CITY, MO, 64134
3088, E 99 STREET and LOCUST STREET, KANSAS CITY, MO, 64131
3089, E ARMOUR BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64130
3090, E BANNISTER ROAD and BLUE RIVER ROAD, KANSAS CITY, MO, 64137
3091, E BANNISTER ROAD and HOLMES ROAD, KANSAS CITY, MO, 64131
3092, E BANNISTER ROAD and JAMES A REED ROAD, KANSAS CITY, MO, 64138
3093, E BANNISTER ROAD and US HIGHWAY 71 OFF RA, KANSAS CITY, MO, 64131
3094, E FRONT STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64123
3095, E GREGORY BOULEVARD and I 435 HIGHWAY, KANSAS CITY, MO, 64131
3096, E GREGORY BOULEVARD and I 435 HIGHWAY, KANSAS CITY, MO, 64132
3097, E GREGORY BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64138
3098, E GREGORY BOULEVARD and MONROE AVENUE, KANSAS CITY, MO, 64132
3099, E GREGORY BOULEVARD and PASEO, KANSAS CITY, MO, 64131
3100, E LINWOOD BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64108
3101, E LINWOOD BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64109
3102, E LINWOOD BOULEVARD and MONTGALL AVENUE, KANSAS CITY, MO, 64128
3103, E LINWOOD BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64111
3104, E MEYER BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO, 64131
3105, E MEYER BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64132
3106, E MISSOURI AVENUE and WOODLAND AVENUE, KANSAS CITY, MO, 64106
3107, E TRUMAN ROAD and WOODLAND AVENUE, KANSAS CITY, MO, 64127
3108, EASTERN AVENUE and RAYTOWN ROAD, KANSAS CITY, MO, 64129
3109, ELMWOOD AVENUE and EMANUEL CLEAVER II BOULEVARD E, KANSAS CITY, MO, 64130
3110, ELMWOOD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64127
3111, EMANUEL CLEAVER II BOULEVARD and PASEO, KANSAS CITY, MO, 64111
3112, FOOD LN and LONGVIEW ROAD, KANSAS CITY, MO, 64134
3113, FOREST AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124
3114, FRONT STREET and RIVER FRONT ROAD, KANSAS CITY, MO, 64105
3115, GARFIELD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64106
3116, GILLHAM PL and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64109
3117, GILLHAM ROAD and ROCKHILL TERRACE, KANSAS CITY, MO, 64111
3118, GLADSTONE BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64125
3119, GRAND BOULEVARD and E PERSHING ROAD, KANSAS CITY, MO, 64106
3120, HARDESTY AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64123
3121, HIDDEN LAKES DR and N SUMMIT STREET, KANSAS CITY, MO, 64118
3122, HIGHLAND AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64110
3123, HIGHLAND AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64116
3124, HIGHLAND AVENUE and PASEO, KANSAS CITY, MO, 64106
3125, HOLMES ROAD and E RED BRIDGE ROAD, KANSAS CITY, MO, 64114
3126, I 35-29 HIGHWAY and NE PARVIN ROAD, KANSAS CITY, MO, 64118
3127, I 435 HIGHWAY and E TRUMAN ROAD W, KANSAS CITY, MO, 64126
3128, I 435 HIGHWAY and E TRUMAN ROAD W, KANSAS CITY, MO, 64133
3129, I 435 HIGHWAY and I 70 HIGHWAY, KANSAS CITY, MO,
3130, I 435 HIGHWAY and STADIUM DR, KANSAS CITY, MO, 64129
3131, I 435 HIGHWAY and STADIUM DR, KANSAS CITY, MO, 64133
3132, I 435 N TO US 71 N RA and US HIGHWAY 71, KANSAS CITY, MO, 64137
3133, I 470 HIGHWAY and VIEW HIGH TO I 470 W RA, KANSAS CITY, MO, 64137
3134, I 70 HIGHWAY and LISTER AVENUE, KANSAS CITY, MO, 64127
3135, I 70 HIGHWAY and STADIUM DR, KANSAS CITY, MO, 64133
3136, I 70 W TO VAN BRUNT RA and VAN BRUNT BLVD TO, KANSAS CITY, MO, 64127
3137, INDEPENDENCE AVENUE and MONTGALL AVENUE, KANSAS CITY, MO, 64124
3138, INDEPENDENCE AVENUE and PARK AVENUE, KANSAS CITY, MO, 64123
3139, INDEPENDENCE AVENUE and PROSPECT AVENUE, KANSAS CITY, MO, 64106
3140, INDEPENDENCE AVENUE and PROSPECT BOULEVARD, KANSAS CITY, MO,
3141, INDEPENDENCE AVENUE and WILSON AVENUE, KANSAS CITY, MO, 64123
3142, INDEPENDENCE AVENUE and WILSON AVENUE, KANSAS CITY, MO, 64124
3143, J C NICHOLS PARKWAY and WARD PK S, KANSAS CITY, MO, 64112
3144, JACKSON AVENUE and E RED BRIDGE ROAD, KANSAS CITY, MO, 64137
3145, JACKSON AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64123
3146, JACKSON AVENUE and THOMPSON AVENUE, KANSAS CITY, MO, 64124
3147, LEXINGTON AVENUE and MONTGALL AVENUE, KANSAS CITY, MO, 64124
3148, LEXINGTON AVENUE and PROSPECT AVENUE, KANSAS CITY, MO, 66111
3149, LITTLE BLUE ROAD and NOLAND ROAD, KANSAS CITY, MO, 64133
3150, LOCKRIDGE STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
3151, LONGVIEW ROAD and SPRING VALLEY ROAD, KANSAS CITY, MO, 64134
3152, LYDIA AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64108
3153, M 9 HIGHWAY and N US HIGHWAY 169, KANSAS CITY, MO, 64153
3154, MAIN STREET and WESTPORT ROAD, KANSAS CITY, MO, 64111
3155, MCELROY ROAD and SPRING VALLEY ROAD, KANSAS CITY, MO, 64134
3156, MCGEE STREET and E TRUMAN ROAD, KANSAS CITY, MO, 64108
3157, MONROE AVENUE and MORRELL AVENUE, KANSAS CITY, MO, 64123
3158, MYRTLE AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64127
3159, N ASKEW AVENUE and NE RUSSELL ROAD, KANSAS CITY, MO, 64117
3160, N BELLAIRE AVENUE and NE PARVIN ROAD, KANSAS CITY, MO, 64117
3161, N BELLEFONTAINE AVENUE and GARDNER AVENUE, KANSAS CITY, MO, 64123
3162, N BRIGHTON AVENUE and NE M 210 HIGHWAY, KANSAS CITY, MO, 64117
3163, N CHOUTEAU TRAFFICWAY and E FRONT STREET, KANSAS CITY, MO, 64017
3164, N CHOUTEAU TRAFFICWAY and E FRONT STREET, KANSAS CITY, MO, 64120
3165, N CORRINGTON AVENUE and NE PARVIN ROAD, KANSAS CITY, MO, 64130
3166, N ELMWOOD AVENUE and NE VIVION ROAD, KANSAS CITY, MO, 64119
3167, N SPRUCE AVENUE and NE VIVION ROAD, KANSAS CITY, MO, 64118
3168, NE 118 TERRACE and N COLLEGE AVENUE, KANSAS CITY, MO, 64155
3169, NE 33 TERRACE and N CHOUTEAU TRAFFICWAY N, KANSAS CITY, MO, 64121
3170, NE 44 TERRACE and NE KELSEY ROAD, KANSAS CITY, MO, 64117
3171, NE 45 TERRACE and N WINN ROAD, KANSAS CITY, MO, 64117
3172, NE 48 STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64117
3173, NE 48 STREET and N BENNINGTON AVENUE, KANSAS CITY, MO, 64119
3174, NE 48 STREET and N BRIGHTON AVENUE, KANSAS CITY, MO, 64119
3175, NE 48 STREET and N MANCHESTER AVENUE, KANSAS CITY, MO, 64119
3176, NE 50 STREET and N ANTIOCH ROAD, KANSAS CITY, MO, 64119
3177, NE 50 STREET and N BRISTOL AVENUE, KANSAS CITY, MO, 64119
3178, NE 52 STREET and N ANTIOCH ROAD, KANSAS CITY, MO, 64116
3179, NE 80 STREET and N FARLEY AVENUE, KANSAS CITY, MO, 64157
3180, NE 88 TERRACE and N OAK TRAFFICWAY, KANSAS CITY, MO, 64151
3181, NE 96 STREET and I 435 HIGHWAY, KANSAS CITY, MO,
3182, NE DAVIDSON ROAD and I 29 HIGHWAY, KANSAS CITY, MO,
3183, NE M 210 HIGHWAY and N PLEASANT AVENUE, KANSAS CITY, MO, 64161
3184, NW 126 TERRACE and NW SKYVIEW AVENUE, KANSAS CITY, MO, 64154
3185, NW 68 STREET and N US HIGHWAY 169, KANSAS CITY, MO, 64118
3186, NW 68 STREET and NW WAUKOMIS DR, KANSAS CITY, MO, 64151
3187, NW 88 STREET and N STREET CLAIR AVENUE, KANSAS CITY, MO, 64151
3188, NW BARRY ROAD and I 29 HIGHWAY, KANSAS CITY, MO, 64152
3189, NW WAUKOMIS and NW HARDEN, KANSAS CITY, MO, 64116
3190, PHELPS ROAD and E US HIGHWAY 40, KANSAS CITY, MO,
3191, PROSPECT AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64109
3192, PROSPECT AVENUE and VICTOR STREET, KANSAS CITY, MO, 64127
3193, S MILL STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64111
3194, TOPPING AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64127
3195, TROOST 62ND, KANSAS CITY, MO, NA
3196, W 10 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64111
3197, W 10 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64105
3198, W 119 TERRACE and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64145
3199, W 12 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64106
3200, W 12 STREET and MAIN STREET, KANSAS CITY, MO, 64108
3201, W 13 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64106
3202, W 14 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64106
3203, W 16 STREET and MAIN STREET, KANSAS CITY, MO, 64106
3204, W 17 STREET and MADISON AVENUE, KANSAS CITY, MO, 64108
3205, W 17 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64108
3206, W 18 STREET and MADISON AVENUE, KANSAS CITY, MO, 64108
3207, W 2 STREET and MAIN STREET, KANSAS CITY, MO, 64105
3208, W 22 STREET and CENTRAL STREET, KANSAS CITY, MO, 64108
3209, W 28 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64108
3210, W 33 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64110
3211, W 37 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64114
3212, W 38 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64111
3213, W 38 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64111
3214, W 39 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64110
3215, W 39 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64110
3216, W 39 STREET and ROANOKE ROAD, KANSAS CITY, MO, 64109
3217, W 39 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64108
3218, W 4 STREET and BEARDSLEY ROAD, KANSAS CITY, MO, 64101
3219, W 40 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64111
3220, W 40 TERRACE and BROADWAY, KANSAS CITY, MO, 64109
3221, W 40 TERRACE and BROADWAY, KANSAS CITY, MO, 64111
3222, W 41 STREET and MILL STREET, KANSAS CITY, MO, 64110
3223, W 41 STREET and PENNSYVANIA AVENUE, KANSAS CITY, MO, 64111
3224, W 43 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64111
3225, W 43 STREET and MAIN STREET, KANSAS CITY, MO, 64111
3226, W 43 STREET and WORNALL ROAD, KANSAS CITY, MO, 64111
3227, W 45 STREET and TERRACE STREET, KANSAS CITY, MO,
3228, W 46 TERRACE and J C NICHOLS PARKWAY, KANSAS CITY, MO, 64112
3229, W 47 STREET and HOLLY STREET, KANSAS CITY, MO, 64112
3230, W 47 STREET and J C NICHOLS PARKWAY, KANSAS CITY, MO, 64110
3231, W 47 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO,
3232, W 47 STREET and SUMMIT STREET, KANSAS CITY, MO, 64112
3233, W 5 STREET and DELAWARE STREET, KANSAS CITY, MO, 64106
3234, W 5 STREET and MAIN STREET, KANSAS CITY, MO, 64105
3235, W 52 STREET and SUMMIT STREET, KANSAS CITY, MO, 64112
3236, W 52 STREET and WORNALL ROAD, KANSAS CITY, MO, 64114
3237, W 59 STREET and WORNALL ROAD, KANSAS CITY, MO, 64111
3238, W 75 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64114
3239, W 77 STREET and WORNALL ROAD, KANSAS CITY, MO, 64141
3240, W 8 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64105
3241, W 8 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
3242, W 87 STREET and WARD PK, KANSAS CITY, MO, 64114
3243, W 9 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64106
3244, W ARMOUR BOULEVARD and BALTIMORE AVENUE, KANSAS CITY, MO, 64111
3245, 100 BELMONT BOULEVARD, KANSAS CITY, MO, 64124
3246, 100 E 34 TERRACE, KANSAS CITY, MO, 64111
3247, 100 E 54 STREET, KANSAS CITY, MO, 64112
3248, 100 E 55 TERRACE, KANSAS CITY, MO, 64113
3249, 100 E 67 STREET, KANSAS CITY, MO, 64113
3250, 100 E NAVAJO LN, KANSAS CITY, MO, 64114
3251, 100 ELMWOOD AVENUE, KANSAS CITY, MO, 64124
3252, 100 LAWN AVENUE, KANSAS CITY, MO, 64127
3253, 100 N JACKSON AVENUE, KANSAS CITY, MO, 64123
3254, 100 NE NORMANDY LN, KANSAS CITY, MO, 64116
3255, 100 NW 86 TERRACE, KANSAS CITY, MO, 64155
3256, 100 RED COAT LN, KANSAS CITY, MO, 64129
3257, 100 W 66 TERRACE, KANSAS CITY, MO, 64113
3258, 100 W WINTHROPE ROAD, KANSAS CITY, MO, 64114
3259, 100 WORLDS OF FUN AVE , KC, KANSAS CITY, MO, 64161
3260, 1000 NE 113 TERRACE, KANSAS CITY, MO, 64155
3261, 1000 NORTON AVENUE, KANSAS CITY, MO, 64124
3262, 10100 N AMBASSADOR DR, KANSAS CITY, MO, 64154
3263, 10400 HICKMAN MILLS DR, KANSAS CITY, MO, 64134
3264, 107TH STREET/ MANCHESTER, KANSAS CITY, MO, 64134
3265, 1100 E 139 STREET, KANSAS CITY, MO, 64145
