13084, W 16 STREET and LIBERTY STREET, KANSAS CITY, MO, 64108
13085, W 16 STREET and MAIN STREET, KANSAS CITY, MO, 64108
13086, W 16 STREET and SUMMIT STREET, KANSAS CITY, MO, 64105
13087, W 17 STREET and BEARDSLEY ROAD, KANSAS CITY, MO, 64108
13088, W 17 STREET and SUMMIT STREET, KANSAS CITY, MO, 64105
13089, W 17 STREET and SUMMIT STREET, KANSAS CITY, MO, 64106
13090, W 17 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64108
13091, W 17 STREET and WYOMING STREET, KANSAS CITY, MO, 64102
13092, W 18 STREET and CENTRAL STREET, KANSAS CITY, MO, 64106
13093, W 18 STREET and CENTRAL STREET, KANSAS CITY, MO, 64108
13094, W 18 STREET and CENTRAL STREET, KANSAS CITY, MO, 64109
13095, W 18 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64106
13096, W 18 STREET and MAIN STREET, KANSAS CITY, MO, 64106
13097, W 18 STREET and SUMMIT STREET, KANSAS CITY, MO, 64105
13098, W 19 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO,
13099, W 19 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64108
13100, W 19 STREET and CENTRAL STREET, KANSAS CITY, MO, 64108
13101, W 19 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64108
13102, W 20 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64109
13103, W 20 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64106
13104, W 20 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64111
13105, W 20 STREET and CENTRAL STREET, KANSAS CITY, MO, 64105
13106, W 20 STREET and CENTRAL STREET, KANSAS CITY, MO, 64108
13107, W 20 STREET and I 35 HIGHWAY, KANSAS CITY, MO, 64108
13108, W 20 STREET and MADISON AVENUE, KANSAS CITY, MO, 64108
13109, W 20 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64108
13110, W 20 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64109
13111, W 20 STREET and SUMMIT STREET, KANSAS CITY, MO, 64108
13112, W 20 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64155
13113, W 20 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64108
13114, W 20 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64109
13115, W 20 TERRACE and MERCIER STREET, KANSAS CITY, MO, 64108
13116, W 21 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64108
13117, W 21 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64103
13118, W 21 STREET and WEST PENNWAY, KANSAS CITY, MO, 64106
13119, W 21 STREET and WEST PENNWAY, KANSAS CITY, MO, 64108
13120, W 22 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64106
13121, W 22 STREET and BROADWAY, KANSAS CITY, MO, 64105
13122, W 22 STREET and NORTHWESTERN AVENUE, KANSAS CITY, MO, 64105
13123, W 22 STREET and NORTHWESTERN AVENUE, KANSAS CITY, MO, 64108
13124, W 22 STREET and NORTHWESTERN AVENUE, KANSAS CITY, MO, 64111
13125, W 22 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
13126, W 23 STREET and ALLEN STREET, KANSAS CITY, MO, 64109
13127, W 23 STREET and ALLEN STREET, KANSAS CITY, MO, 64129
13128, W 23 STREET and SUMMIT STREET, KANSAS CITY, MO, 64108
13129, W 23 STREET and WEST BLUFF DR, KANSAS CITY, MO, 64106
13130, W 24 STREET and BELLEVIEW AVENUE, KANSAS CITY, MO, 64108
13131, W 24 STREET and MONITOR PL, KANSAS CITY, MO, 64108
13132, W 25 STREET and ALLEN STREET, KANSAS CITY, MO, 64106
13133, W 25 STREET and BELLEVIEW AVENUE, KANSAS CITY, MO, 64106
13134, W 25 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64110
13135, W 25 STREET and SUMMIT STREET, KANSAS CITY, MO, 64106
13136, W 25 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64110
13137, W 26 STREET and BELLEVIEW AVENUE, KANSAS CITY, MO, 64108
13138, W 26 STREET and SUMMIT STREET, KANSAS CITY, MO, 64105
13139, W 27 STREET and BROADWAY BLVD, KANSAS CITY, MO, 64108
13140, W 27 STREET and PENN VALLEY DR, KANSAS CITY, MO, 64106
13141, W 27 STREET and PENN VALLEY DR, KANSAS CITY, MO, 64108
13142, W 27 STREET and SOUTHWEST TF, KANSAS CITY, MO, 64106
13143, W 27 STREET and SOUTHWEST TF, KANSAS CITY, MO, 64110
13144, W 27 STREET and SOUTHWEST TF, KANSAS CITY, MO, 64111
13145, W 27 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO,
13146, W 27 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64106
13147, W 27 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64109
13148, W 27 TERRACE and HOLLY STREET, KANSAS CITY, MO, 64108
13149, W 28 STREET and MERCIER STREET, KANSAS CITY, MO, 64108
13150, W 28 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64114
13151, W 29 STREET and FAIRMOUNT AVENUE, KANSAS CITY, MO, 64108
13152, W 29 STREET and MERCIER STREET, KANSAS CITY, MO, 64111
13153, W 29 STREET and SUMMIT STREET, KANSAS CITY, MO, 64106
13154, W 29 STREET and WYANDOTTE, KANSAS CITY, MO, 64108
13155, W 3 STREET and BROADWAY BRIDGE, KANSAS CITY, MO, 64105
13156, W 3 STREET and BROADWAY BRIDGE, KANSAS CITY, MO, 64106
13157, W 3 STREET and BROADWAY, KANSAS CITY, MO, 64106
13158, W 3 STREET and BROADWAY, KANSAS CITY, MO, 64108
13159, W 3 STREET and BROADWAY, KANSAS CITY, MO, 64109
13160, W 3 STREET and BROADWAY, KANSAS CITY, MO, 64118
13161, W 3 STREET and DELAWARE STREET, KANSAS CITY, MO, 64102
13162, W 3 STREET and DELAWARE STREET, KANSAS CITY, MO, 64106
13163, W 3 STREET and DELAWARE STREET, KANSAS CITY, MO, 64108
13164, W 3 STREET and WYANDOTTE STREET, KANSAS CITY, MO,
13165, W 3 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64106
13166, W 30 STREET and HOLLY STREET, KANSAS CITY, MO, 64108
13167, W 30TH STREET and PENN DR, KANSAS CITY, MO, 64111
13168, W 30TH STREET and PENN VALLEY DR, KANSAS CITY, MO, 64108
13169, W 30TH STREET/PENN VALLEY PL, KANSAS CITY, MO, 64108
13170, W 31 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64106
13171, W 31 STREET and PENN VALLEY DR, KANSAS CITY, MO, 64106
13172, W 31 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64111
13173, W 33 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64111
13174, W 33 STREET and SUMMIT STREET, KANSAS CITY, MO, 64108
13175, W 34 STREET and COLEMAN ROAD, KANSAS CITY, MO, 64111
