14108, E 66 TERRACE and LYDIA AVENUE, KANSAS CITY, MO, 64130
14109, E 66 TERRACE and LYDIA AVENUE, KANSAS CITY, MO, 64131
14110, E 66 TERRACE and TROOST AVENUE, KANSAS CITY, MO, 64131
14111, E 67 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64123
14112, E 67 STREET and BENNINGTON AVENUE, KANSAS CITY, MO, 64130
14113, E 67 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64132
14114, E 67 STREET and OLIVE STREET, KANSAS CITY, MO, 64131
14115, E 67 STREET and SWOPE PK, KANSAS CITY, MO, 64131
14116, E 67 TERRACE and OLIVE STREET, KANSAS CITY, MO, 64132
14117, E 68 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64131
14118, E 68 TERRACE and GRAND AVENUE, KANSAS CITY, MO, 64113
14119, E 68 TERRACE and PROSPECT AVENUE, KANSAS CITY, MO, 64130
14120, E 68 TERRACE and PROSPECT AVENUE, KANSAS CITY, MO, 64132
14121, E 68 TERRACE and PROSPECT AVENUE, KANSAS CITY, MO, 64152
14122, E 69 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64127
14123, E 69 TERRACE and OLIVE STREET, KANSAS CITY, MO, 64132
14124, E 7 STREET and BELMONT AVENUE, KANSAS CITY, MO, 64126
14125, E 7 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64108
14126, E 7 STREET and FREMONT AVENUE, KANSAS CITY, MO, 64123
14127, E 7 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64130
14128, E 7 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64123
14129, E 7 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64123
14130, E 7 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64122
14131, E 70 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64132
14132, E 70 STREET and TROOST AVENUE, KANSAS CITY, MO, 64133
14133, E 70 TERRACE and MANCHESTER AVENUE, KANSAS CITY, MO, 64133
14134, E 71 TERRACE and TROOST AVENUE, KANSAS CITY, MO, 64131
14135, E 72 STREET and AGNES AVENUE, KANSAS CITY, MO, 64132
14136, E 72 STREET and PASEO, KANSAS CITY, MO, 64109
14137, E 72 TERRACE and MARSH AVENUE, KANSAS CITY, MO,
14138, E 73 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64129
14139, E 73 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64132
