2076, W 18 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64108
2077, W 33 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64111
2078, W 38 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64111
2079, W 39 STREET and ROANOKE ROAD, KANSAS CITY, MO, 64111
2080, W 39 TERRACE and CENTRAL STREET, KANSAS CITY, MO, 64111
2081, W 41 STREET and BROADWAY, KANSAS CITY, MO, 64111
2082, W 42 STREET and ROANOKE ROAD, KANSAS CITY, MO, 64111
2083, W 43 STREET and WORNALL ROAD, KANSAS CITY, MO, 64112
2084, W 46 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64111
2085, W 46 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64112
2086, W 47 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64112
2087, W 47 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64111
2088, W 48 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64112
2089, W 49 STREET and MAIN STREET, KANSAS CITY, MO, 64112
2090, W 5 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
2091, W 65 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64131
2092, W 68 STREET and BROOKSIDE ROAD, KANSAS CITY, MO, 64113
2093, W 7 STREET and BANK STREET, KANSAS CITY, MO, 64105
2094, W 9 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64106
2095, W 9 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64105
2096, W BANNISTER ROAD and WORNALL ROAD, KANSAS CITY, MO, 64114
2097, W LINWOOD BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64111
2098, 100 E 107 STREET, KANSAS CITY, MO, 64114
2099, 100 E 14 STREET, KANSAS CITY, MO, 64105
2100, 100 E 45 STREET, KANSAS CITY, MO, 64109
2101, 100 E 46 STREET, KANSAS CITY, MO, 64111
2102, 100 E 56 TERRACE, KANSAS CITY, MO, 64113
2103, 100 E 69 STREET, KANSAS CITY, MO, 64113
2104, 100 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64106
2105, 100 W 69 STREET, KANSAS CITY, MO, 64113
2106, 100 W LINWOOD BOULEVARD, KANSAS CITY, MO, 64111
2107, 10800 N AMBASSADOR DR, KANSAS CITY, MO, 64154
2108, 1100 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64111
