nibrs_offense_code,nibrs_crime_against,nibrs_offense_cactegory,nibrs_offense_type,ofns_desc,pd_desc
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,GRAND LARCENY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUDS,COMPUTER UNAUTH. USE/TAMPER
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,THEFT-FRAUD,COMPUTER TAMPER/TRESSPASS
26U,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26U Other Fraud,FRAUDS,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
26U,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26U Other Fraud,THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY"
270,Crimes against property,Embezzlement,270 Embezzlement,GRAND LARCENY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER"
270,Crimes against property,Embezzlement,270 Embezzlement,GRAND LARCENY,"LARCENY,GRAND BY DISHONEST EMP"
270,Crimes against property,Embezzlement,270 Embezzlement,PETIT LARCENY,"LARCENY,PETIT BY DISHONEST EMP"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,POSSESSION OF STOLEN PROPERTY,"STOLEN PROP-MOTOR VEHICLE 3RD,"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY 2,1,POSSESSION"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY 2,POSSESSION B"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY 3,POSSESSION"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY-MOTOR VEH 2ND,"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),,"MISCHIEF, CRIMINAL 4, OF MOTOR"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),ADMINISTRATIVE CODE,GRAFFITI (ADMINISTRATIVE CODE-
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF 1,CRIMINAL,EXPLOSIVE"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,RECKLESS ENDANGERMENT OF PROPE
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 3,2, CRIMINAL"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),MISCELLANEOUS PENAL LAW,POSTING ADVERTISEMENTS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,,"CONTROLLED SUBSTANCE, INTENT T"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,,"CONTROLLED SUBSTANCE, POSSESSI"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,ADMINISTRATIVE CODE,UNLAWFUL SALE SYNTHETIC MARIJUANA
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, INTENT T"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, SALE 4"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, SALE 5"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,INTENT TO"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,POSSESS."
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,POSSESS.-"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,SALE 1"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,SALE 2"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,SALE 3"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"DRUG PARAPHERNALIA,   POSSESSE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"DRUG, INJECTION OF"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"MARIJUANA, POSSESSION 1, 2 & 3"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"MARIJUANA, POSSESSION 4 & 5"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"MARIJUANA, SALE 1, 2 & 3"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"MARIJUANA, SALE 4 & 5"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,SALE SCHOOL GROUNDS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,SALE SCHOOL GROUNDS 4
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,SALES OF PRESCRIPTION
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,USE CHILD TO COMMIT CONT SUB OFF
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,LOITERING FOR DRUG PURPOSES,LOITERING 1ST DEGREE FOR DRUG
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,MISCELLANEOUS PENAL LAW,"MARIJUANA, POSSESSION"
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,,POSS METH MANUFACT MATERIAL
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,DANGEROUS DRUGS,POSS METH MANUFACT MATERIAL
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,DANGEROUS DRUGS,POSSESSION HYPODERMIC INSTRUME
36A,Crimes against person,"Sex Offenses, Nonforcible",36A Incest,SEX CRIMES,INCEST
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,,MATERIAL              OFFENSIV
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,,OBSCENITY 1
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,OFF. AGNST PUB ORD SENSBLTY &,MATERIAL              OFFENSIV
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,SEX CRIMES,OBSCENE MATERIAL - UNDER 17 YE
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,SEX CRIMES,OBSCENITY 1
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,SEX CRIMES,"OBSCENITY, MATERIAL 3"
39A,Crimes against society,Gambling Offenses,39A Betting/Wagering,"LOITERING/GAMBLING (CARDS, DIC","LOITERING,GAMBLING,OTHER"
39B,Crimes against society,Gambling Offenses,39B Operating/Promoting/Assisting Gambling,GAMBLING,"GAMBLING 1,PROMOTING,BOOKMAKIN"
39B,Crimes against society,Gambling Offenses,39B Operating/Promoting/Assisting Gambling,GAMBLING,"GAMBLING 1,PROMOTING,POLICY"
39B,Crimes against society,Gambling Offenses,39B Operating/Promoting/Assisting Gambling,GAMBLING,"GAMBLING 2, PROMOTING, BOOKMAK"
39B,Crimes against society,Gambling Offenses,39B Operating/Promoting/Assisting Gambling,GAMBLING,"GAMBLING 2, PROMOTING, POLICY-"
39B,Crimes against society,Gambling Offenses,39B Operating/Promoting/Assisting Gambling,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF"
39C,Crimes against society,Gambling Offenses,39C Gambling Equipment Violations,GAMBLING,"GAMBLING, DEVICE, POSSESSION"
40A,Crimes against society,Prostitution Offenses,40A Prostitution,,LOITERING FOR PROSTITUTION OR
40A,Crimes against society,Prostitution Offenses,40A Prostitution,PROSTITUTION & RELATED OFFENSES,PROSTITUTION
40B,Crimes against society,Prostitution Offenses,40B Assisting or Promoting Prostitution,MISCELLANEOUS PENAL LAW,PROMOTING A SEXUAL PERFORMANCE
40B,Crimes against society,Prostitution Offenses,40B Assisting or Promoting Prostitution,PROSTITUTION & RELATED OFFENSES,LOITERING TO PROMOTE PROSTITUT
40B,Crimes against society,Prostitution Offenses,40B Assisting or Promoting Prostitution,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION 3, PROMOTING UNDE"
40B,Crimes against society,Prostitution Offenses,40B Assisting or Promoting Prostitution,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION 3,PROMOTING BUSIN"
40B,Crimes against society,Prostitution Offenses,40B Assisting or Promoting Prostitution,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION 4,PROMOTING&SECUR"
40B,Crimes against society,Prostitution Offenses,40B Assisting or Promoting Prostitution,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION,PERMITTING"
40C,Crimes against society,Prostitution Offenses,40C Purchasing Prostitution,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION, PATRONIZING 2, 1"
40C,Crimes against society,Prostitution Offenses,40C Purchasing Prostitution,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION, PATRONIZING 4, 3"
510,Crimes against property,Bribery,510 Bribery,MISCELLANEOUS PENAL LAW,"BRIBERY, POLICE OFFICER"
510,Crimes against property,Bribery,510 Bribery,MISCELLANEOUS PENAL LAW,"BRIBERY,FRAUD"
510,Crimes against property,Bribery,510 Bribery,MISCELLANEOUS PENAL LAW,"BRIBERY,PUBLIC ADMINISTRATION"
510,Crimes against property,Bribery,510 Bribery,OFFENSES INVOLVING FRAUD,"BRIBERY,COMMERCIAL"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,,WEAPONS POSSESSION 3
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ADMINISTRATIVE CODE,FIREWORKS
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ADMINISTRATIVE CODE,IMITATION PISTOL/AIR RIFLE
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ADMINISTRATIVE CODE,POSSES OR CARRY A KNIFE
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DANGEROUS WEAPONS,CRIMINAL DISPOSAL FIREARM 1 &
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DANGEROUS WEAPONS,FIREARMS LICENSING LAWS
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DANGEROUS WEAPONS,WEAPONS POSSESSION 1 & 2
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DANGEROUS WEAPONS,WEAPONS POSSESSION 3
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DANGEROUS WEAPONS,"WEAPONS, POSSESSION, ETC"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DANGEROUS WEAPONS,"WEAPONS,MFR,TRANSPORT,ETC."
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DANGEROUS WEAPONS,"WEAPONS,PROHIBITED USE"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DANGEROUS WEAPONS,"WEAPONS,PROHIBITED USE IMITATI"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,MISCELLANEOUS PENAL LAW,FIREWORKS PREV CONV 5 YEARS
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,MISCELLANEOUS PENAL LAW,"FIREWORKS, POSSESS/USE"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OFFENSES AGAINST PUBLIC SAFETY,"FIREWORKS, SALE"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,UNLAWFUL POSS. WEAP. ON SCHOOL,UNLAWFUL POSS. WEAPON UPON SCH
64A,Crimes against person,Human Trafficking,"64A Human Trafficking, Commercial Sex Acts",PROSTITUTION & RELATED OFFENSES,"PROSTITUTION 1, UNDER 11"
64A,Crimes against person,Human Trafficking,"64A Human Trafficking, Commercial Sex Acts",PROSTITUTION & RELATED OFFENSES,"PROSTITUTION 2, COMPULSORY"
64A,Crimes against person,Human Trafficking,"64A Human Trafficking, Commercial Sex Acts",PROSTITUTION & RELATED OFFENSES,"PROSTITUTION 2, UNDER 16"
64A,Crimes against person,Human Trafficking,"64A Human Trafficking, Commercial Sex Acts",PROSTITUTION & RELATED OFFENSES,SEX TRAFFICKING
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),FRAUDS,"CHECK,BAD"
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),PETIT LARCENY,"LARCENY,PETIT BY CHECK USE"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,"LOITERING,SCHOOL"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,"LOITERING,UNCLASSIFIED"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING/DEVIATE SEX,"LOITERING,DEVIATE SEX"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,,DISORDERLY CONDUCT
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,,"LEWDNESS,PUBLIC"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,,RIOT 2/INCITING
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,DISORDERLY CONDUCT
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISRUPTION OF A RELIGIOUS SERV,"DIS. CON.,AGGRAVATED"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,MISCELLANEOUS PENAL LAW,EXPOSURE OF A PERSON
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,MISCELLANEOUS PENAL LAW,RIOT 1
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,OFF. AGNST PUB ORD SENSBLTY &,"ASSEMBLY,UNLAWFUL"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,OFF. AGNST PUB ORD SENSBLTY &,"LEWDNESS,PUBLIC"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,OFF. AGNST PUB ORD SENSBLTY &,"NUISANCE,CRIMINAL,UNCLASSIFIED"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,OFF. AGNST PUB ORD SENSBLTY &,RIOT 2/INCITING
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,INTOXICATED & IMPAIRED DRIVING,"IMPAIRED DRIVING,DRUG"
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL"
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,INTOXICATED/IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL"
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",CHILD ABANDONMENT/NON SUPPORT,CHILD ABANDONMENT
90J,Crimes against society,Trespass of Real Property,90J Trespass of Real Property,,"TRESPASS 1,CRIMINAL"
90J,Crimes against society,Trespass of Real Property,90J Trespass of Real Property,CRIMINAL TRESPASS,"TRESPASS 2, CRIMINAL"
90J,Crimes against society,Trespass of Real Property,90J Trespass of Real Property,CRIMINAL TRESPASS,"TRESPASS 3, CRIMINAL"
90J,Crimes against society,Trespass of Real Property,90J Trespass of Real Property,MISCELLANEOUS PENAL LAW,"TRESPASS 1,CRIMINAL"
90J,Crimes against society,Trespass of Real Property,90J Trespass of Real Property,MISCELLANEOUS PENAL LAW,"TRESPASS 4,CRIMINAL SUB 2"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,AGGRAVATED HARASSMENT 2
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"CHILD, ENDANGERING WELFARE"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"CONTEMPT,CRIMINAL"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,FALSE REPORT UNCLASSIFIED
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"HARASSMENT,SUBD 1,CIVILIAN"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"HARASSMENT,SUBD 3,4,5"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,LURING A CHILD
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"NUISANCE,CRIMINAL,UNCLASSIFIED"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"NY STATE LAWS,UNCLASSIFIED FEL"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"PRIVACY,OFFENSES AGAINST,UNCLA"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"PUBLIC ADMINISTATION,UNCLASS M"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"PUBLIC ADMINISTRATION,UNCLASSI"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,RECKLESS ENDANGERMENT 1
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,RECKLESS ENDANGERMENT OF PROPE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,"STOLEN PROP-MOTOR VEHICLE 3RD,"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,TAX LAW
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,VIOLATION OF ORDER OF PROTECTI
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ABORTION,ABORTION 1
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,"ADM.CODE,UNCLASSIFIED MISDEMEA"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,"ADM.CODE,UNCLASSIFIED VIOLATIO"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,AIR POLLUTION-MOTOR VEH (ADM C
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,AIRPOLLUTION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,"ALCOHOLIC BEVERAGES,PUBLIC CON"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,BUILDING MATERIAL
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,"CIGARETTE,NO TAX STAMP,POSSESS"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,ENVIRONMENTAL CONTROL BOARD
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,GYPSY CAB
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,"PARK R&R,GAMBLING"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,"PARKR&R,UNCLASSIFIED VIOLATION"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODE,"PEDDLING,UNLAWFUL"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ADMINISTRATIVE CODES,"NOISE,UNECESSARY"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,ABANDON ANIMAL
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,ATTEND/SPECTATOR ANIMAL FIGHTING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,NEGLECT/POISON ANIMAL
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,POSSESS PARAPHERNALIA/ANIMAL FIGHTING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,TORTURE/INJURE ANIMAL CRUELTY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ALCOHOLIC BEVERAGE CONTROL LAW,ALCOHOLIC BEVERAGE CONTROL LAW
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ANTICIPATORY OFFENSES,"CONSPIRACY 6, 5"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ANTICIPATORY OFFENSES,"FACILITATION 4, CRIMINAL"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ANTICIPATORY OFFENSES,"SOLICITATION 4, CRIMINAL"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,BURGLAR'S TOOLS,"BURGLARS TOOLS,UNCLASSIFIED"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,CRIMINAL MISCHIEF & RELATED OF,FALSE ALARM FIRE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ENDAN WELFARE INCOMP,"INCOMPETENT PERSON,KNOWINGLY ENDANGERING"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ENDAN WELFARE INCOMP,"INCOMPETENT PERSON,RECKLESSY ENDANGERING"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ESCAPE 3,ESCAPE 3
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,FORTUNE TELLING,FORTUNE TELLING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,HOMICIDE-NEGLIGENT-VEHICLE,"HOMICIDE, NEGLIGENT, VEHICLE,"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,HOMICIDE-NEGLIGENT-VEHICLE,"HOMICIDE,NEGLIGENT,VEHICLE"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,AGGRAVATED CRIMINAL CONTEMPT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,"ANARCHY,CRIMINAL"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,APPEARANCE TICKET FAIL TO RESP
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,BAIL JUMPING 1 & 2
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,BIGAMY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,"CONSPIRACY 2, 1"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,"CONSPIRACY 4, 3"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,EAVESDROPPING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,END WELFARE VULNERABLE ELDERLY PERSON
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,ENTERPRISE CORRUPTION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,"ESCAPE 2,1"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,"FACILITATION 3,2,1, CRIMINAL"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,"FALSE REPORT 1,FIRE"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,HEALTHCARE/RENT.REG.
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,HIND PROSEC. TERR 2
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,"IMPERSONATION 1, POLICE OFFICE"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS PENAL LAW,"NUISANCE, CRIMINAL"
