nibrs_offense_code,nibrs_crime_against,nibrs_offense_cactegory,nibrs_offense_type,ofns_desc,pd_desc
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,COMMERCIAL UNCLASSIFIED"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,DELIVERY PERSON"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,DOCTOR/DENTIST OFFICE"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,DWELLING"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,GAS STATION"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,HIJACKING"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,HOME INVASION"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,LICENSED FOR HIRE VEHICLE"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,LICENSED MEDALLION CAB"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,LIQUOR STORE"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,NECKCHAIN/JEWELRY"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,OF TRUCK DRIVER"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,ON BUS/ OR BUS DRIVER"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,PHARMACY"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,POCKETBOOK/CARRIED BAG"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,PUBLIC PLACE INSIDE"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,RESIDENTIAL COMMON AREA"
120,Crimes against property,Robbery,120 Robbery,ROBBERY,"ROBBERY,UNLICENSED FOR HIRE VEHICLE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,FELONY ASSAULT,"ASSAULT 2,1,PEACE OFFICER"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,FELONY ASSAULT,STRANGULATION 1ST
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,MISCELLANEOUS PENAL LAW,VEHICULAR ASSAULT (INTOX DRIVE
13B,Crimes against person,Assault Offenses,13B Simple Assault,,"ASSAULT 2,1,UNCLASSIFIED"
13B,Crimes against person,Assault Offenses,13B Simple Assault,,ASSAULT 3
13B,Crimes against person,Assault Offenses,13B Simple Assault,,RESISTING ARREST
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT 3 & RELATED OFFENSES,"MENACING,PEACE OFFICER"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL
13B,Crimes against person,Assault Offenses,13B Simple Assault,OFFENSES AGAINST PUBLIC ADMINI,RESISTING ARREST
13C,Crimes against person,Assault Offenses,13C Intimidation,,FALSE REPORT BOMB
13C,Crimes against person,Assault Offenses,13C Intimidation,,"MENACING,UNCLASSIFIED"
13C,Crimes against person,Assault Offenses,13C Intimidation,,PLACE FALSE BOMB
13C,Crimes against person,Assault Offenses,13C Intimidation,MISCELLANEOUS PENAL LAW,MAKING TERRORISTIC THREAT
13C,Crimes against person,Assault Offenses,13C Intimidation,MISCELLANEOUS PENAL LAW,MENACING 1ST DEGREE (VICT NOT
13C,Crimes against person,Assault Offenses,13C Intimidation,MISCELLANEOUS PENAL LAW,MENACING 1ST DEGREE (VICT PEAC
13C,Crimes against person,Assault Offenses,13C Intimidation,MISCELLANEOUS PENAL LAW,PLACE FALSE BOMB
13C,Crimes against person,Assault Offenses,13C Intimidation,OFF. AGNST PUB ORD SENSBLTY &,FALSE REPORT BOMB
200,Crimes against property,Arson,200 Arson,,"ARSON 2,3,4"
200,Crimes against property,Arson,200 Arson,ARSON,ARSON 1
200,Crimes against property,Arson,200 Arson,ARSON,"ARSON 2,3,4"
200,Crimes against property,Arson,200 Arson,ARSON,"ARSON, MOTOR VEHICLE 1 2 3 & 4"
200,Crimes against property,Arson,200 Arson,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3&2, BY FIR"
200,Crimes against property,Arson,200 Arson,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, BY FIRE"
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,GRAND LARCENY,"LARCENY,GRAND BY EXTORTION"
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,MISCELLANEOUS PENAL LAW,COERCION 1
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,OFFENSES AGAINST THE PERSON,COERCION 2
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,COMMERCIAL,DAY"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,COMMERCIAL,NIGHT"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,COMMERCIAL,UNKNOWN TI"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,RESIDENCE,DAY"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,RESIDENCE,NIGHT"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,RESIDENCE,UNKNOWN TIM"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,TRUCK DAY"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,TRUCK NIGHT"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,UNCLASSIFIED,DAY"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,UNCLASSIFIED,NIGHT"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,UNCLASSIFIED,UNKNOWN"
220,Crimes against property,Burglary/Breaking & Entering,220 Burglary/Breaking & Entering,BURGLARY,"BURGLARY,UNKNOWN TIME"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,GRAND LARCENY,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK"
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,JOSTLING,JOSTLING
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PURS"
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,GRAND LARCENY,"LARCENY,GRAND PERSON,NECK CHAI"
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,,"LARCENY,PETIT FROM STORE-SHOPL"
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,GRAND LARCENY,"LARCENY,GRAND FROM STORE-SHOPL"
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,,"LARCENY,PETIT FROM BUILDING,UN"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,GRAND LARCENY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,GRAND LARCENY,"LARCENY,GRAND FROM EATERY, UNATTENDED"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,GRAND LARCENY,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,GRAND LARCENY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,GRAND LARCENY,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN"
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,GRAND LARCENY,"LARCENY,GRAND FROM COIN MACHIN"
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,GRAND LARCENY,"LARCENY,GRAND FROM PARKING MET"
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,PETIT LARCENY,"LARCENY,PETIT FROM COIN MACHIN"
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,PETIT LARCENY,"LARCENY,PETIT FROM PARKING MET"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),GRAND LARCENY,"LARCENY,GRAND FROM TRUCK, UNATTENDED"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),GRAND LARCENY,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),PETIT LARCENY,"LARCENY,PETIT FROM AUTO"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),PETIT LARCENY,"LARCENY,PETIT FROM TRUCK"
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,GRAND LARCENY,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES"
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE"
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,PETIT LARCENY,"LARCENY,PETIT OF VEHICLE ACCES"
