NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,"ALCOHOL, UNLAWFUL TRANSPORTATION OF"
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,"ALCOHOLIC BEVERAGE, PROCURING SALE OF"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"AMMUNITION, POSS. BY PROHIBITED PERSON"
520,Crimes against society,Weapon Law Violations,521 Weapon Law Violations,WEAPONS CARRYING ETC,"AMMUNITION, POSS. BY PROHIBITED PERSON"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"AMPHETAMINE, POSSESSION FOR SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"AMPHETAMINE, TRANSPORTATION"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,AMPHETAMINES OFFENSE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MALICIOUS MISCHIEF,"ANIMAL, CRUELTY TO"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"ANIMAL, FIGHTING"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MALICIOUS MISCHIEF,"ANIMAL, POISONING OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MALICIOUS MISCHIEF,"ANIMAL, WITHOUT PROPER CARE OR ATTENTION"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"ANIMAL, WITHOUT PROPER CARE OR ATTENTION"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,"SEX OFFENSES, FORCIBLE",ANNOY OR MOLEST CHILDREN
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"ARMOR PENETRATING AMMUNITION, POSSESSION"
520,Crimes against society,Weapon Law Violations,522 Weapon Law Violations,WEAPONS CARRYING ETC,"ARMOR PENETRATING AMMUNITION, POSSESSION"
200,Crimes against property,Arson,200 Arson,ARSON,ARSON
200,Crimes against property,Arson,200 Arson,ARSON,ARSON OF A COMMERCIAL BUILDING
200,Crimes against property,Arson,200 Arson,ARSON,ARSON OF A POLICE BUILDING
200,Crimes against property,Arson,200 Arson,ARSON,ARSON OF A POLICE VEHICLE
200,Crimes against property,Arson,200 Arson,ARSON,ARSON OF A VACANT BUILDING
200,Crimes against property,Arson,200 Arson,ARSON,ARSON OF A VEHICLE
200,Crimes against property,Arson,200 Arson,ARSON,ARSON OF AN INHABITED DWELLING
200,Crimes against property,Arson,200 Arson,ARSON,ARSON OF VEHICLE
200,Crimes against property,Arson,200 Arson,ARSON,ARSON WITH GREAT BODILY INJURY
200,Crimes against property,Arson,200 Arson,ARSON,"ARSON, ATTEMPTED"
200,Crimes against property,Arson,200 Arson,ARSON,"ARSON, COMMERCIAL BUILDING"
200,Crimes against property,Arson,200 Arson,ARSON,"ARSON, INHABITED DWELLING"
200,Crimes against property,Arson,200 Arson,ARSON,"ARSON, POLICE VEHICLE"
200,Crimes against property,Arson,200 Arson,ARSON,"ARSON, PORTABLE TOILET"
200,Crimes against property,Arson,200 Arson,ARSON,"ARSON, VACANT BUILDING"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"ARTICLES WITH ID REMOVED, POSSESSION OF"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,ASSAULT
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SECONDARY CODES,ASSAULT BY JUVENILE SUSPECT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ASSAULT BY POISONING
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,ASSAULT BY POLICE OFFICER
