NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
510,Crimes against property,Bribery,510 Bribery,BRIBERY,"CONCEAL CRIME OR WITHHOLD EVIDENCE, ACCEPTING PAYMENT TO"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"CONCEAL CRIME OR WITHHOLD EVIDENCE, ACCEPTING PAYMENT TO"
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",FAMILY OFFENSES,CONCEALMENT/REMOVAL OF CHILD WITHOUT CONSENT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,CONSPIRACY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,CONSPIRACY
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,CONSUMING ALCOHOL IN PUBLIC VIEW
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"CONTRABAND, TAKING INTO A REFORMATORY"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,CONTRIBUTING TO THE DELINQUENCY OF MINOR
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,CONTROLLED SUBSTANCE OFFENSE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DRUG/NARCOTIC,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"CONTROLLED SUBSTANCE, POSSESSION FOR SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"CONTROLLED SUBSTANCE, SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"CONTROLLED SUBSTANCE, TRANSPORTATION"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"CONTROLLED SUBSTANCE, UNDER THE INFLUENCE OF"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"COUNTERFEIT COINS OR NOTES, POSSESSING OR RECEIVING"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,COUNTERFEIT MONEY OR COINS
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"COUNTERFEIT/FORGERY, POSS DRIVERS LIC OR ID CARD"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"COUNTERFEITING, PLATES OR DIES"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"COUNTERFEITING, POSSESSION COINS OR NOTES"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,COURTESY REPORT,COURTESY REPORT
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,COURTESY REPORT
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,FRAUD,"CREDIT APPLICATION, FRAUDULENT"
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,FRAUD,"CREDIT CARD, INCOMPLETE OR COUNTERFEIT"
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,FRAUD,"CREDIT CARD, THEFT BY USE OF"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,FRAUD,"CREDIT CARD, THEFT OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,FRAUD,CRIMES AGAINST REVENUE & PROPERTY OF STATE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,FRAUD,CRIMES INVOLVING RECEIPTS OR TITLES
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,CRIMES INVOLVING RECEIPTS OR TITLES
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,CRUELTY TO ANIMALS
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,OTHER OFFENSES,CURFEW VIOLATION
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,DAMAGE TO FIRE ALARM APPARATUS
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),293 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,DAMAGE TO MAIL BOX
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,DAMAGE TO MAIL BOX
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,DAMAGE TO PARKING METERS
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,DAMAGE/DESTRUCTION OF MAIL
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,DANGER OF LEADING IMMORAL LIFE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,"DEATH REPORT, CAUSE UNKNOWN"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DEATH REPORT, IN CUSTODY"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,"DEATH REPORT, NATURAL CAUSES"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DEATH, ACCIDENTAL"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,"DEATH, ACCIDENTAL"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DEATH, NON-MANSLAUGHTER AUTO ACCIDENT"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,"DEATH, NON-MANSLAUGHTER VEHICLE ACCIDENT"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,DEFRAUDING AN INNKEEPER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,OTHER OFFENSES,DEFRAUDING GAS STATION/TAXI DRIVER
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,DEFRAUDING OF VEHICLE REPAIRMAN
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,OTHER MISCELLANEOUS,DEFRAUDING OF VEHICLE REPAIRMAN
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,OTHER MISCELLANEOUS,"DEFRAUDING PROVIDERS OF FOOD, FUEL, SERVICES, OR ACCOMMODATIONS"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,OTHER OFFENSES,DEFRAUDING TAXI DRIVER
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),294 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"DELIVERED MAIL, DAMAGE OR DESTRUCTION OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS INVESTIGATION,"DEMONSTRATION, VIDEO EVIDENCE, MISC INVESTIGATION"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DEMONSTRATION, VIDEO EVIDENCE, MISC. INVESTIGATION"
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",FAMILY OFFENSES,DESERTION OF CHILD
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,DESTITUTE MINOR
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,DESTROYING JAIL PROPERTY-$200 OR UNDER
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,DESTROYING JAIL PROPERTY-OVER $200
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,DESTRUCTION OF PROPERTY WITH EXPLOSIVES
520,Crimes against society,Weapon Law Violations,526 Weapon Law Violations,WEAPONS CARRYING ETC,DESTRUCTION OF PROPERTY WITH EXPLOSIVES
520,Crimes against society,Weapon Law Violations,575 Weapon Law Violations,WEAPONS OFFENSE,"DESTRUCTIVE DEVICE, EXPLODING"
520,Crimes against society,Weapon Law Violations,576 Weapon Law Violations,WEAPONS OFFENSE,"DESTRUCTIVE DEVICE, POSSESSION"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"DESTRUCTIVE DEVICE, POSSESSION OF MATERIALS"
520,Crimes against society,Weapon Law Violations,527 Weapon Law Violations,WEAPONS CARRYING ETC,"DESTRUCTIVE DEVICE, POSSESSION OF MATERIALS"
520,Crimes against society,Weapon Law Violations,577 Weapon Law Violations,WEAPONS OFFENSE,"DESTRUCTIVE DEVICE, POSSESSION OF MATERIALS"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"DISASTER AREA, ENTERING OR REMAINING IN"
90J,Crimes against society,Trespass of Real Property,90J Trespass of Real Property,TRESPASS,"DISASTER AREA, ENTERING OR REMAINING IN"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,DISCHARGE FIREARM AT AN INHABITED DWELLING
520,Crimes against society,Weapon Law Violations,528 Weapon Law Violations,WEAPONS CARRYING ETC,DISCHARGE FIREARM AT AN INHABITED DWELLING
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,DISCHARGE FIREARM WITHIN CITY LIMITS
520,Crimes against society,Weapon Law Violations,529 Weapon Law Violations,WEAPONS CARRYING ETC,DISCHARGE FIREARM WITHIN CITY LIMITS
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ASSAULT,DISCHARGING IN GROSSLY NEGLIGENT MANNER
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OTHER OFFENSES,DISCHARGING OFFENSIVE OR INJURIOUS SUBSTANCE IN PUBLIC AREA
40B,Crimes against society,Prostitution Offenses,40B Assisting or Promoting Prostitution,PROSTITUTION,"DISORDERLY HOUSE, KEEPING"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,DISPLAY & SALE OF SPRAY PAINT & MARKER PENS
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,DISRUPTS SCHOOL ACTIVITIES
13C,Crimes against person,Assault Offenses,13C Intimidation,BRIBERY,"DISSUADING WITNESS, VICTIM"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"DISSUADING WITNESS, VICTIM"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,DISSUADING/THREATENING OF A WITNESS
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"DISTURBANCE OF NON-RELIGIOUS, NON-POLITICAL ASSEMBLY"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,DISTURBING RELIGIOUS MEETINGS
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,DISTURBING THE PEACE
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"DISTURBING THE PEACE, COMMOTION"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"DISTURBING THE PEACE, FIGHTING"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"DISTURBING THE PEACE, SWEARING"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DOG OR CAT, ABANDONMENT OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"DOG OR CAT, ABANDONMENT OF"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DOG, BARKING"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"DOG, BARKING"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DOG, BITE OR ATTACK"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DOG, FIGHTING;  OWNING, FIGHTING, OR ATTENDING FIGHT"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"DOG, FIGHTING;  OWNING, FIGHTING, OR ATTENDING FIGHT"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"DOG, STRAY OR VICIOUS"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"DOG, STRAY OR VICIOUS"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SECONDARY CODES,DOMESTIC VIOLENCE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OFFENCES AGAINST THE FAMILY AND CHILDREN,DOMESTIC VIOLENCE (SECONDARY ONLY)
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER OFFENSES,DRIVES VEHICLE ALONG TRACK OF RAILROAD
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,OTHER MISCELLANEOUS,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,DRIVING UNDER THE INFLUENCE,"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL, W/INJURY"
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,OTHER MISCELLANEOUS,"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL, W/INJURY"
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,OTHER MISCELLANEOUS,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,DRIVING UNDER THE INFLUENCE,"DRIVING WHILE UNDER THE INFLUENCE OF DRUGS, W/INJURY"
90D,Crimes against society,Driving Under the Influence,90D Driving Under the Influence,OTHER MISCELLANEOUS,"DRIVING WHILE UNDER THE INFLUENCE OF DRUGS, W/INJURY"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER MISCELLANEOUS,"DRIVING, DRAG RACING"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER OFFENSES,"DRIVING, DRAG RACING"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER MISCELLANEOUS,"DRIVING, FAILURE TO HEED RED LIGHT AND SIREN"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER MISCELLANEOUS,"DRIVING, LICENSE SUSPENDED OR REVOKED"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER MISCELLANEOUS,"DRIVING, NO LICENSE ISSUED"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER MISCELLANEOUS,"DRIVING, RECKLESS"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER MISCELLANEOUS,"DRIVING, RECKLESS, WITH INJURY"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER OFFENSES,"DRIVING, RECKLESS, WITH INJURY"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER MISCELLANEOUS,"DRIVING, SPEEDING"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,,"DRIVING, STUNT VEHICLE/STREET RACING"
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,DRUG OFFENSE,"DRUG LAB APPARATUS, POSSESSION"
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,DRUG/NARCOTIC,"DRUG LAB APPARATUS, POSSESSION"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"DRUG OFFENDER, PRESENCE  NEAR SCHOOL GROUNDS"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"DRUG OFFENDER, PRESENCE  NEAR SCHOOL GROUNDS"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"DRUGS, UNDER INFLUENCE  IN A PUBLIC PLACE"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,DUMPING OF OFFENSIVE MATTER
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,FRAUD,"EAVESDROPPING DEVICES, SALE OR USE"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",OFFENCES AGAINST THE FAMILY AND CHILDREN,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),295 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"ELECTRICAL  OR GAS LINES, INTERFERING WITH"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"ELECTRICAL  OR GAS LINES, INTERFERING WITH"
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,EMBEZZLED VEHICLE
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,EMBEZZLEMENT (GENERAL)
270,Crimes against property,Embezzlement,270 Embezzlement,LARCENY/THEFT,EMBEZZLEMENT FROM DEPENDENT OR ELDER ADULT BY CARETAKER
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT"
270,Crimes against property,Embezzlement,271 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY BROKERS/AGENTS"
270,Crimes against property,Embezzlement,272 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY BROOKERS/AGENTS"
270,Crimes against property,Embezzlement,273 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY COLLECTOR"
270,Crimes against property,Embezzlement,274 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE"
270,Crimes against property,Embezzlement,275 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY PROPERTY CARRIER"
270,Crimes against property,Embezzlement,276 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT LEASED PROPERTY"
270,Crimes against property,Embezzlement,277 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT PRIVATE PROPERTY"
270,Crimes against property,Embezzlement,278 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT PUBLIC/PRIVATE OFFICIAL"
270,Crimes against property,Embezzlement,279 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT"
270,Crimes against property,Embezzlement,280 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY BROKERS/AGENTS"
270,Crimes against property,Embezzlement,281 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY BROOKERS/AGENTS"
270,Crimes against property,Embezzlement,282 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY COLLECTOR"
270,Crimes against property,Embezzlement,283 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY EMPLOYEE"
270,Crimes against property,Embezzlement,284 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY PROPERTY CARRIER"
270,Crimes against property,Embezzlement,285 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT OF LEASED PROPERTY"
270,Crimes against property,Embezzlement,286 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT PRIVATE PROPERTY"
270,Crimes against property,Embezzlement,287 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT PUBLIC/PRIVATE OFFICIAL"
270,Crimes against property,Embezzlement,288 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT, LEASED PROPERTY"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,ENCOUNTER STUDIO ORDINANCE VIOLATION
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE AMPHETAMINE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE BARBITUATES
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE CONTROLLED SUBSTANCE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE HALLUCINOGENIC
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE HEROIN
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE METH-AMPHETAMINE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE OPIATES
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,ENCOURAGING MINOR TO USE COCAINE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,ENCOURAGING MINOR TO USE MARIJUANA
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"ENDLESS CHAIN SCHEMES, PONZI SCHEMES"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,ENGAGING IN LEWD ACT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,"SEX OFFENSES, FORCIBLE",ENGAGING IN LEWD ACT
40A,Crimes against society,Prostitution Offenses,40A Prostitution,PROSTITUTION,ENGAGING IN LEWD CONDUCT - PROSTITUTION RELATED
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,WARRANTS,ENROUTE TO ADULT AUTHORITY
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,WARRANTS,ENROUTE TO PAROLE OFFICER
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,WARRANTS,ENROUTE TO PROBATION OFFICER
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,WARRANTS,ENROUTE TO U.S. MARSHALL
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",OFFENCES AGAINST THE FAMILY AND CHILDREN,"EPO OR RESTRAINING ORDER VIOLATION, DVU RELATED"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,ESCAPE FROM HOSPITAL WITH FORCE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,ESCAPE FROM JAIL
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,ESCAPE OF PRISONER WHILE HOSPITALIZED
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,ESCAPE OR ASSISTING ESCAPE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,ESCAPE OR ASSISTING ESCAPE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,JUVENILE OFFENSES,"ESCAPEE, JUVENILE"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"ESCAPEE, JUVENILE"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,ESCAPES
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,ESCAPES
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,EVADING A POLICE OFFICER RECKLESSLY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,EVADING A POLICE OFFICER RECKLESSLY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"EVADING A POLICE OFFICER, INJURY OR DEATH"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"EVADING A POLICE OFFICER, INJURY OR DEATH"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,EVADING A POLICE VEHICLE OR BICYCLE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,EVADING A POLICE VEHICLE OR BICYCLE
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,OTHER MISCELLANEOUS,EVADING PAYMENT OF RAILROAD FARE
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,OTHER OFFENSES,EVADING PAYMENT OF RAILROAD FARE
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER
520,Crimes against society,Weapon Law Violations,530 Weapon Law Violations,WEAPONS CARRYING ETC,EXHIBITING DEADLY WEAPON IN A THREATING MANNER
