CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017
STOLEN VEHICLE,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT),NA,NA,NA,NA,NA,NA,NA,NA,2
STOLEN VEHICLE,BURGLARY - FORCED ENTRY,NA,NA,NA,NA,NA,NA,NA,1,23
STOLEN VEHICLE,INTIMIDATION / STALKING,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN VEHICLE,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,NA,3
STOLEN VEHICLE,LARCENY - OTHER,NA,NA,NA,NA,NA,NA,NA,NA,8
STOLEN VEHICLE,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE,NA,NA,NA,NA,NA,NA,NA,NA,8
STOLEN VEHICLE,LARCENY - POCKETPICKING,NA,NA,NA,NA,NA,NA,NA,NA,1
STOLEN VEHICLE,LARCENY - THEFT FROM BUILDING,NA,NA,NA,NA,NA,NA,NA,1,21
STOLEN VEHICLE,LARCENY - THEFT OF MOTOR VEHICLE PARTS / ACCESSORIES,NA,NA,NA,NA,NA,NA,NA,NA,3
STOLEN VEHICLE,ROBBERY,NA,NA,NA,NA,NA,NA,NA,1,5
WEAPONS OFFENSES,AGGRAVATED / FELONIOUS ASSAULT,NA,NA,NA,NA,NA,NA,NA,2,41
WEAPONS OFFENSES,ASSAULT AND BATTERY/SIMPLE ASSAULT,NA,NA,NA,NA,NA,NA,NA,NA,12
WEAPONS OFFENSES,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT),NA,NA,NA,NA,NA,NA,NA,1,1
WEAPONS OFFENSES,BURGLARY - FORCED ENTRY,NA,NA,NA,NA,NA,NA,NA,NA,3
WEAPONS OFFENSES,COMMERCIALIZED SEX - PROSTITUTION,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,DAMAGE TO PROPERTY,NA,NA,NA,NA,NA,NA,NA,NA,6
WEAPONS OFFENSES,ENTRY WITHOUT PERMISSION (NO INTENT),NA,NA,NA,NA,NA,NA,NA,1,1
WEAPONS OFFENSES,ESCAPE / FLIGHT,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,FAMILY - ABUSE / NEGLECT NONVIOLENT,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,FORGERY / COUNTERFEITING,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,FRAUD - FALSE PRETENSE / SWINDLE / CONFIDENCE GAME,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,FRAUD - NON SUFFICENT FUNDS CHECKS,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,KIDNAPPING / ABDUCTION,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,LARCENY - THEFT OF MOTOR VEHICLE PARTS / ACCESSORIES,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,MARIJUANA -POSSESS,NA,NA,NA,NA,NA,NA,NA,1,1
WEAPONS OFFENSES,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY),NA,NA,NA,NA,NA,NA,NA,1,8
WEAPONS OFFENSES,MOTOR VEHICLE THEFT,NA,NA,NA,NA,NA,NA,NA,NA,3
WEAPONS OFFENSES,NARCOTIC EQUIPMENT VIOLATIONS,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,OBSTRUCTING JUSTICE,NA,NA,NA,NA,NA,NA,NA,1,1
WEAPONS OFFENSES,OBSTRUCTING POLICE,NA,NA,NA,NA,NA,NA,NA,NA,13
WEAPONS OFFENSES,PARENTAL KIDNAPPING,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,POSSESSION OF A STOLEN VEHICLE,NA,NA,NA,NA,NA,NA,NA,NA,1
WEAPONS OFFENSES,ROBBERY,NA,NA,NA,NA,NA,NA,NA,NA,5
WEAPONS OFFENSES,STOLEN PROPERTY,NA,NA,NA,NA,NA,NA,NA,NA,6
WEAPONS OFFENSES,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA),NA,NA,NA,NA,NA,NA,NA,11,244
WEAPONS OFFENSES,WEAPONS OFFENSE - EXPLOSSIVES,NA,NA,NA,NA,NA,NA,NA,NA,1
