NIBRS_Offense_Code,Summarized Offense Description,Offense Type,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against
39A,GAMBLE,GAMBLE-BETTING,39A Betting/Wagering,Gambling Offenses,Crimes against society
39B,GAMBLE,GAMBLE-OPERATE,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society
90Z,HARBOR CALLs,HARBOR - CRIMINAL CODE VIOLATI,90Z All Other Offenses,All Other Offenses,All Other Offenses
90Z,HARBOR CALLS,HARBOR - BOATING UNDER INFLUEN,90Z All Other Offenses,All Other Offenses,All Other Offenses
99Z,HOMICIDE,HOMICIDE-JUST-GUN,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,HOMICIDE,HOMICIDE-JUST-WEAPON,99Z Non-Criminal Matters,Excluded cases,Excluded cases
09B,HOMICIDE,HOMICIDE-NEG-MANS-BODYFORCE,09B Negligent Manslaughter,Homicide Offenses,Crimes against person
09B,HOMICIDE,HOMICIDE-NEG-MANS-GUN,09B Negligent Manslaughter,Homicide Offenses,Crimes against person
09B,HOMICIDE,HOMICIDE-NEG-MANS-VEHICLE,09B Negligent Manslaughter,Homicide Offenses,Crimes against person
09B,HOMICIDE,HOMICIDE-NEG-MANS-WEAPON,09B Negligent Manslaughter,Homicide Offenses,Crimes against person
09A,HOMICIDE,HOMICIDE-PREMEDITATED-BODYFORC,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person
09A,HOMICIDE,HOMICIDE-PREMEDITATED-GUN,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person
09A,HOMICIDE,HOMICIDE-PREMEDITATED-WEAPON,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person
99Z,ILLEGAL DUMPING,ILLEGAL DUMPING,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,INJURY,INJURY - ACCIDENTAL,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,INJURY,INJURY - OTHER,99Z Non-Criminal Matters,Excluded cases,Excluded cases
90G,LIQUOR VIOLATION,LIQUOR LAW VIOLATION,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society
90B,LOITERING,LOITERING,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
99Z,LOST PROPERTY,PROPERTY LOST,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,LOST PROPERTY,PROPERTY LOST - POLICE EQUIPME,99Z Non-Criminal Matters,Excluded cases,Excluded cases
23H,MAIL THEFT,THEFT-MAIL,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property
